"year","regtyp","sex","mean","median","n","lower_confidence","upper_confidence"
"2000","Staedtischer Raum","männlich","7.17","7.5","7034","7.12","7.22"
"2000","Staedtischer Raum","weiblich","6.94","6.5","7545","6.89","6.99"
"2001","Laendlicher Raum","männlich","","","","",""
"2001","Laendlicher Raum","weiblich","","","","",""
"2001","Staedtischer Raum","männlich","","","","",""
"2001","Staedtischer Raum","weiblich","","","","",""
"2002","Laendlicher Raum","männlich","","","","",""
"2002","Laendlicher Raum","weiblich","","","","",""
"2002","Staedtischer Raum","männlich","","","","",""
"2002","Staedtischer Raum","weiblich","","","","",""
"2003","Laendlicher Raum","männlich","","","","",""
"2003","Laendlicher Raum","weiblich","","","","",""
"2003","Staedtischer Raum","männlich","","","","",""
"2003","Staedtischer Raum","weiblich","","","","",""
"2004","Laendlicher Raum","männlich","6.96","6.5","3228","6.89","7.03"
"2004","Laendlicher Raum","weiblich","6.94","6.5","3367","6.87","7.01"
"2004","Staedtischer Raum","männlich","6.92","6.5","6483","6.87","6.97"
"2004","Staedtischer Raum","weiblich","6.69","6.5","6986","6.64","6.74"
"2005","Laendlicher Raum","männlich","","","","",""
"2005","Laendlicher Raum","weiblich","","","","",""
"2005","Staedtischer Raum","männlich","","","","",""
"2005","Staedtischer Raum","weiblich","","","","",""
"2006","Laendlicher Raum","männlich","","","","",""
"2006","Laendlicher Raum","weiblich","","","","",""
"2006","Staedtischer Raum","männlich","","","","",""
"2006","Staedtischer Raum","weiblich","","","","",""
"2007","Laendlicher Raum","männlich","","","","",""
"2007","Laendlicher Raum","weiblich","","","","",""
"2007","Staedtischer Raum","männlich","","","","",""
"2007","Staedtischer Raum","weiblich","","","","",""
"2008","Laendlicher Raum","männlich","7.19","7.5","2927","7.12","7.26"
"2008","Laendlicher Raum","weiblich","7.05","7.5","3109","6.98","7.12"
"2008","Staedtischer Raum","männlich","7.17","7.5","5621","7.12","7.22"
"2008","Staedtischer Raum","weiblich","7.03","6.5","6161","6.98","7.08"
"2009","Laendlicher Raum","männlich","","","","",""
"2009","Laendlicher Raum","weiblich","","","","",""
"2009","Staedtischer Raum","männlich","","","","",""
"2009","Staedtischer Raum","weiblich","","","","",""
"2010","Laendlicher Raum","männlich","","","","",""
"2010","Laendlicher Raum","weiblich","","","","",""
"2010","Staedtischer Raum","männlich","","","","",""
"2010","Staedtischer Raum","weiblich","","","","",""
"2011","Laendlicher Raum","männlich","","","","",""
"2011","Laendlicher Raum","weiblich","","","","",""
"2011","Staedtischer Raum","männlich","","","","",""
"2011","Staedtischer Raum","weiblich","","","","",""
"2012","Laendlicher Raum","männlich","","","","",""
"2012","Laendlicher Raum","weiblich","","","","",""
"2012","Staedtischer Raum","männlich","","","","",""
"2012","Staedtischer Raum","weiblich","","","","",""
"2013","Laendlicher Raum","männlich","","","","",""
"2013","Laendlicher Raum","weiblich","","","","",""
"2013","Staedtischer Raum","männlich","","","","",""
"2013","Staedtischer Raum","weiblich","","","","",""
"2014","Laendlicher Raum","männlich","7.5","7.5","3980","7.44","7.56"
"2014","Laendlicher Raum","weiblich","7.4","7.5","4627","7.34","7.46"
"2014","Staedtischer Raum","männlich","7.54","7.5","7541","7.49","7.59"
"2014","Staedtischer Raum","weiblich","7.38","7.5","8916","7.33","7.43"
"2015","Laendlicher Raum","männlich","","","","",""
"2015","Laendlicher Raum","weiblich","","","","",""
"2015","Staedtischer Raum","männlich","","","","",""
"2015","Staedtischer Raum","weiblich","","","","",""
"2016","Laendlicher Raum","männlich","","","","",""
"2016","Laendlicher Raum","weiblich","","","","",""
"2016","Staedtischer Raum","männlich","","","","",""
"2016","Staedtischer Raum","weiblich","","","","",""
"2017","Laendlicher Raum","männlich","","","","",""
"2017","Laendlicher Raum","weiblich","","","","",""
"2017","Staedtischer Raum","männlich","","","","",""
"2017","Staedtischer Raum","weiblich","","","","",""
"2018","Laendlicher Raum","männlich","","","","",""
"2018","Laendlicher Raum","weiblich","","","","",""
"2018","Staedtischer Raum","männlich","","","","",""
"2018","Staedtischer Raum","weiblich","","","","",""
"2019","Laendlicher Raum","männlich","7.72","7.5","3951","7.66","7.78"
"2019","Laendlicher Raum","weiblich","7.66","7.5","4219","7.6","7.72"
"2019","Staedtischer Raum","männlich","7.67","7.5","7351","7.63","7.71"
"2019","Staedtischer Raum","weiblich","7.56","7.5","8076","7.52","7.6"
