"year","migback","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1995","kein Migrationshintergrund","Westdeutschland","","","","",""
"1996","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1996","direkter Migrationshintergrund","Westdeutschland","","","","",""
"1996","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1996","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"1996","kein Migrationshintergrund","Ostdeutschland","","","","",""
"1996","kein Migrationshintergrund","Westdeutschland","","","","",""
"1997","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1997","direkter Migrationshintergrund","Westdeutschland","","","","",""
"1997","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1997","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"1997","kein Migrationshintergrund","Ostdeutschland","","","","",""
"1997","kein Migrationshintergrund","Westdeutschland","","","","",""
"1998","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1998","direkter Migrationshintergrund","Westdeutschland","","","","",""
"1998","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1998","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"1998","kein Migrationshintergrund","Ostdeutschland","","","","",""
"1998","kein Migrationshintergrund","Westdeutschland","","","","",""
"1999","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1999","direkter Migrationshintergrund","Westdeutschland","","","","",""
"1999","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1999","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"1999","kein Migrationshintergrund","Ostdeutschland","","","","",""
"1999","kein Migrationshintergrund","Westdeutschland","","","","",""
"2000","direkter Migrationshintergrund","Ostdeutschland","6.97","6.5","114","6.62","7.32"
"2000","direkter Migrationshintergrund","Westdeutschland","6.42","6.5","2898","6.33","6.51"
"2000","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2000","indirekter Migrationshintergrund","Westdeutschland","7.11","7.5","773","6.96","7.26"
"2000","kein Migrationshintergrund","Ostdeutschland","7.2","7.5","4874","7.15","7.25"
"2000","kein Migrationshintergrund","Westdeutschland","7.12","7.5","13531","7.08","7.16"
"2001","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2001","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2001","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2001","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2001","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2001","kein Migrationshintergrund","Westdeutschland","","","","",""
"2002","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2002","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2002","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2002","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2002","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2002","kein Migrationshintergrund","Westdeutschland","","","","",""
"2003","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2003","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2003","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2003","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2003","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2003","kein Migrationshintergrund","Westdeutschland","","","","",""
"2004","direkter Migrationshintergrund","Ostdeutschland","6.64","6.5","77","6.15","7.13"
"2004","direkter Migrationshintergrund","Westdeutschland","5.95","5.5","2272","5.85","6.05"
"2004","indirekter Migrationshintergrund","Ostdeutschland","7.07","6.5","34","6.19","7.95"
"2004","indirekter Migrationshintergrund","Westdeutschland","6.54","6.5","743","6.38","6.7"
"2004","kein Migrationshintergrund","Ostdeutschland","7.07","6.5","4466","7.01","7.13"
"2004","kein Migrationshintergrund","Westdeutschland","6.98","6.5","12472","6.94","7.02"
"2005","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2005","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2005","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2005","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2005","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2005","kein Migrationshintergrund","Westdeutschland","","","","",""
"2006","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2006","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2006","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2006","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2006","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2006","kein Migrationshintergrund","Westdeutschland","","","","",""
"2007","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2007","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2007","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2007","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2007","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2007","kein Migrationshintergrund","Westdeutschland","","","","",""
"2008","direkter Migrationshintergrund","Ostdeutschland","7.07","6.5","57","6.45","7.69"
"2008","direkter Migrationshintergrund","Westdeutschland","6.14","6.5","1672","6.02","6.26"
"2008","indirekter Migrationshintergrund","Ostdeutschland","7.11","6.5","39","6.18","8.04"
"2008","indirekter Migrationshintergrund","Westdeutschland","6.88","6.5","702","6.71","7.05"
"2008","kein Migrationshintergrund","Ostdeutschland","7.36","7.5","4096","7.3","7.42"
"2008","kein Migrationshintergrund","Westdeutschland","7.23","7.5","11252","7.19","7.27"
"2009","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2009","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2009","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2009","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2009","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2009","kein Migrationshintergrund","Westdeutschland","","","","",""
"2010","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2010","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2010","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2010","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2010","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2010","kein Migrationshintergrund","Westdeutschland","","","","",""
"2011","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2011","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2011","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2011","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2011","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2011","kein Migrationshintergrund","Westdeutschland","","","","",""
"2012","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2012","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2012","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2012","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2012","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2012","kein Migrationshintergrund","Westdeutschland","","","","",""
"2013","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2013","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2013","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2013","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2013","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2013","kein Migrationshintergrund","Westdeutschland","","","","",""
"2014","direkter Migrationshintergrund","Ostdeutschland","7.57","7.5","325","7.33","7.81"
"2014","direkter Migrationshintergrund","Westdeutschland","6.85","6.5","4512","6.78","6.92"
"2014","indirekter Migrationshintergrund","Ostdeutschland","7.92","7.5","95","7.5","8.34"
"2014","indirekter Migrationshintergrund","Westdeutschland","7.31","7.5","1639","7.2","7.42"
"2014","kein Migrationshintergrund","Ostdeutschland","7.62","7.5","4396","7.56","7.68"
"2014","kein Migrationshintergrund","Westdeutschland","7.56","7.5","14097","7.53","7.59"
"2015","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2015","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2015","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2015","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2015","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2015","kein Migrationshintergrund","Westdeutschland","","","","",""
"2016","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2016","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2016","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2016","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2016","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2016","kein Migrationshintergrund","Westdeutschland","","","","",""
"2017","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2017","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2017","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2017","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2017","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2017","kein Migrationshintergrund","Westdeutschland","","","","",""
"2018","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2018","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2018","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2018","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2018","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2018","kein Migrationshintergrund","Westdeutschland","","","","",""
"2019","direkter Migrationshintergrund","Ostdeutschland","7.8","7.5","269","7.55","8.05"
"2019","direkter Migrationshintergrund","Westdeutschland","7.03","7.5","3323","6.95","7.11"
"2019","indirekter Migrationshintergrund","Ostdeutschland","7.67","7.5","148","7.36","7.98"
"2019","indirekter Migrationshintergrund","Westdeutschland","7.46","7.5","1618","7.35","7.57"
"2019","kein Migrationshintergrund","Ostdeutschland","7.91","7.5","4591","7.86","7.96"
"2019","kein Migrationshintergrund","Westdeutschland","7.74","7.5","14110","7.71","7.77"
