"year","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"2011","Hauptschule","","","","",""
"2011","Realschule","","","","",""
"2012","(Fach-)Abitur","","","","",""
"2012","(noch) kein Abschluss","","","","",""
"2012","AkademikerIn","","","","",""
"2012","Hauptschule","","","","",""
"2012","Realschule","","","","",""
"2013","(Fach-)Abitur","","","","",""
"2013","(noch) kein Abschluss","","","","",""
"2013","AkademikerIn","","","","",""
"2013","Hauptschule","","","","",""
"2013","Realschule","","","","",""
"2014","(Fach-)Abitur","7.73","7.5","3795","7.67","7.79"
"2014","(noch) kein Abschluss","6.11","6.5","950","5.93","6.29"
"2014","AkademikerIn","8.44","8.5","5862","8.4","8.48"
"2014","Hauptschule","6.79","6.5","7354","6.74","6.84"
"2014","Realschule","7.49","7.5","6328","7.45","7.53"
"2015","(Fach-)Abitur","","","","",""
"2015","(noch) kein Abschluss","","","","",""
"2015","AkademikerIn","","","","",""
"2015","Hauptschule","","","","",""
"2015","Realschule","","","","",""
"2016","(Fach-)Abitur","","","","",""
"2016","(noch) kein Abschluss","","","","",""
"2016","AkademikerIn","","","","",""
"2016","Hauptschule","","","","",""
"2016","Realschule","","","","",""
"2017","(Fach-)Abitur","","","","",""
"2017","(noch) kein Abschluss","","","","",""
"2017","AkademikerIn","","","","",""
"2017","Hauptschule","","","","",""
"2017","Realschule","","","","",""
"2018","(Fach-)Abitur","","","","",""
"2018","(noch) kein Abschluss","","","","",""
"2018","AkademikerIn","","","","",""
"2018","Hauptschule","","","","",""
"2018","Realschule","","","","",""
"2019","(Fach-)Abitur","7.76","7.5","4009","7.71","7.81"
"2019","(noch) kein Abschluss","6.1","6.5","721","5.89","6.31"
"2019","AkademikerIn","8.55","8.5","6686","8.52","8.58"
"2019","Hauptschule","7.01","6.5","5635","6.95","7.07"
"2019","Realschule","7.64","7.5","6291","7.6","7.68"
