"year","sampreg","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1996","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"1996","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1996","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"1996","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"1997","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"1997","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1997","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"1997","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"1998","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"1998","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1998","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"1998","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"1999","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"1999","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1999","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"1999","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2000","Ostdeutschland","maennlich","7.22","7.5","2428","5","6","8","10","10","7.14","7.3","0","10","7","8"
"2000","Ostdeutschland","weiblich","7.15","6.5","2585","5","6","8","10","10","7.07","7.23","0","10","7","8"
"2000","Westdeutschland","maennlich","7.14","7.5","8344","5","6","9","10","10","7.1","7.18","0","10","7","8"
"2000","Westdeutschland","weiblich","6.91","6.5","8858","4","5","8","10","10","6.86","6.96","0","10","7","7"
"2001","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2001","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2001","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2001","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2002","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2002","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2002","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2002","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2003","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2003","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2003","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2003","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2004","Ostdeutschland","maennlich","7.06","6.5","2210","5","6","8","10","10","6.98","7.14","0","10","7","8"
"2004","Ostdeutschland","weiblich","7.07","6.5","2367","5","6","8","10","10","6.99","7.15","0","10","7","8"
"2004","Westdeutschland","maennlich","6.91","6.5","7501","4","5","8","9","10","6.86","6.96","0","10","7","8"
"2004","Westdeutschland","weiblich","6.7","6.5","7986","4","5","8","10","10","6.65","6.75","0","10","7","7"
"2005","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2005","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2005","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2005","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2006","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2006","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2006","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2006","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2007","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2007","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2007","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2007","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2008","Ostdeutschland","maennlich","7.38","7.5","2044","5","6","9","10","10","7.3","7.46","0","10","8","8"
"2008","Ostdeutschland","weiblich","7.32","7.5","2148","5","6","9","10","10","7.24","7.4","0","10","8","8"
"2008","Westdeutschland","maennlich","7.13","7.5","6504","5","6","9","10","10","7.08","7.18","0","10","8","8"
"2008","Westdeutschland","weiblich","6.98","6.5","7122","4","5","8","10","10","6.93","7.03","0","10","8","8"
"2009","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2009","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2009","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2009","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2010","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2010","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2010","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2010","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2011","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2011","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2011","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2011","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2012","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2012","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2012","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2012","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2013","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2013","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2013","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2013","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2014","Ostdeutschland","maennlich","7.66","7.5","2190","5","7","9","10","10","7.58","7.74","0","10","8","8"
"2014","Ostdeutschland","weiblich","7.58","7.5","2626","5","7","9","10","10","7.5","7.66","0","10","8","8"
"2014","Westdeutschland","maennlich","7.5","7.5","9331","5","7","9","10","10","7.46","7.54","0","10","8","8"
"2014","Westdeutschland","weiblich","7.35","7.5","10917","5","6","9","10","10","7.31","7.39","0","10","8","8"
"2015","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2015","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2015","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2015","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2016","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2016","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2016","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2016","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2017","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2017","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2017","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2017","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2018","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2018","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2018","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2018","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2019","Ostdeutschland","maennlich","7.92","7.5","2413","6","7","9","10","10","7.85","7.99","0","10","8","8"
"2019","Ostdeutschland","weiblich","7.88","7.5","2594","6","7","9","10","10","7.81","7.95","0","10","8","8"
"2019","Westdeutschland","maennlich","7.66","7.5","9141","5","7","9","10","10","7.62","7.7","0","10","8","8"
"2019","Westdeutschland","weiblich","7.54","7.5","9908","5","7","9","10","10","7.5","7.58","0","10","8","8"
