,Unnamed: 0,year,regtyp,plb0418,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
55,55,1991,Rural regions,"In the distant future, in more than five years",0.11909,57,1660,0.09987,0.13464
56,56,1992,Urban regions,As soon as possible,0.28398,375,1897,0.25789,0.30894
57,57,1992,Urban regions,Next year,0.23235,260,1897,0.21291,0.25135
58,58,1992,Urban regions,In the next 2 to 5 years,0.35808,422,1897,0.33254,0.38651
59,59,1992,Urban regions,"In the distant future, in more than five years",0.12559,152,1897,0.11503,0.13616
60,60,1992,Rural regions,As soon as possible,0.40836,300,1897,0.37118,0.43748
61,61,1992,Rural regions,Next year,0.25744,173,1897,0.23013,0.28266
62,62,1992,Rural regions,In the next 2 to 5 years,0.22196,154,1897,0.2022,0.24494
63,63,1992,Rural regions,"In the distant future, in more than five years",0.11224,61,1897,0.09089,0.13828
64,64,1993,Urban regions,As soon as possible,0.28761,368,1919,0.26359,0.31549
65,65,1993,Urban regions,Next year,0.21297,253,1919,0.19684,0.22977
66,66,1993,Urban regions,In the next 2 to 5 years,0.36617,416,1919,0.33858,0.39206
67,67,1993,Urban regions,"In the distant future, in more than five years",0.13326,173,1919,0.12263,0.14521
68,68,1993,Rural regions,As soon as possible,0.47853,351,1919,0.44598,0.52418
69,69,1993,Rural regions,Next year,0.20811,154,1919,0.18733,0.2277
70,70,1993,Rural regions,In the next 2 to 5 years,0.24627,160,1919,0.22046,0.2738
71,71,1993,Rural regions,"In the distant future, in more than five years",0.0671,44,1919,0.05645,0.07887
72,72,1994,Urban regions,As soon as possible,0.30258,432,2013,0.27894,0.3261
73,73,1994,Urban regions,Next year,0.24126,293,2013,0.21943,0.26478
74,74,1994,Urban regions,In the next 2 to 5 years,0.32604,415,2013,0.30658,0.348
75,75,1994,Urban regions,"In the distant future, in more than five years",0.13012,169,2013,0.11761,0.14279
76,76,1994,Rural regions,As soon as possible,0.48719,356,2013,0.44559,0.53012
77,77,1994,Rural regions,Next year,0.19606,138,2013,0.17656,0.21904
78,78,1994,Rural regions,In the next 2 to 5 years,0.25408,164,2013,0.22409,0.29046
79,79,1994,Rural regions,"In the distant future, in more than five years",0.06267,46,2013,0.05128,0.07411
80,80,1995,Urban regions,As soon as possible,0.28585,426,2124,0.26273,0.30607
81,81,1995,Urban regions,Next year,0.22549,302,2124,0.20724,0.24673
82,82,1995,Urban regions,In the next 2 to 5 years,0.35815,494,2124,0.33415,0.38394
83,83,1995,Urban regions,"In the distant future, in more than five years",0.13051,178,2124,0.11614,0.14406
84,84,1995,Rural regions,As soon as possible,0.42036,302,2124,0.384,0.48131
85,85,1995,Rural regions,Next year,0.19431,161,2124,0.17454,0.21367
86,86,1995,Rural regions,In the next 2 to 5 years,0.28094,187,2124,0.25099,0.31326
87,87,1995,Rural regions,"In the distant future, in more than five years",0.10439,74,2124,0.08941,0.12353
88,88,1996,Urban regions,As soon as possible,0.29835,429,2130,0.27317,0.32435
89,89,1996,Urban regions,Next year,0.22435,307,2130,0.20645,0.24322
90,90,1996,Urban regions,In the next 2 to 5 years,0.35145,459,2130,0.32572,0.37787
91,91,1996,Urban regions,"In the distant future, in more than five years",0.12586,185,2130,0.11189,0.14241
92,92,1996,Rural regions,As soon as possible,0.41667,337,2130,0.38581,0.45058
93,93,1996,Rural regions,Next year,0.23515,176,2130,0.20977,0.2589
94,94,1996,Rural regions,In the next 2 to 5 years,0.23699,180,2130,0.21225,0.26554
95,95,1996,Rural regions,"In the distant future, in more than five years",0.11119,57,2130,0.09311,0.14163
96,96,1997,Urban regions,As soon as possible,0.33174,477,2111,0.30537,0.35344
97,97,1997,Urban regions,Next year,0.21818,269,2111,0.19563,0.24057
98,98,1997,Urban regions,In the next 2 to 5 years,0.33209,452,2111,0.31048,0.35673
99,99,1997,Urban regions,"In the distant future, in more than five years",0.11799,164,2111,0.10278,0.13507
100,100,1997,Rural regions,As soon as possible,0.45012,346,2111,0.40692,0.49203
101,101,1997,Rural regions,Next year,0.17681,138,2111,0.15519,0.20446
102,102,1997,Rural regions,In the next 2 to 5 years,0.2896,201,2111,0.25977,0.31815
103,103,1997,Rural regions,"In the distant future, in more than five years",0.08347,64,2111,0.07292,0.09619
104,104,1998,Urban regions,As soon as possible,0.32563,454,2212,0.30311,0.34564
105,105,1998,Urban regions,Next year,0.21901,295,2212,0.20153,0.23808
106,106,1998,Urban regions,In the next 2 to 5 years,0.31832,442,2212,0.29931,0.33981
107,107,1998,Urban regions,"In the distant future, in more than five years",0.13704,193,2212,0.12465,0.15293
108,108,1998,Rural regions,As soon as possible,0.46927,405,2212,0.43658,0.50299
109,109,1998,Rural regions,Next year,0.18888,162,2212,0.16663,0.21239
110,110,1998,Rural regions,In the next 2 to 5 years,0.25383,192,2212,0.23069,0.28071
111,111,1998,Rural regions,"In the distant future, in more than five years",0.08803,69,2212,0.07393,0.10468
112,112,1999,Urban regions,As soon as possible,0.32207,383,1922,0.29647,0.35262
113,113,1999,Urban regions,Next year,0.21941,255,1922,0.20009,0.24246
114,114,1999,Urban regions,In the next 2 to 5 years,0.33485,413,1922,0.31417,0.35934
115,115,1999,Urban regions,"In the distant future, in more than five years",0.12366,157,1922,0.10966,0.13542
116,116,1999,Rural regions,As soon as possible,0.42212,305,1922,0.38598,0.46398
117,117,1999,Rural regions,Next year,0.21699,165,1922,0.1955,0.24135
118,118,1999,Rural regions,In the next 2 to 5 years,0.27904,182,1922,0.24927,0.31372
119,119,1999,Rural regions,"In the distant future, in more than five years",0.08184,62,1922,0.07007,0.09978
120,120,2000,Urban regions,As soon as possible,0.29519,615,3337,0.28264,0.30796
121,121,2000,Urban regions,Next year,0.22105,462,3337,0.20876,0.23285
122,122,2000,Urban regions,In the next 2 to 5 years,0.35258,760,3337,0.33584,0.36945
123,123,2000,Urban regions,"In the distant future, in more than five years",0.13119,286,3337,0.12283,0.14237
124,124,2000,Rural regions,As soon as possible,0.39476,483,3337,0.3772,0.41434
125,125,2000,Rural regions,Next year,0.22571,272,3337,0.20716,0.24298
126,126,2000,Rural regions,In the next 2 to 5 years,0.2737,325,3337,0.2564,0.2924
127,127,2000,Rural regions,"In the distant future, in more than five years",0.10583,134,3337,0.09697,0.11653
128,128,2001,Urban regions,As soon as possible,0.29794,515,2959,0.28097,0.31688
129,129,2001,Urban regions,Next year,0.24021,412,2959,0.22504,0.25489
130,130,2001,Urban regions,In the next 2 to 5 years,0.33588,655,2959,0.32078,0.35216
131,131,2001,Urban regions,"In the distant future, in more than five years",0.12596,252,2959,0.11705,0.13601
132,132,2001,Rural regions,As soon as possible,0.42751,477,2959,0.40321,0.44924
133,133,2001,Rural regions,Next year,0.21607,240,2959,0.19741,0.23627
134,134,2001,Rural regions,In the next 2 to 5 years,0.25467,297,2959,0.23129,0.27752
135,135,2001,Rural regions,"In the distant future, in more than five years",0.10175,111,2959,0.09041,0.11419
136,136,2002,Urban regions,As soon as possible,0.34748,607,3162,0.32586,0.36958
137,137,2002,Urban regions,Next year,0.22188,425,3162,0.20603,0.23674
138,138,2002,Urban regions,In the next 2 to 5 years,0.3144,688,3162,0.29566,0.33258
139,139,2002,Urban regions,"In the distant future, in more than five years",0.11624,288,3162,0.10523,0.1268
140,140,2002,Rural regions,As soon as possible,0.45793,491,3162,0.43243,0.48585
141,141,2002,Rural regions,Next year,0.21138,248,3162,0.19228,0.23148
142,142,2002,Rural regions,In the next 2 to 5 years,0.24639,315,3162,0.22799,0.2704
143,143,2002,Rural regions,"In the distant future, in more than five years",0.0843,100,3162,0.0721,0.0967
144,144,2003,Urban regions,As soon as possible,0.38734,679,3074,0.36713,0.40838
145,145,2003,Urban regions,Next year,0.2235,425,3074,0.20571,0.23914
146,146,2003,Urban regions,In the next 2 to 5 years,0.29792,639,3074,0.28017,0.31617
147,147,2003,Urban regions,"In the distant future, in more than five years",0.09124,232,3074,0.08004,0.10351
148,148,2003,Rural regions,As soon as possible,0.51371,517,3074,0.47927,0.54088
149,149,2003,Rural regions,Next year,0.21207,243,3074,0.18907,0.23353
150,150,2003,Rural regions,In the next 2 to 5 years,0.20747,256,3074,0.18495,0.22782
151,151,2003,Rural regions,"In the distant future, in more than five years",0.06676,83,3074,0.05655,0.078
152,152,2004,Urban regions,As soon as possible,0.41402,720,3167,0.38766,0.44041
153,153,2004,Urban regions,Next year,0.19568,406,3167,0.17981,0.21168
154,154,2004,Urban regions,In the next 2 to 5 years,0.30957,661,3167,0.28896,0.33135
155,155,2004,Urban regions,"In the distant future, in more than five years",0.08073,228,3167,0.07148,0.08946
156,156,2004,Rural regions,As soon as possible,0.49678,538,3167,0.46562,0.52904
157,157,2004,Rural regions,Next year,0.20025,228,3167,0.17487,0.22397
158,158,2004,Rural regions,In the next 2 to 5 years,0.22838,284,3167,0.20594,0.25372
159,159,2004,Rural regions,"In the distant future, in more than five years",0.07459,102,3167,0.06312,0.08937
160,160,2005,Urban regions,As soon as possible,0.4106,702,3062,0.383,0.44024
161,161,2005,Urban regions,Next year,0.20412,409,3062,0.18929,0.22139
162,162,2005,Urban regions,In the next 2 to 5 years,0.28662,611,3062,0.26709,0.30706
163,163,2005,Urban regions,"In the distant future, in more than five years",0.09866,246,3062,0.0883,0.11176
164,164,2005,Rural regions,As soon as possible,0.53138,531,3062,0.49347,0.5743
165,165,2005,Rural regions,Next year,0.16959,203,3062,0.15059,0.19088
166,166,2005,Rural regions,In the next 2 to 5 years,0.23487,271,3062,0.21055,0.2587
167,167,2005,Rural regions,"In the distant future, in more than five years",0.06416,89,3062,0.05331,0.07716
168,168,2006,Urban regions,As soon as possible,0.42941,745,3050,0.40653,0.45268
169,169,2006,Urban regions,Next year,0.20118,385,3050,0.18666,0.21867
170,170,2006,Urban regions,In the next 2 to 5 years,0.29353,621,3050,0.26875,0.31539
171,171,2006,Urban regions,"In the distant future, in more than five years",0.07588,192,3050,0.06705,0.08607
172,172,2006,Rural regions,As soon as possible,0.52573,532,3050,0.49259,0.55851
173,173,2006,Rural regions,Next year,0.1885,217,3050,0.16813,0.20899
174,174,2006,Rural regions,In the next 2 to 5 years,0.23194,282,3050,0.20604,0.25675
175,175,2006,Rural regions,"In the distant future, in more than five years",0.05384,76,3050,0.04515,0.06318
176,176,2007,Urban regions,As soon as possible,0.41144,588,2556,0.38673,0.43603
177,177,2007,Urban regions,Next year,0.23936,364,2556,0.21586,0.26146
178,178,2007,Urban regions,In the next 2 to 5 years,0.26343,525,2556,0.24341,0.28532
179,179,2007,Urban regions,"In the distant future, in more than five years",0.08578,170,2556,0.07606,0.09817
180,180,2007,Rural regions,As soon as possible,0.51339,430,2556,0.47327,0.55386
181,181,2007,Rural regions,Next year,0.18391,177,2556,0.16052,0.21028
182,182,2007,Rural regions,In the next 2 to 5 years,0.26766,251,2556,0.2394,0.29901
183,183,2007,Rural regions,"In the distant future, in more than five years",0.03504,51,2556,0.0282,0.04125
184,184,2008,Urban regions,As soon as possible,0.39384,464,2257,0.36411,0.4242
185,185,2008,Urban regions,Next year,0.21381,322,2257,0.19559,0.23519
186,186,2008,Urban regions,In the next 2 to 5 years,0.29845,484,2257,0.26867,0.32516
187,187,2008,Urban regions,"In the distant future, in more than five years",0.09391,169,2257,0.08112,0.10796
188,188,2008,Rural regions,As soon as possible,0.46778,366,2257,0.42437,0.50943
189,189,2008,Rural regions,Next year,0.22682,190,2257,0.19479,0.2558
190,190,2008,Rural regions,In the next 2 to 5 years,0.23143,196,2257,0.20016,0.26767
191,191,2008,Rural regions,"In the distant future, in more than five years",0.07397,66,2257,0.05956,0.09445
192,192,2009,Urban regions,As soon as possible,0.40744,471,2068,0.37643,0.44102
193,193,2009,Urban regions,Next year,0.22455,295,2068,0.19885,0.25404
194,194,2009,Urban regions,In the next 2 to 5 years,0.29006,421,2068,0.26212,0.32037
195,195,2009,Urban regions,"In the distant future, in more than five years",0.07795,130,2068,0.06831,0.08913
196,196,2009,Rural regions,As soon as possible,0.48115,331,2068,0.43662,0.5223
197,197,2009,Rural regions,Next year,0.21184,177,2068,0.18136,0.24174
198,198,2009,Rural regions,In the next 2 to 5 years,0.22144,185,2068,0.18645,0.26356
199,199,2009,Rural regions,"In the distant future, in more than five years",0.08557,58,2068,0.06007,0.11516
200,200,2010,Urban regions,As soon as possible,0.39199,814,4356,0.35602,0.43278
201,201,2010,Urban regions,Next year,0.25564,867,4356,0.22313,0.28524
202,202,2010,Urban regions,In the next 2 to 5 years,0.2664,935,4356,0.23927,0.29661
203,203,2010,Urban regions,"In the distant future, in more than five years",0.08596,280,4356,0.07356,0.1009
204,204,2010,Rural regions,As soon as possible,0.46541,522,4356,0.40607,0.51183
205,205,2010,Rural regions,Next year,0.22718,403,4356,0.19816,0.2637
206,206,2010,Rural regions,In the next 2 to 5 years,0.23242,401,4356,0.19857,0.26901
207,207,2010,Rural regions,"In the distant future, in more than five years",0.07499,134,4356,0.06031,0.09558
208,208,2011,Urban regions,As soon as possible,0.34321,800,4256,0.31654,0.37176
209,209,2011,Urban regions,Next year,0.23198,715,4256,0.21102,0.25162
210,210,2011,Urban regions,In the next 2 to 5 years,0.32884,943,4256,0.30674,0.35842
211,211,2011,Urban regions,"In the distant future, in more than five years",0.09596,306,4256,0.08444,0.10665
212,212,2011,Rural regions,As soon as possible,0.45756,586,4256,0.4124,0.49245
213,213,2011,Rural regions,Next year,0.22312,400,4256,0.20043,0.24895
214,214,2011,Rural regions,In the next 2 to 5 years,0.24034,378,4256,0.20635,0.28008
215,215,2011,Rural regions,"In the distant future, in more than five years",0.07898,128,4256,0.06355,0.09977
216,216,2012,Urban regions,As soon as possible,0.35138,760,3889,0.32306,0.38324
217,217,2012,Urban regions,Next year,0.2684,708,3889,0.24546,0.2959
218,218,2012,Urban regions,In the next 2 to 5 years,0.2906,775,3889,0.26864,0.31431
219,219,2012,Urban regions,"In the distant future, in more than five years",0.08962,257,3889,0.07565,0.10338
220,220,2012,Rural regions,As soon as possible,0.44269,544,3889,0.40948,0.48922
221,221,2012,Rural regions,Next year,0.24766,366,3889,0.21773,0.27948
222,222,2012,Rural regions,In the next 2 to 5 years,0.22525,326,3889,0.19049,0.2665
223,223,2012,Rural regions,"In the distant future, in more than five years",0.0844,153,3889,0.06723,0.10145
224,224,2013,Urban regions,As soon as possible,0.3395,994,4687,0.31152,0.3654
225,225,2013,Urban regions,Next year,0.28118,855,4687,0.26001,0.3055
226,226,2013,Urban regions,In the next 2 to 5 years,0.29872,1002,4687,0.27805,0.32362
227,227,2013,Urban regions,"In the distant future, in more than five years",0.0806,333,4687,0.07022,0.09093
228,228,2013,Rural regions,As soon as possible,0.42313,594,4687,0.37916,0.46477
229,229,2013,Rural regions,Next year,0.28687,390,4687,0.25103,0.33462
230,230,2013,Rural regions,In the next 2 to 5 years,0.21512,372,4687,0.18689,0.25039
231,231,2013,Rural regions,"In the distant future, in more than five years",0.07488,147,4687,0.06206,0.09208
232,232,2014,Urban regions,As soon as possible,0.3639,825,3818,0.33261,0.4007
233,233,2014,Urban regions,Next year,0.27245,725,3818,0.25244,0.29866
234,234,2014,Urban regions,In the next 2 to 5 years,0.29471,779,3818,0.26906,0.32291
235,235,2014,Urban regions,"In the distant future, in more than five years",0.06894,250,3818,0.06079,0.07823
236,236,2014,Rural regions,As soon as possible,0.44323,501,3818,0.39657,0.49665
237,237,2014,Rural regions,Next year,0.24477,307,3818,0.20858,0.28076
238,238,2014,Rural regions,In the next 2 to 5 years,0.23332,317,3818,0.20035,0.27131
239,239,2014,Rural regions,"In the distant future, in more than five years",0.07867,114,3818,0.06087,0.09864
240,240,2015,Urban regions,As soon as possible,0.36697,810,3915,0.33246,0.39917
241,241,2015,Urban regions,Next year,0.24585,695,3915,0.22191,0.27123
242,242,2015,Urban regions,In the next 2 to 5 years,0.32137,895,3915,0.29689,0.35247
243,243,2015,Urban regions,"In the distant future, in more than five years",0.06581,251,3915,0.05682,0.07363
244,244,2015,Rural regions,As soon as possible,0.38955,454,3915,0.3368,0.45108
245,245,2015,Rural regions,Next year,0.28397,326,3915,0.23558,0.32848
246,246,2015,Rural regions,In the next 2 to 5 years,0.25706,362,3915,0.22194,0.29602
247,247,2015,Rural regions,"In the distant future, in more than five years",0.06943,122,3915,0.05542,0.08426
248,248,2016,Urban regions,As soon as possible,0.32327,1359,5541,0.28623,0.35798
249,249,2016,Urban regions,Next year,0.2821,1064,5541,0.25118,0.31193
250,250,2016,Urban regions,In the next 2 to 5 years,0.31263,1103,5541,0.27874,0.34264
251,251,2016,Urban regions,"In the distant future, in more than five years",0.08199,294,5541,0.06787,0.10075
252,252,2016,Rural regions,As soon as possible,0.35629,697,5541,0.3059,0.41481
253,253,2016,Rural regions,Next year,0.28895,455,5541,0.24066,0.3416
254,254,2016,Rural regions,In the next 2 to 5 years,0.28369,448,5541,0.23322,0.34206
255,255,2016,Rural regions,"In the distant future, in more than five years",0.07106,121,5541,0.0507,0.09716
256,256,2017,Urban regions,As soon as possible,0.31083,1442,6290,0.28111,0.33891
257,257,2017,Urban regions,Next year,0.31592,1215,6290,0.28574,0.34874
258,258,2017,Urban regions,In the next 2 to 5 years,0.29427,1368,6290,0.27079,0.3191
259,259,2017,Urban regions,"In the distant future, in more than five years",0.07898,346,6290,0.06537,0.09396
260,260,2017,Rural regions,As soon as possible,0.37238,699,6290,0.31277,0.44033
261,261,2017,Rural regions,Next year,0.29449,582,6290,0.25646,0.33665
262,262,2017,Rural regions,In the next 2 to 5 years,0.27137,487,6290,0.23313,0.32073
263,263,2017,Rural regions,"In the distant future, in more than five years",0.06176,151,6290,0.04706,0.07516
264,264,2018,Urban regions,As soon as possible,0.29429,1292,5570,0.26311,0.32196
265,265,2018,Urban regions,Next year,0.32325,1159,5570,0.29853,0.35391
266,266,2018,Urban regions,In the next 2 to 5 years,0.31466,1179,5570,0.28304,0.34139
267,267,2018,Urban regions,"In the distant future, in more than five years",0.0678,287,5570,0.05463,0.08224
268,268,2018,Rural regions,As soon as possible,0.36675,582,5570,0.31739,0.4234
269,269,2018,Rural regions,Next year,0.33036,499,5570,0.2846,0.38821
270,270,2018,Rural regions,In the next 2 to 5 years,0.23417,459,5570,0.19713,0.27176
271,271,2018,Rural regions,"In the distant future, in more than five years",0.06873,113,5570,0.05001,0.08756
272,272,2019,Urban regions,As soon as possible,0.29239,1084,4600,0.25596,0.32352
273,273,2019,Urban regions,Next year,0.30956,972,4600,0.27973,0.34992
274,274,2019,Urban regions,In the next 2 to 5 years,0.32315,941,4600,0.28346,0.36703
275,275,2019,Urban regions,"In the distant future, in more than five years",0.0749,252,4600,0.0579,0.09395
276,276,2019,Rural regions,As soon as possible,0.31474,454,4600,0.25956,0.36192
277,277,2019,Rural regions,Next year,0.36112,427,4600,0.30102,0.43624
278,278,2019,Rural regions,In the next 2 to 5 years,0.25165,388,4600,0.21042,0.30754
279,279,2019,Rural regions,"In the distant future, in more than five years",0.07248,82,4600,0.05291,0.09835
280,280,2020,Urban regions,As soon as possible,0.28511,1310,4959,0.25772,0.32057
281,281,2020,Urban regions,Next year,0.33775,1035,4959,0.30611,0.37126
282,282,2020,Urban regions,In the next 2 to 5 years,0.3008,1041,4959,0.26634,0.33984
283,283,2020,Urban regions,"In the distant future, in more than five years",0.07634,256,4959,0.06118,0.09316
284,284,2020,Rural regions,As soon as possible,0.35574,504,4959,0.29689,0.4225
285,285,2020,Rural regions,Next year,0.30868,338,4959,0.25545,0.37316
286,286,2020,Rural regions,In the next 2 to 5 years,0.28496,386,4959,0.23132,0.36161
287,287,2020,Rural regions,"In the distant future, in more than five years",0.05062,89,4959,0.03603,0.06604
288,288,2021,Urban regions,As soon as possible,0.27919,722,3026,0.2404,0.32115
289,289,2021,Urban regions,Next year,0.36399,723,3026,0.31942,0.40997
290,290,2021,Urban regions,In the next 2 to 5 years,0.28983,623,3026,0.24853,0.33873
291,291,2021,Urban regions,"In the distant future, in more than five years",0.06698,213,3026,0.05012,0.08961
292,292,2021,Rural regions,As soon as possible,0.27669,237,3026,0.22132,0.35088
293,293,2021,Rural regions,Next year,0.41211,230,3026,0.32313,0.49223
294,294,2021,Rural regions,In the next 2 to 5 years,0.23533,216,3026,0.19129,0.28123
295,295,2021,Rural regions,"In the distant future, in more than five years",0.07587,62,3026,0.04777,0.10287
