year,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,As soon as possible,0.32584,684,1916,0.30485,0.34683
1992,Next year,0.24034,437,1916,0.22121,0.25948
1992,In the next 2 to 5 years,0.31359,582,1916,0.29281,0.33437
1992,"In the distant future, in more than five years",0.12022,213,1916,0.10566,0.13479
1993,As soon as possible,0.35159,719,1919,0.33022,0.37296
1993,Next year,0.21133,407,1919,0.19306,0.22960
1993,In the next 2 to 5 years,0.32607,576,1919,0.30509,0.34705
1993,"In the distant future, in more than five years",0.11101,217,1919,0.09695,0.12507
1994,As soon as possible,0.36294,788,2013,0.34193,0.38395
1994,Next year,0.22641,431,2013,0.20812,0.24469
1994,In the next 2 to 5 years,0.30256,579,2013,0.28248,0.32263
1994,"In the distant future, in more than five years",0.10810,215,2013,0.09453,0.12167
1995,As soon as possible,0.32851,728,2124,0.30853,0.34849
1995,Next year,0.21562,463,2124,0.19812,0.23311
1995,In the next 2 to 5 years,0.33362,681,2124,0.31356,0.35368
1995,"In the distant future, in more than five years",0.12226,252,2124,0.10832,0.13619
1996,As soon as possible,0.33548,766,2130,0.31542,0.35554
1996,Next year,0.22772,483,2130,0.20991,0.24554
1996,In the next 2 to 5 years,0.31556,639,2130,0.29581,0.33530
1996,"In the distant future, in more than five years",0.12124,242,2130,0.10738,0.13511
1997,As soon as possible,0.37042,823,2112,0.34982,0.39103
1997,Next year,0.20424,407,2112,0.18704,0.22144
1997,In the next 2 to 5 years,0.31886,654,2112,0.29898,0.33874
1997,"In the distant future, in more than five years",0.10648,228,2112,0.09332,0.11964
1998,As soon as possible,0.37453,859,2212,0.35436,0.39471
1998,Next year,0.20879,457,2212,0.19184,0.22573
1998,In the next 2 to 5 years,0.29633,634,2212,0.27730,0.31536
1998,"In the distant future, in more than five years",0.12035,262,2212,0.10679,0.13391
1999,As soon as possible,0.35482,688,1922,0.33342,0.37621
1999,Next year,0.21868,420,1922,0.20020,0.23717
1999,In the next 2 to 5 years,0.31657,595,1922,0.29577,0.33737
1999,"In the distant future, in more than five years",0.10993,219,1922,0.09594,0.12392
2000,As soon as possible,0.32900,1098,3337,0.31306,0.34495
2000,Next year,0.22264,734,3337,0.20852,0.23676
2000,In the next 2 to 5 years,0.32576,1085,3337,0.30985,0.34166
2000,"In the distant future, in more than five years",0.12260,420,3337,0.11147,0.13373
2001,As soon as possible,0.34309,992,2959,0.32598,0.36020
2001,Next year,0.23179,652,2959,0.21658,0.24700
2001,In the next 2 to 5 years,0.30757,952,2959,0.29094,0.32421
2001,"In the distant future, in more than five years",0.11754,363,2959,0.10594,0.12915
2002,As soon as possible,0.38525,1098,3162,0.36829,0.40222
2002,Next year,0.21822,673,3162,0.20382,0.23262
2002,In the next 2 to 5 years,0.29121,1003,3162,0.27537,0.30705
2002,"In the distant future, in more than five years",0.10532,388,3162,0.09462,0.11602
2003,As soon as possible,0.43003,1196,3074,0.41252,0.44753
2003,Next year,0.21961,668,3074,0.20497,0.23425
2003,In the next 2 to 5 years,0.26744,895,3074,0.25179,0.28309
2003,"In the distant future, in more than five years",0.08292,315,3074,0.07317,0.09267
2004,As soon as possible,0.44393,1258,3167,0.42662,0.46123
2004,Next year,0.19735,634,3167,0.18349,0.21122
2004,In the next 2 to 5 years,0.28022,945,3167,0.26457,0.29586
2004,"In the distant future, in more than five years",0.07851,330,3167,0.06914,0.08788
2005,As soon as possible,0.45169,1233,3062,0.43406,0.46932
2005,Next year,0.19237,612,3062,0.17841,0.20634
2005,In the next 2 to 5 years,0.26907,882,3062,0.25336,0.28478
2005,"In the distant future, in more than five years",0.08687,335,3062,0.07689,0.09685
2006,As soon as possible,0.46164,1277,3050,0.44394,0.47933
2006,Next year,0.19692,602,3050,0.18281,0.21104
2006,In the next 2 to 5 years,0.27291,903,3050,0.25710,0.28873
2006,"In the distant future, in more than five years",0.06853,268,3050,0.05956,0.07749
2007,As soon as possible,0.44486,1018,2556,0.42559,0.46413
2007,Next year,0.22124,541,2556,0.20515,0.23734
2007,In the next 2 to 5 years,0.26476,776,2556,0.24765,0.28187
2007,"In the distant future, in more than five years",0.06914,221,2556,0.05930,0.07897
2008,As soon as possible,0.41871,830,2257,0.39836,0.43907
2008,Next year,0.21828,512,2257,0.20123,0.23532
2008,In the next 2 to 5 years,0.27587,680,2257,0.25742,0.29431
2008,"In the distant future, in more than five years",0.08714,235,2257,0.07550,0.09878
2009,As soon as possible,0.43191,802,2068,0.41055,0.45326
2009,Next year,0.22039,472,2068,0.20252,0.23826
2009,In the next 2 to 5 years,0.26726,606,2068,0.24818,0.28634
2009,"In the distant future, in more than five years",0.08044,188,2068,0.06872,0.09217
2010,As soon as possible,0.41305,1336,4356,0.39843,0.42768
2010,Next year,0.24761,1270,4356,0.23479,0.26043
2010,In the next 2 to 5 years,0.25664,1336,4356,0.24367,0.26961
2010,"In the distant future, in more than five years",0.08269,414,4356,0.07451,0.09087
2011,As soon as possible,0.37683,1386,4256,0.36227,0.39139
2011,Next year,0.23000,1115,4256,0.21735,0.24264
2011,In the next 2 to 5 years,0.30231,1321,4256,0.28851,0.31611
2011,"In the distant future, in more than five years",0.09086,434,4256,0.08222,0.09950
2012,As soon as possible,0.38040,1304,3889,0.36514,0.39566
2012,Next year,0.26208,1074,3889,0.24825,0.27590
2012,In the next 2 to 5 years,0.26982,1101,3889,0.25587,0.28377
2012,"In the distant future, in more than five years",0.08771,410,3889,0.07881,0.09660
2013,As soon as possible,0.36668,1588,4687,0.35289,0.38048
2013,Next year,0.28327,1245,4687,0.27037,0.29618
2013,In the next 2 to 5 years,0.27120,1374,4687,0.25847,0.28393
2013,"In the distant future, in more than five years",0.07884,480,4687,0.07113,0.08656
2014,As soon as possible,0.38726,1326,3818,0.37180,0.40271
2014,Next year,0.26356,1032,3818,0.24958,0.27754
2014,In the next 2 to 5 years,0.27720,1096,3818,0.26300,0.29140
2014,"In the distant future, in more than five years",0.07198,364,3818,0.06378,0.08018
2015,As soon as possible,0.37404,1264,3915,0.35888,0.38920
2015,Next year,0.25593,1021,3915,0.24226,0.26960
2015,In the next 2 to 5 years,0.30284,1257,3915,0.28845,0.31724
2015,"In the distant future, in more than five years",0.06719,373,3915,0.05935,0.07504
2016,As soon as possible,0.33179,2056,5541,0.31939,0.34419
2016,Next year,0.28513,1519,5541,0.27324,0.29702
2016,In the next 2 to 5 years,0.30389,1551,5541,0.29177,0.31600
2016,"In the distant future, in more than five years",0.07920,415,5541,0.07209,0.08631
2017,As soon as possible,0.32742,2141,6290,0.31582,0.33902
2017,Next year,0.31070,1797,6290,0.29926,0.32213
2017,In the next 2 to 5 years,0.28788,1855,6290,0.27669,0.29907
2017,"In the distant future, in more than five years",0.07401,497,6290,0.06754,0.08048
2018,As soon as possible,0.31337,1874,5570,0.30119,0.32556
2018,Next year,0.32560,1658,5570,0.31329,0.33791
2018,In the next 2 to 5 years,0.29243,1638,5570,0.28048,0.30437
2018,"In the distant future, in more than five years",0.06860,400,5570,0.06196,0.07524
2019,As soon as possible,0.29956,1560,4675,0.28643,0.31269
2019,Next year,0.32226,1425,4675,0.30887,0.33566
2019,In the next 2 to 5 years,0.30254,1350,4675,0.28937,0.31571
2019,"In the distant future, in more than five years",0.07564,340,4675,0.06806,0.08322
2020,As soon as possible,0.30542,1814,4959,0.29259,0.31824
2020,Next year,0.33148,1373,4959,0.31838,0.34458
2020,In the next 2 to 5 years,0.29510,1427,4959,0.28240,0.30779
2020,"In the distant future, in more than five years",0.06801,345,4959,0.06100,0.07502
2021,As soon as possible,0.28003,959,3026,0.26403,0.29603
2021,Next year,0.37500,953,3026,0.35775,0.39225
2021,In the next 2 to 5 years,0.27498,839,3026,0.25907,0.29089
2021,"In the distant future, in more than five years",0.07000,275,3026,0.06090,0.07909
2022,As soon as possible,0.23393,928,3367,0.21963,0.24823
2022,Next year,0.39943,1205,3367,0.38288,0.41597
2022,In the next 2 to 5 years,0.30214,974,3367,0.28663,0.31766
2022,"In the distant future, in more than five years",0.06450,260,3367,0.05620,0.07280
