year,bula_h,quintil_oecd,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1989,North Rhine-Westphalia,3rd Quintile,In the next 2 to 5 years,0.43442,33,33,0.26268,0.60617
1989,Baden-Wuerttemberg,2nd Quintile,In the next 2 to 5 years,0.48742,36,36,0.32182,0.65302
1990,North Rhine-Westphalia,1st Quintile,As soon as possible,0.35810,55,135,0.27692,0.43928
1990,North Rhine-Westphalia,1st Quintile,Next year,0.17235,31,135,0.10840,0.23630
1990,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.33413,49,135,0.25427,0.41400
1990,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.45773,41,41,0.30333,0.61212
1991,North Rhine-Westphalia,1st Quintile,As soon as possible,0.40512,39,39,0.24903,0.56120
1991,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.38763,35,35,0.22386,0.55140
1992,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.41684,42,42,0.26592,0.56776
1992,Brandenburg,1st Quintile,As soon as possible,0.59741,39,39,0.44148,0.75334
1992,Saxony,1st Quintile,As soon as possible,0.64860,59,59,0.52574,0.77147
1992,Thuringa,1st Quintile,As soon as possible,0.59312,37,37,0.43265,0.75360
1993,North Rhine-Westphalia,1st Quintile,As soon as possible,0.32135,33,71,0.21195,0.43075
1993,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.37764,38,71,0.26407,0.49121
1993,North Rhine-Westphalia,4th Quintile,In the next 2 to 5 years,0.48137,31,31,0.30257,0.66017
1993,Saxony,1st Quintile,As soon as possible,0.65979,54,54,0.53223,0.78734
1993,Saxony,2nd Quintile,As soon as possible,0.63280,34,34,0.46834,0.79727
1993,Saxony-Anhalt,1st Quintile,As soon as possible,0.74839,36,36,0.60462,0.89215
1993,Saxony-Anhalt,2nd Quintile,As soon as possible,0.70927,33,33,0.55193,0.86660
1994,North Rhine-Westphalia,1st Quintile,As soon as possible,0.32633,46,112,0.23910,0.41356
1994,North Rhine-Westphalia,1st Quintile,Next year,0.33982,32,112,0.25170,0.42793
1994,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.27202,34,112,0.18923,0.35480
1994,North Rhine-Westphalia,2nd Quintile,As soon as possible,0.29074,34,65,0.17948,0.40199
1994,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.35477,31,65,0.23755,0.47199
1994,Saxony,1st Quintile,As soon as possible,0.55617,41,41,0.40220,0.71014
1994,Saxony,2nd Quintile,As soon as possible,0.61985,42,42,0.47126,0.76844
1994,Saxony-Anhalt,1st Quintile,As soon as possible,0.84930,35,35,0.72904,0.96955
1994,Thuringa,1st Quintile,As soon as possible,0.69532,40,40,0.55087,0.83978
1995,North Rhine-Westphalia,1st Quintile,As soon as possible,0.27896,49,134,0.20274,0.35519
1995,North Rhine-Westphalia,1st Quintile,Next year,0.25115,31,134,0.17744,0.32485
1995,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.32849,54,134,0.24867,0.40831
1995,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.32624,33,33,0.16380,0.48869
1995,Baden-Wuerttemberg,1st Quintile,In the next 2 to 5 years,0.44095,36,36,0.27646,0.60545
1995,Saxony,1st Quintile,As soon as possible,0.53526,38,38,0.37455,0.69597
1995,Saxony,2nd Quintile,As soon as possible,0.54022,31,31,0.36188,0.71856
1996,North Rhine-Westphalia,1st Quintile,As soon as possible,0.34902,52,124,0.26478,0.43326
1996,North Rhine-Westphalia,1st Quintile,Next year,0.22978,32,124,0.15543,0.30413
1996,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.28391,40,124,0.20423,0.36360
1996,North Rhine-Westphalia,2nd Quintile,As soon as possible,0.30765,31,63,0.19277,0.42253
1996,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.32257,32,63,0.20621,0.43893
1996,North Rhine-Westphalia,3rd Quintile,In the next 2 to 5 years,0.40943,31,31,0.23347,0.58539
1996,Baden-Wuerttemberg,1st Quintile,As soon as possible,0.35449,40,74,0.24476,0.46423
1996,Baden-Wuerttemberg,1st Quintile,In the next 2 to 5 years,0.43030,34,74,0.31672,0.54388
1996,Saxony,1st Quintile,As soon as possible,0.48261,33,33,0.30948,0.65575
1997,North Rhine-Westphalia,1st Quintile,As soon as possible,0.37296,58,98,0.27672,0.46920
1997,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.31888,40,98,0.22613,0.41162
1997,North Rhine-Westphalia,2nd Quintile,As soon as possible,0.35415,33,69,0.24047,0.46782
1997,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.41298,36,69,0.29595,0.53001
1997,Baden-Wuerttemberg,1st Quintile,As soon as possible,0.29192,36,72,0.18616,0.39767
1997,Baden-Wuerttemberg,1st Quintile,In the next 2 to 5 years,0.49679,36,72,0.38049,0.61309
1997,Saxony,1st Quintile,As soon as possible,0.54341,35,35,0.37598,0.71085
1998,North Rhine-Westphalia,1st Quintile,As soon as possible,0.47099,73,109,0.37685,0.56513
1998,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.23130,36,109,0.15177,0.31082
1998,Baden-Wuerttemberg,1st Quintile,As soon as possible,0.38872,37,72,0.27534,0.50211
1998,Baden-Wuerttemberg,1st Quintile,In the next 2 to 5 years,0.40305,35,72,0.28895,0.51714
1998,Saxony,2nd Quintile,As soon as possible,0.68200,35,35,0.52546,0.83854
1999,North Rhine-Westphalia,1st Quintile,As soon as possible,0.39360,50,88,0.29094,0.49626
1999,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.28110,38,88,0.18664,0.37556
1999,North Rhine-Westphalia,2nd Quintile,As soon as possible,0.38769,38,38,0.23070,0.54468
1999,Baden-Wuerttemberg,1st Quintile,As soon as possible,0.45312,34,34,0.28328,0.62297
1999,Saxony,1st Quintile,As soon as possible,0.55280,35,35,0.38567,0.71993
1999,Saxony,2nd Quintile,As soon as possible,0.62051,39,39,0.46622,0.77480
2000,North Rhine-Westphalia,1st Quintile,As soon as possible,0.44536,47,47,0.30173,0.58899
2000,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.37259,31,31,0.19957,0.54560
2000,Baden-Wuerttemberg,1st Quintile,In the next 2 to 5 years,0.43811,34,34,0.26882,0.60739
2000,Saxony,1st Quintile,As soon as possible,0.55389,38,38,0.39372,0.71406
2000,Saxony,2nd Quintile,As soon as possible,0.58927,34,34,0.42141,0.75712
2000,Thuringa,1st Quintile,As soon as possible,0.68276,32,32,0.51893,0.84659
2001,North Rhine-Westphalia,1st Quintile,As soon as possible,0.36826,69,167,0.29488,0.44163
2001,North Rhine-Westphalia,1st Quintile,Next year,0.23684,37,167,0.17216,0.30151
2001,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.30256,61,167,0.23268,0.37244
2001,North Rhine-Westphalia,2nd Quintile,As soon as possible,0.28193,33,76,0.18009,0.38376
2001,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.34530,43,76,0.23769,0.45291
2001,North Rhine-Westphalia,3rd Quintile,Next year,0.28102,31,69,0.17418,0.38786
2001,North Rhine-Westphalia,3rd Quintile,In the next 2 to 5 years,0.36186,38,69,0.24765,0.47608
2001,North Rhine-Westphalia,4th Quintile,In the next 2 to 5 years,0.40811,41,41,0.25580,0.56043
2001,North Rhine-Westphalia,5th Quintile,In the next 2 to 5 years,0.45156,32,32,0.27637,0.62674
2001,Baden-Wuerttemberg,1st Quintile,In the next 2 to 5 years,0.35903,34,34,0.19536,0.52271
2001,Bavaria,4th Quintile,In the next 2 to 5 years,0.39298,33,33,0.22376,0.56221
2001,Brandenburg,1st Quintile,As soon as possible,0.75342,41,41,0.61985,0.88699
2001,Saxony,1st Quintile,As soon as possible,0.54484,60,91,0.44195,0.64772
2001,Saxony,1st Quintile,Next year,0.25369,31,91,0.16379,0.34359
2001,Saxony,2nd Quintile,As soon as possible,0.51492,42,42,0.36194,0.66790
2001,Saxony-Anhalt,1st Quintile,As soon as possible,0.74442,40,40,0.60753,0.88132
2001,Thuringa,1st Quintile,As soon as possible,0.70168,52,52,0.57611,0.82725
2002,Lower Saxony,1st Quintile,As soon as possible,0.56349,35,35,0.39678,0.73020
2002,North Rhine-Westphalia,1st Quintile,As soon as possible,0.45225,79,169,0.37699,0.52751
2002,North Rhine-Westphalia,1st Quintile,Next year,0.20315,38,169,0.14231,0.26399
2002,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.27630,52,169,0.20868,0.34392
2002,North Rhine-Westphalia,2nd Quintile,As soon as possible,0.28098,32,114,0.19811,0.36386
2002,North Rhine-Westphalia,2nd Quintile,Next year,0.29650,40,114,0.21229,0.38071
2002,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.33569,42,114,0.24862,0.42276
2002,North Rhine-Westphalia,3rd Quintile,In the next 2 to 5 years,0.33862,41,41,0.19196,0.48528
2002,North Rhine-Westphalia,4th Quintile,In the next 2 to 5 years,0.32762,31,31,0.15967,0.49558
2002,Bavaria,1st Quintile,As soon as possible,0.42592,33,33,0.25459,0.59725
2002,Bavaria,2nd Quintile,In the next 2 to 5 years,0.45336,31,31,0.27521,0.63150
2002,Berlin,1st Quintile,As soon as possible,0.58413,32,32,0.41062,0.75763
2002,Brandenburg,1st Quintile,As soon as possible,0.68346,40,40,0.53748,0.82944
2002,Saxony,1st Quintile,As soon as possible,0.56942,65,65,0.44810,0.69073
2002,Saxony-Anhalt,1st Quintile,As soon as possible,0.71067,53,53,0.58742,0.83392
2002,Thuringa,1st Quintile,As soon as possible,0.59792,38,38,0.43993,0.75591
2003,Lower Saxony,1st Quintile,As soon as possible,0.62226,39,39,0.46810,0.77641
2003,North Rhine-Westphalia,1st Quintile,As soon as possible,0.51268,85,139,0.42929,0.59608
2003,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.29732,54,139,0.22105,0.37358
2003,North Rhine-Westphalia,2nd Quintile,As soon as possible,0.39093,47,115,0.30135,0.48050
2003,North Rhine-Westphalia,2nd Quintile,Next year,0.29773,34,115,0.21379,0.38167
2003,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.23816,34,115,0.15996,0.31635
2003,North Rhine-Westphalia,3rd Quintile,In the next 2 to 5 years,0.30489,34,34,0.14782,0.46196
2003,North Rhine-Westphalia,5th Quintile,In the next 2 to 5 years,0.36495,48,48,0.22732,0.50259
2003,Baden-Wuerttemberg,5th Quintile,In the next 2 to 5 years,0.44064,31,31,0.26299,0.61830
2003,Bavaria,1st Quintile,As soon as possible,0.50598,33,33,0.33275,0.67921
2003,Bavaria,5th Quintile,In the next 2 to 5 years,0.36732,42,42,0.21976,0.51489
2003,Brandenburg,1st Quintile,As soon as possible,0.64948,31,31,0.47874,0.82022
2003,Saxony,1st Quintile,As soon as possible,0.58261,68,68,0.46453,0.70069
2003,Saxony,2nd Quintile,As soon as possible,0.46205,41,41,0.30755,0.61656
2003,Saxony-Anhalt,1st Quintile,As soon as possible,0.74159,52,52,0.62145,0.86174
2003,Thuringa,1st Quintile,As soon as possible,0.76358,43,43,0.63508,0.89208
2004,Lower Saxony,1st Quintile,As soon as possible,0.46677,34,34,0.29655,0.63699
2004,North Rhine-Westphalia,1st Quintile,As soon as possible,0.52110,84,156,0.44245,0.59974
2004,North Rhine-Westphalia,1st Quintile,Next year,0.18794,33,156,0.12643,0.24944
2004,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.23348,39,156,0.16688,0.30008
2004,North Rhine-Westphalia,2nd Quintile,As soon as possible,0.41874,50,84,0.31261,0.52488
2004,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.22825,34,84,0.13795,0.31854
2004,North Rhine-Westphalia,3rd Quintile,As soon as possible,0.35038,38,75,0.24167,0.45908
2004,North Rhine-Westphalia,3rd Quintile,In the next 2 to 5 years,0.34623,37,75,0.23783,0.45463
2004,North Rhine-Westphalia,4th Quintile,In the next 2 to 5 years,0.31332,36,36,0.15965,0.46699
2004,North Rhine-Westphalia,5th Quintile,In the next 2 to 5 years,0.40031,51,51,0.26450,0.53612
2004,Baden-Wuerttemberg,1st Quintile,As soon as possible,0.47552,32,32,0.29972,0.65132
2004,Bavaria,1st Quintile,As soon as possible,0.42634,37,37,0.26479,0.58789
2004,Bavaria,5th Quintile,In the next 2 to 5 years,0.35495,48,48,0.21815,0.49175
2004,Berlin,1st Quintile,As soon as possible,0.61162,40,40,0.45865,0.76458
2004,Brandenburg,1st Quintile,As soon as possible,0.66254,40,40,0.51414,0.81095
2004,Saxony,1st Quintile,As soon as possible,0.58149,64,64,0.45967,0.70330
2004,Saxony,2nd Quintile,As soon as possible,0.51800,33,33,0.34487,0.69113
2004,Saxony-Anhalt,1st Quintile,As soon as possible,0.60679,45,45,0.46245,0.75112
2004,Thuringa,1st Quintile,As soon as possible,0.64088,41,41,0.49221,0.78956
2005,Lower Saxony,1st Quintile,As soon as possible,0.77271,33,33,0.62750,0.91791
2005,North Rhine-Westphalia,1st Quintile,As soon as possible,0.55303,96,169,0.47785,0.62822
2005,North Rhine-Westphalia,1st Quintile,Next year,0.18370,31,169,0.12514,0.24225
2005,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.21141,42,169,0.14966,0.27315
2005,North Rhine-Westphalia,2nd Quintile,As soon as possible,0.52952,57,57,0.39879,0.66025
2005,North Rhine-Westphalia,3rd Quintile,In the next 2 to 5 years,0.40478,41,41,0.25267,0.55690
2005,North Rhine-Westphalia,5th Quintile,In the next 2 to 5 years,0.37247,44,44,0.22796,0.51697
2005,"Rhineland-Palatinate, Saarland",1st Quintile,As soon as possible,0.71625,32,32,0.55756,0.87495
2005,Baden-Wuerttemberg,1st Quintile,In the next 2 to 5 years,0.36392,37,37,0.20675,0.52108
2005,Baden-Wuerttemberg,3rd Quintile,In the next 2 to 5 years,0.53263,33,33,0.35975,0.70550
2005,Bavaria,1st Quintile,As soon as possible,0.52988,40,40,0.37324,0.68653
2005,Bavaria,5th Quintile,In the next 2 to 5 years,0.38149,37,37,0.22281,0.54017
2005,Berlin,1st Quintile,As soon as possible,0.57117,41,41,0.41780,0.72454
2005,Brandenburg,1st Quintile,As soon as possible,0.69773,38,38,0.54976,0.84571
2005,Saxony,1st Quintile,As soon as possible,0.59253,72,72,0.47823,0.70682
2005,Saxony,2nd Quintile,As soon as possible,0.39843,31,31,0.22323,0.57362
2005,Saxony-Anhalt,1st Quintile,As soon as possible,0.66955,47,47,0.53361,0.80548
2005,Thuringa,1st Quintile,As soon as possible,0.65482,53,53,0.52560,0.78404
2006,North Rhine-Westphalia,1st Quintile,As soon as possible,0.62328,117,157,0.54724,0.69932
2006,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.20860,40,157,0.14484,0.27236
2006,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.36737,32,32,0.19766,0.53707
2006,North Rhine-Westphalia,3rd Quintile,As soon as possible,0.41774,36,36,0.25435,0.58113
2006,North Rhine-Westphalia,5th Quintile,In the next 2 to 5 years,0.41414,47,47,0.27180,0.55649
2006,Baden-Wuerttemberg,5th Quintile,In the next 2 to 5 years,0.39537,34,34,0.22855,0.56219
2006,Bavaria,1st Quintile,As soon as possible,0.60838,42,42,0.45897,0.75779
2006,Berlin,1st Quintile,As soon as possible,0.55971,35,35,0.39285,0.72658
2006,Brandenburg,1st Quintile,As soon as possible,0.71429,36,36,0.56463,0.86396
2006,Mecklenburg-Western Pomerania,1st Quintile,As soon as possible,0.71021,34,34,0.55543,0.86500
2006,Saxony,1st Quintile,As soon as possible,0.61106,74,74,0.49922,0.72289
2006,Saxony-Anhalt,1st Quintile,As soon as possible,0.73355,44,44,0.60141,0.86570
2006,Thuringa,1st Quintile,As soon as possible,0.73813,40,40,0.60014,0.87611
2007,North Rhine-Westphalia,1st Quintile,As soon as possible,0.53260,98,165,0.45623,0.60896
2007,North Rhine-Westphalia,1st Quintile,Next year,0.21355,31,165,0.15083,0.27627
2007,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.19194,36,165,0.13166,0.25222
2007,North Rhine-Westphalia,2nd Quintile,As soon as possible,0.42254,38,69,0.30513,0.53995
2007,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.27746,31,69,0.17103,0.38388
2007,North Rhine-Westphalia,5th Quintile,In the next 2 to 5 years,0.41805,34,34,0.24976,0.58634
2007,"Rhineland-Palatinate, Saarland",1st Quintile,As soon as possible,0.65492,32,32,0.48757,0.82227
2007,Baden-Wuerttemberg,5th Quintile,In the next 2 to 5 years,0.42736,36,36,0.26347,0.59125
2007,Bavaria,1st Quintile,As soon as possible,0.54610,33,33,0.37359,0.71860
2007,Brandenburg,1st Quintile,As soon as possible,0.82647,49,49,0.71933,0.93361
2007,Saxony,1st Quintile,As soon as possible,0.54965,59,59,0.42160,0.67769
2007,Saxony-Anhalt,1st Quintile,As soon as possible,0.63492,39,39,0.48184,0.78800
2007,Thuringa,1st Quintile,As soon as possible,0.77893,50,50,0.66274,0.89512
2008,North Rhine-Westphalia,1st Quintile,As soon as possible,0.50434,79,120,0.41450,0.59417
2008,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.24424,41,120,0.16705,0.32144
2008,North Rhine-Westphalia,2nd Quintile,As soon as possible,0.41686,31,31,0.24043,0.59329
2008,North Rhine-Westphalia,5th Quintile,In the next 2 to 5 years,0.39023,32,32,0.21851,0.56195
2008,Baden-Wuerttemberg,5th Quintile,In the next 2 to 5 years,0.43095,31,31,0.25374,0.60816
2008,Berlin,1st Quintile,As soon as possible,0.58316,33,33,0.41233,0.75399
2008,Brandenburg,1st Quintile,As soon as possible,0.86771,49,49,0.77187,0.96356
2008,Mecklenburg-Western Pomerania,1st Quintile,As soon as possible,0.78732,31,31,0.64089,0.93375
2008,Saxony,1st Quintile,As soon as possible,0.51028,44,44,0.36086,0.65970
2008,Saxony-Anhalt,1st Quintile,As soon as possible,0.70521,33,33,0.54723,0.86319
2008,Thuringa,1st Quintile,As soon as possible,0.64117,40,40,0.49063,0.79171
2009,North Rhine-Westphalia,1st Quintile,As soon as possible,0.44390,68,138,0.36070,0.52710
2009,North Rhine-Westphalia,1st Quintile,Next year,0.21828,32,138,0.14911,0.28745
2009,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.29640,38,138,0.21993,0.37288
2009,North Rhine-Westphalia,5th Quintile,In the next 2 to 5 years,0.32973,31,31,0.16150,0.49796
2009,Baden-Wuerttemberg,1st Quintile,In the next 2 to 5 years,0.43557,31,31,0.25814,0.61301
2009,Bavaria,1st Quintile,As soon as possible,0.50170,31,31,0.32278,0.68062
2009,Brandenburg,1st Quintile,As soon as possible,0.70940,36,36,0.55898,0.85982
2009,Saxony,1st Quintile,As soon as possible,0.63014,45,45,0.48749,0.77279
2010,North Rhine-Westphalia,1st Quintile,As soon as possible,0.63272,70,70,0.51898,0.74647
2010,Saxony,1st Quintile,As soon as possible,0.64044,38,38,0.48581,0.79506
2010,Thuringa,1st Quintile,As soon as possible,0.59607,32,32,0.42334,0.76881
2011,Lower Saxony,1st Quintile,As soon as possible,0.32430,45,123,0.24123,0.40737
2011,Lower Saxony,1st Quintile,Next year,0.31634,40,123,0.23381,0.39886
2011,Lower Saxony,1st Quintile,In the next 2 to 5 years,0.26968,38,123,0.19092,0.34843
2011,North Rhine-Westphalia,1st Quintile,As soon as possible,0.46504,113,307,0.40915,0.52092
2011,North Rhine-Westphalia,1st Quintile,Next year,0.22272,69,307,0.17610,0.26933
2011,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.21943,88,307,0.17306,0.26581
2011,North Rhine-Westphalia,1st Quintile,"In the distant future, in more than five years",0.09282,37,307,0.06030,0.12533
2011,North Rhine-Westphalia,2nd Quintile,As soon as possible,0.39599,41,126,0.31026,0.48173
2011,North Rhine-Westphalia,2nd Quintile,Next year,0.20216,39,126,0.13175,0.27256
2011,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.36861,46,126,0.28404,0.45318
2011,North Rhine-Westphalia,4th Quintile,In the next 2 to 5 years,0.42601,39,39,0.26878,0.58324
2011,Baden-Wuerttemberg,1st Quintile,As soon as possible,0.36670,31,75,0.25690,0.47650
2011,Baden-Wuerttemberg,1st Quintile,In the next 2 to 5 years,0.28049,44,75,0.17813,0.38284
2011,Baden-Wuerttemberg,2nd Quintile,In the next 2 to 5 years,0.48364,31,31,0.30481,0.66247
2011,Baden-Wuerttemberg,3rd Quintile,In the next 2 to 5 years,0.48426,31,31,0.30543,0.66310
2011,Baden-Wuerttemberg,4th Quintile,In the next 2 to 5 years,0.57242,31,31,0.39539,0.74946
2011,Bavaria,1st Quintile,As soon as possible,0.45077,48,92,0.34853,0.55300
2011,Bavaria,1st Quintile,Next year,0.29381,44,92,0.20022,0.38740
2011,Bavaria,2nd Quintile,As soon as possible,0.38860,34,34,0.22230,0.55491
2011,Bavaria,3rd Quintile,In the next 2 to 5 years,0.51929,40,40,0.36248,0.67610
2011,Berlin,1st Quintile,As soon as possible,0.61622,33,33,0.44773,0.78472
2011,Brandenburg,1st Quintile,As soon as possible,0.80128,61,61,0.70031,0.90225
2011,Saxony,1st Quintile,As soon as possible,0.53835,68,105,0.44254,0.63417
2011,Saxony,1st Quintile,Next year,0.26272,37,105,0.17814,0.34731
2011,Saxony-Anhalt,1st Quintile,As soon as possible,0.70147,51,51,0.57462,0.82831
2011,Thuringa,1st Quintile,As soon as possible,0.82939,34,34,0.70104,0.95773
2012,Schleswig-Holstein,1st Quintile,In the next 2 to 5 years,0.47311,35,35,0.30528,0.64093
2012,Lower Saxony,1st Quintile,As soon as possible,0.45014,51,86,0.34437,0.55591
2012,Lower Saxony,1st Quintile,Next year,0.31446,35,86,0.21576,0.41317
2012,North Rhine-Westphalia,1st Quintile,As soon as possible,0.41563,142,386,0.36640,0.46486
2012,North Rhine-Westphalia,1st Quintile,Next year,0.23153,100,386,0.18939,0.27366
2012,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.28741,113,386,0.24221,0.33262
2012,North Rhine-Westphalia,1st Quintile,"In the distant future, in more than five years",0.06543,31,386,0.04073,0.09013
2012,North Rhine-Westphalia,2nd Quintile,As soon as possible,0.54310,47,121,0.45397,0.63223
2012,North Rhine-Westphalia,2nd Quintile,Next year,0.21251,41,121,0.13931,0.28570
2012,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.15025,33,121,0.08632,0.21418
2012,North Rhine-Westphalia,4th Quintile,In the next 2 to 5 years,0.30396,32,32,0.14204,0.46588
2012,"Rhineland-Palatinate, Saarland",1st Quintile,As soon as possible,0.39582,34,34,0.22897,0.56267
2012,Baden-Wuerttemberg,1st Quintile,As soon as possible,0.49406,42,81,0.38450,0.60362
2012,Baden-Wuerttemberg,1st Quintile,In the next 2 to 5 years,0.30276,39,81,0.20207,0.40344
2012,Baden-Wuerttemberg,2nd Quintile,In the next 2 to 5 years,0.43622,35,35,0.26952,0.60291
2012,Baden-Wuerttemberg,3rd Quintile,In the next 2 to 5 years,0.40221,32,32,0.22960,0.57483
2012,Bavaria,1st Quintile,As soon as possible,0.48020,51,121,0.39081,0.56960
2012,Bavaria,1st Quintile,Next year,0.21096,32,121,0.13796,0.28396
2012,Bavaria,1st Quintile,In the next 2 to 5 years,0.20713,38,121,0.13462,0.27963
2012,Bavaria,2nd Quintile,In the next 2 to 5 years,0.39894,32,32,0.22656,0.57132
