year,migback,regtyp,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,No migration background,Rural regions,Next year,0.16126,43,237,0.11433,0.20818
1986,No migration background,Rural regions,In the next 2 to 5 years,0.25495,61,237,0.19934,0.31056
1986,No migration background,Rural regions,"In the distant future, in more than five years",0.21467,52,237,0.16228,0.26706
1986,Direct migration background,Urban regions,As soon as possible,0.47932,187,399,0.43024,0.52841
1986,Direct migration background,Urban regions,Next year,0.14107,68,399,0.10687,0.17527
1986,Direct migration background,Urban regions,In the next 2 to 5 years,0.25625,106,399,0.21335,0.29914
1986,Direct migration background,Urban regions,"In the distant future, in more than five years",0.12336,38,399,0.09105,0.15567
1986,Direct migration background,Rural regions,As soon as possible,0.41932,32,32,0.24561,0.59302
1987,No migration background,Urban regions,As soon as possible,0.25293,183,809,0.22296,0.28290
1987,No migration background,Urban regions,Next year,0.22712,187,809,0.19823,0.25600
1987,No migration background,Urban regions,In the next 2 to 5 years,0.34620,293,809,0.31340,0.37901
1987,No migration background,Urban regions,"In the distant future, in more than five years",0.17375,146,809,0.14763,0.19988
1987,No migration background,Rural regions,As soon as possible,0.35597,82,235,0.29462,0.41732
1987,No migration background,Rural regions,Next year,0.20545,51,235,0.15368,0.25722
1987,No migration background,Rural regions,In the next 2 to 5 years,0.27157,63,235,0.21458,0.32855
1987,No migration background,Rural regions,"In the distant future, in more than five years",0.16701,39,235,0.11922,0.21480
1987,Direct migration background,Urban regions,As soon as possible,0.48661,189,406,0.43793,0.53529
1987,Direct migration background,Urban regions,Next year,0.18551,85,406,0.14765,0.22337
1987,Direct migration background,Urban regions,In the next 2 to 5 years,0.22580,85,406,0.18508,0.26652
1987,Direct migration background,Urban regions,"In the distant future, in more than five years",0.10208,47,406,0.07259,0.13157
1987,Direct migration background,Rural regions,As soon as possible,0.52206,34,34,0.35163,0.69249
1988,No migration background,Urban regions,As soon as possible,0.22745,154,764,0.19771,0.25720
1988,No migration background,Urban regions,Next year,0.24124,180,764,0.21089,0.27160
1988,No migration background,Urban regions,In the next 2 to 5 years,0.36986,295,764,0.33561,0.40412
1988,No migration background,Urban regions,"In the distant future, in more than five years",0.16144,135,764,0.13534,0.18755
1988,No migration background,Rural regions,As soon as possible,0.32169,70,199,0.25662,0.38676
1988,No migration background,Rural regions,Next year,0.27063,61,199,0.20875,0.33252
1988,No migration background,Rural regions,In the next 2 to 5 years,0.28522,68,199,0.22232,0.34811
1988,Direct migration background,Urban regions,As soon as possible,0.40947,172,383,0.36016,0.45879
1988,Direct migration background,Urban regions,Next year,0.19947,78,383,0.15940,0.23954
1988,Direct migration background,Urban regions,In the next 2 to 5 years,0.27542,93,383,0.23062,0.32022
1988,Direct migration background,Urban regions,"In the distant future, in more than five years",0.11564,40,383,0.08357,0.14771
1988,Indirect migration background,Urban regions,In the next 2 to 5 years,0.38359,31,31,0.20959,0.55760
1989,No migration background,Urban regions,As soon as possible,0.20155,120,643,0.17052,0.23258
1989,No migration background,Urban regions,Next year,0.20646,139,643,0.17515,0.23777
1989,No migration background,Urban regions,In the next 2 to 5 years,0.40772,265,643,0.36971,0.44574
1989,No migration background,Urban regions,"In the distant future, in more than five years",0.18427,119,643,0.15428,0.21426
1989,No migration background,Rural regions,As soon as possible,0.32382,66,215,0.26113,0.38652
1989,No migration background,Rural regions,Next year,0.21319,46,215,0.15831,0.26806
1989,No migration background,Rural regions,In the next 2 to 5 years,0.30462,68,215,0.24296,0.36629
1989,No migration background,Rural regions,"In the distant future, in more than five years",0.15837,35,215,0.10945,0.20728
1989,Direct migration background,Urban regions,As soon as possible,0.39088,141,324,0.33767,0.44410
1989,Direct migration background,Urban regions,Next year,0.17302,54,324,0.13177,0.21427
1989,Direct migration background,Urban regions,In the next 2 to 5 years,0.32567,97,324,0.27456,0.37678
1989,Direct migration background,Urban regions,"In the distant future, in more than five years",0.11043,32,324,0.07625,0.14461
1989,Indirect migration background,Urban regions,In the next 2 to 5 years,0.47324,40,40,0.31654,0.62994
1990,No migration background,Urban regions,As soon as possible,0.18691,129,700,0.15801,0.21581
1990,No migration background,Urban regions,Next year,0.24045,185,700,0.20877,0.27213
1990,No migration background,Urban regions,In the next 2 to 5 years,0.37457,256,700,0.33869,0.41045
1990,No migration background,Urban regions,"In the distant future, in more than five years",0.19807,130,700,0.16853,0.22762
1990,No migration background,Rural regions,As soon as possible,0.31066,117,394,0.26491,0.35641
1990,No migration background,Rural regions,Next year,0.26128,116,394,0.21784,0.30472
1990,No migration background,Rural regions,In the next 2 to 5 years,0.29111,114,394,0.24620,0.33602
1990,No migration background,Rural regions,"In the distant future, in more than five years",0.13695,47,394,0.10296,0.17094
1990,Direct migration background,Urban regions,As soon as possible,0.35213,121,312,0.29904,0.40521
1990,Direct migration background,Urban regions,Next year,0.22060,63,312,0.17451,0.26668
1990,Direct migration background,Urban regions,In the next 2 to 5 years,0.30650,90,312,0.25526,0.35774
1990,Direct migration background,Urban regions,"In the distant future, in more than five years",0.12078,38,312,0.08456,0.15700
1990,Indirect migration background,Urban regions,In the next 2 to 5 years,0.37296,36,36,0.21275,0.53318
1991,No migration background,Urban regions,As soon as possible,0.23577,176,697,0.20423,0.26730
1991,No migration background,Urban regions,Next year,0.20799,148,697,0.17783,0.23814
1991,No migration background,Urban regions,In the next 2 to 5 years,0.38280,259,697,0.34669,0.41891
1991,No migration background,Urban regions,"In the distant future, in more than five years",0.17345,114,697,0.14532,0.20158
1991,No migration background,Rural regions,As soon as possible,0.34175,213,540,0.30171,0.38179
1991,No migration background,Rural regions,Next year,0.26221,142,540,0.22508,0.29935
1991,No migration background,Rural regions,In the next 2 to 5 years,0.28564,137,540,0.24750,0.32377
1991,No migration background,Rural regions,"In the distant future, in more than five years",0.11040,48,540,0.08395,0.13686
1991,Direct migration background,Urban regions,As soon as possible,0.41864,113,280,0.36075,0.47653
1991,Direct migration background,Urban regions,Next year,0.23034,59,280,0.18094,0.27975
1991,Direct migration background,Urban regions,In the next 2 to 5 years,0.23885,74,280,0.18882,0.28888
1991,Direct migration background,Urban regions,"In the distant future, in more than five years",0.11217,34,280,0.07514,0.14920
1991,Indirect migration background,Urban regions,In the next 2 to 5 years,0.37544,36,36,0.21501,0.53586
1992,No migration background,Urban regions,As soon as possible,0.25860,225,803,0.22830,0.28891
1992,No migration background,Urban regions,Next year,0.24294,191,803,0.21326,0.27262
1992,No migration background,Urban regions,In the next 2 to 5 years,0.36998,286,803,0.33656,0.40339
1992,No migration background,Urban regions,"In the distant future, in more than five years",0.12849,101,803,0.10533,0.15165
1992,No migration background,Rural regions,As soon as possible,0.41646,275,621,0.37765,0.45526
1992,No migration background,Rural regions,Next year,0.26284,159,621,0.22819,0.29749
1992,No migration background,Rural regions,In the next 2 to 5 years,0.21808,138,621,0.18558,0.25059
1992,No migration background,Rural regions,"In the distant future, in more than five years",0.10262,49,621,0.07874,0.12651
1992,Direct migration background,Urban regions,As soon as possible,0.44550,124,294,0.38859,0.50241
1992,Direct migration background,Urban regions,Next year,0.17671,41,294,0.13303,0.22038
1992,Direct migration background,Urban regions,In the next 2 to 5 years,0.27851,92,294,0.22718,0.32984
1992,Direct migration background,Urban regions,"In the distant future, in more than five years",0.09929,37,294,0.06504,0.13353
1992,Indirect migration background,Urban regions,In the next 2 to 5 years,0.42084,46,46,0.27659,0.56509
1993,No migration background,Urban regions,As soon as possible,0.28393,242,820,0.25305,0.31481
1993,No migration background,Urban regions,Next year,0.21437,178,820,0.18626,0.24248
1993,No migration background,Urban regions,In the next 2 to 5 years,0.36363,279,820,0.33069,0.39658
1993,No migration background,Urban regions,"In the distant future, in more than five years",0.13807,121,820,0.11444,0.16170
1993,No migration background,Rural regions,As soon as possible,0.47837,313,626,0.43921,0.51753
1993,No migration background,Rural regions,Next year,0.21352,139,626,0.18140,0.24565
1993,No migration background,Rural regions,In the next 2 to 5 years,0.24489,141,626,0.21118,0.27861
1993,No migration background,Rural regions,"In the distant future, in more than five years",0.06321,33,626,0.04413,0.08229
1993,Direct migration background,Urban regions,As soon as possible,0.37927,106,235,0.31710,0.44144
1993,Direct migration background,Urban regions,Next year,0.22182,49,235,0.16859,0.27505
1993,Direct migration background,Urban regions,In the next 2 to 5 years,0.31502,80,235,0.25550,0.37454
1993,Direct migration background,Rural regions,As soon as possible,0.50910,31,31,0.33021,0.68799
1993,Indirect migration background,Urban regions,In the next 2 to 5 years,0.51684,57,57,0.38595,0.64772
1994,No migration background,Urban regions,As soon as possible,0.29213,274,903,0.26245,0.32181
1994,No migration background,Urban regions,Next year,0.23923,203,903,0.21139,0.26707
1994,No migration background,Urban regions,In the next 2 to 5 years,0.33819,306,903,0.30731,0.36906
1994,No migration background,Urban regions,"In the distant future, in more than five years",0.13045,120,903,0.10847,0.15243
1994,No migration background,Rural regions,As soon as possible,0.48068,319,630,0.44164,0.51973
1994,No migration background,Rural regions,Next year,0.19898,125,630,0.16778,0.23018
1994,No migration background,Rural regions,In the next 2 to 5 years,0.26067,149,630,0.22636,0.29498
1994,No migration background,Rural regions,"In the distant future, in more than five years",0.05967,37,630,0.04116,0.07819
1994,Direct migration background,Urban regions,As soon as possible,0.42412,124,248,0.36248,0.48575
1994,Direct migration background,Urban regions,Next year,0.25194,60,248,0.19780,0.30608
1994,Direct migration background,Urban regions,In the next 2 to 5 years,0.22925,64,248,0.17683,0.28168
1994,Indirect migration background,Urban regions,As soon as possible,0.16784,34,110,0.09768,0.23800
1994,Indirect migration background,Urban regions,Next year,0.24231,31,110,0.16187,0.32275
1994,Indirect migration background,Urban regions,In the next 2 to 5 years,0.36723,45,110,0.27673,0.45773
1995,No migration background,Urban regions,As soon as possible,0.25839,234,868,0.22925,0.28753
1995,No migration background,Urban regions,Next year,0.23310,201,868,0.20496,0.26125
1995,No migration background,Urban regions,In the next 2 to 5 years,0.37667,317,868,0.34442,0.40892
1995,No migration background,Urban regions,"In the distant future, in more than five years",0.13184,116,868,0.10932,0.15436
1995,No migration background,Rural regions,As soon as possible,0.40653,255,616,0.36771,0.44535
1995,No migration background,Rural regions,Next year,0.20082,137,616,0.16916,0.23248
1995,No migration background,Rural regions,In the next 2 to 5 years,0.29218,163,616,0.25623,0.32812
1995,No migration background,Rural regions,"In the distant future, in more than five years",0.10047,61,616,0.07671,0.12423
1995,Direct migration background,Urban regions,As soon as possible,0.39953,159,405,0.35177,0.44729
1995,Direct migration background,Urban regions,Next year,0.20913,75,405,0.16947,0.24879
1995,Direct migration background,Urban regions,In the next 2 to 5 years,0.30245,132,405,0.25766,0.34724
1995,Direct migration background,Urban regions,"In the distant future, in more than five years",0.08889,39,405,0.06114,0.11664
1995,Direct migration background,Rural regions,As soon as possible,0.54360,42,42,0.39113,0.69607
1995,Indirect migration background,Urban regions,As soon as possible,0.21199,33,78,0.12070,0.30328
1995,Indirect migration background,Urban regions,In the next 2 to 5 years,0.31047,45,78,0.20713,0.41382
1996,No migration background,Urban regions,As soon as possible,0.25468,223,867,0.22566,0.28370
1996,No migration background,Urban regions,Next year,0.24424,215,867,0.21563,0.27286
1996,No migration background,Urban regions,In the next 2 to 5 years,0.37631,308,867,0.34404,0.40858
1996,No migration background,Urban regions,"In the distant future, in more than five years",0.12477,121,867,0.10276,0.14678
1996,No migration background,Rural regions,As soon as possible,0.41452,283,637,0.37623,0.45281
1996,No migration background,Rural regions,Next year,0.24938,155,637,0.21576,0.28301
1996,No migration background,Rural regions,In the next 2 to 5 years,0.23712,152,637,0.20407,0.27018
1996,No migration background,Rural regions,"In the distant future, in more than five years",0.09897,47,637,0.07576,0.12218
1996,Direct migration background,Urban regions,As soon as possible,0.45506,162,363,0.40377,0.50636
1996,Direct migration background,Urban regions,Next year,0.15680,57,363,0.11934,0.19426
1996,Direct migration background,Urban regions,In the next 2 to 5 years,0.28413,110,363,0.23767,0.33059
1996,Direct migration background,Urban regions,"In the distant future, in more than five years",0.10400,34,363,0.07256,0.13545
1996,Direct migration background,Rural regions,As soon as possible,0.46043,44,44,0.31145,0.60941
1996,Indirect migration background,Urban regions,As soon as possible,0.30579,44,121,0.22335,0.38823
1996,Indirect migration background,Urban regions,Next year,0.20343,35,121,0.13140,0.27545
1996,Indirect migration background,Urban regions,In the next 2 to 5 years,0.27037,42,121,0.19090,0.34984
1997,No migration background,Urban regions,As soon as possible,0.31543,270,837,0.28393,0.34693
1997,No migration background,Urban regions,Next year,0.23002,173,837,0.20150,0.25855
1997,No migration background,Urban regions,In the next 2 to 5 years,0.33696,285,837,0.30492,0.36900
1997,No migration background,Urban regions,"In the distant future, in more than five years",0.11759,109,837,0.09575,0.13942
1997,No migration background,Rural regions,As soon as possible,0.44903,302,650,0.41076,0.48729
1997,No migration background,Rural regions,Next year,0.18481,121,650,0.15494,0.21467
1997,No migration background,Rural regions,In the next 2 to 5 years,0.28858,174,650,0.25372,0.32344
1997,No migration background,Rural regions,"In the distant future, in more than five years",0.07759,53,650,0.05701,0.09817
1997,Direct migration background,Urban regions,As soon as possible,0.42675,170,377,0.37676,0.47674
1997,Direct migration background,Urban regions,Next year,0.18607,65,377,0.14673,0.22540
1997,Direct migration background,Urban regions,In the next 2 to 5 years,0.29098,111,377,0.24507,0.33689
1997,Direct migration background,Urban regions,"In the distant future, in more than five years",0.09620,31,377,0.06639,0.12600
1997,Direct migration background,Rural regions,As soon as possible,0.49877,34,34,0.32817,0.66936
1997,Indirect migration background,Urban regions,As soon as possible,0.19470,37,126,0.12529,0.26412
1997,Indirect migration background,Urban regions,Next year,0.18116,31,126,0.11364,0.24868
1997,Indirect migration background,Urban regions,In the next 2 to 5 years,0.42410,58,126,0.33746,0.51074
1998,No migration background,Urban regions,As soon as possible,0.29574,264,917,0.26619,0.32530
1998,No migration background,Urban regions,Next year,0.23949,213,917,0.21185,0.26712
1998,No migration background,Urban regions,In the next 2 to 5 years,0.32221,311,917,0.29195,0.35248
1998,No migration background,Urban regions,"In the distant future, in more than five years",0.14256,129,917,0.11992,0.16520
1998,No migration background,Rural regions,As soon as possible,0.46680,359,729,0.43056,0.50305
1998,No migration background,Rural regions,Next year,0.18786,146,729,0.15949,0.21624
1998,No migration background,Rural regions,In the next 2 to 5 years,0.25780,169,729,0.22602,0.28957
1998,No migration background,Rural regions,"In the distant future, in more than five years",0.08754,55,729,0.06701,0.10807
1998,Direct migration background,Urban regions,As soon as possible,0.44879,144,317,0.39395,0.50363
1998,Direct migration background,Urban regions,Next year,0.16061,48,317,0.12012,0.20109
1998,Direct migration background,Urban regions,In the next 2 to 5 years,0.27505,84,317,0.22582,0.32429
1998,Direct migration background,Urban regions,"In the distant future, in more than five years",0.11555,41,317,0.08030,0.15080
1998,Direct migration background,Rural regions,As soon as possible,0.58440,39,39,0.42771,0.74110
1998,Indirect migration background,Urban regions,As soon as possible,0.28684,46,128,0.20818,0.36551
1998,Indirect migration background,Urban regions,Next year,0.17302,34,128,0.10723,0.23881
1998,Indirect migration background,Urban regions,In the next 2 to 5 years,0.39375,48,128,0.30878,0.47873
1999,No migration background,Urban regions,As soon as possible,0.29193,221,794,0.26029,0.32358
1999,No migration background,Urban regions,Next year,0.23980,187,794,0.21009,0.26952
1999,No migration background,Urban regions,In the next 2 to 5 years,0.34213,287,794,0.30911,0.37516
1999,No migration background,Urban regions,"In the distant future, in more than five years",0.12613,99,794,0.10302,0.14923
1999,No migration background,Rural regions,As soon as possible,0.43264,280,644,0.39434,0.47093
1999,No migration background,Rural regions,Next year,0.21950,154,644,0.18751,0.25150
1999,No migration background,Rural regions,In the next 2 to 5 years,0.26676,156,644,0.23257,0.30094
1999,No migration background,Rural regions,"In the distant future, in more than five years",0.08110,54,644,0.06000,0.10220
1999,Direct migration background,Urban regions,As soon as possible,0.44218,118,274,0.38326,0.50109
1999,Direct migration background,Urban regions,Next year,0.15768,47,274,0.11444,0.20091
1999,Direct migration background,Urban regions,In the next 2 to 5 years,0.29423,74,274,0.24017,0.34829
1999,Direct migration background,Urban regions,"In the distant future, in more than five years",0.10592,35,274,0.06941,0.14242
1999,Indirect migration background,Urban regions,As soon as possible,0.30171,44,97,0.20989,0.39352
1999,Indirect migration background,Urban regions,In the next 2 to 5 years,0.36299,53,97,0.26680,0.45918
2000,No migration background,Urban regions,As soon as possible,0.28489,402,1455,0.26168,0.30809
2000,No migration background,Urban regions,Next year,0.24329,341,1455,0.22124,0.26535
2000,No migration background,Urban regions,In the next 2 to 5 years,0.34577,520,1455,0.32132,0.37022
2000,No migration background,Urban regions,"In the distant future, in more than five years",0.12605,192,1455,0.10899,0.14311
2000,No migration background,Rural regions,As soon as possible,0.39616,426,1071,0.36686,0.42547
2000,No migration background,Rural regions,Next year,0.23641,251,1071,0.21096,0.26187
2000,No migration background,Rural regions,In the next 2 to 5 years,0.26290,276,1071,0.23652,0.28927
2000,No migration background,Rural regions,"In the distant future, in more than five years",0.10453,118,1071,0.08619,0.12286
2000,Direct migration background,Urban regions,As soon as possible,0.36297,171,449,0.31844,0.40750
2000,Direct migration background,Urban regions,Next year,0.15325,70,449,0.11989,0.18661
2000,Direct migration background,Urban regions,In the next 2 to 5 years,0.35612,149,449,0.31178,0.40046
2000,Direct migration background,Urban regions,"In the distant future, in more than five years",0.12766,59,449,0.09676,0.15857
2000,Direct migration background,Rural regions,As soon as possible,0.42854,48,79,0.31871,0.53836
2000,Direct migration background,Rural regions,In the next 2 to 5 years,0.31878,31,79,0.21536,0.42220
2000,Indirect migration background,Urban regions,As soon as possible,0.21894,43,223,0.16454,0.27333
2000,Indirect migration background,Urban regions,Next year,0.20023,51,223,0.14759,0.25287
2000,Indirect migration background,Urban regions,In the next 2 to 5 years,0.40429,94,223,0.33973,0.46885
2000,Indirect migration background,Urban regions,"In the distant future, in more than five years",0.17655,35,223,0.12639,0.22670
2001,No migration background,Urban regions,As soon as possible,0.28957,342,1273,0.26465,0.31450
2001,No migration background,Urban regions,Next year,0.25540,304,1273,0.23143,0.27936
2001,No migration background,Urban regions,In the next 2 to 5 years,0.34636,468,1273,0.32021,0.37251
2001,No migration background,Urban regions,"In the distant future, in more than five years",0.10867,159,1273,0.09157,0.12577
2001,No migration background,Rural regions,As soon as possible,0.43159,429,999,0.40086,0.46232
2001,No migration background,Rural regions,Next year,0.22863,223,999,0.20258,0.25469
2001,No migration background,Rural regions,In the next 2 to 5 years,0.24715,253,999,0.22039,0.27391
2001,No migration background,Rural regions,"In the distant future, in more than five years",0.09263,94,999,0.07464,0.11061
2001,Direct migration background,Urban regions,As soon as possible,0.34446,124,355,0.29495,0.39396
2001,Direct migration background,Urban regions,Next year,0.18956,62,355,0.14873,0.23039
2001,Direct migration background,Urban regions,In the next 2 to 5 years,0.29709,107,355,0.24948,0.34469
2001,Direct migration background,Urban regions,"In the distant future, in more than five years",0.16890,62,355,0.12987,0.20793
2001,Direct migration background,Rural regions,As soon as possible,0.49283,42,42,0.33980,0.64587
2001,Indirect migration background,Urban regions,As soon as possible,0.23587,49,212,0.17859,0.29315
2001,Indirect migration background,Urban regions,Next year,0.23567,47,212,0.17840,0.29294
2001,Indirect migration background,Urban regions,In the next 2 to 5 years,0.34585,83,212,0.28167,0.41003
2001,Indirect migration background,Urban regions,"In the distant future, in more than five years",0.18261,33,212,0.13048,0.23474
2002,No migration background,Urban regions,As soon as possible,0.34533,418,1446,0.32082,0.36985
2002,No migration background,Urban regions,Next year,0.22558,312,1446,0.20403,0.24713
2002,No migration background,Urban regions,In the next 2 to 5 years,0.31591,498,1446,0.29194,0.33988
2002,No migration background,Urban regions,"In the distant future, in more than five years",0.11317,218,1446,0.09684,0.12951
2002,No migration background,Rural regions,As soon as possible,0.47071,455,1051,0.44052,0.50090
2002,No migration background,Rural regions,Next year,0.22268,233,1051,0.19751,0.24784
2002,No migration background,Rural regions,In the next 2 to 5 years,0.22541,272,1051,0.20013,0.25068
2002,No migration background,Rural regions,"In the distant future, in more than five years",0.08121,91,1051,0.06468,0.09773
2002,Direct migration background,Urban regions,As soon as possible,0.37578,135,357,0.32547,0.42609
2002,Direct migration background,Urban regions,Next year,0.19561,63,357,0.15441,0.23682
2002,Direct migration background,Urban regions,In the next 2 to 5 years,0.29999,115,357,0.25238,0.34759
2002,Direct migration background,Urban regions,"In the distant future, in more than five years",0.12862,44,357,0.09385,0.16340
2002,Direct migration background,Rural regions,As soon as possible,0.47319,34,34,0.30284,0.64354
2002,Indirect migration background,Urban regions,As soon as possible,0.27778,54,184,0.21288,0.34267
2002,Indirect migration background,Urban regions,Next year,0.24375,50,184,0.18154,0.30596
2002,Indirect migration background,Urban regions,In the next 2 to 5 years,0.37338,80,184,0.30330,0.44347
2003,No migration background,Urban regions,As soon as possible,0.39217,482,1435,0.36690,0.41744
2003,No migration background,Urban regions,Next year,0.22348,306,1435,0.20192,0.24504
2003,No migration background,Urban regions,In the next 2 to 5 years,0.29762,480,1435,0.27395,0.32128
2003,No migration background,Urban regions,"In the distant future, in more than five years",0.08674,167,1435,0.07217,0.10130
2003,No migration background,Rural regions,As soon as possible,0.51396,474,999,0.48295,0.54497
2003,No migration background,Rural regions,Next year,0.21888,220,999,0.19322,0.24453
2003,No migration background,Rural regions,In the next 2 to 5 years,0.20183,231,999,0.17693,0.22674
2003,No migration background,Rural regions,"In the distant future, in more than five years",0.06533,74,999,0.05000,0.08066
2003,Direct migration background,Urban regions,As soon as possible,0.39060,144,342,0.33882,0.44239
2003,Direct migration background,Urban regions,Next year,0.21543,68,342,0.17180,0.25907
2003,Direct migration background,Urban regions,In the next 2 to 5 years,0.29329,92,342,0.24497,0.34161
2003,Direct migration background,Urban regions,"In the distant future, in more than five years",0.10067,38,342,0.06874,0.13261
2003,Direct migration background,Rural regions,As soon as possible,0.56284,34,34,0.39360,0.73209
2003,Indirect migration background,Urban regions,As soon as possible,0.32941,54,174,0.25938,0.39945
2003,Indirect migration background,Urban regions,Next year,0.23012,51,174,0.16740,0.29284
2003,Indirect migration background,Urban regions,In the next 2 to 5 years,0.32542,69,174,0.25560,0.39523
2004,No migration background,Urban regions,As soon as possible,0.40158,488,1431,0.37618,0.42699
2004,No migration background,Urban regions,Next year,0.20412,297,1431,0.18323,0.22501
2004,No migration background,Urban regions,In the next 2 to 5 years,0.31746,483,1431,0.29333,0.34158
2004,No migration background,Urban regions,"In the distant future, in more than five years",0.07684,163,1431,0.06304,0.09064
2004,No migration background,Rural regions,As soon as possible,0.50654,482,1026,0.47593,0.53714
2004,No migration background,Rural regions,Next year,0.20145,212,1026,0.17689,0.22600
2004,No migration background,Rural regions,In the next 2 to 5 years,0.21590,242,1026,0.19071,0.24108
2004,No migration background,Rural regions,"In the distant future, in more than five years",0.07612,90,1026,0.05989,0.09236
2004,Direct migration background,Urban regions,As soon as possible,0.46096,168,369,0.41003,0.51189
2004,Direct migration background,Urban regions,Next year,0.17492,63,369,0.13610,0.21373
2004,Direct migration background,Urban regions,In the next 2 to 5 years,0.26478,93,369,0.21970,0.30986
2004,Direct migration background,Urban regions,"In the distant future, in more than five years",0.09934,45,369,0.06878,0.12990
2004,Direct migration background,Rural regions,As soon as possible,0.49624,41,41,0.34129,0.65119
2004,Indirect migration background,Urban regions,As soon as possible,0.37203,66,200,0.30487,0.43918
2004,Indirect migration background,Urban regions,Next year,0.17143,46,200,0.11907,0.22380
2004,Indirect migration background,Urban regions,In the next 2 to 5 years,0.38756,88,200,0.31987,0.45525
2005,No migration background,Urban regions,As soon as possible,0.39081,473,1415,0.36537,0.41624
2005,No migration background,Urban regions,Next year,0.21096,311,1415,0.18969,0.23222
2005,No migration background,Urban regions,In the next 2 to 5 years,0.28783,440,1415,0.26423,0.31142
2005,No migration background,Urban regions,"In the distant future, in more than five years",0.11041,191,1415,0.09408,0.12675
2005,No migration background,Rural regions,As soon as possible,0.53514,480,984,0.50396,0.56632
2005,No migration background,Rural regions,Next year,0.16872,179,984,0.14530,0.19213
2005,No migration background,Rural regions,In the next 2 to 5 years,0.22698,240,984,0.20080,0.25317
2005,No migration background,Rural regions,"In the distant future, in more than five years",0.06916,85,984,0.05330,0.08502
2005,Direct migration background,Urban regions,As soon as possible,0.50729,157,296,0.45024,0.56435
2005,Direct migration background,Urban regions,Next year,0.18447,58,296,0.14020,0.22873
2005,Direct migration background,Urban regions,In the next 2 to 5 years,0.24265,81,296,0.19373,0.29157
2005,Direct migration background,Rural regions,As soon as possible,0.65536,38,38,0.50223,0.80850
2005,Indirect migration background,Urban regions,As soon as possible,0.33033,72,208,0.26626,0.39440
2005,Indirect migration background,Urban regions,Next year,0.18717,41,208,0.13403,0.24030
2005,Indirect migration background,Urban regions,In the next 2 to 5 years,0.40402,95,208,0.33717,0.47087
2006,No migration background,Urban regions,As soon as possible,0.40608,498,1396,0.38030,0.43185
2006,No migration background,Urban regions,Next year,0.22181,296,1396,0.20001,0.24361
2006,No migration background,Urban regions,In the next 2 to 5 years,0.29038,453,1396,0.26655,0.31420
2006,No migration background,Urban regions,"In the distant future, in more than five years",0.08174,149,1396,0.06736,0.09612
2006,No migration background,Rural regions,As soon as possible,0.52948,475,988,0.49835,0.56062
2006,No migration background,Rural regions,Next year,0.19017,192,988,0.16569,0.21466
2006,No migration background,Rural regions,In the next 2 to 5 years,0.22540,251,988,0.19933,0.25147
2006,No migration background,Rural regions,"In the distant future, in more than five years",0.05494,70,988,0.04072,0.06916
2006,Direct migration background,Urban regions,As soon as possible,0.49294,162,302,0.43646,0.54942
2006,Direct migration background,Urban regions,Next year,0.16754,58,302,0.12535,0.20973
