year,hhtyp,rentown,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,Single-person household,Owner,Yes,0.95956,894,933,0.94692,0.97221
2019,Single-person household,Owner,No,0.04044,39,933,0.02779,0.05308
2019,Single-person household,Tenant,Yes,0.90876,2127,2327,0.89706,0.92046
2019,Single-person household,Tenant,No,0.09124,200,2327,0.07954,0.10294
2019,Couple without children,Owner,Yes,0.97687,2153,2206,0.97059,0.98314
2019,Couple without children,Owner,No,0.02313,53,2206,0.01686,0.02941
2019,Couple without children,Tenant,Yes,0.94711,1565,1659,0.93634,0.95788
2019,Couple without children,Tenant,No,0.05289,94,1659,0.04212,0.06366
2019,Single parent,Owner,Yes,0.97606,326,326,0.95944,0.99268
2019,Single parent,Tenant,Yes,0.90733,834,894,0.88832,0.92635
2019,Single parent,Tenant,No,0.09267,60,894,0.07365,0.11168
2019,Couple with children,Owner,Yes,0.97128,2309,2355,0.96453,0.97803
2019,Couple with children,Owner,No,0.02872,46,2355,0.02197,0.03547
2019,Couple with children,Tenant,Yes,0.94006,1542,1659,0.92863,0.95148
2019,Couple with children,Tenant,No,0.05994,117,1659,0.04852,0.07137
2019,Multi-generational household,Owner,Yes,0.96716,41,41,0.91193,1.02239
2019,Other Combinations,Owner,Yes,0.96689,61,61,0.92162,1.01216
2019,Other Combinations,Tenant,Yes,0.94973,90,90,0.90433,0.99513
2020,Single-person household,Owner,Yes,0.96145,1068,1105,0.95009,0.97280
2020,Single-person household,Owner,No,0.03855,37,1105,0.02720,0.04991
2020,Single-person household,Tenant,Yes,0.90995,3038,3487,0.90045,0.91945
2020,Single-person household,Tenant,No,0.09005,449,3487,0.08055,0.09955
2020,Couple without children,Owner,Yes,0.97596,2592,2645,0.97012,0.98180
2020,Couple without children,Owner,No,0.02404,53,2645,0.01820,0.02988
2020,Couple without children,Tenant,Yes,0.92824,2170,2382,0.91787,0.93861
2020,Couple without children,Tenant,No,0.07176,212,2382,0.06139,0.08213
2020,Single parent,Owner,Yes,0.96961,350,350,0.95160,0.98762
2020,Single parent,Tenant,Yes,0.87616,882,970,0.85541,0.89690
2020,Single parent,Tenant,No,0.12384,88,970,0.10310,0.14459
2020,Couple with children,Owner,Yes,0.96420,2637,2699,0.95719,0.97121
2020,Couple with children,Owner,No,0.03580,62,2699,0.02879,0.04281
2020,Couple with children,Tenant,Yes,0.92016,1967,2209,0.90885,0.93146
2020,Couple with children,Tenant,No,0.07984,242,2209,0.06854,0.09115
2020,Multi-generational household,Owner,Yes,0.97429,51,51,0.93043,1.01816
2020,Multi-generational household,Tenant,Yes,0.92185,56,56,0.85091,0.99278
2020,Other Combinations,Owner,Yes,0.95456,88,88,0.91079,0.99832
2020,Other Combinations,Tenant,Yes,0.89674,172,203,0.85478,0.93871
2020,Other Combinations,Tenant,No,0.10326,31,203,0.06129,0.14522
2021,Single-person household,Owner,Yes,0.97871,775,775,0.96854,0.98888
2021,Single-person household,Tenant,Yes,0.91022,1802,2002,0.89769,0.92274
2021,Single-person household,Tenant,No,0.08978,200,2002,0.07726,0.10231
2021,Couple without children,Owner,Yes,0.96779,1735,1778,0.95958,0.97600
2021,Couple without children,Owner,No,0.03221,43,1778,0.02400,0.04042
2021,Couple without children,Tenant,Yes,0.93875,1247,1350,0.92596,0.95155
2021,Couple without children,Tenant,No,0.06125,103,1350,0.04845,0.07404
2021,Single parent,Owner,Yes,0.97592,222,222,0.95571,0.99613
2021,Single parent,Tenant,Yes,0.86341,550,594,0.83577,0.89105
2021,Single parent,Tenant,No,0.13659,44,594,0.10895,0.16423
2021,Couple with children,Owner,Yes,0.97835,1674,1712,0.97145,0.98524
2021,Couple with children,Owner,No,0.02165,38,1712,0.01476,0.02855
2021,Couple with children,Tenant,Yes,0.91394,1046,1169,0.89786,0.93002
2021,Couple with children,Tenant,No,0.08606,123,1169,0.06998,0.10214
2021,Multi-generational household,Owner,Yes,0.96373,34,34,0.89994,1.02752
2021,Other Combinations,Owner,Yes,0.97558,90,90,0.94350,1.00765
2021,Other Combinations,Tenant,Yes,0.90368,116,116,0.84975,0.95760
2022,No answer / don't know,Owner,Yes,0.94500,142,142,0.90736,0.98263
2022,No answer / don't know,Tenant,Yes,0.84503,231,279,0.80249,0.88757
2022,No answer / don't know,Tenant,No,0.15497,48,279,0.11243,0.19751
2022,Single-person household,Owner,Yes,0.95803,1169,1218,0.94677,0.96930
2022,Single-person household,Owner,No,0.04197,49,1218,0.03070,0.05323
2022,Single-person household,Tenant,Yes,0.91088,3856,4335,0.90240,0.91936
2022,Single-person household,Tenant,No,0.08912,479,4335,0.08064,0.09760
2022,Couple without children,Owner,Yes,0.97581,2724,2780,0.97010,0.98152
2022,Couple without children,Owner,No,0.02419,56,2780,0.01848,0.02990
2022,Couple without children,Tenant,Yes,0.94094,2713,2936,0.93241,0.94947
2022,Couple without children,Tenant,No,0.05906,223,2936,0.05053,0.06759
2022,Single parent,Owner,Yes,0.96373,301,301,0.94258,0.98489
2022,Single parent,Tenant,Yes,0.89534,753,825,0.87444,0.91624
2022,Single parent,Tenant,No,0.10466,72,825,0.08376,0.12556
2022,Couple with children,Owner,Yes,0.97693,2860,2924,0.97149,0.98238
2022,Couple with children,Owner,No,0.02307,64,2924,0.01762,0.02851
2022,Couple with children,Tenant,Yes,0.90431,2014,2224,0.89208,0.91654
2022,Couple with children,Tenant,No,0.09569,210,2224,0.08346,0.10792
2022,Multi-generational household,Owner,Yes,0.98623,42,42,0.95055,1.02190
2022,Multi-generational household,Tenant,Yes,0.90881,35,35,0.81204,1.00557
2022,Other Combinations,Owner,Yes,0.91692,368,402,0.88990,0.94393
2022,Other Combinations,Owner,No,0.08308,34,402,0.05607,0.11010
2022,Other Combinations,Tenant,Yes,0.82567,567,694,0.79743,0.85392
2022,Other Combinations,Tenant,No,0.17433,127,694,0.14608,0.20257
