year,pgisced97,sex,plb0426,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1997,Lower Secondary Level,male,Does not apply/do not (yet) have a job,0.58224,61,1653,0.58054,0.58395
1997,Lower Secondary Level,female,In my current field/ field I was trained in,0.17699,39,1653,0.17620,0.17777
1997,Lower Secondary Level,female,Does not matter,0.31259,74,1653,0.31164,0.31355
1997,Lower Secondary Level,female,Does not apply/do not (yet) have a job,0.51042,116,1653,0.50939,0.51145
1997,Upper Secondary Level,male,In my current field/ field I was trained in,0.35687,124,1653,0.35617,0.35758
1997,Upper Secondary Level,male,Do something new,0.17345,55,1653,0.17289,0.17401
1997,Upper Secondary Level,male,Does not matter,0.31349,123,1653,0.31281,0.31417
1997,Upper Secondary Level,male,Does not apply/do not (yet) have a job,0.15619,62,1653,0.15565,0.15672
1997,Upper Secondary Level,female,In my current field/ field I was trained in,0.32830,208,1653,0.32778,0.32883
1997,Upper Secondary Level,female,Do something new,0.19314,107,1653,0.19270,0.19358
1997,Upper Secondary Level,female,Does not matter,0.39828,274,1653,0.39773,0.39883
1997,Upper Secondary Level,female,Does not apply/do not (yet) have a job,0.08028,67,1653,0.07998,0.08058
1997,Second Stage of Tertiary Education,female,In my current field/ field I was trained in,1.00000,57,1653,1.00000,1.00000
1998,Pre-primary Level,male,Does not apply/do not (yet) have a job,1.00000,119,1839,1.00000,1.00000
1998,Pre-primary Level,female,Does not apply/do not (yet) have a job,1.00000,121,1839,1.00000,1.00000
1998,Lower Secondary Level,male,Does not matter,0.41095,42,1839,0.40950,0.41240
1998,Lower Secondary Level,male,Does not apply/do not (yet) have a job,0.58905,79,1839,0.58760,0.59050
1998,Lower Secondary Level,female,In my current field/ field I was trained in,0.20205,45,1839,0.20122,0.20287
1998,Lower Secondary Level,female,Does not matter,0.28450,71,1839,0.28357,0.28543
1998,Lower Secondary Level,female,Does not apply/do not (yet) have a job,0.51345,119,1839,0.51243,0.51448
1998,Upper Secondary Level,male,In my current field/ field I was trained in,0.33522,134,1839,0.33452,0.33593
1998,Upper Secondary Level,male,Do something new,0.17908,67,1839,0.17851,0.17965
1998,Upper Secondary Level,male,Does not matter,0.26711,115,1839,0.26645,0.26777
1998,Upper Secondary Level,male,Does not apply/do not (yet) have a job,0.21859,83,1839,0.21797,0.21921
1998,Upper Secondary Level,female,In my current field/ field I was trained in,0.35481,226,1839,0.35425,0.35538
1998,Upper Secondary Level,female,Do something new,0.17419,106,1839,0.17374,0.17464
1998,Upper Secondary Level,female,Does not matter,0.36819,267,1839,0.36762,0.36876
1998,Upper Secondary Level,female,Does not apply/do not (yet) have a job,0.10281,70,1839,0.10245,0.10317
1998,First Stage of Tertiary Education,female,In my current field/ field I was trained in,1.00000,38,1839,1.00000,1.00000
1998,Second Stage of Tertiary Education,male,In my current field/ field I was trained in,1.00000,37,1839,1.00000,1.00000
1998,Second Stage of Tertiary Education,female,In my current field/ field I was trained in,0.66413,63,1839,0.66268,0.66557
1998,Second Stage of Tertiary Education,female,Does not matter,0.33587,37,1839,0.33443,0.33732
1999,Pre-primary Level,male,Does not apply/do not (yet) have a job,1.00000,109,1507,1.00000,1.00000
1999,Pre-primary Level,female,Does not apply/do not (yet) have a job,1.00000,123,1507,1.00000,1.00000
1999,Lower Secondary Level,male,Does not matter,0.43852,39,1507,0.43699,0.44005
1999,Lower Secondary Level,male,Does not apply/do not (yet) have a job,0.56148,55,1507,0.55995,0.56301
1999,Lower Secondary Level,female,Do something new,0.17504,33,1507,0.17421,0.17588
1999,Lower Secondary Level,female,Does not matter,0.28391,61,1507,0.28292,0.28489
1999,Lower Secondary Level,female,Does not apply/do not (yet) have a job,0.54105,105,1507,0.53996,0.54215
1999,Upper Secondary Level,male,In my current field/ field I was trained in,0.30809,102,1507,0.30737,0.30882
1999,Upper Secondary Level,male,Do something new,0.16241,50,1507,0.16184,0.16299
1999,Upper Secondary Level,male,Does not matter,0.28868,116,1507,0.28797,0.28939
1999,Upper Secondary Level,male,Does not apply/do not (yet) have a job,0.24081,71,1507,0.24014,0.24148
1999,Upper Secondary Level,female,In my current field/ field I was trained in,0.32776,186,1507,0.32718,0.32834
1999,Upper Secondary Level,female,Do something new,0.13976,85,1507,0.13933,0.14018
1999,Upper Secondary Level,female,Does not matter,0.42276,246,1507,0.42215,0.42337
1999,Upper Secondary Level,female,Does not apply/do not (yet) have a job,0.10972,69,1507,0.10934,0.11011
1999,Second Stage of Tertiary Education,female,In my current field/ field I was trained in,1.00000,57,1507,1.00000,1.00000
2000,Pre-primary Level,male,Does not apply/do not (yet) have a job,1.00000,158,2924,1.00000,1.00000
2000,Pre-primary Level,female,Does not apply/do not (yet) have a job,1.00000,193,2924,1.00000,1.00000
2000,Lower Secondary Level,male,Does not apply/do not (yet) have a job,1.00000,122,2924,1.00000,1.00000
2000,Lower Secondary Level,female,In my current field/ field I was trained in,0.10329,33,2924,0.10262,0.10396
2000,Lower Secondary Level,female,Does not matter,0.22671,73,2924,0.22578,0.22763
2000,Lower Secondary Level,female,Does not apply/do not (yet) have a job,0.67001,224,2924,0.66897,0.67104
2000,Upper Secondary Level,male,In my current field/ field I was trained in,0.29596,179,2924,0.29525,0.29668
2000,Upper Secondary Level,male,Do something new,0.20191,119,2924,0.20128,0.20254
2000,Upper Secondary Level,male,Does not matter,0.26739,182,2924,0.26670,0.26809
2000,Upper Secondary Level,male,Does not apply/do not (yet) have a job,0.23474,142,2924,0.23407,0.23540
2000,Upper Secondary Level,female,In my current field/ field I was trained in,0.33911,372,2924,0.33853,0.33970
2000,Upper Secondary Level,female,Do something new,0.17511,181,2924,0.17465,0.17558
2000,Upper Secondary Level,female,Does not matter,0.35671,401,2924,0.35612,0.35730
2000,Upper Secondary Level,female,Does not apply/do not (yet) have a job,0.12907,144,2924,0.12865,0.12948
2000,Post-secondary Non-tertiary Level,female,In my current field/ field I was trained in,1.00000,59,2924,1.00000,1.00000
2000,First Stage of Tertiary Education,female,In my current field/ field I was trained in,0.60396,73,2924,0.60208,0.60584
2000,First Stage of Tertiary Education,female,Does not matter,0.39604,43,2924,0.39416,0.39792
2000,Second Stage of Tertiary Education,male,In my current field/ field I was trained in,1.00000,50,2924,1.00000,1.00000
2000,Second Stage of Tertiary Education,female,In my current field/ field I was trained in,0.69571,122,2924,0.69432,0.69711
2000,Second Stage of Tertiary Education,female,Does not matter,0.30429,54,2924,0.30289,0.30568
2001,Pre-primary Level,male,Does not apply/do not (yet) have a job,1.00000,183,2583,1.00000,1.00000
2001,Pre-primary Level,female,Does not apply/do not (yet) have a job,1.00000,198,2583,1.00000,1.00000
2001,Lower Secondary Level,male,Does not matter,0.28939,32,2583,0.28792,0.29086
2001,Lower Secondary Level,male,Does not apply/do not (yet) have a job,0.71061,101,2583,0.70914,0.71208
2001,Lower Secondary Level,female,Does not matter,0.28865,75,2583,0.28757,0.28973
2001,Lower Secondary Level,female,Does not apply/do not (yet) have a job,0.71135,179,2583,0.71027,0.71243
2001,Upper Secondary Level,male,In my current field/ field I was trained in,0.32233,166,2583,0.32159,0.32306
2001,Upper Secondary Level,male,Do something new,0.13477,76,2583,0.13424,0.13531
2001,Upper Secondary Level,male,Does not matter,0.34013,181,2583,0.33939,0.34088
2001,Upper Secondary Level,male,Does not apply/do not (yet) have a job,0.20277,119,2583,0.20214,0.20340
2001,Upper Secondary Level,female,In my current field/ field I was trained in,0.33323,291,2583,0.33263,0.33382
2001,Upper Secondary Level,female,Do something new,0.19142,170,2583,0.19092,0.19192
2001,Upper Secondary Level,female,Does not matter,0.33658,327,2583,0.33598,0.33717
2001,Upper Secondary Level,female,Does not apply/do not (yet) have a job,0.13878,129,2583,0.13834,0.13921
2001,Post-secondary Non-tertiary Level,female,In my current field/ field I was trained in,1.00000,59,2583,1.00000,1.00000
2001,First Stage of Tertiary Education,female,In my current field/ field I was trained in,0.66276,61,2583,0.66073,0.66478
2001,First Stage of Tertiary Education,female,Does not matter,0.33724,32,2583,0.33522,0.33927
2001,Second Stage of Tertiary Education,male,In my current field/ field I was trained in,1.00000,34,2583,1.00000,1.00000
2001,Second Stage of Tertiary Education,female,In my current field/ field I was trained in,0.71089,116,2583,0.70960,0.71219
2001,Second Stage of Tertiary Education,female,Does not matter,0.28911,54,2583,0.28781,0.29040
2003,Pre-primary Level,male,Does not apply/do not (yet) have a job,1.00000,217,2696,1.00000,1.00000
2003,Pre-primary Level,female,Does not apply/do not (yet) have a job,1.00000,223,2696,1.00000,1.00000
2003,Lower Secondary Level,male,Does not matter,0.37627,42,2696,0.37471,0.37783
2003,Lower Secondary Level,male,Does not apply/do not (yet) have a job,0.62373,82,2696,0.62217,0.62529
2003,Lower Secondary Level,female,Does not matter,0.33026,60,2696,0.32916,0.33137
2003,Lower Secondary Level,female,Does not apply/do not (yet) have a job,0.66974,145,2696,0.66863,0.67084
2003,Upper Secondary Level,male,In my current field/ field I was trained in,0.26643,153,2696,0.26582,0.26704
2003,Upper Secondary Level,male,Do something new,0.15380,96,2696,0.15330,0.15429
2003,Upper Secondary Level,male,Does not matter,0.37420,231,2696,0.37353,0.37487
2003,Upper Secondary Level,male,Does not apply/do not (yet) have a job,0.20557,157,2696,0.20501,0.20613
2003,Upper Secondary Level,female,In my current field/ field I was trained in,0.27685,228,2696,0.27628,0.27742
2003,Upper Secondary Level,female,Do something new,0.14442,120,2696,0.14397,0.14487
2003,Upper Secondary Level,female,Does not matter,0.45124,368,2696,0.45060,0.45187
2003,Upper Secondary Level,female,Does not apply/do not (yet) have a job,0.12749,146,2696,0.12707,0.12792
2003,Post-secondary Non-tertiary Level,female,In my current field/ field I was trained in,0.63293,54,2696,0.63109,0.63477
2003,Post-secondary Non-tertiary Level,female,Does not matter,0.36707,37,2696,0.36523,0.36891
2003,First Stage of Tertiary Education,female,In my current field/ field I was trained in,0.55876,52,2696,0.55691,0.56062
2003,First Stage of Tertiary Education,female,Does not matter,0.44124,40,2696,0.43938,0.44309
2003,Second Stage of Tertiary Education,male,In my current field/ field I was trained in,0.52288,41,2696,0.52094,0.52481
2003,Second Stage of Tertiary Education,male,Does not matter,0.47712,43,2696,0.47519,0.47906
2003,Second Stage of Tertiary Education,female,In my current field/ field I was trained in,0.48547,89,2696,0.48399,0.48696
2003,Second Stage of Tertiary Education,female,Does not matter,0.51453,72,2696,0.51304,0.51601
2005,Pre-primary Level,male,Does not apply/do not (yet) have a job,1.00000,172,2203,1.00000,1.00000
2005,Pre-primary Level,female,Does not apply/do not (yet) have a job,1.00000,197,2203,1.00000,1.00000
2005,Lower Secondary Level,male,Does not matter,0.44300,52,2203,0.44149,0.44450
2005,Lower Secondary Level,male,Does not apply/do not (yet) have a job,0.55700,57,2203,0.55550,0.55851
2005,Lower Secondary Level,female,Does not matter,0.42664,62,2203,0.42534,0.42793
2005,Lower Secondary Level,female,Does not apply/do not (yet) have a job,0.57336,95,2203,0.57207,0.57466
2005,Upper Secondary Level,male,In my current field/ field I was trained in,0.22034,110,2203,0.21974,0.22095
2005,Upper Secondary Level,male,Do something new,0.12312,61,2203,0.12264,0.12360
2005,Upper Secondary Level,male,Does not matter,0.49867,246,2203,0.49794,0.49940
2005,Upper Secondary Level,male,Does not apply/do not (yet) have a job,0.15786,106,2203,0.15733,0.15840
2005,Upper Secondary Level,female,In my current field/ field I was trained in,0.24773,173,2203,0.24717,0.24830
2005,Upper Secondary Level,female,Do something new,0.11291,74,2203,0.11249,0.11332
2005,Upper Secondary Level,female,Does not matter,0.47010,338,2203,0.46944,0.47075
2005,Upper Secondary Level,female,Does not apply/do not (yet) have a job,0.16926,139,2203,0.16877,0.16975
2005,Post-secondary Non-tertiary Level,female,In my current field/ field I was trained in,0.46552,32,2203,0.46340,0.46763
2005,Post-secondary Non-tertiary Level,female,Does not matter,0.53448,42,2203,0.53237,0.53660
2005,First Stage of Tertiary Education,female,Does not matter,1.00000,35,2203,1.00000,1.00000
2005,Second Stage of Tertiary Education,male,In my current field/ field I was trained in,0.43305,31,2203,0.43089,0.43522
2005,Second Stage of Tertiary Education,male,Does not matter,0.56695,35,2203,0.56478,0.56911
2005,Second Stage of Tertiary Education,female,In my current field/ field I was trained in,0.50333,76,2203,0.50192,0.50475
2005,Second Stage of Tertiary Education,female,Does not matter,0.49667,70,2203,0.49525,0.49808
2007,Pre-primary Level,male,Does not apply/do not (yet) have a job,1.00000,120,2072,1.00000,1.00000
2007,Pre-primary Level,female,Does not apply/do not (yet) have a job,1.00000,132,2072,1.00000,1.00000
2007,Lower Secondary Level,male,Does not matter,0.24703,32,2072,0.24573,0.24833
2007,Lower Secondary Level,male,Does not apply/do not (yet) have a job,0.75297,78,2072,0.75167,0.75427
2007,Lower Secondary Level,female,Does not matter,0.34754,67,2072,0.34644,0.34865
2007,Lower Secondary Level,female,Does not apply/do not (yet) have a job,0.65246,121,2072,0.65135,0.65356
2007,Upper Secondary Level,male,In my current field/ field I was trained in,0.17939,91,2072,0.17882,0.17997
2007,Upper Secondary Level,male,Do something new,0.13854,56,2072,0.13802,0.13905
2007,Upper Secondary Level,male,Does not matter,0.44489,196,2072,0.44414,0.44563
2007,Upper Secondary Level,male,Does not apply/do not (yet) have a job,0.23718,140,2072,0.23654,0.23782
2007,Upper Secondary Level,female,In my current field/ field I was trained in,0.27183,189,2072,0.27127,0.27240
2007,Upper Secondary Level,female,Do something new,0.11209,83,2072,0.11169,0.11249
2007,Upper Secondary Level,female,Does not matter,0.46116,346,2072,0.46053,0.46179
2007,Upper Secondary Level,female,Does not apply/do not (yet) have a job,0.15492,142,2072,0.15446,0.15537
2007,Post-secondary Non-tertiary Level,female,In my current field/ field I was trained in,0.37885,40,2072,0.37712,0.38059
2007,Post-secondary Non-tertiary Level,female,Does not matter,0.62115,52,2072,0.61941,0.62288
2007,Second Stage of Tertiary Education,male,Does not matter,1.00000,36,2072,1.00000,1.00000
2007,Second Stage of Tertiary Education,female,In my current field/ field I was trained in,0.57393,87,2072,0.57254,0.57531
2007,Second Stage of Tertiary Education,female,Does not matter,0.42607,64,2072,0.42469,0.42746
2009,Pre-primary Level,male,Does not apply/do not (yet) have a job,1.00000,112,1639,1.00000,1.00000
2009,Pre-primary Level,female,Does not apply/do not (yet) have a job,1.00000,98,1639,1.00000,1.00000
2009,Lower Secondary Level,male,Does not apply/do not (yet) have a job,1.00000,60,1639,1.00000,1.00000
2009,Lower Secondary Level,female,Does not matter,0.41452,58,1639,0.41325,0.41579
2009,Lower Secondary Level,female,Does not apply/do not (yet) have a job,0.58548,83,1639,0.58421,0.58675
2009,Upper Secondary Level,male,In my current field/ field I was trained in,0.24135,108,1639,0.24071,0.24198
2009,Upper Secondary Level,male,Do something new,0.12952,54,1639,0.12902,0.13001
2009,Upper Secondary Level,male,Does not matter,0.40782,165,1639,0.40709,0.40855
2009,Upper Secondary Level,male,Does not apply/do not (yet) have a job,0.22132,105,1639,0.22070,0.22194
2009,Upper Secondary Level,female,In my current field/ field I was trained in,0.24025,135,1639,0.23966,0.24084
2009,Upper Secondary Level,female,Do something new,0.12025,63,1639,0.11981,0.12070
2009,Upper Secondary Level,female,Does not matter,0.44535,245,1639,0.44466,0.44603
2009,Upper Secondary Level,female,Does not apply/do not (yet) have a job,0.19415,121,1639,0.19360,0.19469
2009,Post-secondary Non-tertiary Level,female,In my current field/ field I was trained in,0.53411,38,1639,0.53219,0.53603
2009,Post-secondary Non-tertiary Level,female,Does not matter,0.46589,34,1639,0.46397,0.46781
2009,Second Stage of Tertiary Education,male,Does not matter,1.00000,41,1639,1.00000,1.00000
2009,Second Stage of Tertiary Education,female,In my current field/ field I was trained in,0.49541,66,1639,0.49380,0.49703
2009,Second Stage of Tertiary Education,female,Does not matter,0.50459,53,1639,0.50297,0.50620
2011,Pre-primary Level,male,Does not apply/do not (yet) have a job,1.00000,85,1195,1.00000,1.00000
2011,Pre-primary Level,female,Does not apply/do not (yet) have a job,1.00000,68,1195,1.00000,1.00000
2011,Lower Secondary Level,male,Does not apply/do not (yet) have a job,1.00000,38,1195,1.00000,1.00000
2011,Lower Secondary Level,female,Does not matter,0.43595,45,1195,0.43374,0.43816
2011,Lower Secondary Level,female,Does not apply/do not (yet) have a job,0.56405,57,1195,0.56184,0.56626
2011,Upper Secondary Level,male,In my current field/ field I was trained in,0.21343,79,1195,0.21267,0.21419
2011,Upper Secondary Level,male,Do something new,0.11908,36,1195,0.11848,0.11968
2011,Upper Secondary Level,male,Does not matter,0.38427,114,1195,0.38336,0.38517
2011,Upper Secondary Level,male,Does not apply/do not (yet) have a job,0.28322,103,1195,0.28239,0.28406
2011,Upper Secondary Level,female,In my current field/ field I was trained in,0.21348,101,1195,0.21270,0.21427
2011,Upper Secondary Level,female,Do something new,0.13737,69,1195,0.13671,0.13803
2011,Upper Secondary Level,female,Does not matter,0.38497,187,1195,0.38404,0.38590
2011,Upper Secondary Level,female,Does not apply/do not (yet) have a job,0.26417,111,1195,0.26333,0.26502
2011,Second Stage of Tertiary Education,female,In my current field/ field I was trained in,0.51386,59,1195,0.51177,0.51596
2011,Second Stage of Tertiary Education,female,Does not matter,0.48614,43,1195,0.48404,0.48823
2013,Pre-primary Level,male,Does not apply/do not (yet) have a job,1.00000,88,1549,1.00000,1.00000
2013,Pre-primary Level,female,Does not apply/do not (yet) have a job,1.00000,93,1549,1.00000,1.00000
2013,Lower Secondary Level,male,Does not apply/do not (yet) have a job,1.00000,49,1549,1.00000,1.00000
2013,Lower Secondary Level,female,Does not matter,0.49273,64,1549,0.49084,0.49462
2013,Lower Secondary Level,female,Does not apply/do not (yet) have a job,0.50727,63,1549,0.50538,0.50916
2013,Upper Secondary Level,male,In my current field/ field I was trained in,0.25413,91,1549,0.25340,0.25485
2013,Upper Secondary Level,male,Do something new,0.16500,68,1549,0.16438,0.16561
2013,Upper Secondary Level,male,Does not matter,0.34766,134,1549,0.34687,0.34845
2013,Upper Secondary Level,male,Does not apply/do not (yet) have a job,0.23321,109,1549,0.23251,0.23391
2013,Upper Secondary Level,female,In my current field/ field I was trained in,0.22212,141,1549,0.22142,0.22282
2013,Upper Secondary Level,female,Do something new,0.20350,105,1549,0.20282,0.20418
2013,Upper Secondary Level,female,Does not matter,0.37275,202,1549,0.37194,0.37356
2013,Upper Secondary Level,female,Does not apply/do not (yet) have a job,0.20163,116,1549,0.20096,0.20231
2013,Post-secondary Non-tertiary Level,female,In my current field/ field I was trained in,0.57831,40,1549,0.57591,0.58070
2013,Post-secondary Non-tertiary Level,female,Does not matter,0.42169,31,1549,0.41930,0.42409
2013,Second Stage of Tertiary Education,male,In my current field/ field I was trained in,1.00000,31,1549,1.00000,1.00000
2013,Second Stage of Tertiary Education,female,In my current field/ field I was trained in,0.71504,85,1549,0.71335,0.71673
2013,Second Stage of Tertiary Education,female,Does not matter,0.28496,39,1549,0.28327,0.28665
2015,Pre-primary Level,male,Does not apply/do not (yet) have a job,1.00000,123,3465,1.00000,1.00000
2015,Pre-primary Level,female,Does not apply/do not (yet) have a job,1.00000,145,3465,1.00000,1.00000
2015,Primary Level,male,Does not matter,1.00000,34,3465,1.00000,1.00000
2015,Primary Level,female,Does not matter,0.42831,44,3465,0.42560,0.43102
2015,Primary Level,female,Does not apply/do not (yet) have a job,0.57169,64,3465,0.56898,0.57440
2015,Lower Secondary Level,male,Does not matter,0.29893,70,3465,0.29746,0.30039
2015,Lower Secondary Level,male,Does not apply/do not (yet) have a job,0.70107,113,3465,0.69961,0.70254
2015,Lower Secondary Level,female,In my current field/ field I was trained in,0.09200,41,3465,0.09130,0.09270
2015,Lower Secondary Level,female,Do something new,0.11719,45,3465,0.11640,0.11797
2015,Lower Secondary Level,female,Does not matter,0.37126,170,3465,0.37008,0.37244
2015,Lower Secondary Level,female,Does not apply/do not (yet) have a job,0.41955,188,3465,0.41835,0.42075
2015,Upper Secondary Level,male,In my current field/ field I was trained in,0.18020,114,3465,0.17960,0.18079
2015,Upper Secondary Level,male,Do something new,0.16319,80,3465,0.16262,0.16376
2015,Upper Secondary Level,male,Does not matter,0.37980,195,3465,0.37904,0.38055
2015,Upper Secondary Level,male,Does not apply/do not (yet) have a job,0.27682,169,3465,0.27612,0.27751
2015,Upper Secondary Level,female,In my current field/ field I was trained in,0.25330,275,3465,0.25267,0.25393
2015,Upper Secondary Level,female,Do something new,0.19159,205,3465,0.19102,0.19216
2015,Upper Secondary Level,female,Does not matter,0.34886,373,3465,0.34817,0.34954
2015,Upper Secondary Level,female,Does not apply/do not (yet) have a job,0.20626,216,3465,0.20567,0.20684
2015,Post-secondary Non-tertiary Level,male,Does not matter,1.00000,32,3465,1.00000,1.00000
2015,Post-secondary Non-tertiary Level,female,In my current field/ field I was trained in,0.54896,107,3465,0.54733,0.55059
2015,Post-secondary Non-tertiary Level,female,Do something new,0.23323,50,3465,0.23184,0.23462
2015,Post-secondary Non-tertiary Level,female,Does not matter,0.21781,78,3465,0.21646,0.21917
2015,Second Stage of Tertiary Education,male,In my current field/ field I was trained in,0.67119,76,3465,0.66958,0.67281
2015,Second Stage of Tertiary Education,male,Does not matter,0.32881,56,3465,0.32719,0.33042
2015,Second Stage of Tertiary Education,female,In my current field/ field I was trained in,0.52977,210,3465,0.52855,0.53098
2015,Second Stage of Tertiary Education,female,Do something new,0.15811,65,3465,0.15722,0.15900
2015,Second Stage of Tertiary Education,female,Does not matter,0.31213,127,3465,0.31100,0.31326
2017,Pre-primary Level,male,Does not apply/do not (yet) have a job,1.00000,141,2914,1.00000,1.00000
2017,Pre-primary Level,female,Does not apply/do not (yet) have a job,1.00000,139,2914,1.00000,1.00000
2017,Primary Level,female,Does not matter,0.42425,44,2914,0.42198,0.42651
2017,Primary Level,female,Does not apply/do not (yet) have a job,0.57575,50,2914,0.57349,0.57802
2017,Lower Secondary Level,male,Do something new,0.22409,36,2914,0.22289,0.22528
2017,Lower Secondary Level,male,Does not matter,0.28040,58,2914,0.27912,0.28169
2017,Lower Secondary Level,male,Does not apply/do not (yet) have a job,0.49551,107,2914,0.49408,0.49694
2017,Lower Secondary Level,female,In my current field/ field I was trained in,0.16013,47,2914,0.15923,0.16104
2017,Lower Secondary Level,female,Do something new,0.11518,48,2914,0.11439,0.11596
2017,Lower Secondary Level,female,Does not matter,0.31814,126,2914,0.31699,0.31929
2017,Lower Secondary Level,female,Does not apply/do not (yet) have a job,0.40655,150,2914,0.40534,0.40776
2017,Upper Secondary Level,male,In my current field/ field I was trained in,0.17354,94,2914,0.17292,0.17417
2017,Upper Secondary Level,male,Do something new,0.21719,90,2914,0.21652,0.21787
2017,Upper Secondary Level,male,Does not matter,0.34274,145,2914,0.34196,0.34352
2017,Upper Secondary Level,male,Does not apply/do not (yet) have a job,0.26653,167,2914,0.26580,0.26725
2017,Upper Secondary Level,female,In my current field/ field I was trained in,0.31473,221,2914,0.31401,0.31545
2017,Upper Secondary Level,female,Do something new,0.17971,161,2914,0.17912,0.18031
2017,Upper Secondary Level,female,Does not matter,0.29767,259,2914,0.29696,0.29838
2017,Upper Secondary Level,female,Does not apply/do not (yet) have a job,0.20789,197,2914,0.20726,0.20852
2017,Post-secondary Non-tertiary Level,female,In my current field/ field I was trained in,0.36370,62,2914,0.36204,0.36537
2017,Post-secondary Non-tertiary Level,female,Do something new,0.34538,60,2914,0.34373,0.34702
2017,Post-secondary Non-tertiary Level,female,Does not matter,0.29092,68,2914,0.28935,0.29249
2017,Second Stage of Tertiary Education,male,In my current field/ field I was trained in,0.67553,67,2914,0.67366,0.67740
2017,Second Stage of Tertiary Education,male,Does not matter,0.32447,35,2914,0.32260,0.32634
2017,Second Stage of Tertiary Education,female,In my current field/ field I was trained in,0.57438,180,2914,0.57323,0.57553
2017,Second Stage of Tertiary Education,female,Do something new,0.17406,63,2914,0.17318,0.17494
2017,Second Stage of Tertiary Education,female,Does not matter,0.25156,99,2914,0.25055,0.25257
