year,pgisced97,sampreg,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Second Stage of Tertiary Education,West,In my current field/ field I was trained in,0.05351,59,59,-0.00441,0.11143
1996,Second Stage of Tertiary Education,East,In my current field/ field I was trained in,0.04630,38,38,-0.02141,0.11400
1997,Pre-primary Level,West,Does not apply/do not (yet) have a job,0.79959,162,162,0.73776,0.86143
1997,Pre-primary Level,East,Does not apply/do not (yet) have a job,0.72626,80,80,0.62793,0.82458
1997,Primary Level,West,Does not apply/do not (yet) have a job,0.08043,36,36,-0.00967,0.17053
1997,Lower Secondary Level,West,In my current field/ field I was trained in,0.01884,47,343,0.00443,0.03325
1997,Lower Secondary Level,West,Do something new,0.02245,42,343,0.00675,0.03816
1997,Lower Secondary Level,West,Does not matter,0.03177,95,343,0.01318,0.05036
1997,Lower Secondary Level,West,Does not apply/do not (yet) have a job,0.05492,159,343,0.03077,0.07907
1997,Upper Secondary Level,West,In my current field/ field I was trained in,0.04262,220,635,0.02690,0.05835
1997,Upper Secondary Level,West,Do something new,0.02474,107,635,0.01265,0.03683
1997,Upper Secondary Level,West,Does not matter,0.04087,203,635,0.02546,0.05628
1997,Upper Secondary Level,West,Does not apply/do not (yet) have a job,0.01681,105,635,0.00680,0.02682
1997,Upper Secondary Level,East,In my current field/ field I was trained in,0.06316,112,361,0.03803,0.08829
1997,Upper Secondary Level,East,Do something new,0.02934,55,361,0.01191,0.04677
1997,Upper Secondary Level,East,Does not matter,0.08930,194,361,0.05984,0.11876
1997,Post-secondary Non-tertiary Level,West,In my current field/ field I was trained in,0.08590,36,36,-0.00694,0.17873
1997,Second Stage of Tertiary Education,West,In my current field/ field I was trained in,0.04239,47,47,-0.01583,0.10062
1997,Second Stage of Tertiary Education,East,In my current field/ field I was trained in,0.03436,32,32,-0.02976,0.09849
1998,Pre-primary Level,West,Does not apply/do not (yet) have a job,0.72153,163,163,0.65251,0.79056
1998,Pre-primary Level,East,Does not apply/do not (yet) have a job,0.65782,77,77,0.55116,0.76449
1998,Primary Level,West,Does not apply/do not (yet) have a job,0.09478,35,35,-0.00368,0.19324
1998,Lower Secondary Level,West,In my current field/ field I was trained in,0.01851,52,321,0.00374,0.03328
1998,Lower Secondary Level,West,Does not matter,0.03645,95,321,0.01591,0.05698
1998,Lower Secondary Level,West,Does not apply/do not (yet) have a job,0.06236,174,321,0.03586,0.08885
1998,Upper Secondary Level,West,In my current field/ field I was trained in,0.04192,232,649,0.02649,0.05736
1998,Upper Secondary Level,West,Do something new,0.02226,115,649,0.01090,0.03362
1998,Upper Secondary Level,West,Does not matter,0.03187,178,649,0.01834,0.04539
1998,Upper Secondary Level,West,Does not apply/do not (yet) have a job,0.02210,124,649,0.01078,0.03342
1998,Upper Secondary Level,East,In my current field/ field I was trained in,0.06126,128,390,0.03743,0.08509
1998,Upper Secondary Level,East,Do something new,0.02736,58,390,0.01115,0.04358
1998,Upper Secondary Level,East,Does not matter,0.08780,204,390,0.05968,0.11592
1998,First Stage of Tertiary Education,West,In my current field/ field I was trained in,0.05701,39,39,-0.01671,0.13072
1998,Second Stage of Tertiary Education,West,In my current field/ field I was trained in,0.04273,54,54,-0.01172,0.09717
1998,Second Stage of Tertiary Education,East,In my current field/ field I was trained in,0.05526,46,82,0.00550,0.10502
1998,Second Stage of Tertiary Education,East,Does not matter,0.04035,36,82,-0.00251,0.08320
1999,Pre-primary Level,West,Does not apply/do not (yet) have a job,0.67989,153,153,0.60572,0.75405
1999,Pre-primary Level,East,Does not apply/do not (yet) have a job,0.72056,79,79,0.62097,0.82014
1999,Lower Secondary Level,West,In my current field/ field I was trained in,0.01366,40,297,0.00044,0.02688
1999,Lower Secondary Level,West,Do something new,0.01467,39,297,0.00097,0.02836
1999,Lower Secondary Level,West,Does not matter,0.03205,80,297,0.01198,0.05211
1999,Lower Secondary Level,West,Does not apply/do not (yet) have a job,0.05541,138,297,0.02935,0.08148
1999,Upper Secondary Level,West,In my current field/ field I was trained in,0.03492,183,544,0.01948,0.05036
1999,Upper Secondary Level,West,Do something new,0.01471,80,544,0.00458,0.02484
1999,Upper Secondary Level,West,Does not matter,0.03204,173,544,0.01723,0.04685
1999,Upper Secondary Level,West,Does not apply/do not (yet) have a job,0.01996,108,544,0.00820,0.03173
1999,Upper Secondary Level,East,In my current field/ field I was trained in,0.04550,105,381,0.02455,0.06645
1999,Upper Secondary Level,East,Do something new,0.02690,55,381,0.01063,0.04317
1999,Upper Secondary Level,East,Does not matter,0.08580,189,381,0.05764,0.11396
1999,Upper Secondary Level,East,Does not apply/do not (yet) have a job,0.01303,32,381,0.00163,0.02443
1999,Second Stage of Tertiary Education,West,In my current field/ field I was trained in,0.03399,44,44,-0.02017,0.08815
1999,Second Stage of Tertiary Education,East,In my current field/ field I was trained in,0.04015,36,36,-0.02489,0.10518
2000,Pre-primary Level,West,Does not apply/do not (yet) have a job,0.65757,238,238,0.59716,0.71799
2000,Pre-primary Level,East,Does not apply/do not (yet) have a job,0.79315,113,113,0.71814,0.86817
2000,Primary Level,West,Does not apply/do not (yet) have a job,0.08589,33,33,-0.01120,0.18297
2000,Lower Secondary Level,West,In my current field/ field I was trained in,0.01283,43,450,0.00242,0.02323
2000,Lower Secondary Level,West,Do something new,0.01042,33,450,0.00103,0.01981
2000,Lower Secondary Level,West,Does not matter,0.02307,80,450,0.00918,0.03695
2000,Lower Secondary Level,West,Does not apply/do not (yet) have a job,0.08206,294,450,0.05667,0.10744
2000,Lower Secondary Level,East,Does not apply/do not (yet) have a job,0.08063,52,52,0.00590,0.15535
2000,Upper Secondary Level,West,In my current field/ field I was trained in,0.03463,389,1114,0.02389,0.04537
2000,Upper Secondary Level,West,Do something new,0.01773,192,1114,0.00997,0.02548
2000,Upper Secondary Level,West,Does not matter,0.02742,313,1114,0.01783,0.03702
2000,Upper Secondary Level,West,Does not apply/do not (yet) have a job,0.02013,220,1114,0.01188,0.02838
2000,Upper Secondary Level,East,In my current field/ field I was trained in,0.04486,162,606,0.02837,0.06136
2000,Upper Secondary Level,East,Do something new,0.03430,108,606,0.01980,0.04880
2000,Upper Secondary Level,East,Does not matter,0.07350,270,606,0.05271,0.09430
2000,Upper Secondary Level,East,Does not apply/do not (yet) have a job,0.01577,66,606,0.00584,0.02569
2000,Post-secondary Non-tertiary Level,West,In my current field/ field I was trained in,0.05860,69,147,0.02050,0.09671
2000,Post-secondary Non-tertiary Level,West,Do something new,0.04266,41,147,0.00988,0.07544
2000,Post-secondary Non-tertiary Level,West,Does not matter,0.03117,37,147,0.00298,0.05935
2000,First Stage of Tertiary Education,West,In my current field/ field I was trained in,0.03774,71,114,0.00261,0.07288
2000,First Stage of Tertiary Education,West,Does not matter,0.02541,43,114,-0.00361,0.05443
2000,Second Stage of Tertiary Education,West,In my current field/ field I was trained in,0.04226,126,173,0.01220,0.07233
2000,Second Stage of Tertiary Education,West,Does not matter,0.01697,47,173,-0.00233,0.03628
2000,Second Stage of Tertiary Education,East,In my current field/ field I was trained in,0.03484,46,83,-0.00485,0.07454
2000,Second Stage of Tertiary Education,East,Does not matter,0.02473,37,83,-0.00889,0.05834
2001,Pre-primary Level,West,Does not apply/do not (yet) have a job,0.66917,266,266,0.61252,0.72582
2001,Pre-primary Level,East,Does not apply/do not (yet) have a job,0.74570,115,115,0.66576,0.82564
2001,Primary Level,West,Does not apply/do not (yet) have a job,0.12819,32,32,0.01051,0.24588
2001,Lower Secondary Level,West,In my current field/ field I was trained in,0.00997,32,387,0.00006,0.01988
2001,Lower Secondary Level,West,Do something new,0.00952,31,387,-0.00017,0.01921
2001,Lower Secondary Level,West,Does not matter,0.02976,85,387,0.01281,0.04672
2001,Lower Secondary Level,West,Does not apply/do not (yet) have a job,0.07859,239,387,0.05175,0.10544
2001,Lower Secondary Level,East,Does not apply/do not (yet) have a job,0.05606,41,41,-0.01523,0.12735
2001,Upper Secondary Level,West,In my current field/ field I was trained in,0.03604,331,928,0.02404,0.04804
2001,Upper Secondary Level,West,Do something new,0.01641,165,928,0.00823,0.02459
2001,Upper Secondary Level,West,Does not matter,0.02661,245,928,0.01625,0.03697
2001,Upper Secondary Level,West,Does not apply/do not (yet) have a job,0.01881,187,928,0.01006,0.02755
2001,Upper Secondary Level,East,In my current field/ field I was trained in,0.03772,126,531,0.02150,0.05394
2001,Upper Secondary Level,East,Do something new,0.02799,81,531,0.01394,0.04203
2001,Upper Secondary Level,East,Does not matter,0.08081,263,531,0.05761,0.10401
2001,Upper Secondary Level,East,Does not apply/do not (yet) have a job,0.01531,61,531,0.00486,0.02576
2001,Post-secondary Non-tertiary Level,West,In my current field/ field I was trained in,0.06109,64,132,0.02008,0.10210
2001,Post-secondary Non-tertiary Level,West,Do something new,0.03461,35,132,0.00331,0.06591
2001,Post-secondary Non-tertiary Level,West,Does not matter,0.03014,33,132,0.00086,0.05942
2001,First Stage of Tertiary Education,West,In my current field/ field I was trained in,0.03499,55,55,-0.01402,0.08400
2001,Second Stage of Tertiary Education,West,In my current field/ field I was trained in,0.04521,113,155,0.01239,0.07802
2001,Second Stage of Tertiary Education,West,Does not matter,0.01777,42,155,-0.00310,0.03863
2001,Second Stage of Tertiary Education,East,In my current field/ field I was trained in,0.03157,37,77,-0.00774,0.07089
2001,Second Stage of Tertiary Education,East,Does not matter,0.02792,40,77,-0.00912,0.06496
2003,Pre-primary Level,West,Does not apply/do not (yet) have a job,0.67132,317,317,0.61953,0.72311
2003,Pre-primary Level,East,Does not apply/do not (yet) have a job,0.73204,123,123,0.65345,0.81064
2003,Lower Secondary Level,West,In my current field/ field I was trained in,0.01449,33,299,0.00092,0.02806
2003,Lower Secondary Level,West,Does not matter,0.03753,84,299,0.01595,0.05911
2003,Lower Secondary Level,West,Does not apply/do not (yet) have a job,0.06876,182,299,0.04003,0.09749
2003,Lower Secondary Level,East,Does not apply/do not (yet) have a job,0.10349,45,45,0.01349,0.19349
2003,Upper Secondary Level,West,In my current field/ field I was trained in,0.03076,263,951,0.01978,0.04174
2003,Upper Secondary Level,West,Do something new,0.01687,146,951,0.00868,0.02506
2003,Upper Secondary Level,West,Does not matter,0.03793,307,951,0.02578,0.05007
2003,Upper Secondary Level,West,Does not apply/do not (yet) have a job,0.01999,235,951,0.01109,0.02889
2003,Upper Secondary Level,East,In my current field/ field I was trained in,0.04298,118,548,0.02599,0.05998
2003,Upper Secondary Level,East,Do something new,0.02321,70,548,0.01059,0.03582
2003,Upper Secondary Level,East,Does not matter,0.10200,292,548,0.07664,0.12737
2003,Upper Secondary Level,East,Does not apply/do not (yet) have a job,0.01958,68,548,0.00797,0.03119
2003,Post-secondary Non-tertiary Level,West,In my current field/ field I was trained in,0.05841,57,133,0.01840,0.09842
2003,Post-secondary Non-tertiary Level,West,Do something new,0.03002,32,133,0.00091,0.05913
2003,Post-secondary Non-tertiary Level,West,Does not matter,0.04324,44,133,0.00854,0.07793
2003,First Stage of Tertiary Education,West,In my current field/ field I was trained in,0.03863,53,92,-0.00096,0.07823
2003,First Stage of Tertiary Education,West,Does not matter,0.03173,39,92,-0.00429,0.06774
2003,Second Stage of Tertiary Education,West,In my current field/ field I was trained in,0.03216,92,162,0.00491,0.05941
2003,Second Stage of Tertiary Education,West,Does not matter,0.02987,70,162,0.00357,0.05616
2003,Second Stage of Tertiary Education,East,In my current field/ field I was trained in,0.03251,38,83,-0.00588,0.07090
2003,Second Stage of Tertiary Education,East,Does not matter,0.03971,45,83,-0.00256,0.08198
2005,Pre-primary Level,West,Does not apply/do not (yet) have a job,0.53666,271,271,0.47718,0.59614
2005,Pre-primary Level,East,Does not apply/do not (yet) have a job,0.64160,98,98,0.54617,0.73703
2005,Lower Secondary Level,West,Does not matter,0.03828,90,215,0.01257,0.06398
2005,Lower Secondary Level,West,Does not apply/do not (yet) have a job,0.05901,125,215,0.02744,0.09059
2005,Upper Secondary Level,West,In my current field/ field I was trained in,0.02463,196,743,0.01348,0.03578
2005,Upper Secondary Level,West,Do something new,0.01124,83,743,0.00366,0.01883
2005,Upper Secondary Level,West,Does not matter,0.03844,293,743,0.02461,0.05227
2005,Upper Secondary Level,West,Does not apply/do not (yet) have a job,0.01737,171,743,0.00797,0.02677
2005,Upper Secondary Level,East,In my current field/ field I was trained in,0.03466,87,504,0.01867,0.05064
2005,Upper Secondary Level,East,Do something new,0.02155,52,504,0.00886,0.03424
2005,Upper Secondary Level,East,Does not matter,0.12002,291,504,0.09161,0.14842
2005,Upper Secondary Level,East,Does not apply/do not (yet) have a job,0.02332,74,504,0.01013,0.03651
2005,Post-secondary Non-tertiary Level,West,In my current field/ field I was trained in,0.03769,36,81,-0.00404,0.07942
2005,Post-secondary Non-tertiary Level,West,Does not matter,0.04903,45,81,0.00171,0.09634
2005,First Stage of Tertiary Education,West,In my current field/ field I was trained in,0.02548,31,62,-0.01406,0.06503
2005,First Stage of Tertiary Education,West,Does not matter,0.02844,31,62,-0.01327,0.07016
2005,Second Stage of Tertiary Education,West,In my current field/ field I was trained in,0.03168,73,137,0.00224,0.06112
2005,Second Stage of Tertiary Education,West,Does not matter,0.03188,64,137,0.00235,0.06140
2005,Second Stage of Tertiary Education,East,In my current field/ field I was trained in,0.02584,34,75,-0.01031,0.06198
2005,Second Stage of Tertiary Education,East,Does not matter,0.03411,41,75,-0.00725,0.07547
2007,Pre-primary Level,West,Does not apply/do not (yet) have a job,0.38191,193,193,0.31318,0.45063
2007,Pre-primary Level,East,Does not apply/do not (yet) have a job,0.34263,59,59,0.22049,0.46477
2007,Lower Secondary Level,West,Does not matter,0.03423,77,245,0.01142,0.05705
2007,Lower Secondary Level,West,Does not apply/do not (yet) have a job,0.08740,168,245,0.05197,0.12284
2007,Lower Secondary Level,East,Does not apply/do not (yet) have a job,0.09422,31,31,-0.01032,0.19876
2007,Upper Secondary Level,West,In my current field/ field I was trained in,0.02647,199,809,0.01540,0.03754
2007,Upper Secondary Level,West,Do something new,0.01319,94,809,0.00532,0.02105
2007,Upper Secondary Level,West,Does not matter,0.04088,298,809,0.02723,0.05454
2007,Upper Secondary Level,West,Does not apply/do not (yet) have a job,0.02207,218,809,0.01194,0.03220
2007,Upper Secondary Level,East,In my current field/ field I was trained in,0.02950,81,434,0.01356,0.04544
2007,Upper Secondary Level,East,Do something new,0.01871,45,434,0.00595,0.03147
2007,Upper Secondary Level,East,Does not matter,0.09999,244,434,0.07174,0.12825
2007,Upper Secondary Level,East,Does not apply/do not (yet) have a job,0.02160,64,434,0.00791,0.03529
2007,Post-secondary Non-tertiary Level,West,In my current field/ field I was trained in,0.04105,49,105,0.00292,0.07918
2007,Post-secondary Non-tertiary Level,West,Does not matter,0.06066,56,105,0.01478,0.10654
2007,First Stage of Tertiary Education,West,In my current field/ field I was trained in,0.02855,33,33,-0.02915,0.08625
2007,Second Stage of Tertiary Education,West,In my current field/ field I was trained in,0.02777,79,144,0.00084,0.05471
2007,Second Stage of Tertiary Education,West,Does not matter,0.02807,65,144,0.00100,0.05515
2007,Second Stage of Tertiary Education,East,In my current field/ field I was trained in,0.04208,35,70,-0.00529,0.08945
2007,Second Stage of Tertiary Education,East,Does not matter,0.02404,35,70,-0.01210,0.06019
2009,Pre-primary Level,West,Does not apply/do not (yet) have a job,0.38484,171,171,0.31170,0.45799
2009,Pre-primary Level,East,Does not apply/do not (yet) have a job,0.45978,39,39,0.30131,0.61824
2009,Lower Secondary Level,West,Does not matter,0.04088,71,191,0.01272,0.06903
2009,Lower Secondary Level,West,Does not apply/do not (yet) have a job,0.07116,120,191,0.03460,0.10771
2009,Upper Secondary Level,West,In my current field/ field I was trained in,0.02186,171,627,0.01040,0.03331
2009,Upper Secondary Level,West,Do something new,0.01092,72,627,0.00278,0.01907
2009,Upper Secondary Level,West,Does not matter,0.03760,219,627,0.02270,0.05250
2009,Upper Secondary Level,West,Does not apply/do not (yet) have a job,0.02327,165,627,0.01146,0.03508
2009,Upper Secondary Level,East,In my current field/ field I was trained in,0.04077,72,369,0.02056,0.06097
2009,Upper Secondary Level,East,Do something new,0.02257,45,369,0.00740,0.03775
2009,Upper Secondary Level,East,Does not matter,0.07756,191,369,0.05023,0.10489
2009,Upper Secondary Level,East,Does not apply/do not (yet) have a job,0.01679,61,369,0.00366,0.02992
2009,Post-secondary Non-tertiary Level,West,In my current field/ field I was trained in,0.04249,38,72,-0.00443,0.08940
2009,Post-secondary Non-tertiary Level,West,Does not matter,0.03751,34,72,-0.00669,0.08171
2009,Second Stage of Tertiary Education,West,In my current field/ field I was trained in,0.02585,66,126,-0.00197,0.05367
2009,Second Stage of Tertiary Education,West,Does not matter,0.02481,60,126,-0.00246,0.05208
2009,Second Stage of Tertiary Education,East,Does not matter,0.02231,34,34,-0.02808,0.07271
2011,Pre-primary Level,West,Does not apply/do not (yet) have a job,0.17854,130,130,0.11245,0.24462
2011,Lower Secondary Level,West,Does not matter,0.01703,48,128,-0.00547,0.03953
2011,Lower Secondary Level,West,Does not apply/do not (yet) have a job,0.02359,80,128,-0.00281,0.04999
2011,Upper Secondary Level,West,In my current field/ field I was trained in,0.01173,118,523,0.00249,0.02097
2011,Upper Secondary Level,West,Do something new,0.00674,60,523,-0.00028,0.01376
2011,Upper Secondary Level,West,Does not matter,0.02113,180,523,0.00879,0.03346
2011,Upper Secondary Level,West,Does not apply/do not (yet) have a job,0.01814,165,523,0.00669,0.02959
2011,Upper Secondary Level,East,In my current field/ field I was trained in,0.02054,62,277,0.00381,0.03727
2011,Upper Secondary Level,East,Do something new,0.01364,45,277,-0.00005,0.02732
2011,Upper Secondary Level,East,Does not matter,0.03702,121,277,0.01474,0.05930
2011,Upper Secondary Level,East,Does not apply/do not (yet) have a job,0.01417,49,277,0.00022,0.02811
2011,Second Stage of Tertiary Education,West,In my current field/ field I was trained in,0.01395,65,112,-0.00787,0.03577
2011,Second Stage of Tertiary Education,West,Does not matter,0.01146,47,112,-0.00834,0.03125
2013,Pre-primary Level,West,Does not apply/do not (yet) have a job,0.26110,156,156,0.19195,0.33025
2013,Lower Secondary Level,West,Do something new,0.01288,33,198,-0.00287,0.02862
2013,Lower Secondary Level,West,Does not matter,0.02227,70,198,0.00166,0.04288
2013,Lower Secondary Level,West,Does not apply/do not (yet) have a job,0.03486,95,198,0.00924,0.06047
2013,Upper Secondary Level,West,In my current field/ field I was trained in,0.01952,175,689,0.00919,0.02986
2013,Upper Secondary Level,West,Do something new,0.01536,123,689,0.00617,0.02455
2013,Upper Secondary Level,West,Does not matter,0.02343,204,689,0.01213,0.03474
2013,Upper Secondary Level,West,Does not apply/do not (yet) have a job,0.01855,187,689,0.00847,0.02863
2013,Upper Secondary Level,East,In my current field/ field I was trained in,0.01928,57,277,0.00306,0.03550
2013,Upper Secondary Level,East,Do something new,0.01415,50,277,0.00021,0.02808
2013,Upper Secondary Level,East,Does not matter,0.05332,132,277,0.02681,0.07982
2013,Upper Secondary Level,East,Does not apply/do not (yet) have a job,0.01455,38,277,0.00042,0.02867
2013,Post-secondary Non-tertiary Level,West,In my current field/ field I was trained in,0.02690,39,76,-0.00972,0.06352
2013,Post-secondary Non-tertiary Level,West,Does not matter,0.02781,37,76,-0.00941,0.06502
2013,Second Stage of Tertiary Education,West,In my current field/ field I was trained in,0.02233,93,174,0.00031,0.04434
2013,Second Stage of Tertiary Education,West,Do something new,0.00539,33,174,-0.00552,0.01630
2013,Second Stage of Tertiary Education,West,Does not matter,0.01014,48,174,-0.00479,0.02506
2015,Pre-primary Level,West,Does not apply/do not (yet) have a job,0.40218,227,227,0.33825,0.46611
2015,Pre-primary Level,East,Does not apply/do not (yet) have a job,0.37156,41,41,0.22181,0.52131
2015,Primary Level,West,Does not matter,0.08990,68,141,0.04251,0.13728
2015,Primary Level,West,Does not apply/do not (yet) have a job,0.09612,73,141,0.04729,0.14494
2015,Lower Secondary Level,West,In my current field/ field I was trained in,0.01429,63,592,0.00472,0.02385
2015,Lower Secondary Level,West,Do something new,0.01756,59,592,0.00697,0.02814
2015,Lower Secondary Level,West,Does not matter,0.04310,204,592,0.02673,0.05947
2015,Lower Secondary Level,West,Does not apply/do not (yet) have a job,0.06923,266,592,0.04876,0.08969
2015,Lower Secondary Level,East,Does not matter,0.07225,38,73,0.01245,0.13206
2015,Lower Secondary Level,East,Does not apply/do not (yet) have a job,0.06513,35,73,0.00813,0.12213
2015,Upper Secondary Level,West,In my current field/ field I was trained in,0.02225,302,1247,0.01406,0.03045
2015,Upper Secondary Level,West,Do something new,0.01795,215,1247,0.01057,0.02532
2015,Upper Secondary Level,West,Does not matter,0.03260,387,1247,0.02274,0.04246
2015,Upper Secondary Level,West,Does not apply/do not (yet) have a job,0.02846,343,1247,0.01922,0.03769
2015,Upper Secondary Level,East,In my current field/ field I was trained in,0.02469,88,379,0.00905,0.04034
2015,Upper Secondary Level,East,Do something new,0.02177,70,379,0.00706,0.03648
2015,Upper Secondary Level,East,Does not matter,0.05827,179,379,0.03465,0.08189
2015,Upper Secondary Level,East,Does not apply/do not (yet) have a job,0.01110,42,379,0.00054,0.02166
2015,Post-secondary Non-tertiary Level,West,In my current field/ field I was trained in,0.05116,103,257,0.02417,0.07815
2015,Post-secondary Non-tertiary Level,West,Do something new,0.02293,61,257,0.00459,0.04127
2015,Post-secondary Non-tertiary Level,West,Does not matter,0.02574,93,257,0.00634,0.04515
2015,Second Stage of Tertiary Education,West,In my current field/ field I was trained in,0.03912,235,507,0.02222,0.05601
2015,Second Stage of Tertiary Education,West,Do something new,0.01121,77,507,0.00203,0.02038
2015,Second Stage of Tertiary Education,West,Does not matter,0.02191,151,507,0.00915,0.03466
2015,Second Stage of Tertiary Education,West,Does not apply/do not (yet) have a job,0.00857,44,507,0.00054,0.01661
2015,Second Stage of Tertiary Education,East,In my current field/ field I was trained in,0.03078,51,83,-0.00660,0.06817
2015,Second Stage of Tertiary Education,East,Does not matter,0.01544,32,83,-0.01125,0.04213
2017,Pre-primary Level,West,Does not apply/do not (yet) have a job,0.36400,232,232,0.30195,0.42604
2017,Pre-primary Level,East,Does not apply/do not (yet) have a job,0.49555,48,48,0.35261,0.63849
2017,Primary Level,West,Does not matter,0.10112,52,107,0.04373,0.15852
2017,Primary Level,West,Does not apply/do not (yet) have a job,0.10948,55,107,0.05004,0.16892
2017,Lower Secondary Level,West,In my current field/ field I was trained in,0.01544,51,493,0.00455,0.02633
2017,Lower Secondary Level,West,Do something new,0.02371,73,493,0.01027,0.03716
2017,Lower Secondary Level,West,Does not matter,0.03852,155,493,0.02152,0.05553
2017,Lower Secondary Level,West,Does not apply/do not (yet) have a job,0.06050,214,493,0.03944,0.08157
2017,Lower Secondary Level,East,Does not apply/do not (yet) have a job,0.08421,43,43,0.00022,0.16819
2017,Upper Secondary Level,West,In my current field/ field I was trained in,0.02383,252,1011,0.01442,0.03324
2017,Upper Secondary Level,West,Do something new,0.01726,182,1011,0.00923,0.02529
2017,Upper Secondary Level,West,Does not matter,0.02500,267,1011,0.01537,0.03463
2017,Upper Secondary Level,West,Does not apply/do not (yet) have a job,0.02362,310,1011,0.01426,0.03299
2017,Upper Secondary Level,East,In my current field/ field I was trained in,0.01929,63,322,0.00424,0.03434
2017,Upper Secondary Level,East,Do something new,0.02170,68,322,0.00576,0.03764
2017,Upper Secondary Level,East,Does not matter,0.04872,137,322,0.02517,0.07228
2017,Upper Secondary Level,East,Does not apply/do not (yet) have a job,0.01593,54,322,0.00224,0.02963
2017,Post-secondary Non-tertiary Level,West,In my current field/ field I was trained in,0.04164,69,216,0.01494,0.06834
2017,Post-secondary Non-tertiary Level,West,Do something new,0.03335,72,216,0.00935,0.05734
2017,Post-secondary Non-tertiary Level,West,Does not matter,0.03103,75,216,0.00785,0.05421
2017,Second Stage of Tertiary Education,West,In my current field/ field I was trained in,0.03582,201,418,0.01798,0.05366
2017,Second Stage of Tertiary Education,West,Do something new,0.01161,75,418,0.00133,0.02189
2017,Second Stage of Tertiary Education,West,Does not matter,0.01613,106,418,0.00404,0.02822
2017,Second Stage of Tertiary Education,West,Does not apply/do not (yet) have a job,0.00656,36,418,-0.00119,0.01431
2017,Second Stage of Tertiary Education,East,In my current field/ field I was trained in,0.04172,46,46,-0.01670,0.10015
