year,migback,sex,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Direct migration background,male,No School Attended,0.02187,54,1419,0.01426,0.02948
1987,Direct migration background,female,Secondary School Degree,0.36647,265,1248,0.33972,0.39321
1987,Direct migration background,female,Intermediate School Degree,0.11774,83,1248,0.09985,0.13563
1987,Direct migration background,female,Upper Secondary Degree,0.06614,41,1248,0.05234,0.07993
1987,Direct migration background,female,Other Degree,0.18261,441,1248,0.16116,0.20405
1987,Direct migration background,female,"Dropout, No School Degree",0.12137,315,1248,0.10324,0.13949
1987,Direct migration background,female,No School Attended,0.04304,103,1248,0.03178,0.05431
1987,Indirect migration background,male,Secondary School Degree,0.06004,40,40,-0.01452,0.13461
1987,Indirect migration background,female,Secondary School Degree,0.08243,49,49,0.00463,0.16024
1988,No migration background,male,Secondary School Degree,0.49209,1931,3310,0.47506,0.50913
1988,No migration background,male,Intermediate School Degree,0.15308,645,3310,0.14082,0.16535
1988,No migration background,male,Technical School Degree,0.04019,162,3310,0.03350,0.04689
1988,No migration background,male,Upper Secondary Degree,0.12001,503,3310,0.10894,0.13108
1988,No migration background,male,No School Degree Yet,0.01344,69,3310,0.00951,0.01736
1988,No migration background,female,Secondary School Degree,0.53584,2221,3582,0.51950,0.55217
1988,No migration background,female,Intermediate School Degree,0.20962,925,3582,0.19629,0.22295
1988,No migration background,female,Technical School Degree,0.01877,81,3582,0.01432,0.02321
1988,No migration background,female,Upper Secondary Degree,0.06896,299,3582,0.06066,0.07726
1988,No migration background,female,No School Degree Yet,0.01051,56,3582,0.00717,0.01385
1988,Direct migration background,male,Secondary School Degree,0.34091,353,1338,0.31551,0.36632
1988,Direct migration background,male,Intermediate School Degree,0.09993,72,1338,0.08386,0.11601
1988,Direct migration background,male,Upper Secondary Degree,0.07130,39,1338,0.05751,0.08510
1988,Direct migration background,male,Other Degree,0.25264,602,1338,0.22935,0.27593
1988,Direct migration background,male,"Dropout, No School Degree",0.08891,223,1338,0.07365,0.10416
1988,Direct migration background,male,No School Attended,0.02078,49,1338,0.01314,0.02843
1988,Direct migration background,female,Secondary School Degree,0.37969,264,1192,0.35213,0.40725
1988,Direct migration background,female,Intermediate School Degree,0.11935,79,1192,0.10093,0.13776
1988,Direct migration background,female,Upper Secondary Degree,0.07348,42,1192,0.05866,0.08829
1988,Direct migration background,female,Other Degree,0.16719,410,1192,0.14600,0.18838
1988,Direct migration background,female,"Dropout, No School Degree",0.11363,295,1192,0.09560,0.13165
1988,Direct migration background,female,No School Attended,0.04204,102,1192,0.03064,0.05344
1988,Indirect migration background,male,Secondary School Degree,0.06953,50,50,-0.00169,0.14076
1988,Indirect migration background,female,Secondary School Degree,0.08577,53,53,0.00966,0.16188
1989,No migration background,male,Secondary School Degree,0.48205,1831,3190,0.46471,0.49939
1989,No migration background,male,Intermediate School Degree,0.15314,622,3190,0.14064,0.16563
1989,No migration background,male,Technical School Degree,0.04226,165,3190,0.03528,0.04924
1989,No migration background,male,Upper Secondary Degree,0.12607,506,3190,0.11455,0.13759
1989,No migration background,male,No School Degree Yet,0.01656,66,3190,0.01213,0.02099
1989,No migration background,female,Secondary School Degree,0.53048,2104,3435,0.51378,0.54717
1989,No migration background,female,Intermediate School Degree,0.20944,888,3435,0.19583,0.22305
1989,No migration background,female,Technical School Degree,0.01893,81,3435,0.01437,0.02349
1989,No migration background,female,Upper Secondary Degree,0.07294,307,3435,0.06424,0.08164
1989,No migration background,female,No School Degree Yet,0.01125,55,3435,0.00772,0.01478
1989,Direct migration background,male,Secondary School Degree,0.33136,333,1280,0.30556,0.35716
1989,Direct migration background,male,Intermediate School Degree,0.09710,69,1280,0.08087,0.11333
1989,Direct migration background,male,Upper Secondary Degree,0.08060,46,1280,0.06568,0.09552
1989,Direct migration background,male,Other Degree,0.26183,573,1280,0.23774,0.28593
1989,Direct migration background,male,"Dropout, No School Degree",0.08892,213,1280,0.07332,0.10452
1989,Direct migration background,male,No School Attended,0.02125,46,1280,0.01335,0.02915
1989,Direct migration background,female,Secondary School Degree,0.37777,266,1172,0.35000,0.40554
1989,Direct migration background,female,Intermediate School Degree,0.12259,81,1172,0.10381,0.14138
1989,Direct migration background,female,Upper Secondary Degree,0.07566,45,1172,0.06051,0.09080
1989,Direct migration background,female,Other Degree,0.17460,403,1172,0.15285,0.19634
1989,Direct migration background,female,"Dropout, No School Degree",0.11221,279,1172,0.09413,0.13029
1989,Direct migration background,female,No School Attended,0.04026,98,1172,0.02900,0.05152
1989,Indirect migration background,male,Secondary School Degree,0.07878,58,58,0.00884,0.14872
1989,Indirect migration background,female,Secondary School Degree,0.08601,60,60,0.01446,0.15755
1990,No migration background,male,Secondary School Degree,0.43448,2501,5167,0.42096,0.44799
1990,No migration background,male,Intermediate School Degree,0.19610,1555,5167,0.18527,0.20693
1990,No migration background,male,Technical School Degree,0.03268,166,5167,0.02783,0.03753
1990,No migration background,male,Upper Secondary Degree,0.12468,788,5167,0.11568,0.13369
1990,No migration background,male,Other Degree,0.00708,51,5167,0.00479,0.00937
1990,No migration background,male,"Dropout, No School Degree",0.00620,33,5167,0.00406,0.00834
1990,No migration background,male,No School Degree Yet,0.01239,73,5167,0.00937,0.01540
1990,No migration background,female,Secondary School Degree,0.48926,2954,5638,0.47621,0.50231
1990,No migration background,female,Intermediate School Degree,0.24009,1937,5638,0.22894,0.25124
1990,No migration background,female,Technical School Degree,0.01522,81,5638,0.01202,0.01842
1990,No migration background,female,Upper Secondary Degree,0.07267,532,5638,0.06589,0.07944
1990,No migration background,female,Other Degree,0.00520,41,5638,0.00332,0.00707
1990,No migration background,female,"Dropout, No School Degree",0.00614,34,5638,0.00410,0.00818
1990,No migration background,female,No School Degree Yet,0.00867,59,5638,0.00625,0.01109
1990,Direct migration background,male,Secondary School Degree,0.34530,366,1317,0.31961,0.37099
1990,Direct migration background,male,Intermediate School Degree,0.10695,82,1317,0.09026,0.12365
1990,Direct migration background,male,Upper Secondary Degree,0.07870,56,1317,0.06415,0.09325
1990,Direct migration background,male,Other Degree,0.25319,563,1317,0.22969,0.27668
1990,Direct migration background,male,"Dropout, No School Degree",0.08649,206,1317,0.07131,0.10168
1990,Direct migration background,male,No School Attended,0.02102,44,1317,0.01327,0.02877
1990,Direct migration background,female,Secondary School Degree,0.38502,302,1201,0.35749,0.41255
1990,Direct migration background,female,Intermediate School Degree,0.12888,96,1201,0.10992,0.14784
1990,Direct migration background,female,Upper Secondary Degree,0.07798,53,1201,0.06281,0.09315
1990,Direct migration background,female,Other Degree,0.17332,397,1201,0.15191,0.19474
1990,Direct migration background,female,"Dropout, No School Degree",0.10167,259,1201,0.08457,0.11877
1990,Direct migration background,female,No School Attended,0.03885,94,1201,0.02791,0.04978
1990,Indirect migration background,male,Secondary School Degree,0.07526,66,66,0.01112,0.13939
1990,Indirect migration background,female,Secondary School Degree,0.09254,70,70,0.02416,0.16091
1991,No migration background,male,Secondary School Degree,0.42728,2416,5015,0.41359,0.44097
1991,No migration background,male,Intermediate School Degree,0.19921,1508,5015,0.18815,0.21027
1991,No migration background,male,Technical School Degree,0.03483,171,5015,0.02975,0.03990
1991,No migration background,male,Upper Secondary Degree,0.12729,777,5015,0.11807,0.13652
1991,No migration background,male,Other Degree,0.00656,44,5015,0.00432,0.00879
1991,No migration background,male,"Dropout, No School Degree",0.00718,46,5015,0.00484,0.00951
1991,No migration background,male,No School Degree Yet,0.00969,53,5015,0.00698,0.01240
1991,No migration background,female,Secondary School Degree,0.47904,2795,5453,0.46578,0.49230
1991,No migration background,female,Intermediate School Degree,0.24643,1907,5453,0.23499,0.25787
1991,No migration background,female,Technical School Degree,0.01552,83,5453,0.01224,0.01880
1991,No migration background,female,Upper Secondary Degree,0.07642,531,5453,0.06936,0.08347
1991,No migration background,female,Other Degree,0.00526,38,5453,0.00334,0.00718
1991,No migration background,female,"Dropout, No School Degree",0.00715,52,5453,0.00492,0.00939
1991,No migration background,female,No School Degree Yet,0.00814,47,5453,0.00575,0.01052
1991,Direct migration background,male,Secondary School Degree,0.34205,356,1291,0.31617,0.36794
1991,Direct migration background,male,Intermediate School Degree,0.10784,82,1291,0.09092,0.12477
1991,Direct migration background,male,Upper Secondary Degree,0.08205,56,1291,0.06707,0.09702
1991,Direct migration background,male,Other Degree,0.25993,555,1291,0.23600,0.28387
1991,Direct migration background,male,"Dropout, No School Degree",0.08516,198,1291,0.06993,0.10039
1991,Direct migration background,male,No School Attended,0.02172,44,1291,0.01376,0.02967
1991,Direct migration background,female,Secondary School Degree,0.38030,299,1187,0.35267,0.40793
1991,Direct migration background,female,Intermediate School Degree,0.13771,101,1187,0.11810,0.15732
1991,Direct migration background,female,Upper Secondary Degree,0.08198,54,1187,0.06637,0.09760
1991,Direct migration background,female,Other Degree,0.17536,385,1187,0.15372,0.19700
1991,Direct migration background,female,"Dropout, No School Degree",0.10838,261,1187,0.09069,0.12607
1991,Direct migration background,female,No School Attended,0.03838,87,1187,0.02745,0.04931
1991,Indirect migration background,male,Secondary School Degree,0.08722,78,111,0.03449,0.13995
1991,Indirect migration background,male,Intermediate School Degree,0.03730,33,111,0.00189,0.07271
1991,Indirect migration background,female,Secondary School Degree,0.09739,77,109,0.04147,0.15331
1991,Indirect migration background,female,Intermediate School Degree,0.04698,32,109,0.00707,0.08688
1992,No migration background,male,Secondary School Degree,0.42315,2329,4854,0.40925,0.43705
1992,No migration background,male,Intermediate School Degree,0.19996,1457,4854,0.18871,0.21121
1992,No migration background,male,Technical School Degree,0.03649,173,4854,0.03121,0.04176
1992,No migration background,male,Upper Secondary Degree,0.12735,760,4854,0.11797,0.13672
1992,No migration background,male,Other Degree,0.00631,41,4854,0.00408,0.00854
1992,No migration background,male,"Dropout, No School Degree",0.00631,38,4854,0.00408,0.00854
1992,No migration background,male,No School Degree Yet,0.00978,56,4854,0.00701,0.01255
1992,No migration background,female,Secondary School Degree,0.46832,2690,5348,0.45495,0.48170
1992,No migration background,female,Intermediate School Degree,0.24841,1891,5348,0.23683,0.25999
1992,No migration background,female,Technical School Degree,0.01546,85,5348,0.01216,0.01877
1992,No migration background,female,Upper Secondary Degree,0.08008,535,5348,0.07280,0.08735
1992,No migration background,female,Other Degree,0.00518,37,5348,0.00325,0.00710
1992,No migration background,female,"Dropout, No School Degree",0.00694,46,5348,0.00472,0.00917
1992,No migration background,female,No School Degree Yet,0.00801,64,5348,0.00562,0.01040
1992,Direct migration background,male,Secondary School Degree,0.34513,353,1249,0.31875,0.37150
1992,Direct migration background,male,Intermediate School Degree,0.10940,82,1249,0.09208,0.12672
1992,Direct migration background,male,Upper Secondary Degree,0.08403,54,1249,0.06863,0.09942
1992,Direct migration background,male,Other Degree,0.27271,529,1249,0.24800,0.29742
1992,Direct migration background,male,"Dropout, No School Degree",0.08895,190,1249,0.07316,0.10475
1992,Direct migration background,male,No School Attended,0.02260,41,1249,0.01436,0.03085
1992,Direct migration background,female,Secondary School Degree,0.37463,289,1156,0.34672,0.40255
1992,Direct migration background,female,Intermediate School Degree,0.12218,94,1156,0.10329,0.14106
1992,Direct migration background,female,Upper Secondary Degree,0.08917,57,1156,0.07273,0.10560
1992,Direct migration background,female,Other Degree,0.18676,382,1156,0.16428,0.20923
1992,Direct migration background,female,"Dropout, No School Degree",0.11222,252,1156,0.09402,0.13042
1992,Direct migration background,female,No School Attended,0.03763,82,1156,0.02665,0.04860
1992,Indirect migration background,male,Secondary School Degree,0.10695,94,133,0.05423,0.15967
1992,Indirect migration background,male,Intermediate School Degree,0.05227,39,133,0.01430,0.09024
1992,Indirect migration background,female,Secondary School Degree,0.10025,82,123,0.04696,0.15355
1992,Indirect migration background,female,Intermediate School Degree,0.07396,41,123,0.02752,0.12040
1993,No migration background,male,Secondary School Degree,0.41670,2254,4761,0.40269,0.43071
1993,No migration background,male,Intermediate School Degree,0.20613,1440,4761,0.19464,0.21762
1993,No migration background,male,Technical School Degree,0.03600,170,4761,0.03071,0.04129
1993,No migration background,male,Upper Secondary Degree,0.12800,764,4761,0.11851,0.13749
1993,No migration background,male,Other Degree,0.00629,39,4761,0.00404,0.00853
1993,No migration background,male,"Dropout, No School Degree",0.00707,40,4761,0.00469,0.00945
1993,No migration background,male,No School Degree Yet,0.00870,54,4761,0.00606,0.01133
1993,No migration background,female,Secondary School Degree,0.46090,2597,5233,0.44740,0.47441
1993,No migration background,female,Intermediate School Degree,0.24827,1857,5233,0.23657,0.25998
1993,No migration background,female,Technical School Degree,0.01615,89,5233,0.01274,0.01957
1993,No migration background,female,Upper Secondary Degree,0.08330,549,5233,0.07581,0.09079
1993,No migration background,female,Other Degree,0.00484,33,5233,0.00296,0.00673
1993,No migration background,female,"Dropout, No School Degree",0.00680,40,5233,0.00457,0.00902
1993,No migration background,female,No School Degree Yet,0.00810,68,5233,0.00567,0.01053
1993,Direct migration background,male,Secondary School Degree,0.33198,338,1214,0.30548,0.35848
1993,Direct migration background,male,Intermediate School Degree,0.10312,76,1214,0.08601,0.12023
1993,Direct migration background,male,Upper Secondary Degree,0.09097,55,1214,0.07479,0.10716
1993,Direct migration background,male,Other Degree,0.28037,518,1214,0.25509,0.30564
1993,Direct migration background,male,"Dropout, No School Degree",0.09146,186,1214,0.07524,0.10768
1993,Direct migration background,male,No School Attended,0.02446,41,1214,0.01576,0.03315
1993,Direct migration background,female,Secondary School Degree,0.37550,288,1130,0.34725,0.40375
1993,Direct migration background,female,Intermediate School Degree,0.11764,91,1130,0.09884,0.13643
1993,Direct migration background,female,Upper Secondary Degree,0.09377,57,1130,0.07677,0.11078
1993,Direct migration background,female,Other Degree,0.19388,368,1130,0.17082,0.21694
1993,Direct migration background,female,"Dropout, No School Degree",0.11581,243,1130,0.09714,0.13447
1993,Direct migration background,female,No School Attended,0.04261,83,1130,0.03083,0.05439
1993,Indirect migration background,male,Secondary School Degree,0.12467,107,158,0.07299,0.17634
1993,Indirect migration background,male,Intermediate School Degree,0.07456,51,158,0.03347,0.11565
1993,Indirect migration background,female,Secondary School Degree,0.11651,86,141,0.06337,0.16966
1993,Indirect migration background,female,Intermediate School Degree,0.08632,55,141,0.03980,0.13284
1994,No migration background,male,Secondary School Degree,0.41198,2193,4681,0.39788,0.42609
1994,No migration background,male,Intermediate School Degree,0.20175,1406,4681,0.19026,0.21325
1994,No migration background,male,Technical School Degree,0.03830,180,4681,0.03280,0.04380
1994,No migration background,male,Upper Secondary Degree,0.12905,769,4681,0.11945,0.13866
1994,No migration background,male,Other Degree,0.00572,35,4681,0.00356,0.00788
1994,No migration background,male,"Dropout, No School Degree",0.00561,31,4681,0.00347,0.00775
1994,No migration background,male,No School Degree Yet,0.01095,67,4681,0.00797,0.01393
1994,No migration background,female,Secondary School Degree,0.45435,2513,5146,0.44074,0.46795
1994,No migration background,female,Intermediate School Degree,0.24866,1836,5146,0.23685,0.26047
1994,No migration background,female,Technical School Degree,0.01679,90,5146,0.01328,0.02030
1994,No migration background,female,Upper Secondary Degree,0.08828,579,5146,0.08053,0.09603
1994,No migration background,female,"Dropout, No School Degree",0.00697,37,5146,0.00470,0.00925
1994,No migration background,female,No School Degree Yet,0.01010,91,5146,0.00737,0.01284
1994,Direct migration background,male,Secondary School Degree,0.32734,317,1129,0.29995,0.35472
1994,Direct migration background,male,Intermediate School Degree,0.10507,69,1129,0.08718,0.12297
1994,Direct migration background,male,Upper Secondary Degree,0.09910,55,1129,0.08166,0.11653
1994,Direct migration background,male,Other Degree,0.27567,471,1129,0.24960,0.30175
1994,Direct migration background,male,"Dropout, No School Degree",0.09298,178,1129,0.07604,0.10993
1994,Direct migration background,male,No School Attended,0.02439,39,1129,0.01538,0.03339
1994,Direct migration background,female,Secondary School Degree,0.36521,278,1067,0.33631,0.39412
1994,Direct migration background,female,Intermediate School Degree,0.10897,89,1067,0.09026,0.12767
1994,Direct migration background,female,Upper Secondary Degree,0.10150,54,1067,0.08337,0.11963
1994,Direct migration background,female,Other Degree,0.19318,347,1067,0.16948,0.21688
1994,Direct migration background,female,"Dropout, No School Degree",0.11306,224,1067,0.09405,0.13207
1994,Direct migration background,female,No School Attended,0.03985,75,1067,0.02810,0.05159
1994,Indirect migration background,male,Secondary School Degree,0.12451,102,156,0.07253,0.17648
1994,Indirect migration background,male,Intermediate School Degree,0.07386,54,156,0.03268,0.11503
1994,Indirect migration background,female,Secondary School Degree,0.10956,88,174,0.06302,0.15611
1994,Indirect migration background,female,Intermediate School Degree,0.08394,55,174,0.04262,0.12526
1994,Indirect migration background,female,No School Degree Yet,0.05721,31,174,0.02260,0.09181
1995,No migration background,male,Secondary School Degree,0.40913,2152,4639,0.39498,0.42328
1995,No migration background,male,Intermediate School Degree,0.20016,1402,4639,0.18864,0.21167
1995,No migration background,male,Technical School Degree,0.04019,185,4639,0.03453,0.04584
1995,No migration background,male,Upper Secondary Degree,0.13192,775,4639,0.12218,0.14166
1995,No migration background,male,Other Degree,0.00578,38,4639,0.00360,0.00797
1995,No migration background,male,No School Degree Yet,0.01276,87,4639,0.00953,0.01599
1995,No migration background,female,Secondary School Degree,0.44674,2425,5129,0.43313,0.46035
1995,No migration background,female,Intermediate School Degree,0.25032,1875,5129,0.23846,0.26218
1995,No migration background,female,Technical School Degree,0.01657,92,5129,0.01307,0.02006
1995,No migration background,female,Upper Secondary Degree,0.09321,604,5129,0.08525,0.10116
1995,No migration background,female,Other Degree,0.00482,31,5129,0.00292,0.00671
1995,No migration background,female,No School Degree Yet,0.01162,102,5129,0.00869,0.01456
1995,Direct migration background,male,Secondary School Degree,0.27140,339,1296,0.24718,0.29562
1995,Direct migration background,male,Intermediate School Degree,0.09316,82,1296,0.07733,0.10899
1995,Direct migration background,male,Upper Secondary Degree,0.09333,72,1296,0.07749,0.10918
1995,Direct migration background,male,Other Degree,0.31731,591,1296,0.29196,0.34266
1995,Direct migration background,male,"Dropout, No School Degree",0.07085,177,1296,0.05687,0.08482
1995,Direct migration background,male,No School Attended,0.01519,35,1296,0.00853,0.02185
1995,Direct migration background,female,Secondary School Degree,0.30171,292,1254,0.27630,0.32713
1995,Direct migration background,female,Intermediate School Degree,0.09825,106,1254,0.08176,0.11473
1995,Direct migration background,female,Upper Secondary Degree,0.09115,72,1254,0.07521,0.10708
1995,Direct migration background,female,Other Degree,0.25890,484,1254,0.23465,0.28315
1995,Direct migration background,female,"Dropout, No School Degree",0.08921,231,1254,0.07342,0.10499
1995,Direct migration background,female,No School Attended,0.02363,69,1254,0.01522,0.03204
1995,Indirect migration background,male,Secondary School Degree,0.10824,100,184,0.06323,0.15326
1995,Indirect migration background,male,Intermediate School Degree,0.06312,53,184,0.02789,0.09836
1995,Indirect migration background,male,No School Degree Yet,0.04723,31,184,0.01649,0.07796
1995,Indirect migration background,female,Secondary School Degree,0.10907,86,150,0.05901,0.15912
1995,Indirect migration background,female,Intermediate School Degree,0.10270,64,150,0.05396,0.15145
1996,No migration background,male,Secondary School Degree,0.40328,2101,4607,0.38912,0.41745
1996,No migration background,male,Intermediate School Degree,0.20508,1421,4607,0.19342,0.21674
1996,No migration background,male,Technical School Degree,0.04009,183,4607,0.03442,0.04576
1996,No migration background,male,Upper Secondary Degree,0.13271,774,4607,0.12291,0.14250
1996,No migration background,male,Other Degree,0.00543,38,4607,0.00331,0.00756
1996,No migration background,male,No School Degree Yet,0.01336,90,4607,0.01005,0.01668
1996,No migration background,female,Secondary School Degree,0.44183,2354,5061,0.42815,0.45552
1996,No migration background,female,Intermediate School Degree,0.25123,1859,5061,0.23928,0.26318
1996,No migration background,female,Technical School Degree,0.01685,91,5061,0.01330,0.02040
1996,No migration background,female,Upper Secondary Degree,0.09523,608,5061,0.08714,0.10332
1996,No migration background,female,Other Degree,0.00504,32,5061,0.00309,0.00699
1996,No migration background,female,No School Degree Yet,0.01555,117,5061,0.01214,0.01896
1996,Direct migration background,male,Secondary School Degree,0.27145,320,1202,0.24630,0.29660
1996,Direct migration background,male,Intermediate School Degree,0.08875,71,1202,0.07266,0.10483
1996,Direct migration background,male,Upper Secondary Degree,0.08851,64,1202,0.07245,0.10458
1996,Direct migration background,male,Other Degree,0.32003,549,1202,0.29364,0.34641
