year,regtyp,sex,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Rural regions,female,"Dropout, No School Degree",0.01011,38,1069,0.00411,0.01611
1988,Urban regions,male,Secondary School Degree,0.44321,1754,3834,0.42749,0.45894
1988,Urban regions,male,Intermediate School Degree,0.14643,580,3834,0.13524,0.15763
1988,Urban regions,male,Technical School Degree,0.03942,149,3834,0.03326,0.04558
1988,Urban regions,male,Upper Secondary Degree,0.12564,471,3834,0.11514,0.13613
1988,Urban regions,male,Other Degree,0.03169,544,3834,0.02614,0.03723
1988,Urban regions,male,"Dropout, No School Degree",0.01561,219,3834,0.01169,0.01954
1988,Urban regions,male,No School Degree Yet,0.01416,75,3834,0.01042,0.01790
1988,Urban regions,male,No School Attended,0.00235,42,3834,0.00082,0.00389
1988,Urban regions,female,Secondary School Degree,0.49648,1918,3906,0.48080,0.51216
1988,Urban regions,female,Intermediate School Degree,0.19916,797,3906,0.18664,0.21169
1988,Urban regions,female,Technical School Degree,0.01905,77,3906,0.01477,0.02334
1988,Urban regions,female,Upper Secondary Degree,0.07712,307,3906,0.06875,0.08548
1988,Urban regions,female,Other Degree,0.01830,365,3906,0.01410,0.02251
1988,Urban regions,female,"Dropout, No School Degree",0.01676,291,3906,0.01274,0.02079
1988,Urban regions,female,No School Degree Yet,0.01076,63,3906,0.00752,0.01399
1988,Urban regions,female,No School Attended,0.00403,88,3906,0.00205,0.00602
1988,Rural regions,male,Secondary School Degree,0.51937,580,977,0.48803,0.55072
1988,Rural regions,male,Intermediate School Degree,0.13317,159,977,0.11185,0.15449
1988,Rural regions,male,Technical School Degree,0.02935,32,977,0.01876,0.03994
1988,Rural regions,male,Upper Secondary Degree,0.06612,80,977,0.05053,0.08171
1988,Rural regions,male,Other Degree,0.02239,92,977,0.01311,0.03167
1988,Rural regions,male,"Dropout, No School Degree",0.01336,34,977,0.00616,0.02056
1988,Rural regions,female,Secondary School Degree,0.54263,620,993,0.51163,0.57363
1988,Rural regions,female,Intermediate School Degree,0.18774,228,993,0.16344,0.21205
1988,Rural regions,female,Upper Secondary Degree,0.03982,43,993,0.02765,0.05199
1988,Rural regions,female,Other Degree,0.01503,64,993,0.00745,0.02260
1988,Rural regions,female,"Dropout, No School Degree",0.01041,38,993,0.00409,0.01672
1989,Urban regions,male,Secondary School Degree,0.43184,1671,3710,0.41590,0.44778
1989,Urban regions,male,Intermediate School Degree,0.14595,560,3710,0.13459,0.15732
1989,Urban regions,male,Technical School Degree,0.04043,151,3710,0.03409,0.04677
1989,Urban regions,male,Upper Secondary Degree,0.13071,483,3710,0.11986,0.14156
1989,Urban regions,male,Other Degree,0.03337,519,3710,0.02759,0.03915
1989,Urban regions,male,"Dropout, No School Degree",0.01501,207,3710,0.01110,0.01893
1989,Urban regions,male,No School Degree Yet,0.01708,78,3710,0.01291,0.02125
1989,Urban regions,male,No School Attended,0.00257,41,3710,0.00094,0.00420
1989,Urban regions,female,Secondary School Degree,0.48759,1846,3829,0.47176,0.50342
1989,Urban regions,female,Intermediate School Degree,0.20042,784,3829,0.18774,0.21310
1989,Urban regions,female,Technical School Degree,0.01930,76,3829,0.01495,0.02366
1989,Urban regions,female,Upper Secondary Degree,0.08088,318,3829,0.07224,0.08951
1989,Urban regions,female,Other Degree,0.02067,364,3829,0.01616,0.02517
1989,Urban regions,female,"Dropout, No School Degree",0.01810,281,3829,0.01388,0.02232
1989,Urban regions,female,No School Degree Yet,0.01228,73,3829,0.00879,0.01576
1989,Urban regions,female,No School Attended,0.00427,87,3829,0.00220,0.00633
1989,Rural regions,male,Secondary School Degree,0.51124,551,937,0.47922,0.54327
1989,Rural regions,male,Intermediate School Degree,0.13065,154,937,0.10906,0.15224
1989,Rural regions,male,Technical School Degree,0.03369,34,937,0.02213,0.04524
1989,Rural regions,male,Upper Secondary Degree,0.07261,79,937,0.05599,0.08924
1989,Rural regions,male,Other Degree,0.02317,85,937,0.01353,0.03281
1989,Rural regions,male,"Dropout, No School Degree",0.01365,34,937,0.00622,0.02109
1989,Rural regions,female,Secondary School Degree,0.54169,584,933,0.50970,0.57368
1989,Rural regions,female,Intermediate School Degree,0.17988,212,933,0.15522,0.20454
1989,Rural regions,female,Upper Secondary Degree,0.04222,44,933,0.02931,0.05513
1989,Rural regions,female,Other Degree,0.01476,58,933,0.00702,0.02250
1989,Rural regions,female,"Dropout, No School Degree",0.01145,35,933,0.00462,0.01828
1990,Urban regions,male,Secondary School Degree,0.40444,1845,4295,0.38976,0.41912
1990,Urban regions,male,Intermediate School Degree,0.16372,847,4295,0.15265,0.17479
1990,Urban regions,male,Technical School Degree,0.03572,151,4295,0.03017,0.04127
1990,Urban regions,male,Upper Secondary Degree,0.13453,610,4295,0.12432,0.14473
1990,Urban regions,male,Other Degree,0.03282,510,4295,0.02749,0.03815
1990,Urban regions,male,"Dropout, No School Degree",0.01554,205,4295,0.01184,0.01924
1990,Urban regions,male,No School Degree Yet,0.01441,87,4295,0.01085,0.01798
1990,Urban regions,male,No School Attended,0.00258,40,4295,0.00106,0.00409
1990,Urban regions,female,Secondary School Degree,0.46354,2094,4487,0.44895,0.47813
1990,Urban regions,female,Intermediate School Degree,0.21479,1119,4487,0.20277,0.22680
1990,Urban regions,female,Technical School Degree,0.01778,77,4487,0.01391,0.02165
1990,Urban regions,female,Upper Secondary Degree,0.08394,431,4487,0.07583,0.09206
1990,Urban regions,female,Other Degree,0.02156,363,4487,0.01731,0.02582
1990,Urban regions,female,"Dropout, No School Degree",0.01653,263,4487,0.01280,0.02026
1990,Urban regions,female,No School Degree Yet,0.00853,58,4487,0.00583,0.01122
1990,Urban regions,female,No School Attended,0.00403,82,4487,0.00218,0.00588
1990,Rural regions,male,Secondary School Degree,0.43458,1074,2295,0.41429,0.45487
1990,Rural regions,male,Intermediate School Degree,0.22003,794,2295,0.20308,0.23698
1990,Rural regions,male,Technical School Degree,0.02101,38,2295,0.01514,0.02688
1990,Rural regions,male,Upper Secondary Degree,0.07797,240,2295,0.06699,0.08894
1990,Rural regions,male,Other Degree,0.02220,112,2295,0.01617,0.02823
1990,Rural regions,male,"Dropout, No School Degree",0.00873,37,2295,0.00492,0.01253
1990,Rural regions,female,Secondary School Degree,0.47908,1215,2409,0.45913,0.49904
1990,Rural regions,female,Intermediate School Degree,0.24445,917,2409,0.22729,0.26162
1990,Rural regions,female,Upper Secondary Degree,0.04467,158,2409,0.03642,0.05292
1990,Rural regions,female,Other Degree,0.01357,79,2409,0.00895,0.01819
1990,Rural regions,female,"Dropout, No School Degree",0.00864,40,2409,0.00495,0.01234
1991,Urban regions,male,Secondary School Degree,0.39425,1790,4198,0.37946,0.40903
1991,Urban regions,male,Intermediate School Degree,0.16449,828,4198,0.15327,0.17571
1991,Urban regions,male,Technical School Degree,0.03797,160,4198,0.03218,0.04375
1991,Urban regions,male,Upper Secondary Degree,0.13646,605,4198,0.12608,0.14685
1991,Urban regions,male,Other Degree,0.03508,502,4198,0.02951,0.04065
1991,Urban regions,male,"Dropout, No School Degree",0.01635,202,4198,0.01251,0.02019
1991,Urban regions,male,No School Degree Yet,0.01141,71,4198,0.00820,0.01463
1991,Urban regions,male,No School Attended,0.00280,40,4198,0.00120,0.00439
1991,Urban regions,female,Secondary School Degree,0.44949,2003,4378,0.43475,0.46422
1991,Urban regions,female,Intermediate School Degree,0.21956,1107,4378,0.20730,0.23183
1991,Urban regions,female,Technical School Degree,0.01789,80,4378,0.01396,0.02182
1991,Urban regions,female,Upper Secondary Degree,0.08735,434,4378,0.07898,0.09571
1991,Urban regions,female,Other Degree,0.02329,353,4378,0.01882,0.02776
1991,Urban regions,female,"Dropout, No School Degree",0.01805,273,4378,0.01411,0.02200
1991,Urban regions,female,No School Degree Yet,0.00881,54,4378,0.00604,0.01158
1991,Urban regions,female,No School Attended,0.00412,74,4378,0.00222,0.00601
1991,Rural regions,male,Secondary School Degree,0.43256,1047,2246,0.41207,0.45306
1991,Rural regions,male,Intermediate School Degree,0.22313,774,2246,0.20591,0.24035
1991,Rural regions,male,Technical School Degree,0.02281,38,2246,0.01664,0.02899
1991,Rural regions,male,Upper Secondary Degree,0.08137,236,2246,0.07006,0.09268
1991,Rural regions,male,Other Degree,0.02169,107,2246,0.01567,0.02772
1991,Rural regions,male,"Dropout, No School Degree",0.01007,44,2246,0.00594,0.01420
1991,Rural regions,female,Secondary School Degree,0.47380,1153,2344,0.45359,0.49402
1991,Rural regions,female,Intermediate School Degree,0.24905,905,2344,0.23154,0.26656
1991,Rural regions,female,Upper Secondary Degree,0.04917,159,2344,0.04042,0.05793
1991,Rural regions,female,Other Degree,0.01290,74,2344,0.00833,0.01747
1991,Rural regions,female,"Dropout, No School Degree",0.01184,53,2344,0.00746,0.01622
1992,Urban regions,male,Secondary School Degree,0.39020,1767,4113,0.37529,0.40511
1992,Urban regions,male,Intermediate School Degree,0.16443,813,4113,0.15310,0.17576
1992,Urban regions,male,Technical School Degree,0.03753,161,4113,0.03172,0.04334
1992,Urban regions,male,Upper Secondary Degree,0.13698,597,4113,0.12647,0.14749
1992,Urban regions,male,Other Degree,0.03740,479,4113,0.03160,0.04320
1992,Urban regions,male,"Dropout, No School Degree",0.01622,190,4113,0.01236,0.02009
1992,Urban regions,male,No School Degree Yet,0.01172,69,4113,0.00843,0.01501
1992,Urban regions,male,No School Attended,0.00299,37,4113,0.00132,0.00466
1992,Urban regions,female,Secondary School Degree,0.43886,1949,4350,0.42411,0.45360
1992,Urban regions,female,Intermediate School Degree,0.22070,1118,4350,0.20838,0.23303
1992,Urban regions,female,Technical School Degree,0.01902,85,4350,0.01496,0.02308
1992,Urban regions,female,Upper Secondary Degree,0.09087,446,4350,0.08232,0.09941
1992,Urban regions,female,Other Degree,0.02565,352,4350,0.02095,0.03035
1992,Urban regions,female,"Dropout, No School Degree",0.01866,262,4350,0.01464,0.02268
1992,Urban regions,female,No School Degree Yet,0.00898,67,4350,0.00617,0.01178
1992,Urban regions,female,No School Attended,0.00439,71,4350,0.00243,0.00636
1992,Rural regions,male,Secondary School Degree,0.43132,993,2134,0.41030,0.45234
1992,Rural regions,male,Intermediate School Degree,0.22598,736,2134,0.20823,0.24373
1992,Rural regions,male,Technical School Degree,0.02620,40,2134,0.01942,0.03298
1992,Rural regions,male,Upper Secondary Degree,0.07794,222,2134,0.06657,0.08932
1992,Rural regions,male,Other Degree,0.02178,101,2134,0.01559,0.02798
1992,Rural regions,male,"Dropout, No School Degree",0.01006,42,2134,0.00583,0.01430
1992,Rural regions,female,Secondary School Degree,0.46488,1094,2241,0.44422,0.48553
1992,Rural regions,female,Intermediate School Degree,0.25057,877,2241,0.23263,0.26852
1992,Rural regions,female,Upper Secondary Degree,0.05029,146,2241,0.04124,0.05934
1992,Rural regions,female,Other Degree,0.01260,73,2241,0.00798,0.01722
1992,Rural regions,female,"Dropout, No School Degree",0.01236,51,2241,0.00779,0.01694
1993,Urban regions,male,Secondary School Degree,0.38334,1738,4093,0.36844,0.39824
1993,Urban regions,male,Intermediate School Degree,0.16858,833,4093,0.15711,0.18005
1993,Urban regions,male,Technical School Degree,0.03729,161,4093,0.03148,0.04309
1993,Urban regions,male,Upper Secondary Degree,0.13487,609,4093,0.12440,0.14534
1993,Urban regions,male,Other Degree,0.04069,466,4093,0.03463,0.04674
1993,Urban regions,male,"Dropout, No School Degree",0.01732,187,4093,0.01332,0.02132
1993,Urban regions,male,No School Degree Yet,0.01079,61,4093,0.00762,0.01395
1993,Urban regions,male,No School Attended,0.00347,38,4093,0.00166,0.00527
1993,Urban regions,female,Secondary School Degree,0.42995,1904,4299,0.41515,0.44476
1993,Urban regions,female,Intermediate School Degree,0.21985,1126,4299,0.20747,0.23223
1993,Urban regions,female,Technical School Degree,0.01836,83,4299,0.01435,0.02238
1993,Urban regions,female,Upper Secondary Degree,0.09390,461,4299,0.08518,0.10262
1993,Urban regions,female,Other Degree,0.02691,338,4299,0.02207,0.03175
1993,Urban regions,female,"Dropout, No School Degree",0.01975,248,4299,0.01559,0.02391
1993,Urban regions,female,No School Degree Yet,0.00979,69,4299,0.00684,0.01273
1993,Urban regions,female,No School Attended,0.00506,70,4299,0.00294,0.00719
1993,Rural regions,male,Secondary School Degree,0.41833,961,2106,0.39726,0.43940
1993,Rural regions,male,Intermediate School Degree,0.23529,734,2106,0.21717,0.25341
1993,Rural regions,male,Technical School Degree,0.02578,39,2106,0.01901,0.03255
1993,Rural regions,male,Upper Secondary Degree,0.08498,228,2106,0.07307,0.09689
1993,Rural regions,male,Other Degree,0.02024,99,2106,0.01423,0.02626
1993,Rural regions,male,"Dropout, No School Degree",0.01180,45,2106,0.00719,0.01641
1993,Rural regions,female,Secondary School Degree,0.45670,1067,2223,0.43598,0.47741
1993,Rural regions,female,Intermediate School Degree,0.24989,877,2223,0.23189,0.26790
1993,Rural regions,female,Upper Secondary Degree,0.05601,160,2223,0.04645,0.06557
1993,Rural regions,female,Other Degree,0.01269,70,2223,0.00803,0.01734
1993,Rural regions,female,"Dropout, No School Degree",0.01172,49,2223,0.00725,0.01620
1994,Urban regions,male,Secondary School Degree,0.38011,1676,3977,0.36502,0.39520
1994,Urban regions,male,Intermediate School Degree,0.16530,815,3977,0.15375,0.17684
1994,Urban regions,male,Technical School Degree,0.03803,166,3977,0.03208,0.04398
1994,Urban regions,male,Upper Secondary Degree,0.13597,611,3977,0.12531,0.14662
1994,Urban regions,male,Other Degree,0.04174,431,3977,0.03553,0.04796
1994,Urban regions,male,"Dropout, No School Degree",0.01590,170,3977,0.01202,0.01979
1994,Urban regions,male,No School Degree Yet,0.01255,72,3977,0.00909,0.01601
1994,Urban regions,male,No School Attended,0.00352,36,3977,0.00168,0.00536
1994,Urban regions,female,Secondary School Degree,0.42203,1858,4249,0.40718,0.43688
1994,Urban regions,female,Intermediate School Degree,0.21600,1116,4249,0.20363,0.22838
1994,Urban regions,female,Technical School Degree,0.01933,88,4249,0.01519,0.02347
1994,Urban regions,female,Upper Secondary Degree,0.09787,475,4249,0.08894,0.10681
1994,Urban regions,female,Other Degree,0.02773,320,4249,0.02280,0.03267
1994,Urban regions,female,"Dropout, No School Degree",0.02072,233,4249,0.01644,0.02500
1994,Urban regions,female,No School Degree Yet,0.01440,96,4249,0.01081,0.01798
1994,Urban regions,female,No School Attended,0.00485,63,4249,0.00276,0.00694
1994,Rural regions,male,Secondary School Degree,0.40837,936,2051,0.38709,0.42964
1994,Rural regions,male,Intermediate School Degree,0.22958,714,2051,0.21138,0.24779
1994,Rural regions,male,Technical School Degree,0.02893,45,2051,0.02168,0.03619
1994,Rural regions,male,Upper Secondary Degree,0.08781,233,2051,0.07555,0.10006
1994,Rural regions,male,Other Degree,0.01626,82,2051,0.01078,0.02173
1994,Rural regions,male,"Dropout, No School Degree",0.01136,41,2051,0.00677,0.01595
1994,Rural regions,female,Secondary School Degree,0.44863,1021,2196,0.42782,0.46944
1994,Rural regions,female,Intermediate School Degree,0.25411,864,2196,0.23589,0.27232
1994,Rural regions,female,Upper Secondary Degree,0.06233,174,2196,0.05221,0.07244
1994,Rural regions,female,Other Degree,0.01191,63,2196,0.00738,0.01645
1994,Rural regions,female,"Dropout, No School Degree",0.01059,41,2196,0.00631,0.01487
1994,Rural regions,female,No School Degree Yet,0.00670,33,2196,0.00329,0.01011
1995,Urban regions,male,Secondary School Degree,0.36840,1652,4082,0.35360,0.38320
1995,Urban regions,male,Intermediate School Degree,0.15749,812,4082,0.14631,0.16866
1995,Urban regions,male,Technical School Degree,0.04055,176,4082,0.03450,0.04660
1995,Urban regions,male,Upper Secondary Degree,0.13576,618,4082,0.12525,0.14627
1995,Urban regions,male,Other Degree,0.05729,528,4082,0.05016,0.06442
1995,Urban regions,male,"Dropout, No School Degree",0.01471,170,4082,0.01102,0.01840
1995,Urban regions,male,No School Degree Yet,0.01574,93,4082,0.01193,0.01956
1995,Urban regions,male,No School Attended,0.00277,33,4082,0.00116,0.00438
1995,Urban regions,female,Secondary School Degree,0.40517,1803,4374,0.39062,0.41972
1995,Urban regions,female,Intermediate School Degree,0.21440,1147,4374,0.20223,0.22656
1995,Urban regions,female,Technical School Degree,0.01873,92,4374,0.01471,0.02275
1995,Urban regions,female,Upper Secondary Degree,0.10310,502,4374,0.09409,0.11212
1995,Urban regions,female,Other Degree,0.04420,438,4374,0.03811,0.05029
1995,Urban regions,female,"Dropout, No School Degree",0.01821,232,4374,0.01425,0.02218
1995,Urban regions,female,No School Degree Yet,0.01509,103,4374,0.01147,0.01870
1995,Urban regions,female,No School Attended,0.00355,57,4374,0.00179,0.00532
1995,Rural regions,male,Secondary School Degree,0.39576,939,2155,0.37511,0.41642
1995,Rural regions,male,Intermediate School Degree,0.22789,725,2155,0.21018,0.24561
1995,Rural regions,male,Technical School Degree,0.02906,46,2155,0.02197,0.03616
1995,Rural regions,male,Upper Secondary Degree,0.09255,253,2155,0.08032,0.10479
1995,Rural regions,male,Other Degree,0.02230,108,2155,0.01607,0.02854
1995,Rural regions,male,"Dropout, No School Degree",0.01024,37,2155,0.00599,0.01449
1995,Rural regions,male,No School Degree Yet,0.01466,47,2155,0.00958,0.01973
1995,Rural regions,female,Secondary School Degree,0.43768,1000,2252,0.41719,0.45817
1995,Rural regions,female,Intermediate School Degree,0.25141,898,2252,0.23348,0.26933
1995,Rural regions,female,Upper Secondary Degree,0.06264,193,2252,0.05263,0.07265
1995,Rural regions,female,Other Degree,0.01571,85,2252,0.01057,0.02085
1995,Rural regions,female,"Dropout, No School Degree",0.00850,39,2252,0.00471,0.01230
1995,Rural regions,female,No School Degree Yet,0.00715,37,2252,0.00367,0.01063
1996,Urban regions,male,Secondary School Degree,0.36261,1599,3944,0.34760,0.37762
1996,Urban regions,male,Intermediate School Degree,0.16241,819,3944,0.15090,0.17392
1996,Urban regions,male,Technical School Degree,0.03954,170,3944,0.03345,0.04562
1996,Urban regions,male,Upper Secondary Degree,0.13696,623,3944,0.12623,0.14769
1996,Urban regions,male,Other Degree,0.05598,485,3944,0.04881,0.06316
1996,Urban regions,male,"Dropout, No School Degree",0.01453,155,3944,0.01080,0.01827
1996,Urban regions,male,No School Degree Yet,0.01556,93,3944,0.01170,0.01942
1996,Urban regions,female,Secondary School Degree,0.39826,1755,4283,0.38359,0.41292
1996,Urban regions,female,Intermediate School Degree,0.21438,1140,4283,0.20208,0.22667
1996,Urban regions,female,Technical School Degree,0.02012,93,4283,0.01591,0.02432
1996,Urban regions,female,Upper Secondary Degree,0.10643,521,4283,0.09719,0.11566
1996,Urban regions,female,Other Degree,0.04357,409,4283,0.03745,0.04968
1996,Urban regions,female,"Dropout, No School Degree",0.01781,209,4283,0.01385,0.02177
1996,Urban regions,female,No School Degree Yet,0.01633,105,4283,0.01253,0.02013
1996,Urban regions,female,No School Attended,0.00349,51,4283,0.00172,0.00525
1996,Rural regions,male,Secondary School Degree,0.39379,928,2136,0.37307,0.41452
1996,Rural regions,male,Intermediate School Degree,0.22974,727,2136,0.21190,0.24758
1996,Rural regions,male,Technical School Degree,0.03034,49,2136,0.02306,0.03761
1996,Rural regions,male,Upper Secondary Degree,0.09123,245,2136,0.07902,0.10344
1996,Rural regions,male,Other Degree,0.02171,107,2136,0.01553,0.02789
1996,Rural regions,male,"Dropout, No School Degree",0.01233,38,2136,0.00765,0.01701
1996,Rural regions,male,No School Degree Yet,0.01460,42,2136,0.00951,0.01968
1996,Rural regions,female,Secondary School Degree,0.43527,979,2231,0.41470,0.45585
1996,Rural regions,female,Intermediate School Degree,0.25842,897,2231,0.24025,0.27659
1996,Rural regions,female,Upper Secondary Degree,0.05759,182,2231,0.04792,0.06726
1996,Rural regions,female,Other Degree,0.01764,84,2231,0.01217,0.02310
1996,Rural regions,female,"Dropout, No School Degree",0.00976,40,2231,0.00568,0.01384
1996,Rural regions,female,No School Degree Yet,0.01403,49,2231,0.00915,0.01891
1997,Urban regions,male,Secondary School Degree,0.36073,1582,3900,0.34565,0.37580
1997,Urban regions,male,Intermediate School Degree,0.16648,828,3900,0.15479,0.17817
1997,Urban regions,male,Technical School Degree,0.04106,177,3900,0.03483,0.04729
1997,Urban regions,male,Upper Secondary Degree,0.13890,620,3900,0.12804,0.14975
1997,Urban regions,male,Other Degree,0.05277,447,3900,0.04576,0.05979
1997,Urban regions,male,"Dropout, No School Degree",0.01503,146,3900,0.01121,0.01885
1997,Urban regions,male,No School Degree Yet,0.01542,100,3900,0.01155,0.01929
1997,Urban regions,female,Secondary School Degree,0.39698,1707,4176,0.38213,0.41182
1997,Urban regions,female,Intermediate School Degree,0.21232,1108,4176,0.19992,0.22473
1997,Urban regions,female,Technical School Degree,0.02149,94,4176,0.01709,0.02589
1997,Urban regions,female,Upper Secondary Degree,0.10689,527,4176,0.09751,0.11626
1997,Urban regions,female,Other Degree,0.04442,388,4176,0.03817,0.05067
1997,Urban regions,female,"Dropout, No School Degree",0.01799,197,4176,0.01396,0.02202
1997,Urban regions,female,No School Degree Yet,0.01616,106,4176,0.01233,0.01998
1997,Urban regions,female,No School Attended,0.00372,49,4176,0.00187,0.00556
1997,Rural regions,male,Secondary School Degree,0.39315,901,2093,0.37222,0.41409
1997,Rural regions,male,Intermediate School Degree,0.22302,703,2093,0.20518,0.24085
1997,Rural regions,male,Technical School Degree,0.03222,48,2093,0.02465,0.03979
