year,pgisced97,sampreg,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,First Stage of Tertiary Education,West,Technical School Degree,0.09543,57,570,0.07129,0.11958
1986,First Stage of Tertiary Education,West,Upper Secondary Degree,0.13890,74,570,0.11049,0.16732
1986,Second Stage of Tertiary Education,West,Intermediate School Degree,0.09163,61,725,0.07061,0.11264
1986,Second Stage of Tertiary Education,West,Technical School Degree,0.17332,120,725,0.14574,0.20089
1986,Second Stage of Tertiary Education,West,Upper Secondary Degree,0.68299,490,725,0.64909,0.71688
1986,Second Stage of Tertiary Education,West,Other Degree,0.01858,54,725,0.00875,0.02842
1987,Pre-primary Level,West,No School Degree Yet,0.99893,191,191,0.99429,1.00357
1987,Primary Level,West,"Dropout, No School Degree",0.70250,554,707,0.66878,0.73623
1987,Primary Level,West,No School Attended,0.14245,153,707,0.11667,0.16823
1987,Lower Secondary Level,West,Secondary School Degree,0.79018,1837,2836,0.77519,0.80516
1987,Lower Secondary Level,West,Intermediate School Degree,0.16178,431,2836,0.14823,0.17534
1987,Lower Secondary Level,West,Other Degree,0.04800,568,2836,0.04013,0.05587
1987,Upper Secondary Level,West,Secondary School Degree,0.65569,2988,4938,0.64244,0.66895
1987,Upper Secondary Level,West,Intermediate School Degree,0.25599,1153,4938,0.24382,0.26817
1987,Upper Secondary Level,West,Technical School Degree,0.00873,44,4938,0.00614,0.01133
1987,Upper Secondary Level,West,Upper Secondary Degree,0.05005,254,4938,0.04397,0.05613
1987,Upper Secondary Level,West,Other Degree,0.02097,417,4938,0.01698,0.02497
1987,Upper Secondary Level,West,"Dropout, No School Degree",0.00511,82,4938,0.00312,0.00710
1987,Post-secondary Non-tertiary Level,West,Technical School Degree,0.36984,80,266,0.31172,0.42797
1987,Post-secondary Non-tertiary Level,West,Upper Secondary Degree,0.54349,112,266,0.48352,0.60346
1987,Post-secondary Non-tertiary Level,West,Other Degree,0.08091,74,266,0.04807,0.11374
1987,First Stage of Tertiary Education,West,Secondary School Degree,0.45659,251,552,0.41500,0.49818
1987,First Stage of Tertiary Education,West,Intermediate School Degree,0.30039,178,552,0.26211,0.33867
1987,First Stage of Tertiary Education,West,Technical School Degree,0.08323,49,552,0.06017,0.10630
1987,First Stage of Tertiary Education,West,Upper Secondary Degree,0.14792,74,552,0.11828,0.17756
1987,Second Stage of Tertiary Education,West,Intermediate School Degree,0.08858,62,720,0.06781,0.10935
1987,Second Stage of Tertiary Education,West,Technical School Degree,0.17131,117,720,0.14377,0.19885
1987,Second Stage of Tertiary Education,West,Upper Secondary Degree,0.68954,495,720,0.65572,0.72336
1987,Second Stage of Tertiary Education,West,Other Degree,0.01752,46,720,0.00793,0.02711
1988,Pre-primary Level,West,No School Degree Yet,0.99094,163,163,0.97636,1.00553
1988,Primary Level,West,"Dropout, No School Degree",0.69845,505,651,0.66317,0.73373
1988,Primary Level,West,No School Attended,0.14499,146,651,0.11792,0.17206
1988,Lower Secondary Level,West,Secondary School Degree,0.79280,1752,2719,0.77756,0.80803
1988,Lower Secondary Level,West,Intermediate School Degree,0.16201,424,2719,0.14816,0.17586
1988,Lower Secondary Level,West,Other Degree,0.04519,543,2719,0.03738,0.05300
1988,Upper Secondary Level,West,Secondary School Degree,0.65578,2858,4707,0.64220,0.66935
1988,Upper Secondary Level,West,Intermediate School Degree,0.25815,1111,4707,0.24565,0.27065
1988,Upper Secondary Level,West,Technical School Degree,0.00707,37,4707,0.00468,0.00947
1988,Upper Secondary Level,West,Upper Secondary Degree,0.05135,245,4707,0.04504,0.05765
1988,Upper Secondary Level,West,Other Degree,0.01917,382,4707,0.01526,0.02309
1988,Upper Secondary Level,West,"Dropout, No School Degree",0.00499,74,4707,0.00298,0.00700
1988,Post-secondary Non-tertiary Level,West,Technical School Degree,0.36536,79,262,0.30694,0.42378
1988,Post-secondary Non-tertiary Level,West,Upper Secondary Degree,0.56057,112,262,0.50035,0.62078
1988,Post-secondary Non-tertiary Level,West,Other Degree,0.06788,71,262,0.03737,0.09840
1988,First Stage of Tertiary Education,West,Secondary School Degree,0.46662,243,528,0.42403,0.50921
1988,First Stage of Tertiary Education,West,Intermediate School Degree,0.29254,168,528,0.25370,0.33138
1988,First Stage of Tertiary Education,West,Technical School Degree,0.08624,48,528,0.06227,0.11020
1988,First Stage of Tertiary Education,West,Upper Secondary Degree,0.14384,69,528,0.11388,0.17380
1988,Second Stage of Tertiary Education,West,Intermediate School Degree,0.09289,61,684,0.07112,0.11466
1988,Second Stage of Tertiary Education,West,Technical School Degree,0.17430,113,684,0.14585,0.20275
1988,Second Stage of Tertiary Education,West,Upper Secondary Degree,0.69456,475,684,0.66002,0.72911
1988,Second Stage of Tertiary Education,West,Other Degree,0.01418,35,684,0.00531,0.02305
1989,Primary Level,West,"Dropout, No School Degree",0.71532,479,616,0.67966,0.75099
1989,Primary Level,West,No School Attended,0.14427,137,616,0.11650,0.17204
1989,Lower Secondary Level,West,Secondary School Degree,0.78722,1650,2570,0.77140,0.80305
1989,Lower Secondary Level,West,Intermediate School Degree,0.16125,392,2570,0.14703,0.17547
1989,Lower Secondary Level,West,Other Degree,0.05143,528,2570,0.04289,0.05997
1989,Upper Secondary Level,West,Secondary School Degree,0.65044,2755,4579,0.63663,0.66426
1989,Upper Secondary Level,West,Intermediate School Degree,0.26069,1098,4579,0.24797,0.27341
1989,Upper Secondary Level,West,Technical School Degree,0.00701,36,4579,0.00459,0.00943
1989,Upper Secondary Level,West,Upper Secondary Degree,0.05263,252,4579,0.04616,0.05910
1989,Upper Secondary Level,West,Other Degree,0.02037,363,4579,0.01628,0.02446
1989,Upper Secondary Level,West,"Dropout, No School Degree",0.00469,75,4579,0.00271,0.00667
1989,Post-secondary Non-tertiary Level,West,Technical School Degree,0.34343,82,282,0.28791,0.39895
1989,Post-secondary Non-tertiary Level,West,Upper Secondary Degree,0.58338,131,282,0.52573,0.64102
1989,Post-secondary Non-tertiary Level,West,Other Degree,0.06741,69,282,0.03810,0.09673
1989,First Stage of Tertiary Education,West,Secondary School Degree,0.46634,230,505,0.42279,0.50990
1989,First Stage of Tertiary Education,West,Intermediate School Degree,0.29818,164,505,0.25824,0.33811
1989,First Stage of Tertiary Education,West,Technical School Degree,0.07975,45,505,0.05610,0.10340
1989,First Stage of Tertiary Education,West,Upper Secondary Degree,0.14544,66,505,0.11466,0.17622
1989,Second Stage of Tertiary Education,West,Intermediate School Degree,0.08109,56,681,0.06057,0.10161
1989,Second Stage of Tertiary Education,West,Technical School Degree,0.18069,116,681,0.15177,0.20961
1989,Second Stage of Tertiary Education,West,Upper Secondary Degree,0.69571,475,681,0.66113,0.73029
1989,Second Stage of Tertiary Education,West,Other Degree,0.01523,34,681,0.00603,0.02444
1990,Pre-primary Level,East,No School Degree Yet,0.97431,32,32,0.91861,1.03000
1990,Primary Level,West,"Dropout, No School Degree",0.69514,461,592,0.65802,0.73225
1990,Primary Level,West,No School Attended,0.14584,131,592,0.11738,0.17430
1990,Lower Secondary Level,West,Secondary School Degree,0.77976,1586,2469,0.76342,0.79611
1990,Lower Secondary Level,West,Intermediate School Degree,0.16176,358,2469,0.14723,0.17628
1990,Lower Secondary Level,West,Other Degree,0.05813,525,2469,0.04889,0.06736
1990,Lower Secondary Level,East,Secondary School Degree,0.67533,313,498,0.63416,0.71649
1990,Lower Secondary Level,East,Intermediate School Degree,0.28375,185,498,0.24412,0.32339
1990,Upper Secondary Level,West,Secondary School Degree,0.64340,2694,4491,0.62939,0.65741
1990,Upper Secondary Level,West,Intermediate School Degree,0.26531,1106,4491,0.25240,0.27823
1990,Upper Secondary Level,West,Technical School Degree,0.00594,33,4491,0.00369,0.00818
1990,Upper Secondary Level,West,Upper Secondary Degree,0.05337,244,4491,0.04679,0.05994
1990,Upper Secondary Level,West,Other Degree,0.02112,346,4491,0.01691,0.02533
1990,Upper Secondary Level,West,"Dropout, No School Degree",0.00535,68,4491,0.00321,0.00748
1990,Upper Secondary Level,East,Secondary School Degree,0.51925,1217,2524,0.49975,0.53875
1990,Upper Secondary Level,East,Intermediate School Degree,0.44444,1229,2524,0.42505,0.46383
1990,Upper Secondary Level,East,Upper Secondary Degree,0.01714,45,2524,0.01208,0.02221
1990,Upper Secondary Level,East,Other Degree,0.01532,33,2524,0.01053,0.02011
1990,Post-secondary Non-tertiary Level,West,Technical School Degree,0.35312,85,286,0.29763,0.40861
1990,Post-secondary Non-tertiary Level,West,Upper Secondary Degree,0.56203,131,286,0.50443,0.61963
1990,Post-secondary Non-tertiary Level,West,Other Degree,0.07842,70,286,0.04721,0.10963
1990,First Stage of Tertiary Education,West,Secondary School Degree,0.46072,225,504,0.41716,0.50428
1990,First Stage of Tertiary Education,West,Intermediate School Degree,0.29920,164,504,0.25918,0.33922
1990,First Stage of Tertiary Education,West,Technical School Degree,0.07797,43,504,0.05454,0.10140
1990,First Stage of Tertiary Education,West,Upper Secondary Degree,0.15353,72,504,0.12202,0.18503
1990,First Stage of Tertiary Education,East,Secondary School Degree,0.44318,99,250,0.38148,0.50488
1990,First Stage of Tertiary Education,East,Intermediate School Degree,0.53650,151,250,0.47456,0.59844
1990,Second Stage of Tertiary Education,West,Intermediate School Degree,0.07912,54,679,0.05880,0.09943
1990,Second Stage of Tertiary Education,West,Technical School Degree,0.18172,122,679,0.15269,0.21074
1990,Second Stage of Tertiary Education,West,Upper Secondary Degree,0.69351,472,679,0.65881,0.72821
1990,Second Stage of Tertiary Education,West,Other Degree,0.01505,31,679,0.00589,0.02422
1990,Second Stage of Tertiary Education,East,Secondary School Degree,0.12605,105,982,0.10528,0.14682
1990,Second Stage of Tertiary Education,East,Intermediate School Degree,0.47173,476,982,0.44049,0.50297
1990,Second Stage of Tertiary Education,East,Upper Secondary Degree,0.39075,401,982,0.36022,0.42128
1991,Primary Level,West,"Dropout, No School Degree",0.71929,464,589,0.68297,0.75561
1991,Primary Level,West,No School Attended,0.15114,125,589,0.12219,0.18009
1991,Lower Secondary Level,West,Secondary School Degree,0.77038,1526,2404,0.75356,0.78720
1991,Lower Secondary Level,West,Intermediate School Degree,0.16484,366,2404,0.15000,0.17967
1991,Lower Secondary Level,West,Other Degree,0.06441,512,2404,0.05460,0.07423
1991,Lower Secondary Level,East,Secondary School Degree,0.70329,274,438,0.66046,0.74612
1991,Lower Secondary Level,East,Intermediate School Degree,0.25789,164,438,0.21687,0.29890
1991,Upper Secondary Level,West,Secondary School Degree,0.63563,2679,4503,0.62157,0.64969
1991,Upper Secondary Level,West,Intermediate School Degree,0.27045,1124,4503,0.25747,0.28342
1991,Upper Secondary Level,West,Technical School Degree,0.00764,42,4503,0.00509,0.01018
1991,Upper Secondary Level,West,Upper Secondary Degree,0.05113,245,4503,0.04469,0.05756
1991,Upper Secondary Level,West,Other Degree,0.02337,348,4503,0.01895,0.02778
1991,Upper Secondary Level,West,"Dropout, No School Degree",0.00551,65,4503,0.00335,0.00767
1991,Upper Secondary Level,East,Secondary School Degree,0.51480,1103,2320,0.49445,0.53514
1991,Upper Secondary Level,East,Intermediate School Degree,0.45476,1177,2320,0.43449,0.47502
1991,Upper Secondary Level,East,Upper Secondary Degree,0.01388,40,2320,0.00911,0.01864
1991,Post-secondary Non-tertiary Level,West,Technical School Degree,0.32847,87,302,0.27541,0.38153
1991,Post-secondary Non-tertiary Level,West,Upper Secondary Degree,0.57680,144,302,0.52098,0.63262
1991,Post-secondary Non-tertiary Level,West,Other Degree,0.08945,71,302,0.05721,0.12170
1991,First Stage of Tertiary Education,West,Secondary School Degree,0.44873,226,510,0.40552,0.49194
1991,First Stage of Tertiary Education,West,Intermediate School Degree,0.30346,165,510,0.26352,0.34341
1991,First Stage of Tertiary Education,West,Technical School Degree,0.07992,44,510,0.05637,0.10348
1991,First Stage of Tertiary Education,West,Upper Secondary Degree,0.16003,75,510,0.12818,0.19189
1991,First Stage of Tertiary Education,East,Secondary School Degree,0.42771,89,231,0.36377,0.49165
1991,First Stage of Tertiary Education,East,Intermediate School Degree,0.55238,142,231,0.48812,0.61665
1991,Second Stage of Tertiary Education,West,Intermediate School Degree,0.07869,59,671,0.05830,0.09908
1991,Second Stage of Tertiary Education,West,Technical School Degree,0.17732,122,671,0.14840,0.20624
1991,Second Stage of Tertiary Education,West,Upper Secondary Degree,0.69527,490,671,0.66042,0.73012
1991,Second Stage of Tertiary Education,East,Secondary School Degree,0.13809,105,946,0.11610,0.16009
1991,Second Stage of Tertiary Education,East,Intermediate School Degree,0.46921,466,946,0.43739,0.50102
1991,Second Stage of Tertiary Education,East,Upper Secondary Degree,0.38238,375,946,0.35139,0.41336
1992,Pre-primary Level,West,No School Degree Yet,0.99082,142,142,0.97507,1.00656
1992,Pre-primary Level,East,No School Degree Yet,0.76993,36,36,0.63049,0.90936
1992,Primary Level,West,"Dropout, No School Degree",0.71939,454,571,0.68250,0.75627
1992,Primary Level,West,No School Attended,0.14815,117,571,0.11899,0.17732
1992,Lower Secondary Level,West,Secondary School Degree,0.76390,1469,2330,0.74666,0.78115
1992,Lower Secondary Level,West,Intermediate School Degree,0.16494,364,2330,0.14986,0.18001
1992,Lower Secondary Level,West,Other Degree,0.07053,497,2330,0.06013,0.08092
1992,Lower Secondary Level,East,Secondary School Degree,0.68768,269,439,0.64428,0.73109
1992,Lower Secondary Level,East,Intermediate School Degree,0.28142,170,439,0.23930,0.32353
1992,Upper Secondary Level,West,Secondary School Degree,0.62704,2629,4442,0.61282,0.64126
1992,Upper Secondary Level,West,Intermediate School Degree,0.27373,1140,4442,0.26061,0.28684
1992,Upper Secondary Level,West,Technical School Degree,0.00868,44,4442,0.00595,0.01140
1992,Upper Secondary Level,West,Upper Secondary Degree,0.05140,229,4442,0.04491,0.05790
1992,Upper Secondary Level,West,Other Degree,0.02564,336,4442,0.02099,0.03028
1992,Upper Secondary Level,West,"Dropout, No School Degree",0.00621,64,4442,0.00390,0.00852
1992,Upper Secondary Level,East,Secondary School Degree,0.51715,1038,2184,0.49618,0.53811
1992,Upper Secondary Level,East,Intermediate School Degree,0.45045,1104,2184,0.42958,0.47133
1992,Upper Secondary Level,East,Upper Secondary Degree,0.01397,42,2184,0.00905,0.01889
1992,Post-secondary Non-tertiary Level,West,Technical School Degree,0.30328,88,311,0.25211,0.35445
1992,Post-secondary Non-tertiary Level,West,Upper Secondary Degree,0.59602,155,311,0.54140,0.65065
1992,Post-secondary Non-tertiary Level,West,Other Degree,0.09500,68,311,0.06236,0.12764
1992,Post-secondary Non-tertiary Level,East,Upper Secondary Degree,0.95981,66,66,0.91206,1.00756
1992,First Stage of Tertiary Education,West,Secondary School Degree,0.43858,224,522,0.39597,0.48119
1992,First Stage of Tertiary Education,West,Intermediate School Degree,0.30601,172,522,0.26644,0.34558
1992,First Stage of Tertiary Education,West,Technical School Degree,0.08744,48,522,0.06318,0.11169
1992,First Stage of Tertiary Education,West,Upper Secondary Degree,0.16067,78,522,0.12914,0.19221
1992,First Stage of Tertiary Education,East,Secondary School Degree,0.42767,87,225,0.36288,0.49246
1992,First Stage of Tertiary Education,East,Intermediate School Degree,0.54795,138,225,0.48278,0.61313
1992,Second Stage of Tertiary Education,West,Intermediate School Degree,0.08381,69,684,0.06303,0.10459
1992,Second Stage of Tertiary Education,West,Technical School Degree,0.17199,119,684,0.14369,0.20029
1992,Second Stage of Tertiary Education,West,Upper Secondary Degree,0.69311,496,684,0.65852,0.72770
1992,Second Stage of Tertiary Education,East,Secondary School Degree,0.13658,101,909,0.11424,0.15891
1992,Second Stage of Tertiary Education,East,Intermediate School Degree,0.46537,447,909,0.43292,0.49781
1992,Second Stage of Tertiary Education,East,Upper Secondary Degree,0.38742,361,909,0.35573,0.41911
1993,Pre-primary Level,West,No School Degree Yet,0.99765,125,125,0.98911,1.00618
1993,Pre-primary Level,East,No School Degree Yet,0.78363,51,51,0.66950,0.89777
1993,Primary Level,West,"Dropout, No School Degree",0.72626,447,565,0.68946,0.76306
1993,Primary Level,West,No School Attended,0.15903,118,565,0.12885,0.18921
1993,Lower Secondary Level,West,Secondary School Degree,0.76053,1424,2253,0.74290,0.77815
1993,Lower Secondary Level,West,Intermediate School Degree,0.16378,347,2253,0.14850,0.17906
1993,Lower Secondary Level,West,Other Degree,0.07569,482,2253,0.06477,0.08662
1993,Lower Secondary Level,East,Secondary School Degree,0.67368,252,411,0.62830,0.71907
1993,Lower Secondary Level,East,Intermediate School Degree,0.29270,159,411,0.24865,0.33674
1993,Upper Secondary Level,West,Secondary School Degree,0.62115,2606,4459,0.60691,0.63539
1993,Upper Secondary Level,West,Intermediate School Degree,0.27927,1180,4459,0.26610,0.29244
1993,Upper Secondary Level,West,Technical School Degree,0.00823,45,4459,0.00558,0.01088
1993,Upper Secondary Level,West,Upper Secondary Degree,0.05036,242,4459,0.04394,0.05678
1993,Upper Secondary Level,West,Other Degree,0.02737,326,4459,0.02258,0.03216
1993,Upper Secondary Level,West,"Dropout, No School Degree",0.00606,60,4459,0.00378,0.00833
1993,Upper Secondary Level,East,Secondary School Degree,0.50636,975,2107,0.48501,0.52771
1993,Upper Secondary Level,East,Intermediate School Degree,0.45989,1083,2107,0.43860,0.48118
1993,Upper Secondary Level,East,Upper Secondary Degree,0.01663,49,2107,0.01117,0.02209
1993,Post-secondary Non-tertiary Level,West,Technical School Degree,0.33422,93,310,0.28162,0.38681
1993,Post-secondary Non-tertiary Level,West,Upper Secondary Degree,0.55869,151,310,0.50332,0.61405
1993,Post-secondary Non-tertiary Level,West,Other Degree,0.10087,66,310,0.06729,0.13444
1993,Post-secondary Non-tertiary Level,East,Upper Secondary Degree,0.96509,68,68,0.92114,1.00904
1993,First Stage of Tertiary Education,West,Secondary School Degree,0.43373,215,510,0.39067,0.47678
1993,First Stage of Tertiary Education,West,Intermediate School Degree,0.30727,173,510,0.26719,0.34735
1993,First Stage of Tertiary Education,West,Technical School Degree,0.07735,42,510,0.05415,0.10056
1993,First Stage of Tertiary Education,West,Upper Secondary Degree,0.17550,80,510,0.14245,0.20855
1993,First Stage of Tertiary Education,East,Secondary School Degree,0.42892,84,219,0.36322,0.49462
1993,First Stage of Tertiary Education,East,Intermediate School Degree,0.54997,135,219,0.48393,0.61601
1993,Second Stage of Tertiary Education,West,Intermediate School Degree,0.09079,80,738,0.07004,0.11153
1993,Second Stage of Tertiary Education,West,Technical School Degree,0.16811,122,738,0.14111,0.19511
1993,Second Stage of Tertiary Education,West,Upper Secondary Degree,0.68292,505,738,0.64932,0.71651
1993,Second Stage of Tertiary Education,West,Other Degree,0.02099,31,738,0.01064,0.03133
1993,Second Stage of Tertiary Education,East,Secondary School Degree,0.13597,95,866,0.11313,0.15881
1993,Second Stage of Tertiary Education,East,Intermediate School Degree,0.44630,413,866,0.41317,0.47943
1993,Second Stage of Tertiary Education,East,Upper Secondary Degree,0.40920,358,866,0.37644,0.44197
1994,Pre-primary Level,West,No School Degree Yet,0.99761,155,155,0.98989,1.00532
1994,Pre-primary Level,East,No School Degree Yet,0.84316,74,74,0.75974,0.92658
1994,Primary Level,West,"Dropout, No School Degree",0.72799,411,519,0.68966,0.76631
1994,Primary Level,West,No School Attended,0.15660,108,519,0.12530,0.18789
1994,Lower Secondary Level,West,Secondary School Degree,0.76267,1337,2089,0.74442,0.78092
1994,Lower Secondary Level,West,Intermediate School Degree,0.15679,307,2089,0.14119,0.17239
1994,Lower Secondary Level,West,Other Degree,0.08054,445,2089,0.06887,0.09221
1994,Lower Secondary Level,East,Secondary School Degree,0.69684,244,395,0.65145,0.74222
1994,Lower Secondary Level,East,Intermediate School Degree,0.28887,151,395,0.24411,0.33362
1994,Upper Secondary Level,West,Secondary School Degree,0.61404,2554,4402,0.59965,0.62842
1994,Upper Secondary Level,West,Intermediate School Degree,0.28119,1193,4402,0.26791,0.29447
1994,Upper Secondary Level,West,Technical School Degree,0.00877,46,4402,0.00602,0.01153
1994,Upper Secondary Level,West,Upper Secondary Degree,0.05119,242,4402,0.04468,0.05770
1994,Upper Secondary Level,West,Other Degree,0.02896,310,4402,0.02401,0.03391
1994,Upper Secondary Level,West,"Dropout, No School Degree",0.00601,57,4402,0.00373,0.00830
1994,Upper Secondary Level,East,Secondary School Degree,0.50579,941,2058,0.48418,0.52739
1994,Upper Secondary Level,East,Intermediate School Degree,0.45880,1060,2058,0.43727,0.48034
1994,Upper Secondary Level,East,Upper Secondary Degree,0.01865,57,2058,0.01280,0.02450
1994,Post-secondary Non-tertiary Level,West,Technical School Degree,0.34768,98,311,0.29467,0.40070
1994,Post-secondary Non-tertiary Level,West,Upper Secondary Degree,0.54661,155,311,0.49119,0.60202
1994,Post-secondary Non-tertiary Level,West,Other Degree,0.09816,58,311,0.06504,0.13128
1994,Post-secondary Non-tertiary Level,East,Upper Secondary Degree,0.95159,71,71,0.90131,1.00187
1994,First Stage of Tertiary Education,West,Secondary School Degree,0.43660,212,506,0.39334,0.47985
1994,First Stage of Tertiary Education,West,Intermediate School Degree,0.30233,173,506,0.26227,0.34238
1994,First Stage of Tertiary Education,West,Technical School Degree,0.08269,45,506,0.05867,0.10671
1994,First Stage of Tertiary Education,West,Upper Secondary Degree,0.17038,76,506,0.13759,0.20317
1994,First Stage of Tertiary Education,East,Secondary School Degree,0.41366,83,227,0.34945,0.47787
1994,First Stage of Tertiary Education,East,Intermediate School Degree,0.56142,144,227,0.49672,0.62611
1994,Second Stage of Tertiary Education,West,Intermediate School Degree,0.08732,83,739,0.06696,0.10769
1994,Second Stage of Tertiary Education,West,Technical School Degree,0.16333,124,739,0.13666,0.19000
1994,Second Stage of Tertiary Education,West,Upper Secondary Degree,0.68929,532,739,0.65590,0.72268
1994,Second Stage of Tertiary Education,East,Secondary School Degree,0.15105,98,850,0.12696,0.17514
1994,Second Stage of Tertiary Education,East,Intermediate School Degree,0.42737,398,850,0.39409,0.46064
1994,Second Stage of Tertiary Education,East,Upper Secondary Degree,0.41166,354,850,0.37855,0.44476
1995,Pre-primary Level,West,No School Degree Yet,0.99798,190,190,0.99158,1.00438
1995,Pre-primary Level,East,No School Degree Yet,0.89731,89,89,0.83388,0.96073
