year,sampreg,sex,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,West,female,Upper Secondary Degree,0.07736,375,5271,0.07014,0.08457
1986,West,female,Other Degree,0.02041,456,5271,0.01659,0.02423
1986,West,female,"Dropout, No School Degree",0.02027,362,5271,0.01647,0.02408
1986,West,female,No School Degree Yet,0.01080,76,5271,0.00801,0.01359
1986,West,female,No School Attended,0.00412,106,5271,0.00239,0.00585
1987,West,male,Secondary School Degree,0.56401,2420,5090,0.55039,0.57764
1987,West,male,Intermediate School Degree,0.18006,787,5090,0.16950,0.19061
1987,West,male,Technical School Degree,0.04527,187,5090,0.03956,0.05099
1987,West,male,Upper Secondary Degree,0.13255,566,5090,0.12323,0.14186
1987,West,male,Other Degree,0.03975,680,5090,0.03438,0.04512
1987,West,male,"Dropout, No School Degree",0.02065,291,5090,0.01674,0.02456
1987,West,male,No School Degree Yet,0.01498,104,5090,0.01165,0.01832
1987,West,male,No School Attended,0.00273,55,5090,0.00129,0.00416
1987,West,female,Secondary School Degree,0.61069,2680,5198,0.59743,0.62394
1987,West,female,Intermediate School Degree,0.22832,1039,5198,0.21691,0.23973
1987,West,female,Technical School Degree,0.02181,103,5198,0.01784,0.02578
1987,West,female,Upper Secondary Degree,0.08007,369,5198,0.07270,0.08745
1987,West,female,Other Degree,0.02275,462,5198,0.01869,0.02680
1987,West,female,"Dropout, No School Degree",0.01895,348,5198,0.01524,0.02265
1987,West,female,No School Degree Yet,0.01297,93,5198,0.00989,0.01605
1987,West,female,No School Attended,0.00444,104,5198,0.00263,0.00625
1988,West,male,Secondary School Degree,0.56788,2334,4835,0.55392,0.58185
1988,West,male,Intermediate School Degree,0.17616,739,4835,0.16542,0.18690
1988,West,male,Technical School Degree,0.04548,181,4835,0.03961,0.05136
1988,West,male,Upper Secondary Degree,0.13679,551,4835,0.12710,0.14647
1988,West,male,Other Degree,0.03620,636,4835,0.03094,0.04147
1988,West,male,"Dropout, No School Degree",0.01853,253,4835,0.01473,0.02233
1988,West,male,No School Degree Yet,0.01646,91,4835,0.01287,0.02004
1988,West,male,No School Attended,0.00249,50,4835,0.00109,0.00390
1988,West,female,Secondary School Degree,0.60627,2538,4945,0.59265,0.61988
1988,West,female,Intermediate School Degree,0.23469,1025,4945,0.22288,0.24651
1988,West,female,Technical School Degree,0.02186,96,4945,0.01778,0.02593
1988,West,female,Upper Secondary Degree,0.08152,350,4945,0.07389,0.08915
1988,West,female,Other Degree,0.02093,429,4945,0.01694,0.02492
1988,West,female,"Dropout, No School Degree",0.01822,329,4945,0.01449,0.02195
1988,West,female,No School Degree Yet,0.01226,76,4945,0.00919,0.01533
1988,West,female,No School Attended,0.00426,102,4945,0.00244,0.00607
1989,West,male,Secondary School Degree,0.55430,2222,4667,0.54004,0.56856
1989,West,male,Intermediate School Degree,0.17504,714,4667,0.16413,0.18594
1989,West,male,Technical School Degree,0.04776,185,4667,0.04164,0.05387
1989,West,male,Upper Secondary Degree,0.14379,562,4667,0.13372,0.15386
1989,West,male,Other Degree,0.03806,604,4667,0.03257,0.04355
1989,West,male,"Dropout, No School Degree",0.01807,241,4667,0.01425,0.02189
1989,West,male,No School Degree Yet,0.02033,92,4667,0.01628,0.02438
1989,West,male,No School Attended,0.00266,47,4667,0.00118,0.00414
1989,West,female,Secondary School Degree,0.59745,2430,4804,0.58358,0.61132
1989,West,female,Intermediate School Degree,0.23371,996,4804,0.22174,0.24568
1989,West,female,Technical School Degree,0.02194,94,4804,0.01780,0.02609
1989,West,female,Upper Secondary Degree,0.08588,362,4804,0.07796,0.09381
1989,West,female,Other Degree,0.02305,422,4804,0.01880,0.02729
1989,West,female,"Dropout, No School Degree",0.01978,316,4804,0.01584,0.02371
1989,West,female,No School Degree Yet,0.01382,86,4804,0.01052,0.01712
1989,West,female,No School Attended,0.00437,98,4804,0.00250,0.00624
1990,West,male,Secondary School Degree,0.54554,2160,4559,0.53108,0.55999
1990,West,male,Intermediate School Degree,0.17538,689,4559,0.16434,0.18642
1990,West,male,Technical School Degree,0.04798,188,4559,0.04177,0.05418
1990,West,male,Upper Secondary Degree,0.14803,555,4559,0.13772,0.15834
1990,West,male,Other Degree,0.04135,590,4559,0.03557,0.04713
1990,West,male,"Dropout, No School Degree",0.02032,237,4559,0.01623,0.02442
1990,West,male,No School Degree Yet,0.01843,95,4559,0.01453,0.02234
1990,West,male,No School Attended,0.00296,45,4559,0.00138,0.00454
1990,West,female,Secondary School Degree,0.58899,2365,4693,0.57491,0.60306
1990,West,female,Intermediate School Degree,0.23864,993,4693,0.22644,0.25084
1990,West,female,Technical School Degree,0.02288,95,4693,0.01860,0.02716
1990,West,female,Upper Secondary Degree,0.08741,364,4693,0.07933,0.09549
1990,West,female,Other Degree,0.02496,415,4693,0.02050,0.02943
1990,West,female,"Dropout, No School Degree",0.02012,295,4693,0.01610,0.02413
1990,West,female,No School Degree Yet,0.01220,72,4693,0.00906,0.01534
1990,West,female,No School Attended,0.00481,94,4693,0.00283,0.00679
1990,East,male,Secondary School Degree,0.39807,773,2075,0.37700,0.41913
1990,East,male,Intermediate School Degree,0.43965,971,2075,0.41829,0.46102
1990,East,male,Upper Secondary Degree,0.13484,299,2075,0.12014,0.14954
1990,East,male,Other Degree,0.01739,32,2075,0.01176,0.02302
1990,East,female,Secondary School Degree,0.48206,961,2262,0.46146,0.50265
1990,East,female,Intermediate School Degree,0.40861,1070,2262,0.38835,0.42888
1990,East,female,Upper Secondary Degree,0.08497,231,2262,0.07348,0.09647
1991,West,male,Secondary School Degree,0.53595,2142,4545,0.52145,0.55045
1991,West,male,Intermediate School Degree,0.17548,695,4545,0.16442,0.18654
1991,West,male,Technical School Degree,0.05161,197,4545,0.04518,0.05805
1991,West,male,Upper Secondary Degree,0.15271,566,4545,0.14225,0.16317
1991,West,male,Other Degree,0.04464,585,4545,0.03863,0.05064
1991,West,male,"Dropout, No School Degree",0.02069,230,4545,0.01655,0.02483
1991,West,male,No School Degree Yet,0.01569,85,4545,0.01207,0.01930
1991,West,male,No School Attended,0.00323,45,4545,0.00158,0.00488
1991,West,female,Secondary School Degree,0.57317,2308,4677,0.55899,0.58735
1991,West,female,Intermediate School Degree,0.24403,1019,4677,0.23172,0.25634
1991,West,female,Technical School Degree,0.02272,98,4677,0.01845,0.02700
1991,West,female,Upper Secondary Degree,0.09315,388,4677,0.08482,0.10148
1991,West,female,Other Degree,0.02696,404,4677,0.02232,0.03160
1991,West,female,"Dropout, No School Degree",0.02187,302,4677,0.01768,0.02606
1991,West,female,No School Degree Yet,0.01308,71,4677,0.00982,0.01633
1991,West,female,No School Attended,0.00502,87,4677,0.00299,0.00704
1991,East,male,Secondary School Degree,0.40070,708,1917,0.37875,0.42264
1991,East,male,Intermediate School Degree,0.44478,928,1917,0.42252,0.46703
1991,East,male,Upper Secondary Degree,0.13299,281,1917,0.11779,0.14820
1991,East,female,Secondary School Degree,0.47925,863,2094,0.45785,0.50065
1991,East,female,Intermediate School Degree,0.41403,1021,2094,0.39293,0.43514
1991,East,female,Upper Secondary Degree,0.08329,210,2094,0.07145,0.09512
1992,West,male,Secondary School Degree,0.52998,2102,4457,0.51533,0.54464
1992,West,male,Intermediate School Degree,0.17825,701,4457,0.16702,0.18949
1992,West,male,Technical School Degree,0.05222,198,4457,0.04569,0.05875
1992,West,male,Upper Secondary Degree,0.15263,557,4457,0.14207,0.16319
1992,West,male,Other Degree,0.04732,558,4457,0.04109,0.05355
1992,West,male,"Dropout, No School Degree",0.02134,223,4457,0.01709,0.02558
1992,West,male,No School Degree Yet,0.01479,76,4457,0.01125,0.01834
1992,West,male,No School Attended,0.00346,42,4457,0.00174,0.00519
1992,West,female,Secondary School Degree,0.56145,2240,4643,0.54717,0.57572
1992,West,female,Intermediate School Degree,0.24697,1044,4643,0.23457,0.25938
1992,West,female,Technical School Degree,0.02316,101,4643,0.01884,0.02749
1992,West,female,Upper Secondary Degree,0.09848,401,4643,0.08991,0.10705
1992,West,female,Other Degree,0.02920,401,4643,0.02436,0.03404
1992,West,female,"Dropout, No School Degree",0.02342,299,4643,0.01907,0.02777
1992,West,female,No School Degree Yet,0.01220,75,4643,0.00905,0.01536
1992,West,female,No School Attended,0.00511,82,4643,0.00306,0.00716
1992,East,male,Secondary School Degree,0.40042,674,1822,0.37791,0.42292
1992,East,male,Intermediate School Degree,0.44188,877,1822,0.41907,0.46469
1992,East,male,Upper Secondary Degree,0.13180,271,1822,0.11626,0.14733
1992,East,female,Secondary School Degree,0.47167,821,2007,0.44982,0.49351
1992,East,female,Intermediate School Degree,0.41288,982,2007,0.39133,0.43442
1992,East,female,Upper Secondary Degree,0.08589,204,2007,0.07363,0.09815
1993,West,male,Secondary School Degree,0.51978,2069,4426,0.50506,0.53450
1993,West,male,Intermediate School Degree,0.18593,726,4426,0.17447,0.19739
1993,West,male,Technical School Degree,0.05221,198,4426,0.04565,0.05876
1993,West,male,Upper Secondary Degree,0.15117,564,4426,0.14061,0.16172
1993,West,male,Other Degree,0.05064,545,4426,0.04418,0.05710
1993,West,male,"Dropout, No School Degree",0.02317,222,4426,0.01874,0.02760
1993,West,male,No School Degree Yet,0.01317,60,4426,0.00981,0.01653
1993,West,male,No School Attended,0.00394,42,4426,0.00210,0.00579
1993,West,female,Secondary School Degree,0.55476,2195,4592,0.54038,0.56913
1993,West,female,Intermediate School Degree,0.24555,1054,4592,0.23310,0.25800
1993,West,female,Technical School Degree,0.02386,104,4592,0.01944,0.02827
1993,West,female,Upper Secondary Degree,0.10207,414,4592,0.09331,0.11082
1993,West,female,Other Degree,0.03089,385,4592,0.02588,0.03589
1993,West,female,"Dropout, No School Degree",0.02499,288,4592,0.02048,0.02951
1993,West,female,No School Degree Yet,0.01191,69,4592,0.00877,0.01504
1993,West,female,No School Attended,0.00599,83,4592,0.00376,0.00822
1993,East,male,Secondary School Degree,0.38818,630,1744,0.36530,0.41106
1993,East,male,Intermediate School Degree,0.44086,841,1744,0.41755,0.46417
1993,East,male,Upper Secondary Degree,0.14170,273,1744,0.12532,0.15807
1993,East,female,Secondary School Degree,0.46228,776,1932,0.44004,0.48452
1993,East,female,Intermediate School Degree,0.41790,949,1932,0.39590,0.43990
1993,East,female,Upper Secondary Degree,0.09185,207,1932,0.07897,0.10473
1994,West,male,Secondary School Degree,0.51548,1993,4287,0.50052,0.53044
1994,West,male,Intermediate School Degree,0.18216,703,4287,0.17060,0.19371
1994,West,male,Technical School Degree,0.05485,208,4287,0.04803,0.06166
1994,West,male,Upper Secondary Degree,0.15384,570,4287,0.14304,0.16464
1994,West,male,Other Degree,0.05131,498,4287,0.04471,0.05792
1994,West,male,"Dropout, No School Degree",0.02212,204,4287,0.01771,0.02652
1994,West,male,No School Degree Yet,0.01620,71,4287,0.01242,0.01998
1994,West,male,No School Attended,0.00404,40,4287,0.00214,0.00594
1994,West,female,Secondary School Degree,0.54190,2132,4517,0.52736,0.55643
1994,West,female,Intermediate School Degree,0.24593,1053,4517,0.23337,0.25849
1994,West,female,Technical School Degree,0.02488,105,4517,0.02034,0.02943
1994,West,female,Upper Secondary Degree,0.10896,435,4517,0.09987,0.11805
1994,West,female,Other Degree,0.03198,364,4517,0.02685,0.03711
1994,West,female,"Dropout, No School Degree",0.02570,268,4517,0.02108,0.03031
1994,West,female,No School Degree Yet,0.01485,85,4517,0.01133,0.01838
1994,West,female,No School Attended,0.00580,75,4517,0.00359,0.00802
1994,East,male,Secondary School Degree,0.38950,619,1719,0.36644,0.41255
1994,East,male,Intermediate School Degree,0.43796,826,1719,0.41450,0.46142
1994,East,male,Upper Secondary Degree,0.14657,274,1719,0.12985,0.16330
1994,East,female,Secondary School Degree,0.46342,747,1932,0.44118,0.48566
1994,East,female,Intermediate School Degree,0.41072,927,1932,0.38877,0.43266
1994,East,female,Upper Secondary Degree,0.09444,214,1932,0.08140,0.10749
1994,East,female,No School Degree Yet,0.01386,44,1932,0.00865,0.01908
1995,West,male,Secondary School Degree,0.49499,1989,4511,0.48040,0.50959
1995,West,male,Intermediate School Degree,0.17957,749,4511,0.16837,0.19078
1995,West,male,Technical School Degree,0.05666,216,4511,0.04991,0.06341
1995,West,male,Upper Secondary Degree,0.15418,597,4511,0.14364,0.16472
1995,West,male,Other Degree,0.07055,622,4511,0.06308,0.07803
1995,West,male,"Dropout, No School Degree",0.02011,200,4511,0.01601,0.02421
1995,West,male,No School Degree Yet,0.02082,102,4511,0.01665,0.02499
1995,West,male,No School Attended,0.00311,36,4511,0.00148,0.00473
1995,West,female,Secondary School Degree,0.52327,2097,4743,0.50905,0.53748
1995,West,female,Intermediate School Degree,0.24579,1131,4743,0.23354,0.25805
1995,West,female,Technical School Degree,0.02492,112,4743,0.02048,0.02935
1995,West,female,Upper Secondary Degree,0.11347,475,4743,0.10444,0.12250
1995,West,female,Other Degree,0.05090,504,4743,0.04464,0.05715
1995,West,female,"Dropout, No School Degree",0.02225,266,4743,0.01806,0.02645
1995,West,female,No School Degree Yet,0.01513,89,4743,0.01166,0.01861
1995,West,female,No School Attended,0.00427,69,4743,0.00242,0.00613
1995,East,male,Secondary School Degree,0.39620,602,1702,0.37296,0.41944
1995,East,male,Intermediate School Degree,0.42241,788,1702,0.39893,0.44588
1995,East,male,Upper Secondary Degree,0.15272,274,1702,0.13563,0.16982
1995,East,male,No School Degree Yet,0.01366,38,1702,0.00814,0.01917
1995,East,female,Secondary School Degree,0.45757,706,1891,0.43510,0.48003
1995,East,female,Intermediate School Degree,0.40881,914,1891,0.38665,0.43097
1995,East,female,Upper Secondary Degree,0.09987,220,1891,0.08635,0.11338
1995,East,female,No School Degree Yet,0.01660,51,1891,0.01084,0.02237
1996,West,male,Secondary School Degree,0.49105,1938,4381,0.47625,0.50586
1996,West,male,Intermediate School Degree,0.18437,751,4381,0.17289,0.19585
1996,West,male,Technical School Degree,0.05619,211,4381,0.04937,0.06301
1996,West,male,Upper Secondary Degree,0.15562,591,4381,0.14488,0.16635
1996,West,male,Other Degree,0.06894,577,4381,0.06144,0.07644
1996,West,male,"Dropout, No School Degree",0.02096,186,4381,0.01672,0.02520
1996,West,male,No School Degree Yet,0.01967,93,4381,0.01556,0.02378
1996,West,male,No School Attended,0.00321,34,4381,0.00153,0.00488
1996,West,female,Secondary School Degree,0.51685,2052,4648,0.50248,0.53122
1996,West,female,Intermediate School Degree,0.24699,1130,4648,0.23459,0.25939
1996,West,female,Technical School Degree,0.02594,112,4648,0.02137,0.03051
1996,West,female,Upper Secondary Degree,0.11377,475,4648,0.10464,0.12290
1996,West,female,Other Degree,0.05084,472,4648,0.04452,0.05715
1996,West,female,"Dropout, No School Degree",0.02232,243,4648,0.01808,0.02657
1996,West,female,No School Degree Yet,0.01925,104,4648,0.01530,0.02320
1996,West,female,No School Attended,0.00403,60,4648,0.00221,0.00585
1996,East,male,Secondary School Degree,0.38402,589,1703,0.36092,0.40713
1996,East,male,Intermediate School Degree,0.43038,795,1703,0.40685,0.45390
1996,East,male,Upper Secondary Degree,0.15215,277,1703,0.13509,0.16921
1996,East,male,No School Degree Yet,0.01764,42,1703,0.01139,0.02390
1996,East,female,Secondary School Degree,0.44183,682,1867,0.41930,0.46436
1996,East,female,Intermediate School Degree,0.41648,907,1867,0.39411,0.43885
1996,East,female,Upper Secondary Degree,0.10370,228,1867,0.08986,0.11753
1996,East,female,No School Degree Yet,0.01868,50,1867,0.01254,0.02482
1997,West,male,Secondary School Degree,0.48952,1910,4312,0.47460,0.50444
1997,West,male,Intermediate School Degree,0.18573,757,4312,0.17412,0.19733
1997,West,male,Technical School Degree,0.05847,216,4312,0.05147,0.06547
1997,West,male,Upper Secondary Degree,0.15780,593,4312,0.14692,0.16869
1997,West,male,Other Degree,0.06553,532,4312,0.05815,0.07292
1997,West,male,"Dropout, No School Degree",0.02087,175,4312,0.01661,0.02514
1997,West,male,No School Degree Yet,0.01860,98,4312,0.01457,0.02264
1997,West,male,No School Attended,0.00347,31,4312,0.00172,0.00523
1997,West,female,Secondary School Degree,0.51209,1990,4548,0.49756,0.52662
1997,West,female,Intermediate School Degree,0.24717,1123,4548,0.23463,0.25971
1997,West,female,Technical School Degree,0.02688,111,4548,0.02218,0.03158
1997,West,female,Upper Secondary Degree,0.11570,481,4548,0.10640,0.12499
1997,West,female,Other Degree,0.05213,450,4548,0.04567,0.05860
1997,West,female,"Dropout, No School Degree",0.02243,225,4548,0.01812,0.02673
1997,West,female,No School Degree Yet,0.01920,109,4548,0.01521,0.02319
1997,West,female,No School Attended,0.00441,59,4548,0.00248,0.00633
1997,East,male,Secondary School Degree,0.37573,573,1683,0.35259,0.39888
1997,East,male,Intermediate School Degree,0.42645,774,1683,0.40281,0.45008
1997,East,male,Upper Secondary Degree,0.15937,281,1683,0.14188,0.17686
1997,East,male,No School Degree Yet,0.02296,55,1683,0.01580,0.03012
1997,East,female,Secondary School Degree,0.43687,662,1830,0.41413,0.45960
1997,East,female,Intermediate School Degree,0.41655,881,1830,0.39396,0.43915
1997,East,female,Upper Secondary Degree,0.10802,237,1830,0.09380,0.12225
1997,East,female,No School Degree Yet,0.01892,50,1830,0.01267,0.02516
1998,West,male,Secondary School Degree,0.47531,2109,4697,0.46102,0.48959
1998,West,male,Intermediate School Degree,0.19463,869,4697,0.18330,0.20595
1998,West,male,Technical School Degree,0.05691,238,4697,0.05029,0.06354
1998,West,male,Upper Secondary Degree,0.16052,691,4697,0.15002,0.17102
1998,West,male,Other Degree,0.06827,514,4697,0.06105,0.07548
1998,West,male,"Dropout, No School Degree",0.02107,165,4697,0.01696,0.02518
1998,West,male,No School Degree Yet,0.01965,111,4697,0.01568,0.02362
1998,West,female,Secondary School Degree,0.49692,2220,5023,0.48309,0.51075
1998,West,female,Intermediate School Degree,0.24468,1247,5023,0.23279,0.25657
1998,West,female,Technical School Degree,0.03086,140,5023,0.02607,0.03564
1998,West,female,Upper Secondary Degree,0.12493,594,5023,0.11579,0.13408
1998,West,female,Other Degree,0.05395,438,5023,0.04770,0.06020
1998,West,female,"Dropout, No School Degree",0.02414,215,5023,0.01989,0.02838
1998,West,female,No School Degree Yet,0.01994,114,5023,0.01607,0.02381
1998,West,female,No School Attended,0.00458,55,5023,0.00272,0.00645
1998,East,male,Secondary School Degree,0.37643,606,1769,0.35384,0.39901
1998,East,male,Intermediate School Degree,0.43452,826,1769,0.41142,0.45763
1998,East,male,Upper Secondary Degree,0.15046,286,1769,0.13379,0.16712
1998,East,male,No School Degree Yet,0.01975,51,1769,0.01326,0.02624
1998,East,female,Secondary School Degree,0.42016,671,1902,0.39797,0.44235
1998,East,female,Intermediate School Degree,0.43292,936,1902,0.41065,0.45519
1998,East,female,Upper Secondary Degree,0.10314,240,1902,0.08947,0.11681
1998,East,female,No School Degree Yet,0.02140,55,1902,0.01490,0.02791
1999,West,male,Secondary School Degree,0.47845,2085,4608,0.46403,0.49288
1999,West,male,Intermediate School Degree,0.19130,856,4608,0.17994,0.20266
1999,West,male,Technical School Degree,0.05342,227,4608,0.04692,0.05991
1999,West,male,Upper Secondary Degree,0.16364,693,4608,0.15296,0.17433
1999,West,male,Other Degree,0.06872,479,4608,0.06141,0.07602
1999,West,male,"Dropout, No School Degree",0.02225,160,4608,0.01799,0.02651
1999,West,male,No School Degree Yet,0.01983,108,4608,0.01581,0.02386
1999,West,female,Secondary School Degree,0.49344,2154,4907,0.47945,0.50743
1999,West,female,Intermediate School Degree,0.24780,1245,4907,0.23572,0.25988
1999,West,female,Technical School Degree,0.03109,140,4907,0.02624,0.03595
1999,West,female,Upper Secondary Degree,0.12661,596,4907,0.11730,0.13591
1999,West,female,Other Degree,0.05266,405,4907,0.04641,0.05891
1999,West,female,"Dropout, No School Degree",0.02525,211,4907,0.02086,0.02965
1999,West,female,No School Degree Yet,0.01841,106,4907,0.01465,0.02217
1999,West,female,No School Attended,0.00474,50,4907,0.00282,0.00666
1999,East,male,Secondary School Degree,0.36698,586,1747,0.34437,0.38959
1999,East,male,Intermediate School Degree,0.44238,818,1747,0.41908,0.46567
1999,East,male,Upper Secondary Degree,0.15215,293,1747,0.13530,0.16900
1999,East,male,No School Degree Yet,0.02015,50,1747,0.01356,0.02674
1999,East,female,Secondary School Degree,0.41475,660,1892,0.39254,0.43696
1999,East,female,Intermediate School Degree,0.43009,930,1892,0.40778,0.45241
1999,East,female,Upper Secondary Degree,0.10820,250,1892,0.09420,0.12220
1999,East,female,No School Degree Yet,0.02257,52,1892,0.01587,0.02926
2000,West,male,Secondary School Degree,0.45582,3933,8764,0.44539,0.46624
2000,West,male,Intermediate School Degree,0.19710,1726,8764,0.18877,0.20543
2000,West,male,Technical School Degree,0.06848,565,8764,0.06319,0.07376
2000,West,male,Upper Secondary Degree,0.17169,1458,8764,0.16379,0.17959
2000,West,male,Other Degree,0.07095,736,8764,0.06557,0.07632
2000,West,male,"Dropout, No School Degree",0.01862,172,8764,0.01579,0.02145
2000,West,male,No School Degree Yet,0.01731,174,8764,0.01458,0.02004
2000,West,female,Secondary School Degree,0.46118,4118,9436,0.45112,0.47124
2000,West,female,Intermediate School Degree,0.26321,2570,9436,0.25433,0.27210
2000,West,female,Technical School Degree,0.03767,352,9436,0.03383,0.04152
2000,West,female,Upper Secondary Degree,0.13848,1286,9436,0.13151,0.14545
2000,West,female,Other Degree,0.06307,707,9436,0.05817,0.06798
2000,West,female,"Dropout, No School Degree",0.01987,218,9436,0.01706,0.02269
2000,West,female,No School Degree Yet,0.01593,185,9436,0.01340,0.01845
2000,East,male,Secondary School Degree,0.33289,861,2784,0.31538,0.35040
2000,East,male,Intermediate School Degree,0.45227,1296,2784,0.43378,0.47076
2000,East,male,Technical School Degree,0.01679,41,2784,0.01201,0.02156
2000,East,male,Upper Secondary Degree,0.16159,489,2784,0.14791,0.17527
2000,East,male,Other Degree,0.01199,34,2784,0.00795,0.01604
2000,East,male,No School Degree Yet,0.02050,63,2784,0.01524,0.02577
2000,East,female,Secondary School Degree,0.39695,1018,3039,0.37955,0.41435
2000,East,female,Intermediate School Degree,0.41397,1389,3039,0.39646,0.43149
2000,East,female,Technical School Degree,0.01978,58,3039,0.01483,0.02473
2000,East,female,Upper Secondary Degree,0.12757,446,3039,0.11570,0.13943
2000,East,female,Other Degree,0.01632,49,3039,0.01182,0.02083
2000,East,female,No School Degree Yet,0.02198,79,3039,0.01676,0.02719
2001,West,male,Secondary School Degree,0.44618,3433,7853,0.43518,0.45717
2001,West,male,Intermediate School Degree,0.20153,1589,7853,0.19266,0.21040
2001,West,male,Technical School Degree,0.06803,513,7853,0.06246,0.07360
2001,West,male,Upper Secondary Degree,0.17756,1351,7853,0.16911,0.18601
2001,West,male,Other Degree,0.06988,647,7853,0.06424,0.07552
2001,West,male,"Dropout, No School Degree",0.01562,130,7853,0.01288,0.01837
2001,West,male,No School Degree Yet,0.02116,190,7853,0.01798,0.02435
2001,West,female,Secondary School Degree,0.44909,3588,8517,0.43853,0.45966
2001,West,female,Intermediate School Degree,0.26534,2356,8517,0.25596,0.27472
2001,West,female,Technical School Degree,0.03996,341,8517,0.03580,0.04412
2001,West,female,Upper Secondary Degree,0.14375,1210,8517,0.13630,0.15120
2001,West,female,Other Degree,0.06865,662,8517,0.06328,0.07403
2001,West,female,"Dropout, No School Degree",0.01589,165,8517,0.01323,0.01855
2001,West,female,No School Degree Yet,0.01665,195,8517,0.01393,0.01937
2001,East,male,Secondary School Degree,0.32991,804,2569,0.31172,0.34809
2001,East,male,Intermediate School Degree,0.44482,1185,2569,0.42560,0.46404
2001,East,male,Technical School Degree,0.01980,44,2569,0.01441,0.02519
2001,East,male,Upper Secondary Degree,0.16806,469,2569,0.15360,0.18253
2001,East,male,No School Degree Yet,0.02310,67,2569,0.01729,0.02891
2001,East,female,Secondary School Degree,0.38441,901,2763,0.36627,0.40255
2001,East,female,Intermediate School Degree,0.41652,1288,2763,0.39814,0.43491
2001,East,female,Technical School Degree,0.02271,59,2763,0.01716,0.02827
2001,East,female,Upper Secondary Degree,0.13797,427,2763,0.12511,0.15083
2001,East,female,No School Degree Yet,0.02324,88,2763,0.01762,0.02886
2002,West,male,Secondary School Degree,0.44968,3284,8408,0.43905,0.46032
2002,West,male,Intermediate School Degree,0.20283,1718,8408,0.19424,0.21143
2002,West,male,Technical School Degree,0.06624,597,8408,0.06093,0.07156
2002,West,male,Upper Secondary Degree,0.17231,1850,8408,0.16423,0.18038
2002,West,male,Other Degree,0.07171,620,8408,0.06620,0.07723
2002,West,male,"Dropout, No School Degree",0.01552,118,8408,0.01288,0.01816
2002,West,male,No School Degree Yet,0.02170,221,8408,0.01859,0.02482
