year,regtyp,sampreg,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Rural regions,East,Other Degree,0.01352,45,2832,0.00926,0.01777
1991,Urban regions,West,Secondary School Degree,0.43617,3340,7262,0.42477,0.44758
1991,Urban regions,West,Intermediate School Degree,0.17569,1334,7262,0.16694,0.18445
1991,Urban regions,West,Technical School Degree,0.03078,240,7262,0.02681,0.03475
1991,Urban regions,West,Upper Secondary Degree,0.10908,803,7262,0.10191,0.11625
1991,Urban regions,West,Other Degree,0.03132,844,7262,0.02732,0.03533
1991,Urban regions,West,"Dropout, No School Degree",0.01845,462,7262,0.01536,0.02155
1991,Urban regions,West,No School Degree Yet,0.01124,125,7262,0.00881,0.01366
1991,Urban regions,West,No School Attended,0.00389,114,7262,0.00246,0.00532
1991,Urban regions,East,Secondary School Degree,0.30873,453,1290,0.28351,0.33395
1991,Urban regions,East,Intermediate School Degree,0.34170,601,1290,0.31580,0.36759
1991,Urban regions,East,Upper Secondary Degree,0.12761,236,1290,0.10940,0.14583
1991,Rural regions,West,Secondary School Degree,0.50501,1110,1939,0.48275,0.52727
1991,Rural regions,West,Intermediate School Degree,0.16128,380,1939,0.14490,0.17765
1991,Rural regions,West,Technical School Degree,0.02635,55,1939,0.01922,0.03349
1991,Rural regions,West,Upper Secondary Degree,0.06583,148,1939,0.05479,0.07687
1991,Rural regions,West,Other Degree,0.02085,145,1939,0.01449,0.02721
1991,Rural regions,West,"Dropout, No School Degree",0.01388,70,1939,0.00867,0.01909
1991,Rural regions,West,No School Degree Yet,0.01304,31,1939,0.00799,0.01809
1991,Rural regions,East,Secondary School Degree,0.38067,1090,2672,0.36226,0.39908
1991,Rural regions,East,Intermediate School Degree,0.34305,1299,2672,0.32505,0.36105
1991,Rural regions,East,Upper Secondary Degree,0.06362,247,2672,0.05436,0.07287
1991,Rural regions,East,Other Degree,0.01201,36,2672,0.00788,0.01615
1992,Urban regions,West,Secondary School Degree,0.42789,3265,7155,0.41642,0.43935
1992,Urban regions,West,Intermediate School Degree,0.17523,1342,7155,0.16642,0.18404
1992,Urban regions,West,Technical School Degree,0.03093,243,7155,0.02692,0.03494
1992,Urban regions,West,Upper Secondary Degree,0.11136,805,7155,0.10407,0.11865
1992,Urban regions,West,Other Degree,0.03408,821,7155,0.02988,0.03829
1992,Urban regions,West,"Dropout, No School Degree",0.01907,446,7155,0.01590,0.02224
1992,Urban regions,West,No School Degree Yet,0.01105,125,7155,0.00863,0.01347
1992,Urban regions,West,No School Attended,0.00416,108,7155,0.00267,0.00565
1992,Urban regions,East,Secondary School Degree,0.31018,451,1278,0.28481,0.33555
1992,Urban regions,East,Intermediate School Degree,0.34605,589,1278,0.31996,0.37214
1992,Urban regions,East,Upper Secondary Degree,0.12838,238,1278,0.11003,0.14673
1992,Rural regions,West,Secondary School Degree,0.49295,1075,1890,0.47041,0.51550
1992,Rural regions,West,Intermediate School Degree,0.16831,400,1890,0.15144,0.18518
1992,Rural regions,West,Technical School Degree,0.02742,56,1890,0.02006,0.03479
1992,Rural regions,West,Upper Secondary Degree,0.06515,145,1890,0.05402,0.07628
1992,Rural regions,West,Other Degree,0.02001,138,1890,0.01369,0.02632
1992,Rural regions,West,"Dropout, No School Degree",0.01540,76,1890,0.00984,0.02095
1992,Rural regions,East,Secondary School Degree,0.38191,1012,2484,0.36280,0.40102
1992,Rural regions,East,Intermediate School Degree,0.34356,1213,2484,0.32488,0.36224
1992,Rural regions,East,Upper Secondary Degree,0.06184,223,2484,0.05236,0.07131
1992,Rural regions,East,Other Degree,0.01274,36,2484,0.00833,0.01715
1993,Urban regions,West,Secondary School Degree,0.42041,3214,7088,0.40891,0.43190
1993,Urban regions,West,Intermediate School Degree,0.17661,1367,7088,0.16773,0.18549
1993,Urban regions,West,Technical School Degree,0.03090,244,7088,0.02687,0.03493
1993,Urban regions,West,Upper Secondary Degree,0.11097,824,7088,0.10366,0.11828
1993,Urban regions,West,Other Degree,0.03672,794,7088,0.03234,0.04110
1993,Urban regions,West,"Dropout, No School Degree",0.02020,429,7088,0.01693,0.02348
1993,Urban regions,West,No School Degree Yet,0.01034,108,7088,0.00798,0.01269
1993,Urban regions,West,No School Attended,0.00479,108,7088,0.00318,0.00640
1993,Urban regions,East,Secondary School Degree,0.29527,428,1266,0.27013,0.32041
1993,Urban regions,East,Intermediate School Degree,0.34780,592,1266,0.32156,0.37405
1993,Urban regions,East,Upper Secondary Degree,0.13909,246,1266,0.12002,0.15816
1993,Rural regions,West,Secondary School Degree,0.48503,1050,1892,0.46251,0.50756
1993,Rural regions,West,Intermediate School Degree,0.17204,413,1892,0.15503,0.18905
1993,Rural regions,West,Technical School Degree,0.02863,58,1892,0.02111,0.03615
1993,Rural regions,West,Upper Secondary Degree,0.07159,154,1892,0.05997,0.08321
1993,Rural regions,West,Other Degree,0.01953,136,1892,0.01330,0.02577
1993,Rural regions,West,"Dropout, No School Degree",0.01729,81,1892,0.01141,0.02316
1993,Rural regions,East,Secondary School Degree,0.37113,978,2443,0.35197,0.39029
1993,Rural regions,East,Intermediate School Degree,0.34437,1198,2443,0.32553,0.36322
1993,Rural regions,East,Upper Secondary Degree,0.06762,234,2443,0.05766,0.07758
1993,Rural regions,East,Other Degree,0.01173,33,2443,0.00746,0.01600
1994,Urban regions,West,Secondary School Degree,0.41329,3113,6927,0.40170,0.42489
1994,Urban regions,West,Intermediate School Degree,0.17381,1348,6927,0.16489,0.18274
1994,Urban regions,West,Technical School Degree,0.03164,252,6927,0.02752,0.03576
1994,Urban regions,West,Upper Secondary Degree,0.11325,839,6927,0.10579,0.12072
1994,Urban regions,West,Other Degree,0.03772,742,6927,0.03324,0.04221
1994,Urban regions,West,"Dropout, No School Degree",0.02012,399,6927,0.01682,0.02343
1994,Urban regions,West,No School Degree Yet,0.01347,135,6927,0.01076,0.01619
1994,Urban regions,West,No School Attended,0.00469,99,6927,0.00308,0.00630
1994,Urban regions,East,Secondary School Degree,0.30105,421,1284,0.27595,0.32615
1994,Urban regions,East,Intermediate School Degree,0.34159,583,1284,0.31564,0.36754
1994,Urban regions,East,Upper Secondary Degree,0.14384,247,1284,0.12464,0.16304
1994,Urban regions,East,No School Degree Yet,0.01368,33,1284,0.00732,0.02004
1994,Rural regions,West,Secondary School Degree,0.46822,1012,1840,0.44542,0.49103
1994,Rural regions,West,Intermediate School Degree,0.17190,408,1840,0.15466,0.18914
1994,Rural regions,West,Technical School Degree,0.03139,61,1840,0.02342,0.03935
1994,Rural regions,West,Upper Secondary Degree,0.07764,166,1840,0.06541,0.08987
1994,Rural regions,West,Other Degree,0.01815,120,1840,0.01205,0.02425
1994,Rural regions,West,"Dropout, No School Degree",0.01658,73,1840,0.01074,0.02241
1994,Rural regions,East,Secondary School Degree,0.37206,945,2397,0.35271,0.39142
1994,Rural regions,East,Intermediate School Degree,0.34435,1170,2397,0.32532,0.36337
1994,Rural regions,East,Upper Secondary Degree,0.07049,241,2397,0.06024,0.08074
1994,Rural regions,East,No School Degree Yet,0.00907,41,2397,0.00528,0.01287
1995,Urban regions,West,Secondary School Degree,0.39382,3051,7248,0.38257,0.40507
1995,Urban regions,West,Intermediate School Degree,0.17102,1423,7248,0.16235,0.17969
1995,Urban regions,West,Technical School Degree,0.03228,264,7248,0.02821,0.03635
1995,Urban regions,West,Upper Secondary Degree,0.11718,902,7248,0.10977,0.12458
1995,Urban regions,West,Other Degree,0.05526,959,7248,0.05000,0.06052
1995,Urban regions,West,"Dropout, No School Degree",0.01804,398,7248,0.01497,0.02110
1995,Urban regions,West,No School Degree Yet,0.01543,161,7248,0.01259,0.01826
1995,Urban regions,West,No School Attended,0.00351,90,7248,0.00215,0.00487
1995,Urban regions,East,Secondary School Degree,0.32559,404,1193,0.29899,0.35219
1995,Urban regions,East,Intermediate School Degree,0.33314,536,1193,0.30638,0.35990
1995,Urban regions,East,Upper Secondary Degree,0.13635,218,1193,0.11687,0.15583
1995,Urban regions,East,No School Degree Yet,0.01523,35,1193,0.00828,0.02218
1995,Rural regions,West,Secondary School Degree,0.45459,1035,1961,0.43254,0.47663
1995,Rural regions,West,Intermediate School Degree,0.17241,457,1961,0.15568,0.18913
1995,Rural regions,West,Technical School Degree,0.03191,64,1961,0.02413,0.03970
1995,Rural regions,West,Upper Secondary Degree,0.07246,170,1961,0.06098,0.08394
1995,Rural regions,West,Other Degree,0.02607,167,1961,0.01902,0.03312
1995,Rural regions,West,"Dropout, No School Degree",0.01366,68,1961,0.00852,0.01880
1995,Rural regions,East,Secondary School Degree,0.36116,904,2400,0.34194,0.38038
1995,Rural regions,East,Intermediate School Degree,0.34140,1166,2400,0.32242,0.36037
1995,Rural regions,East,Upper Secondary Degree,0.08437,276,2400,0.07325,0.09549
1995,Rural regions,East,No School Degree Yet,0.01092,54,2400,0.00676,0.01508
1996,Urban regions,West,Secondary School Degree,0.38957,2964,7032,0.37817,0.40097
1996,Urban regions,West,Intermediate School Degree,0.17340,1422,7032,0.16455,0.18225
1996,Urban regions,West,Technical School Degree,0.03250,259,7032,0.02836,0.03665
1996,Urban regions,West,Upper Secondary Degree,0.11789,896,7032,0.11035,0.12543
1996,Urban regions,West,Other Degree,0.05411,885,7032,0.04882,0.05939
1996,Urban regions,West,"Dropout, No School Degree",0.01775,360,7032,0.01466,0.02083
1996,Urban regions,West,No School Degree Yet,0.01611,165,7032,0.01316,0.01905
1996,Urban regions,West,No School Attended,0.00348,81,7032,0.00210,0.00486
1996,Urban regions,East,Secondary School Degree,0.30074,390,1208,0.27487,0.32661
1996,Urban regions,East,Intermediate School Degree,0.33315,537,1208,0.30656,0.35974
1996,Urban regions,East,Upper Secondary Degree,0.15289,248,1208,0.13258,0.17319
1996,Urban regions,East,No School Degree Yet,0.01455,33,1208,0.00780,0.02131
1996,Rural regions,West,Secondary School Degree,0.45049,1026,1984,0.42859,0.47238
1996,Rural regions,West,Intermediate School Degree,0.17444,459,1984,0.15774,0.19115
1996,Rural regions,West,Technical School Degree,0.03211,64,1984,0.02435,0.03987
1996,Rural regions,West,Upper Secondary Degree,0.07226,170,1984,0.06086,0.08365
1996,Rural regions,West,Other Degree,0.02666,164,1984,0.01957,0.03375
1996,Rural regions,West,"Dropout, No School Degree",0.01604,69,1984,0.01051,0.02157
1996,Rural regions,West,No School Degree Yet,0.01383,32,1984,0.00869,0.01897
1996,Rural regions,East,Secondary School Degree,0.35964,881,2362,0.34028,0.37900
1996,Rural regions,East,Intermediate School Degree,0.35336,1165,2362,0.33407,0.37264
1996,Rural regions,East,Upper Secondary Degree,0.07686,257,2362,0.06611,0.08760
1996,Rural regions,East,No School Degree Yet,0.01505,59,2362,0.01014,0.01996
1997,Urban regions,West,Secondary School Degree,0.38748,2912,6910,0.37599,0.39897
1997,Urban regions,West,Intermediate School Degree,0.17412,1415,6910,0.16518,0.18307
1997,Urban regions,West,Technical School Degree,0.03400,266,6910,0.02973,0.03828
1997,Urban regions,West,Upper Secondary Degree,0.11920,904,6910,0.11156,0.12684
1997,Urban regions,West,Other Degree,0.05280,827,6910,0.04752,0.05807
1997,Urban regions,West,"Dropout, No School Degree",0.01801,338,6910,0.01487,0.02114
1997,Urban regions,West,No School Degree Yet,0.01580,171,6910,0.01286,0.01874
1997,Urban regions,West,No School Attended,0.00374,77,6910,0.00230,0.00518
1997,Urban regions,East,Secondary School Degree,0.30101,377,1176,0.27479,0.32724
1997,Urban regions,East,Intermediate School Degree,0.33962,521,1176,0.31254,0.36670
1997,Urban regions,East,Upper Secondary Degree,0.15434,243,1176,0.13368,0.17500
1997,Urban regions,East,No School Degree Yet,0.01578,35,1176,0.00866,0.02291
1997,Rural regions,West,Secondary School Degree,0.44483,988,1936,0.42268,0.46697
1997,Rural regions,West,Intermediate School Degree,0.17377,465,1936,0.15689,0.19065
1997,Rural regions,West,Technical School Degree,0.03257,61,1936,0.02466,0.04048
1997,Rural regions,West,Upper Secondary Degree,0.07398,169,1936,0.06232,0.08564
1997,Rural regions,West,Other Degree,0.02746,155,1936,0.02018,0.03474
1997,Rural regions,West,"Dropout, No School Degree",0.01516,62,1936,0.00972,0.02061
1997,Rural regions,West,No School Degree Yet,0.01293,36,1936,0.00790,0.01797
1997,Rural regions,East,Secondary School Degree,0.35365,858,2337,0.33426,0.37304
1997,Rural regions,East,Intermediate School Degree,0.35068,1134,2337,0.33133,0.37003
1997,Rural regions,East,Upper Secondary Degree,0.08524,275,2337,0.07392,0.09656
1997,Rural regions,East,No School Degree Yet,0.01793,70,2337,0.01255,0.02331
1998,Urban regions,West,Secondary School Degree,0.36502,3200,7554,0.35416,0.37587
1998,Urban regions,West,Intermediate School Degree,0.16924,1580,7554,0.16078,0.17769
1998,Urban regions,West,Technical School Degree,0.03550,313,7554,0.03133,0.03967
1998,Urban regions,West,Upper Secondary Degree,0.12124,1087,7554,0.11388,0.12860
1998,Urban regions,West,Other Degree,0.05284,803,7554,0.04780,0.05789
1998,Urban regions,West,"Dropout, No School Degree",0.01840,320,7554,0.01537,0.02143
1998,Urban regions,West,No School Degree Yet,0.01591,180,7554,0.01309,0.01874
1998,Urban regions,West,No School Attended,0.00376,71,7554,0.00238,0.00514
1998,Urban regions,East,Secondary School Degree,0.28471,371,1202,0.25918,0.31023
1998,Urban regions,East,Intermediate School Degree,0.35011,561,1202,0.32314,0.37709
1998,Urban regions,East,Upper Secondary Degree,0.14206,231,1202,0.12231,0.16180
1998,Urban regions,East,No School Degree Yet,0.02021,39,1202,0.01225,0.02817
1998,Rural regions,West,Secondary School Degree,0.41578,1129,2182,0.39510,0.43646
1998,Rural regions,West,Intermediate School Degree,0.17618,536,2182,0.16019,0.19217
1998,Rural regions,West,Technical School Degree,0.02758,65,2182,0.02070,0.03445
1998,Rural regions,West,Upper Secondary Degree,0.07366,198,2182,0.06269,0.08462
1998,Rural regions,West,Other Degree,0.02855,149,2182,0.02156,0.03553
1998,Rural regions,West,"Dropout, No School Degree",0.01480,60,2182,0.00973,0.01987
1998,Rural regions,West,No School Degree Yet,0.01346,45,2182,0.00863,0.01830
1998,Rural regions,East,Secondary School Degree,0.34156,906,2469,0.32285,0.36027
1998,Rural regions,East,Intermediate School Degree,0.35087,1201,2469,0.33204,0.36970
1998,Rural regions,East,Upper Secondary Degree,0.08174,295,2469,0.07093,0.09255
1998,Rural regions,East,No School Degree Yet,0.01487,67,2469,0.01009,0.01964
1999,Urban regions,West,Secondary School Degree,0.37683,3132,7373,0.36577,0.38789
1999,Urban regions,West,Intermediate School Degree,0.17141,1553,7373,0.16281,0.18002
1999,Urban regions,West,Technical School Degree,0.03487,301,7373,0.03068,0.03906
1999,Urban regions,West,Upper Secondary Degree,0.12758,1081,7373,0.11997,0.13520
1999,Urban regions,West,Other Degree,0.05462,747,7373,0.04943,0.05980
1999,Urban regions,West,"Dropout, No School Degree",0.02056,319,7373,0.01732,0.02380
1999,Urban regions,West,No School Degree Yet,0.01666,174,7373,0.01374,0.01958
1999,Urban regions,West,No School Attended,0.00351,66,7373,0.00216,0.00486
1999,Urban regions,East,Secondary School Degree,0.27823,358,1193,0.25279,0.30367
1999,Urban regions,East,Intermediate School Degree,0.36237,560,1193,0.33508,0.38966
1999,Urban regions,East,Upper Secondary Degree,0.15426,240,1193,0.13375,0.17476
1999,Urban regions,East,No School Degree Yet,0.01957,35,1193,0.01170,0.02743
1999,Rural regions,West,Secondary School Degree,0.42890,1107,2158,0.40801,0.44979
1999,Rural regions,West,Intermediate School Degree,0.19263,548,2158,0.17598,0.20927
1999,Rural regions,West,Technical School Degree,0.02915,66,2158,0.02205,0.03625
1999,Rural regions,West,Upper Secondary Degree,0.07659,208,2158,0.06537,0.08781
1999,Rural regions,West,Other Degree,0.02786,137,2158,0.02092,0.03481
1999,Rural regions,West,"Dropout, No School Degree",0.01407,52,2158,0.00910,0.01904
1999,Rural regions,West,No School Degree Yet,0.01078,40,2158,0.00642,0.01514
1999,Rural regions,East,Secondary School Degree,0.34867,888,2446,0.32978,0.36756
1999,Rural regions,East,Intermediate School Degree,0.36155,1188,2446,0.34250,0.38059
1999,Rural regions,East,Upper Secondary Degree,0.08367,303,2446,0.07270,0.09465
1999,Rural regions,East,No School Degree Yet,0.01683,67,2446,0.01173,0.02193
2000,Urban regions,West,Secondary School Degree,0.35906,5777,13847,0.35107,0.36705
2000,Urban regions,West,Intermediate School Degree,0.18821,3195,13847,0.18170,0.19472
2000,Urban regions,West,Technical School Degree,0.04472,731,13847,0.04128,0.04816
2000,Urban regions,West,Upper Secondary Degree,0.14125,2315,13847,0.13545,0.14706
2000,Urban regions,West,Other Degree,0.06121,1220,13847,0.05721,0.06520
2000,Urban regions,West,"Dropout, No School Degree",0.01724,329,13847,0.01507,0.01941
2000,Urban regions,West,No School Degree Yet,0.01385,280,13847,0.01190,0.01580
2000,Urban regions,East,Secondary School Degree,0.26811,520,1822,0.24776,0.28845
2000,Urban regions,East,Intermediate School Degree,0.34897,811,1822,0.32708,0.37087
2000,Urban regions,East,Technical School Degree,0.01628,33,1822,0.01046,0.02209
2000,Urban regions,East,Upper Secondary Degree,0.17565,411,1822,0.15818,0.19313
2000,Urban regions,East,No School Degree Yet,0.01952,47,1822,0.01317,0.02588
2000,Rural regions,West,Secondary School Degree,0.43221,2274,4353,0.41749,0.44693
2000,Rural regions,West,Intermediate School Degree,0.19458,1101,4353,0.18282,0.20635
2000,Rural regions,West,Technical School Degree,0.03816,186,4353,0.03247,0.04385
2000,Rural regions,West,Upper Secondary Degree,0.08032,429,4353,0.07224,0.08839
2000,Rural regions,West,Other Degree,0.03449,223,4353,0.02907,0.03992
2000,Rural regions,West,"Dropout, No School Degree",0.01119,61,4353,0.00806,0.01431
2000,Rural regions,West,No School Degree Yet,0.01288,79,4353,0.00953,0.01623
2000,Rural regions,East,Secondary School Degree,0.33054,1359,3977,0.31592,0.34517
2000,Rural regions,East,Intermediate School Degree,0.37467,1874,3977,0.35963,0.38972
2000,Rural regions,East,Technical School Degree,0.01519,66,3977,0.01139,0.01900
2000,Rural regions,East,Upper Secondary Degree,0.09620,524,3977,0.08704,0.10537
2000,Rural regions,East,Other Degree,0.01353,59,3977,0.00994,0.01712
2000,Rural regions,East,No School Degree Yet,0.01730,95,3977,0.01325,0.02136
2001,Urban regions,West,Secondary School Degree,0.34594,5025,12491,0.33760,0.35429
2001,Urban regions,West,Intermediate School Degree,0.19060,2954,12491,0.18371,0.19749
2001,Urban regions,West,Technical School Degree,0.04514,677,12491,0.04150,0.04878
2001,Urban regions,West,Upper Secondary Degree,0.14628,2176,12491,0.14008,0.15248
2001,Urban regions,West,Other Degree,0.06329,1117,12491,0.05902,0.06756
2001,Urban regions,West,"Dropout, No School Degree",0.01367,244,12491,0.01163,0.01571
2001,Urban regions,West,No School Degree Yet,0.01595,298,12491,0.01376,0.01815
2001,Urban regions,East,Secondary School Degree,0.25568,476,1725,0.23509,0.27628
2001,Urban regions,East,Intermediate School Degree,0.35068,757,1725,0.32815,0.37320
2001,Urban regions,East,Technical School Degree,0.02146,35,1725,0.01462,0.02830
2001,Urban regions,East,Upper Secondary Degree,0.19184,404,1725,0.17325,0.21042
2001,Urban regions,East,No School Degree Yet,0.02288,53,1725,0.01583,0.02994
2001,Rural regions,West,Secondary School Degree,0.43165,1996,3879,0.41606,0.44724
2001,Rural regions,West,Intermediate School Degree,0.19557,991,3879,0.18308,0.20805
2001,Rural regions,West,Technical School Degree,0.03954,177,3879,0.03341,0.04568
2001,Rural regions,West,Upper Secondary Degree,0.08176,385,3879,0.07314,0.09038
2001,Rural regions,West,Other Degree,0.03526,192,3879,0.02945,0.04106
2001,Rural regions,West,"Dropout, No School Degree",0.01040,51,3879,0.00720,0.01359
2001,Rural regions,West,No School Degree Yet,0.01366,87,3879,0.01000,0.01731
2001,Rural regions,East,Secondary School Degree,0.32969,1229,3646,0.31443,0.34495
2001,Rural regions,East,Intermediate School Degree,0.37502,1716,3646,0.35931,0.39074
2001,Rural regions,East,Technical School Degree,0.01654,68,3646,0.01240,0.02068
2001,Rural regions,East,Upper Secondary Degree,0.09977,492,3646,0.09004,0.10950
2001,Rural regions,East,Other Degree,0.01008,39,3646,0.00684,0.01332
2001,Rural regions,East,No School Degree Yet,0.01823,102,3646,0.01388,0.02257
2002,Urban regions,West,Secondary School Degree,0.34664,4811,13407,0.33858,0.35470
