year,pgisced97,regtyp,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Upper Secondary Level,Rural regions,Upper Secondary Degree,0.03409,40,1070,0.02321,0.04497
1986,Upper Secondary Level,Rural regions,Other Degree,0.01240,60,1070,0.00577,0.01903
1986,Post-secondary Non-tertiary Level,Urban regions,Technical School Degree,0.36671,63,222,0.30318,0.43025
1986,Post-secondary Non-tertiary Level,Urban regions,Upper Secondary Degree,0.53795,91,222,0.47222,0.60368
1986,Post-secondary Non-tertiary Level,Urban regions,Other Degree,0.09065,68,222,0.05279,0.12850
1986,First Stage of Tertiary Education,Urban regions,Secondary School Degree,0.44970,200,447,0.40353,0.49587
1986,First Stage of Tertiary Education,Urban regions,Intermediate School Degree,0.28961,137,447,0.24752,0.33171
1986,First Stage of Tertiary Education,Urban regions,Technical School Degree,0.09584,45,447,0.06852,0.12316
1986,First Stage of Tertiary Education,Urban regions,Upper Secondary Degree,0.15756,65,447,0.12374,0.19137
1986,First Stage of Tertiary Education,Rural regions,Secondary School Degree,0.49637,61,102,0.39885,0.59388
1986,First Stage of Tertiary Education,Rural regions,Intermediate School Degree,0.31815,41,102,0.22731,0.40898
1986,Second Stage of Tertiary Education,Urban regions,Intermediate School Degree,0.09204,50,604,0.06897,0.11512
1986,Second Stage of Tertiary Education,Urban regions,Technical School Degree,0.17537,100,604,0.14502,0.20573
1986,Second Stage of Tertiary Education,Urban regions,Upper Secondary Degree,0.68240,406,604,0.64524,0.71956
1986,Second Stage of Tertiary Education,Urban regions,Other Degree,0.01984,48,604,0.00871,0.03097
1986,Second Stage of Tertiary Education,Rural regions,Upper Secondary Degree,0.69972,84,84,0.60110,0.79833
1987,Primary Level,Urban regions,"Dropout, No School Degree",0.76497,492,622,0.73162,0.79832
1987,Primary Level,Urban regions,No School Attended,0.15543,130,622,0.12694,0.18393
1987,Primary Level,Rural regions,"Dropout, No School Degree",0.49086,62,62,0.36541,0.61632
1987,Lower Secondary Level,Urban regions,Secondary School Degree,0.77682,1345,2165,0.75928,0.79437
1987,Lower Secondary Level,Urban regions,Intermediate School Degree,0.16793,332,2165,0.15218,0.18367
1987,Lower Secondary Level,Urban regions,Other Degree,0.05525,488,2165,0.04563,0.06488
1987,Lower Secondary Level,Rural regions,Secondary School Degree,0.82569,492,671,0.79697,0.85442
1987,Lower Secondary Level,Rural regions,Intermediate School Degree,0.14553,99,671,0.11883,0.17223
1987,Lower Secondary Level,Rural regions,Other Degree,0.02878,80,671,0.01612,0.04144
1987,Upper Secondary Level,Urban regions,Secondary School Degree,0.64552,2255,3835,0.63038,0.66066
1987,Upper Secondary Level,Urban regions,Intermediate School Degree,0.26074,902,3835,0.24685,0.27464
1987,Upper Secondary Level,Urban regions,Technical School Degree,0.00956,37,3835,0.00648,0.01264
1987,Upper Secondary Level,Urban regions,Upper Secondary Degree,0.05527,215,3835,0.04804,0.06251
1987,Upper Secondary Level,Urban regions,Other Degree,0.02332,355,3835,0.01854,0.02809
1987,Upper Secondary Level,Urban regions,"Dropout, No School Degree",0.00521,71,3835,0.00293,0.00749
1987,Upper Secondary Level,Rural regions,Secondary School Degree,0.69692,733,1085,0.66956,0.72428
1987,Upper Secondary Level,Rural regions,Intermediate School Degree,0.24423,251,1085,0.21865,0.26981
1987,Upper Secondary Level,Rural regions,Upper Secondary Degree,0.03403,39,1085,0.02324,0.04483
1987,Upper Secondary Level,Rural regions,Other Degree,0.01376,62,1085,0.00682,0.02069
1987,Post-secondary Non-tertiary Level,Urban regions,Technical School Degree,0.35620,64,226,0.29363,0.41877
1987,Post-secondary Non-tertiary Level,Urban regions,Upper Secondary Degree,0.55177,97,226,0.48679,0.61675
1987,Post-secondary Non-tertiary Level,Urban regions,Other Degree,0.08648,65,226,0.04975,0.12320
1987,First Stage of Tertiary Education,Urban regions,Secondary School Degree,0.45034,195,435,0.40353,0.49715
1987,First Stage of Tertiary Education,Urban regions,Intermediate School Degree,0.28211,133,435,0.23977,0.32445
1987,First Stage of Tertiary Education,Urban regions,Technical School Degree,0.08732,40,435,0.06076,0.11389
1987,First Stage of Tertiary Education,Urban regions,Upper Secondary Degree,0.17287,67,435,0.13729,0.20844
1987,First Stage of Tertiary Education,Rural regions,Secondary School Degree,0.48482,56,101,0.38687,0.58278
1987,First Stage of Tertiary Education,Rural regions,Intermediate School Degree,0.36981,45,101,0.27519,0.46443
1987,Second Stage of Tertiary Education,Urban regions,Intermediate School Degree,0.08554,48,600,0.06314,0.10793
1987,Second Stage of Tertiary Education,Urban regions,Technical School Degree,0.16782,96,600,0.13790,0.19775
1987,Second Stage of Tertiary Education,Urban regions,Upper Secondary Degree,0.69830,415,600,0.66154,0.73506
1987,Second Stage of Tertiary Education,Urban regions,Other Degree,0.01856,41,600,0.00775,0.02937
1987,Second Stage of Tertiary Education,Rural regions,Upper Secondary Degree,0.66259,80,80,0.55832,0.76686
1988,Primary Level,Urban regions,"Dropout, No School Degree",0.74839,445,569,0.71271,0.78408
1988,Primary Level,Urban regions,No School Attended,0.16016,124,569,0.13000,0.19033
1988,Primary Level,Rural regions,"Dropout, No School Degree",0.54325,60,60,0.41614,0.67036
1988,Lower Secondary Level,Urban regions,Secondary School Degree,0.77746,1303,2108,0.75970,0.79523
1988,Lower Secondary Level,Urban regions,Intermediate School Degree,0.17017,336,2108,0.15412,0.18621
1988,Lower Secondary Level,Urban regions,Other Degree,0.05237,469,2108,0.04286,0.06188
1988,Lower Secondary Level,Rural regions,Secondary School Degree,0.83432,449,611,0.80481,0.86382
1988,Lower Secondary Level,Rural regions,Intermediate School Degree,0.13992,88,611,0.11239,0.16745
1988,Lower Secondary Level,Rural regions,Other Degree,0.02576,74,611,0.01319,0.03833
1988,Upper Secondary Level,Urban regions,Secondary School Degree,0.64316,2162,3663,0.62764,0.65867
1988,Upper Secondary Level,Urban regions,Intermediate School Degree,0.26561,871,3663,0.25131,0.27992
1988,Upper Secondary Level,Urban regions,Technical School Degree,0.00832,33,3663,0.00538,0.01126
1988,Upper Secondary Level,Urban regions,Upper Secondary Degree,0.05640,209,3663,0.04893,0.06387
1988,Upper Secondary Level,Urban regions,Other Degree,0.02136,325,3663,0.01668,0.02604
1988,Upper Secondary Level,Urban regions,"Dropout, No School Degree",0.00498,63,3663,0.00270,0.00726
1988,Upper Secondary Level,Rural regions,Secondary School Degree,0.70549,696,1029,0.67762,0.73335
1988,Upper Secondary Level,Rural regions,Intermediate School Degree,0.23790,240,1029,0.21187,0.26393
1988,Upper Secondary Level,Rural regions,Upper Secondary Degree,0.03590,36,1029,0.02453,0.04728
1988,Upper Secondary Level,Rural regions,Other Degree,0.01244,57,1029,0.00567,0.01922
1988,Post-secondary Non-tertiary Level,Urban regions,Technical School Degree,0.33705,63,227,0.27542,0.39868
1988,Post-secondary Non-tertiary Level,Urban regions,Upper Secondary Degree,0.58357,100,227,0.51930,0.64784
1988,Post-secondary Non-tertiary Level,Urban regions,Other Degree,0.07318,64,227,0.03923,0.10714
1988,First Stage of Tertiary Education,Urban regions,Secondary School Degree,0.46382,190,415,0.41578,0.51185
1988,First Stage of Tertiary Education,Urban regions,Intermediate School Degree,0.27260,124,415,0.22970,0.31549
1988,First Stage of Tertiary Education,Urban regions,Technical School Degree,0.08892,39,415,0.06150,0.11633
1988,First Stage of Tertiary Education,Urban regions,Upper Secondary Degree,0.16764,62,415,0.13165,0.20362
1988,First Stage of Tertiary Education,Rural regions,Secondary School Degree,0.48013,53,97,0.38019,0.58007
1988,First Stage of Tertiary Education,Rural regions,Intermediate School Degree,0.36625,44,97,0.26988,0.46263
1988,Second Stage of Tertiary Education,Urban regions,Intermediate School Degree,0.08604,46,544,0.06245,0.10962
1988,Second Stage of Tertiary Education,Urban regions,Technical School Degree,0.16556,91,544,0.13429,0.19682
1988,Second Stage of Tertiary Education,Urban regions,Upper Secondary Degree,0.71122,407,544,0.67310,0.74934
1988,Second Stage of Tertiary Education,Rural regions,Upper Secondary Degree,0.62470,68,68,0.50876,0.74064
1989,Primary Level,Urban regions,"Dropout, No School Degree",0.76077,423,543,0.72485,0.79668
1989,Primary Level,Urban regions,No School Attended,0.16379,120,543,0.13263,0.19494
1989,Primary Level,Rural regions,"Dropout, No School Degree",0.58183,56,56,0.45147,0.71219
1989,Lower Secondary Level,Urban regions,Secondary School Degree,0.76962,1235,2007,0.75119,0.78805
1989,Lower Secondary Level,Urban regions,Intermediate School Degree,0.17094,314,2007,0.15447,0.18741
1989,Lower Secondary Level,Urban regions,Other Degree,0.05944,458,2007,0.04909,0.06979
1989,Lower Secondary Level,Rural regions,Secondary School Degree,0.83800,415,563,0.80754,0.86846
1989,Lower Secondary Level,Rural regions,Intermediate School Degree,0.13351,78,563,0.10539,0.16164
1989,Lower Secondary Level,Rural regions,Other Degree,0.02848,70,563,0.01473,0.04224
1989,Upper Secondary Level,Urban regions,Secondary School Degree,0.63547,2088,3579,0.61970,0.65124
1989,Upper Secondary Level,Urban regions,Intermediate School Degree,0.27031,866,3579,0.25576,0.28486
1989,Upper Secondary Level,Urban regions,Technical School Degree,0.00781,31,3579,0.00492,0.01069
1989,Upper Secondary Level,Urban regions,Upper Secondary Degree,0.05875,219,3579,0.05105,0.06646
1989,Upper Secondary Level,Urban regions,Other Degree,0.02270,312,3579,0.01782,0.02758
1989,Upper Secondary Level,Urban regions,"Dropout, No School Degree",0.00464,63,3579,0.00241,0.00686
1989,Upper Secondary Level,Rural regions,Secondary School Degree,0.71056,667,983,0.68219,0.73892
1989,Upper Secondary Level,Rural regions,Intermediate School Degree,0.23350,232,983,0.20704,0.25996
1989,Upper Secondary Level,Rural regions,Upper Secondary Degree,0.03340,33,983,0.02216,0.04464
1989,Upper Secondary Level,Rural regions,Other Degree,0.01308,51,983,0.00597,0.02018
1989,Post-secondary Non-tertiary Level,Urban regions,Technical School Degree,0.32400,67,244,0.26516,0.38285
1989,Post-secondary Non-tertiary Level,Urban regions,Upper Secondary Degree,0.59814,115,244,0.53650,0.65978
1989,Post-secondary Non-tertiary Level,Urban regions,Other Degree,0.07210,62,244,0.03958,0.10462
1989,First Stage of Tertiary Education,Urban regions,Secondary School Degree,0.45884,178,395,0.40963,0.50804
1989,First Stage of Tertiary Education,Urban regions,Intermediate School Degree,0.27783,121,395,0.23360,0.32206
1989,First Stage of Tertiary Education,Urban regions,Technical School Degree,0.08036,36,395,0.05352,0.10721
1989,First Stage of Tertiary Education,Urban regions,Upper Secondary Degree,0.17493,60,395,0.13742,0.21244
1989,First Stage of Tertiary Education,Rural regions,Secondary School Degree,0.49272,52,95,0.39165,0.59379
1989,First Stage of Tertiary Education,Rural regions,Intermediate School Degree,0.36919,43,95,0.27163,0.46675
1989,Second Stage of Tertiary Education,Urban regions,Intermediate School Degree,0.07902,43,574,0.05693,0.10111
1989,Second Stage of Tertiary Education,Urban regions,Technical School Degree,0.17231,93,574,0.14138,0.20323
1989,Second Stage of Tertiary Education,Urban regions,Upper Secondary Degree,0.70975,407,574,0.67259,0.74691
1989,Second Stage of Tertiary Education,Urban regions,Other Degree,0.01644,31,574,0.00603,0.02685
1989,Second Stage of Tertiary Education,Rural regions,Upper Secondary Degree,0.66256,68,68,0.54934,0.77578
1990,Primary Level,Urban regions,"Dropout, No School Degree",0.74220,410,524,0.70471,0.77968
1990,Primary Level,Urban regions,No School Attended,0.16021,114,524,0.12877,0.19164
1990,Primary Level,Rural regions,"Dropout, No School Degree",0.60634,62,62,0.48373,0.72895
1990,Lower Secondary Level,Urban regions,Secondary School Degree,0.75732,1282,2078,0.73888,0.77575
1990,Lower Secondary Level,Urban regions,Intermediate School Degree,0.17722,340,2078,0.16080,0.19364
1990,Lower Secondary Level,Urban regions,Other Degree,0.06547,456,2078,0.05483,0.07610
1990,Lower Secondary Level,Rural regions,Secondary School Degree,0.79032,612,898,0.76368,0.81696
1990,Lower Secondary Level,Rural regions,Intermediate School Degree,0.17437,199,898,0.14953,0.19920
1990,Lower Secondary Level,Rural regions,Other Degree,0.03531,87,898,0.02323,0.04739
1990,Upper Secondary Level,Urban regions,Secondary School Degree,0.61659,2394,4236,0.60195,0.63124
1990,Upper Secondary Level,Urban regions,Intermediate School Degree,0.29421,1259,4236,0.28048,0.30793
1990,Upper Secondary Level,Urban regions,Upper Secondary Degree,0.05574,225,4236,0.04883,0.06264
1990,Upper Secondary Level,Urban regions,Other Degree,0.02266,302,4236,0.01818,0.02714
1990,Upper Secondary Level,Urban regions,"Dropout, No School Degree",0.00490,56,4236,0.00280,0.00700
1990,Upper Secondary Level,Rural regions,Secondary School Degree,0.62967,1493,2680,0.61138,0.64795
1990,Upper Secondary Level,Rural regions,Intermediate School Degree,0.32291,1046,2680,0.30520,0.34061
1990,Upper Secondary Level,Rural regions,Upper Secondary Degree,0.02644,64,2680,0.02037,0.03252
1990,Upper Secondary Level,Rural regions,Other Degree,0.01475,77,2680,0.01019,0.01932
1990,Post-secondary Non-tertiary Level,Urban regions,Technical School Degree,0.30790,69,283,0.25402,0.36178
1990,Post-secondary Non-tertiary Level,Urban regions,Upper Secondary Degree,0.60850,151,283,0.55153,0.66546
1990,Post-secondary Non-tertiary Level,Urban regions,Other Degree,0.07766,63,283,0.04642,0.10889
1990,Post-secondary Non-tertiary Level,Rural regions,Upper Secondary Degree,0.64398,59,59,0.52076,0.76721
1990,First Stage of Tertiary Education,Urban regions,Secondary School Degree,0.46087,206,471,0.41580,0.50593
1990,First Stage of Tertiary Education,Urban regions,Intermediate School Degree,0.30104,167,471,0.25957,0.34251
1990,First Stage of Tertiary Education,Urban regions,Technical School Degree,0.07255,34,471,0.04910,0.09600
1990,First Stage of Tertiary Education,Urban regions,Upper Secondary Degree,0.15974,64,471,0.12662,0.19286
1990,First Stage of Tertiary Education,Rural regions,Secondary School Degree,0.45147,117,262,0.39109,0.51184
1990,First Stage of Tertiary Education,Rural regions,Intermediate School Degree,0.43376,145,262,0.37363,0.49388
1990,Second Stage of Tertiary Education,Urban regions,Secondary School Degree,0.04072,52,950,0.02815,0.05330
1990,Second Stage of Tertiary Education,Urban regions,Intermediate School Degree,0.15518,200,950,0.13214,0.17821
1990,Second Stage of Tertiary Education,Urban regions,Technical School Degree,0.13152,97,950,0.11001,0.15302
1990,Second Stage of Tertiary Education,Urban regions,Upper Secondary Degree,0.65631,601,950,0.62609,0.68653
1990,Second Stage of Tertiary Education,Rural regions,Secondary School Degree,0.09959,66,650,0.07655,0.12263
1990,Second Stage of Tertiary Education,Rural regions,Intermediate School Degree,0.37738,321,650,0.34008,0.41467
1990,Second Stage of Tertiary Education,Rural regions,Upper Secondary Degree,0.42879,263,650,0.39071,0.46686
1991,Primary Level,Urban regions,"Dropout, No School Degree",0.76364,419,526,0.72729,0.79998
1991,Primary Level,Urban regions,No School Attended,0.15952,107,526,0.12820,0.19084
1991,Primary Level,Rural regions,"Dropout, No School Degree",0.68284,83,83,0.58211,0.78356
1991,Lower Secondary Level,Urban regions,Secondary School Degree,0.74881,1205,1991,0.72975,0.76787
1991,Lower Secondary Level,Urban regions,Intermediate School Degree,0.17873,341,1991,0.16189,0.19556
1991,Lower Secondary Level,Urban regions,Other Degree,0.07246,445,1991,0.06107,0.08385
1991,Lower Secondary Level,Rural regions,Secondary School Degree,0.79283,589,857,0.76568,0.81998
1991,Lower Secondary Level,Rural regions,Intermediate School Degree,0.16919,185,857,0.14407,0.19430
1991,Lower Secondary Level,Rural regions,Other Degree,0.03799,83,857,0.02518,0.05079
1991,Upper Secondary Level,No answer / don't know,Intermediate School Degree,0.59508,34,34,0.42760,0.76256
1991,Upper Secondary Level,Urban regions,Secondary School Degree,0.60801,2334,4180,0.59321,0.62281
1991,Upper Secondary Level,Urban regions,Intermediate School Degree,0.30350,1241,4180,0.28956,0.31744
1991,Upper Secondary Level,Urban regions,Technical School Degree,0.00687,36,4180,0.00437,0.00938
1991,Upper Secondary Level,Urban regions,Upper Secondary Degree,0.05104,215,4180,0.04437,0.05772
1991,Upper Secondary Level,Urban regions,Other Degree,0.02472,300,4180,0.02001,0.02943
1991,Upper Secondary Level,Urban regions,"Dropout, No School Degree",0.00508,54,4180,0.00292,0.00723
1991,Upper Secondary Level,Rural regions,Secondary School Degree,0.62371,1427,2596,0.60507,0.64235
1991,Upper Secondary Level,Rural regions,Intermediate School Degree,0.32655,1026,2596,0.30851,0.34459
1991,Upper Secondary Level,Rural regions,Upper Secondary Degree,0.02771,69,2596,0.02139,0.03402
1991,Upper Secondary Level,Rural regions,Other Degree,0.01384,74,2596,0.00935,0.01834
1991,Post-secondary Non-tertiary Level,Urban regions,Technical School Degree,0.29114,72,291,0.23886,0.34343
1991,Post-secondary Non-tertiary Level,Urban regions,Upper Secondary Degree,0.61345,154,291,0.55741,0.66950
1991,Post-secondary Non-tertiary Level,Urban regions,Other Degree,0.09066,65,291,0.05762,0.12371
1991,Post-secondary Non-tertiary Level,Rural regions,Upper Secondary Degree,0.67892,60,60,0.55978,0.79806
1991,First Stage of Tertiary Education,Urban regions,Secondary School Degree,0.44873,200,460,0.40323,0.49423
1991,First Stage of Tertiary Education,Urban regions,Intermediate School Degree,0.29976,159,460,0.25785,0.34168
1991,First Stage of Tertiary Education,Urban regions,Technical School Degree,0.07802,36,460,0.05349,0.10256
1991,First Stage of Tertiary Education,Urban regions,Upper Secondary Degree,0.16808,65,460,0.13387,0.20229
1991,First Stage of Tertiary Education,Rural regions,Secondary School Degree,0.43915,115,261,0.37882,0.49947
1991,First Stage of Tertiary Education,Rural regions,Intermediate School Degree,0.44829,146,261,0.38784,0.50874
1991,Second Stage of Tertiary Education,Urban regions,Secondary School Degree,0.04280,50,945,0.02989,0.05571
1991,Second Stage of Tertiary Education,Urban regions,Intermediate School Degree,0.15408,194,945,0.13105,0.17711
1991,Second Stage of Tertiary Education,Urban regions,Technical School Degree,0.12868,96,945,0.10732,0.15004
1991,Second Stage of Tertiary Education,Urban regions,Upper Secondary Degree,0.65806,605,945,0.62780,0.68832
1991,Second Stage of Tertiary Education,Rural regions,Secondary School Degree,0.10624,68,641,0.08237,0.13012
1991,Second Stage of Tertiary Education,Rural regions,Intermediate School Degree,0.37168,322,641,0.33424,0.40912
1991,Second Stage of Tertiary Education,Rural regions,Upper Secondary Degree,0.42976,251,641,0.39140,0.46811
1992,Primary Level,Urban regions,"Dropout, No School Degree",0.74253,397,498,0.70409,0.78097
1992,Primary Level,Urban regions,No School Attended,0.16089,101,498,0.12859,0.19319
1992,Primary Level,Rural regions,"Dropout, No School Degree",0.71605,78,78,0.61533,0.81677
1992,Lower Secondary Level,Urban regions,Secondary School Degree,0.74369,1169,1934,0.72423,0.76315
1992,Lower Secondary Level,Urban regions,Intermediate School Degree,0.17776,336,1934,0.16071,0.19480
1992,Lower Secondary Level,Urban regions,Other Degree,0.07855,429,1934,0.06656,0.09054
1992,Lower Secondary Level,Rural regions,Secondary School Degree,0.78178,563,835,0.75375,0.80981
1992,Lower Secondary Level,Rural regions,Intermediate School Degree,0.17968,189,835,0.15362,0.20573
1992,Lower Secondary Level,Rural regions,Other Degree,0.03854,83,835,0.02548,0.05161
1992,Upper Secondary Level,No answer / don't know,Intermediate School Degree,0.53191,40,40,0.37531,0.68852
1992,Upper Secondary Level,Urban regions,Secondary School Degree,0.60292,2295,4115,0.58796,0.61787
1992,Upper Secondary Level,Urban regions,Intermediate School Degree,0.30384,1231,4115,0.28978,0.31789
1992,Upper Secondary Level,Urban regions,Technical School Degree,0.00806,38,4115,0.00533,0.01079
1992,Upper Secondary Level,Urban regions,Upper Secondary Degree,0.05144,206,4115,0.04469,0.05819
1992,Upper Secondary Level,Urban regions,Other Degree,0.02788,293,4115,0.02285,0.03291
1992,Upper Secondary Level,Urban regions,"Dropout, No School Degree",0.00519,52,4115,0.00300,0.00739
1992,Upper Secondary Level,Rural regions,Secondary School Degree,0.61853,1346,2452,0.59930,0.63776
1992,Upper Secondary Level,Rural regions,Intermediate School Degree,0.32870,973,2452,0.31011,0.34730
1992,Upper Secondary Level,Rural regions,Upper Secondary Degree,0.02765,63,2452,0.02115,0.03414
1992,Upper Secondary Level,Rural regions,Other Degree,0.01473,70,2452,0.00996,0.01950
1992,Post-secondary Non-tertiary Level,Urban regions,Technical School Degree,0.26678,72,295,0.21623,0.31734
1992,Post-secondary Non-tertiary Level,Urban regions,Upper Secondary Degree,0.63098,161,295,0.57582,0.68614
1992,Post-secondary Non-tertiary Level,Urban regions,Other Degree,0.09704,62,295,0.06321,0.13088
1992,Post-secondary Non-tertiary Level,Rural regions,Upper Secondary Degree,0.65211,59,59,0.52953,0.77469
1992,First Stage of Tertiary Education,Urban regions,Secondary School Degree,0.44335,198,462,0.39800,0.48870
