year,pgisced97,sex,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Post-secondary Non-tertiary Level,male,Upper Secondary Degree,0.47329,61,188,0.40173,0.54486
1984,Post-secondary Non-tertiary Level,male,Other Degree,0.12060,71,188,0.07392,0.16728
1984,Post-secondary Non-tertiary Level,female,Technical School Degree,0.33263,32,84,0.23127,0.43399
1984,Post-secondary Non-tertiary Level,female,Upper Secondary Degree,0.60521,52,84,0.50005,0.71037
1984,First Stage of Tertiary Education,male,Secondary School Degree,0.55406,208,377,0.50382,0.60431
1984,First Stage of Tertiary Education,male,Intermediate School Degree,0.21626,85,377,0.17465,0.25787
1984,First Stage of Tertiary Education,male,Technical School Degree,0.11805,46,377,0.08544,0.15067
1984,First Stage of Tertiary Education,male,Upper Secondary Degree,0.10681,38,377,0.07559,0.13803
1984,First Stage of Tertiary Education,female,Secondary School Degree,0.33293,89,246,0.27392,0.39195
1984,First Stage of Tertiary Education,female,Intermediate School Degree,0.44981,125,246,0.38752,0.51211
1984,First Stage of Tertiary Education,female,Upper Secondary Degree,0.11755,32,246,0.07722,0.15789
1984,Second Stage of Tertiary Education,male,Intermediate School Degree,0.09454,45,512,0.06917,0.11991
1984,Second Stage of Tertiary Education,male,Technical School Degree,0.18301,91,512,0.14949,0.21654
1984,Second Stage of Tertiary Education,male,Upper Secondary Degree,0.65906,335,512,0.61796,0.70016
1984,Second Stage of Tertiary Education,male,Other Degree,0.01950,41,512,0.00751,0.03149
1984,Second Stage of Tertiary Education,female,Technical School Degree,0.16589,39,211,0.11558,0.21620
1984,Second Stage of Tertiary Education,female,Upper Secondary Degree,0.70438,172,211,0.64266,0.76610
1985,Primary Level,male,"Dropout, No School Degree",0.72975,268,324,0.68132,0.77818
1985,Primary Level,male,No School Attended,0.08996,56,324,0.05875,0.12116
1985,Primary Level,female,"Dropout, No School Degree",0.74475,360,472,0.70537,0.78412
1985,Primary Level,female,No School Attended,0.16789,112,472,0.13413,0.20164
1985,Lower Secondary Level,male,Secondary School Degree,0.69248,547,1026,0.66423,0.72073
1985,Lower Secondary Level,male,Intermediate School Degree,0.22771,179,1026,0.20204,0.25338
1985,Lower Secondary Level,male,Other Degree,0.07981,300,1026,0.06322,0.09640
1985,Lower Secondary Level,female,Secondary School Degree,0.81782,1451,2035,0.80105,0.83460
1985,Lower Secondary Level,female,Intermediate School Degree,0.15640,295,2035,0.14062,0.17219
1985,Lower Secondary Level,female,Other Degree,0.02578,289,2035,0.01889,0.03266
1985,Upper Secondary Level,male,Secondary School Degree,0.71734,1799,2809,0.70068,0.73399
1985,Upper Secondary Level,male,Intermediate School Degree,0.19176,490,2809,0.17720,0.20632
1985,Upper Secondary Level,male,Upper Secondary Degree,0.05057,149,2809,0.04246,0.05867
1985,Upper Secondary Level,male,Other Degree,0.02694,314,2809,0.02095,0.03293
1985,Upper Secondary Level,male,"Dropout, No School Degree",0.00667,57,2809,0.00366,0.00968
1985,Upper Secondary Level,female,Secondary School Degree,0.63320,1377,2269,0.61336,0.65303
1985,Upper Secondary Level,female,Intermediate School Degree,0.30080,653,2269,0.28193,0.31968
1985,Upper Secondary Level,female,Upper Secondary Degree,0.04247,104,2269,0.03417,0.05077
1985,Upper Secondary Level,female,Other Degree,0.01246,135,2269,0.00789,0.01702
1985,Post-secondary Non-tertiary Level,male,Technical School Degree,0.41991,52,167,0.34483,0.49499
1985,Post-secondary Non-tertiary Level,male,Upper Secondary Degree,0.47453,58,167,0.39857,0.55050
1985,Post-secondary Non-tertiary Level,male,Other Degree,0.10260,57,167,0.05644,0.14876
1985,Post-secondary Non-tertiary Level,female,Upper Secondary Degree,0.65338,54,54,0.52526,0.78150
1985,First Stage of Tertiary Education,male,Secondary School Degree,0.54855,192,354,0.49664,0.60046
1985,First Stage of Tertiary Education,male,Intermediate School Degree,0.22649,86,354,0.18283,0.27016
1985,First Stage of Tertiary Education,male,Technical School Degree,0.10538,38,354,0.07335,0.13741
1985,First Stage of Tertiary Education,male,Upper Secondary Degree,0.11448,38,354,0.08127,0.14770
1985,First Stage of Tertiary Education,female,Secondary School Degree,0.32709,86,232,0.26659,0.38759
1985,First Stage of Tertiary Education,female,Intermediate School Degree,0.43816,113,232,0.37418,0.50215
1985,First Stage of Tertiary Education,female,Upper Secondary Degree,0.13457,33,232,0.09056,0.17858
1985,Second Stage of Tertiary Education,male,Intermediate School Degree,0.08719,40,486,0.06208,0.11229
1985,Second Stage of Tertiary Education,male,Technical School Degree,0.18346,88,486,0.14901,0.21791
1985,Second Stage of Tertiary Education,male,Upper Secondary Degree,0.66174,323,486,0.61964,0.70385
1985,Second Stage of Tertiary Education,male,Other Degree,0.01858,35,486,0.00656,0.03060
1985,Second Stage of Tertiary Education,female,Technical School Degree,0.15353,34,202,0.10369,0.20337
1985,Second Stage of Tertiary Education,female,Upper Secondary Degree,0.71917,168,202,0.65704,0.78130
1986,Primary Level,male,"Dropout, No School Degree",0.72853,247,299,0.67804,0.77903
1986,Primary Level,male,No School Attended,0.08878,52,299,0.05648,0.12107
1986,Primary Level,female,"Dropout, No School Degree",0.73967,334,437,0.69848,0.78086
1986,Primary Level,female,No School Attended,0.16064,103,437,0.12617,0.19511
1986,Lower Secondary Level,male,Secondary School Degree,0.67817,535,1008,0.64932,0.70703
1986,Lower Secondary Level,male,Intermediate School Degree,0.23653,177,1008,0.21028,0.26278
1986,Lower Secondary Level,male,Other Degree,0.08529,296,1008,0.06804,0.10255
1986,Lower Secondary Level,female,Secondary School Degree,0.81170,1339,1899,0.79412,0.82929
1986,Lower Secondary Level,female,Intermediate School Degree,0.16060,288,1899,0.14409,0.17712
1986,Lower Secondary Level,female,Other Degree,0.02769,272,1899,0.02031,0.03508
1986,Upper Secondary Level,male,Secondary School Degree,0.70078,1700,2698,0.68350,0.71807
1986,Upper Secondary Level,male,Intermediate School Degree,0.19994,488,2698,0.18484,0.21503
1986,Upper Secondary Level,male,Upper Secondary Degree,0.05644,162,2698,0.04774,0.06515
1986,Upper Secondary Level,male,Other Degree,0.02607,292,2698,0.02005,0.03208
1986,Upper Secondary Level,male,"Dropout, No School Degree",0.00711,56,2698,0.00394,0.01029
1986,Upper Secondary Level,female,Secondary School Degree,0.62022,1310,2194,0.59990,0.64053
1986,Upper Secondary Level,female,Intermediate School Degree,0.30686,643,2194,0.28756,0.32616
1986,Upper Secondary Level,female,Upper Secondary Degree,0.04886,110,2194,0.03984,0.05788
1986,Upper Secondary Level,female,Other Degree,0.01211,131,2194,0.00753,0.01668
1986,Post-secondary Non-tertiary Level,male,Technical School Degree,0.40075,49,157,0.32385,0.47765
1986,Post-secondary Non-tertiary Level,male,Upper Secondary Degree,0.48447,53,157,0.40604,0.56289
1986,Post-secondary Non-tertiary Level,male,Other Degree,0.10898,55,157,0.06008,0.15788
1986,Post-secondary Non-tertiary Level,female,Upper Secondary Degree,0.61922,57,57,0.49204,0.74640
1986,First Stage of Tertiary Education,male,Secondary School Degree,0.55858,180,328,0.50476,0.61240
1986,First Stage of Tertiary Education,male,Intermediate School Degree,0.20966,74,328,0.16554,0.25378
1986,First Stage of Tertiary Education,male,Technical School Degree,0.10186,37,328,0.06908,0.13465
1986,First Stage of Tertiary Education,male,Upper Secondary Degree,0.12592,37,328,0.08996,0.16188
1986,First Stage of Tertiary Education,female,Secondary School Degree,0.33187,81,222,0.26978,0.39395
1986,First Stage of Tertiary Education,female,Intermediate School Degree,0.40890,104,222,0.34408,0.47372
1986,First Stage of Tertiary Education,female,Upper Secondary Degree,0.15627,37,222,0.10840,0.20414
1986,Second Stage of Tertiary Education,male,Intermediate School Degree,0.08797,40,484,0.06271,0.11323
1986,Second Stage of Tertiary Education,male,Technical School Degree,0.18297,87,484,0.14849,0.21745
1986,Second Stage of Tertiary Education,male,Upper Secondary Degree,0.66914,319,484,0.62718,0.71110
1986,Second Stage of Tertiary Education,male,Other Degree,0.01848,38,484,0.00647,0.03049
1986,Second Stage of Tertiary Education,female,Technical School Degree,0.15564,33,204,0.10577,0.20551
1986,Second Stage of Tertiary Education,female,Upper Secondary Degree,0.71870,171,204,0.65684,0.78055
1987,Primary Level,male,"Dropout, No School Degree",0.72838,233,285,0.67665,0.78012
1987,Primary Level,male,No School Attended,0.10427,52,285,0.06873,0.13982
1987,Primary Level,female,"Dropout, No School Degree",0.69128,321,422,0.64715,0.73541
1987,Primary Level,female,No School Attended,0.17506,101,422,0.13876,0.21136
1987,Lower Secondary Level,male,Secondary School Degree,0.68467,535,999,0.65585,0.71350
1987,Lower Secondary Level,male,Intermediate School Degree,0.21946,172,999,0.19378,0.24514
1987,Lower Secondary Level,male,Other Degree,0.09587,292,999,0.07760,0.11413
1987,Lower Secondary Level,female,Secondary School Degree,0.82793,1302,1837,0.81066,0.84519
1987,Lower Secondary Level,female,Intermediate School Degree,0.14118,259,1837,0.12525,0.15711
1987,Lower Secondary Level,female,Other Degree,0.03089,276,1837,0.02298,0.03881
1987,Upper Secondary Level,male,Secondary School Degree,0.69506,1692,2693,0.67766,0.71245
1987,Upper Secondary Level,male,Intermediate School Degree,0.20237,499,2693,0.18720,0.21755
1987,Upper Secondary Level,male,Upper Secondary Degree,0.05742,160,2693,0.04863,0.06621
1987,Upper Secondary Level,male,Other Degree,0.02773,285,2693,0.02152,0.03393
1987,Upper Secondary Level,male,"Dropout, No School Degree",0.00742,57,2693,0.00418,0.01067
1987,Upper Secondary Level,female,Secondary School Degree,0.61533,1296,2176,0.59488,0.63578
1987,Upper Secondary Level,female,Intermediate School Degree,0.31878,654,2176,0.29920,0.33837
1987,Upper Secondary Level,female,Upper Secondary Degree,0.04200,94,2176,0.03357,0.05043
1987,Upper Secondary Level,female,Other Degree,0.01343,132,2176,0.00859,0.01826
1987,Post-secondary Non-tertiary Level,male,Technical School Degree,0.39785,48,151,0.31952,0.47618
1987,Post-secondary Non-tertiary Level,male,Upper Secondary Degree,0.48507,53,151,0.40509,0.56505
1987,Post-secondary Non-tertiary Level,male,Other Degree,0.10837,50,151,0.05862,0.15812
1987,Post-secondary Non-tertiary Level,female,Technical School Degree,0.33445,32,91,0.23698,0.43193
1987,Post-secondary Non-tertiary Level,female,Upper Secondary Degree,0.61730,59,91,0.51688,0.71772
1987,First Stage of Tertiary Education,male,Secondary School Degree,0.55345,171,313,0.49828,0.60861
1987,First Stage of Tertiary Education,male,Intermediate School Degree,0.21883,75,313,0.17295,0.26471
1987,First Stage of Tertiary Education,male,Technical School Degree,0.09408,32,313,0.06169,0.12648
1987,First Stage of Tertiary Education,male,Upper Secondary Degree,0.12943,35,313,0.09218,0.16668
1987,First Stage of Tertiary Education,female,Secondary School Degree,0.33161,80,222,0.26954,0.39368
1987,First Stage of Tertiary Education,female,Intermediate School Degree,0.41004,103,222,0.34519,0.47488
1987,First Stage of Tertiary Education,female,Upper Secondary Degree,0.17329,39,222,0.12338,0.22319
1987,Second Stage of Tertiary Education,male,Intermediate School Degree,0.08730,40,475,0.06188,0.11271
1987,Second Stage of Tertiary Education,male,Technical School Degree,0.18537,85,475,0.15038,0.22035
1987,Second Stage of Tertiary Education,male,Upper Secondary Degree,0.66723,318,475,0.62481,0.70965
1987,Second Stage of Tertiary Education,male,Other Degree,0.01842,32,475,0.00632,0.03053
1987,Second Stage of Tertiary Education,female,Technical School Degree,0.14621,32,209,0.09819,0.19423
1987,Second Stage of Tertiary Education,female,Upper Secondary Degree,0.73920,177,209,0.67953,0.79887
1988,Primary Level,male,"Dropout, No School Degree",0.71455,203,250,0.65845,0.77065
1988,Primary Level,male,No School Attended,0.10569,47,250,0.06750,0.14388
1988,Primary Level,female,"Dropout, No School Degree",0.69590,302,401,0.65082,0.74099
1988,Primary Level,female,No School Attended,0.17701,99,401,0.13960,0.21441
1988,Lower Secondary Level,male,Secondary School Degree,0.72371,541,974,0.69562,0.75181
1988,Lower Secondary Level,male,Intermediate School Degree,0.18576,154,974,0.16132,0.21020
1988,Lower Secondary Level,male,Other Degree,0.09053,279,974,0.07250,0.10856
1988,Lower Secondary Level,female,Secondary School Degree,0.81749,1211,1745,0.79936,0.83562
1988,Lower Secondary Level,female,Intermediate School Degree,0.15352,270,1745,0.13660,0.17044
1988,Lower Secondary Level,female,Other Degree,0.02899,264,1745,0.02112,0.03687
1988,Upper Secondary Level,male,Secondary School Degree,0.69408,1605,2550,0.67620,0.71197
1988,Upper Secondary Level,male,Intermediate School Degree,0.20398,473,2550,0.18834,0.21962
1988,Upper Secondary Level,male,Upper Secondary Degree,0.06166,158,2550,0.05232,0.07099
1988,Upper Secondary Level,male,Other Degree,0.02529,265,2550,0.01919,0.03138
1988,Upper Secondary Level,male,"Dropout, No School Degree",0.00723,49,2550,0.00394,0.01052
1988,Upper Secondary Level,female,Secondary School Degree,0.61687,1253,2095,0.59605,0.63769
1988,Upper Secondary Level,female,Intermediate School Degree,0.32171,638,2095,0.30170,0.34172
1988,Upper Secondary Level,female,Upper Secondary Degree,0.03998,87,2095,0.03159,0.04837
1988,Upper Secondary Level,female,Other Degree,0.01235,117,2095,0.00762,0.01708
1988,Post-secondary Non-tertiary Level,male,Technical School Degree,0.39466,46,146,0.31510,0.47422
1988,Post-secondary Non-tertiary Level,male,Upper Secondary Degree,0.49805,53,146,0.41667,0.57944
1988,Post-secondary Non-tertiary Level,male,Other Degree,0.09562,47,146,0.04776,0.14349
1988,Post-secondary Non-tertiary Level,female,Technical School Degree,0.33227,33,92,0.23549,0.42905
1988,Post-secondary Non-tertiary Level,female,Upper Secondary Degree,0.63118,59,92,0.53205,0.73031
1988,First Stage of Tertiary Education,male,Secondary School Degree,0.56186,170,306,0.50617,0.61754
1988,First Stage of Tertiary Education,male,Intermediate School Degree,0.20843,71,306,0.16285,0.25402
1988,First Stage of Tertiary Education,male,Technical School Degree,0.10154,32,306,0.06764,0.13543
1988,First Stage of Tertiary Education,male,Upper Secondary Degree,0.12477,33,306,0.08769,0.16186
1988,First Stage of Tertiary Education,female,Secondary School Degree,0.33978,73,206,0.27494,0.40462
1988,First Stage of Tertiary Education,female,Intermediate School Degree,0.40722,97,206,0.33996,0.47448
1988,First Stage of Tertiary Education,female,Upper Secondary Degree,0.17013,36,206,0.11870,0.22157
1988,Second Stage of Tertiary Education,male,Intermediate School Degree,0.09492,41,432,0.06725,0.12260
1988,Second Stage of Tertiary Education,male,Technical School Degree,0.18991,84,432,0.15288,0.22694
1988,Second Stage of Tertiary Education,male,Upper Secondary Degree,0.67182,307,432,0.62749,0.71615
1988,Second Stage of Tertiary Education,female,Upper Secondary Degree,0.74688,168,168,0.68094,0.81283
1989,Primary Level,male,"Dropout, No School Degree",0.71030,191,234,0.65205,0.76855
1989,Primary Level,male,No School Attended,0.10743,43,234,0.06767,0.14720
1989,Primary Level,female,"Dropout, No School Degree",0.73330,288,382,0.68889,0.77771
1989,Primary Level,female,No School Attended,0.17467,94,382,0.13654,0.21279
1989,Lower Secondary Level,male,Secondary School Degree,0.72224,507,905,0.69304,0.75143
1989,Lower Secondary Level,male,Intermediate School Degree,0.17672,131,905,0.15186,0.20159
1989,Lower Secondary Level,male,Other Degree,0.10104,267,905,0.08139,0.12069
1989,Lower Secondary Level,female,Secondary School Degree,0.81059,1143,1665,0.79176,0.82942
1989,Lower Secondary Level,female,Intermediate School Degree,0.15573,261,1665,0.13831,0.17315
1989,Lower Secondary Level,female,Other Degree,0.03368,261,1665,0.02501,0.04235
1989,Upper Secondary Level,male,Secondary School Degree,0.68621,1544,2478,0.66794,0.70449
1989,Upper Secondary Level,male,Intermediate School Degree,0.20926,475,2478,0.19324,0.22528
1989,Upper Secondary Level,male,Upper Secondary Degree,0.06385,165,2478,0.05422,0.07348
1989,Upper Secondary Level,male,Other Degree,0.02540,245,2478,0.01920,0.03159
1989,Upper Secondary Level,male,"Dropout, No School Degree",0.00650,49,2478,0.00334,0.00967
1989,Upper Secondary Level,female,Secondary School Degree,0.61537,1211,2039,0.59425,0.63649
1989,Upper Secondary Level,female,Intermediate School Degree,0.32116,623,2039,0.30088,0.34143
1989,Upper Secondary Level,female,Upper Secondary Degree,0.04035,87,2039,0.03181,0.04890
1989,Upper Secondary Level,female,Other Degree,0.01484,118,2039,0.00959,0.02009
1989,Post-secondary Non-tertiary Level,male,Technical School Degree,0.34597,43,150,0.26959,0.42235
1989,Post-secondary Non-tertiary Level,male,Upper Secondary Degree,0.54411,61,150,0.46414,0.62408
1989,Post-secondary Non-tertiary Level,male,Other Degree,0.09862,46,150,0.05074,0.14649
1989,Post-secondary Non-tertiary Level,female,Technical School Degree,0.34078,39,109,0.25139,0.43017
1989,Post-secondary Non-tertiary Level,female,Upper Secondary Degree,0.62443,70,109,0.53309,0.71576
1989,First Stage of Tertiary Education,male,Secondary School Degree,0.55232,156,289,0.49489,0.60975
1989,First Stage of Tertiary Education,male,Intermediate School Degree,0.21047,70,289,0.16339,0.25755
1989,First Stage of Tertiary Education,male,Technical School Degree,0.10372,32,289,0.06851,0.13894
1989,First Stage of Tertiary Education,male,Upper Secondary Degree,0.12953,31,289,0.09075,0.16831
1989,First Stage of Tertiary Education,female,Secondary School Degree,0.35278,74,203,0.28688,0.41867
1989,First Stage of Tertiary Education,female,Intermediate School Degree,0.41421,94,203,0.34628,0.48214
1989,First Stage of Tertiary Education,female,Upper Secondary Degree,0.16652,35,203,0.11514,0.21789
1989,Second Stage of Tertiary Education,male,Intermediate School Degree,0.08308,38,432,0.05702,0.10913
1989,Second Stage of Tertiary Education,male,Technical School Degree,0.20281,89,432,0.16485,0.24077
1989,Second Stage of Tertiary Education,male,Upper Secondary Degree,0.67166,305,432,0.62732,0.71599
1989,Second Stage of Tertiary Education,female,Upper Secondary Degree,0.76146,170,170,0.69721,0.82572
1990,Primary Level,male,"Dropout, No School Degree",0.69868,195,236,0.64002,0.75735
1990,Primary Level,male,No School Attended,0.10311,41,236,0.06422,0.14199
1990,Primary Level,female,"Dropout, No School Degree",0.72415,277,367,0.67836,0.76994
1990,Primary Level,female,No School Attended,0.17621,90,367,0.13717,0.21524
1990,Lower Secondary Level,male,Secondary School Degree,0.66847,520,1003,0.63932,0.69762
1990,Lower Secondary Level,male,Intermediate School Degree,0.22286,207,1003,0.19709,0.24862
1990,Lower Secondary Level,male,Other Degree,0.10867,276,1003,0.08940,0.12795
1990,Lower Secondary Level,female,Secondary School Degree,0.80273,1379,1982,0.78520,0.82025
1990,Lower Secondary Level,female,Intermediate School Degree,0.15999,336,1982,0.14384,0.17613
1990,Lower Secondary Level,female,Other Degree,0.03729,267,1982,0.02894,0.04563
1990,Upper Secondary Level,male,Secondary School Degree,0.64480,2091,3640,0.62925,0.66035
1990,Upper Secondary Level,male,Intermediate School Degree,0.26278,1075,3640,0.24848,0.27708
1990,Upper Secondary Level,male,Upper Secondary Degree,0.05495,174,3640,0.04755,0.06236
1990,Upper Secondary Level,male,Other Degree,0.02521,254,3640,0.02012,0.03030
1990,Upper Secondary Level,male,"Dropout, No School Degree",0.00635,46,3640,0.00377,0.00893
1990,Upper Secondary Level,female,Secondary School Degree,0.59374,1820,3320,0.57703,0.61045
1990,Upper Secondary Level,female,Intermediate School Degree,0.34967,1260,3320,0.33345,0.36589
1990,Upper Secondary Level,female,Upper Secondary Degree,0.03623,115,3320,0.02988,0.04259
1990,Upper Secondary Level,female,Other Degree,0.01433,125,3320,0.01029,0.01837
1990,Post-secondary Non-tertiary Level,male,Technical School Degree,0.31670,52,206,0.25302,0.38039
1990,Post-secondary Non-tertiary Level,male,Upper Secondary Degree,0.58568,109,206,0.51824,0.65311
1990,Post-secondary Non-tertiary Level,male,Other Degree,0.08849,45,206,0.04961,0.12737
1990,Post-secondary Non-tertiary Level,female,Technical School Degree,0.30010,33,135,0.22250,0.37770
1990,Post-secondary Non-tertiary Level,female,Upper Secondary Degree,0.65461,102,135,0.57411,0.73512
1990,First Stage of Tertiary Education,male,Secondary School Degree,0.52331,233,462,0.47772,0.56890
1990,First Stage of Tertiary Education,male,Intermediate School Degree,0.29045,193,462,0.24901,0.33189
1990,First Stage of Tertiary Education,male,Upper Secondary Degree,0.10562,36,462,0.07756,0.13368
1990,First Stage of Tertiary Education,female,Secondary School Degree,0.35701,91,253,0.29785,0.41616
1990,First Stage of Tertiary Education,female,Intermediate School Degree,0.42300,122,253,0.36200,0.48400
1990,First Stage of Tertiary Education,female,Upper Secondary Degree,0.16086,40,253,0.11550,0.20622
1990,Second Stage of Tertiary Education,male,Secondary School Degree,0.07326,84,894,0.05617,0.09034
1990,Second Stage of Tertiary Education,male,Intermediate School Degree,0.15257,185,894,0.12898,0.17615
1990,Second Stage of Tertiary Education,male,Technical School Degree,0.13739,90,894,0.11481,0.15997
1990,Second Stage of Tertiary Education,male,Upper Secondary Degree,0.62181,535,894,0.59000,0.65361
1990,Second Stage of Tertiary Education,female,Secondary School Degree,0.03821,35,753,0.02451,0.05191
1990,Second Stage of Tertiary Education,female,Intermediate School Degree,0.33160,345,753,0.29795,0.36524
1990,Second Stage of Tertiary Education,female,Technical School Degree,0.08616,35,753,0.06611,0.10622
1990,Second Stage of Tertiary Education,female,Upper Secondary Degree,0.53192,338,753,0.49626,0.56759
1991,Primary Level,male,"Dropout, No School Degree",0.73969,204,246,0.68474,0.79464
1991,Primary Level,male,No School Attended,0.10892,42,246,0.06991,0.14793
1991,Primary Level,female,"Dropout, No School Degree",0.74792,299,382,0.70432,0.79152
1991,Primary Level,female,No School Attended,0.16300,83,382,0.12591,0.20009
1991,Lower Secondary Level,male,Secondary School Degree,0.66696,509,983,0.63749,0.69644
1991,Lower Secondary Level,male,Intermediate School Degree,0.21364,204,983,0.18800,0.23928
1991,Lower Secondary Level,male,Other Degree,0.11940,270,983,0.09912,0.13968
1991,Lower Secondary Level,female,Secondary School Degree,0.79735,1291,1875,0.77915,0.81555
1991,Lower Secondary Level,female,Intermediate School Degree,0.16230,326,1875,0.14561,0.17900
1991,Lower Secondary Level,female,Other Degree,0.04035,258,1875,0.03144,0.04925
1991,Upper Secondary Level,male,Secondary School Degree,0.63978,2025,3529,0.62394,0.65562
1991,Upper Secondary Level,male,Intermediate School Degree,0.26794,1043,3529,0.25332,0.28255
1991,Upper Secondary Level,male,Upper Secondary Degree,0.05132,168,3529,0.04404,0.05860
1991,Upper Secondary Level,male,Other Degree,0.02640,251,3529,0.02111,0.03169
1991,Upper Secondary Level,male,"Dropout, No School Degree",0.00640,42,3529,0.00377,0.00903
1991,Upper Secondary Level,female,Secondary School Degree,0.58304,1757,3255,0.56610,0.59999
1991,Upper Secondary Level,female,Intermediate School Degree,0.35964,1258,3255,0.34315,0.37613
1991,Upper Secondary Level,female,Upper Secondary Degree,0.03454,117,3255,0.02827,0.04082
1991,Upper Secondary Level,female,Other Degree,0.01523,123,3255,0.01102,0.01944
1991,Post-secondary Non-tertiary Level,male,Technical School Degree,0.32160,55,210,0.25828,0.38493
1991,Post-secondary Non-tertiary Level,male,Upper Secondary Degree,0.56685,109,210,0.49967,0.63403
1991,Post-secondary Non-tertiary Level,male,Other Degree,0.10464,46,210,0.06314,0.14614
1991,Post-secondary Non-tertiary Level,female,Technical School Degree,0.24835,32,138,0.17600,0.32069
1991,Post-secondary Non-tertiary Level,female,Upper Secondary Degree,0.70374,106,138,0.62728,0.78020
1991,First Stage of Tertiary Education,male,Secondary School Degree,0.50454,228,487,0.46008,0.54899
1991,First Stage of Tertiary Education,male,Intermediate School Degree,0.30433,189,487,0.26342,0.34524
1991,First Stage of Tertiary Education,male,Technical School Degree,0.07356,31,487,0.05035,0.09676
1991,First Stage of Tertiary Education,male,Upper Secondary Degree,0.11313,39,487,0.08497,0.14130
1991,First Stage of Tertiary Education,female,Secondary School Degree,0.34867,87,246,0.28899,0.40834
1991,First Stage of Tertiary Education,female,Intermediate School Degree,0.42117,118,246,0.35934,0.48300
1991,First Stage of Tertiary Education,female,Upper Secondary Degree,0.16648,41,246,0.11983,0.21313
1991,Second Stage of Tertiary Education,male,Secondary School Degree,0.07839,84,891,0.06073,0.09605
1991,Second Stage of Tertiary Education,male,Intermediate School Degree,0.15601,187,891,0.13217,0.17985
1991,Second Stage of Tertiary Education,male,Technical School Degree,0.13438,89,891,0.11197,0.15679
1991,Second Stage of Tertiary Education,male,Upper Secondary Degree,0.61647,531,891,0.58452,0.64842
1991,Second Stage of Tertiary Education,female,Secondary School Degree,0.04045,35,742,0.02626,0.05463
1991,Second Stage of Tertiary Education,female,Intermediate School Degree,0.32509,338,742,0.29137,0.35882
1991,Second Stage of Tertiary Education,female,Technical School Degree,0.08354,35,742,0.06362,0.10347
1991,Second Stage of Tertiary Education,female,Upper Secondary Degree,0.53843,334,742,0.50253,0.57432
1992,Primary Level,male,"Dropout, No School Degree",0.71672,190,229,0.65823,0.77521
1992,Primary Level,male,No School Attended,0.11436,39,229,0.07305,0.15567
1992,Primary Level,female,"Dropout, No School Degree",0.75207,286,364,0.70765,0.79649
1992,Primary Level,female,No School Attended,0.16032,78,364,0.12257,0.19806
1992,Lower Secondary Level,male,Secondary School Degree,0.64868,504,973,0.61867,0.67870
1992,Lower Secondary Level,male,Intermediate School Degree,0.22614,208,973,0.19984,0.25244
1992,Lower Secondary Level,male,Other Degree,0.12518,261,973,0.10437,0.14598
1992,Lower Secondary Level,female,Secondary School Degree,0.79603,1234,1811,0.77746,0.81459
1992,Lower Secondary Level,female,Intermediate School Degree,0.16099,326,1811,0.14406,0.17792
1992,Lower Secondary Level,female,Other Degree,0.04298,251,1811,0.03364,0.05232
1992,Upper Secondary Level,male,Secondary School Degree,0.64112,1960,3385,0.62496,0.65729
1992,Upper Secondary Level,male,Intermediate School Degree,0.26673,993,3385,0.25182,0.28163
1992,Upper Secondary Level,male,Upper Secondary Degree,0.04779,155,3385,0.04060,0.05498
1992,Upper Secondary Level,male,Other Degree,0.02876,236,3385,0.02313,0.03439
