"year","quintil","mean","median","n","lower_confidence","upper_confidence"
"2007","5 Einkommensstärkstes Quintil","81668.87","75470.5","4965","79689.23","83648.51"
"2008","1 Einkommensschwächstes Quintil","15681.5","7815","4284","15053.91","16309.09"
"2008","2","25219.39","24307.5","4676","24545.81","25892.97"
"2008","3","34187.18","35542","5399","33404.54","34969.82"
"2008","4","46629.54","46855.5","5548","45704.69","47554.39"
"2008","5 Einkommensstärkstes Quintil","85038.23","74244.5","4970","82507.18","87569.28"
"2009","1 Einkommensschwächstes Quintil","15278.31","8696","3778","14656.27","15900.35"
"2009","2","26816.64","25517","4308","25577.67","28055.61"
"2009","3","34144.07","34344","4874","33346.7","34941.44"
"2009","4","45618.73","45177","5353","44741.43","46496.03"
"2009","5 Einkommensstärkstes Quintil","81100.82","74710","4908","78913.32","83288.32"
"2010","1 Einkommensschwächstes Quintil","13458.47","6932.5","8133","13049.23","13867.71"
"2010","2","23329.65","21124","8359","22897.26","23762.04"
"2010","3","33241.62","34105.5","7221","32627.18","33856.06"
"2010","4","45143.42","45256.5","7305","44405.96","45880.88"
"2010","5 Einkommensstärkstes Quintil","78400.62","71930","6450","76785.91","80015.33"
"2011","1 Einkommensschwächstes Quintil","15816.89","7195","8577","15308.89","16324.89"
"2011","2","24205.06","20390","9269","23696.27","24713.85"
"2011","3","32207.09","31353.5","8745","31684.25","32729.93"
"2011","4","47097.17","47142.5","9296","46461.05","47733.29"
"2011","5 Einkommensstärkstes Quintil","80685.86","73150","8114","79166.73","82204.99"
"2012","1 Einkommensschwächstes Quintil","13923.99","6243","7137","13494.8","14353.18"
"2012","2","24202.19","19807","8571","23716.66","24687.72"
"2012","3","31247.22","31224.5","8842","30701.94","31792.5"
"2012","4","46369.25","46138.5","9321","45575.43","47163.07"
"2012","5 Einkommensstärkstes Quintil","81723.55","75385.5","8534","79934.87","83512.23"
"2013","1 Einkommensschwächstes Quintil","13938.24","6486","8781","13546.09","14330.39"
"2013","2","24119.61","20394.5","9619","23701.86","24537.36"
"2013","3","31779.34","30073","9346","31136.59","32422.09"
"2013","4","45452.89","45486","10558","44866.74","46039.04"
"2013","5 Einkommensstärkstes Quintil","82623.38","73965","9360","80936.52","84310.24"
"2014","1 Einkommensschwächstes Quintil","12835.43","5395","6541","12374.76","13296.1"
"2014","2","22467.56","18735","7845","21974.29","22960.83"
"2014","3","31641.53","29314","8242","31084.72","32198.34"
"2014","4","43230.96","43605","9637","42584.16","43877.76"
"2014","5 Einkommensstärkstes Quintil","83373.96","74006.5","9242","81697.9","85050.02"
"2015","1 Einkommensschwächstes Quintil","14662.54","6167.5","6567","14146.87","15178.21"
"2015","2","20311.74","16178.5","7217","19837.05","20786.43"
"2015","3","30605.11","29304.5","7978","30065.24","31144.98"
"2015","4","42296.36","42515.5","9548","41658.08","42934.64"
"2015","5 Einkommensstärkstes Quintil","80982.65","74467","9740","79639.61","82325.69"
"2016","1 Einkommensschwächstes Quintil","13302.88","5204","4997","12714","13891.76"
"2016","2","21287.97","16430","6183","20703.98","21871.96"
"2016","3","30939.18","28382.5","6807","30191.71","31686.65"
"2016","4","43519.28","42522.5","9264","42700.21","44338.35"
"2016","5 Einkommensstärkstes Quintil","82607.69","74600.5","9539","81019.33","84196.05"
"2017","1 Einkommensschwächstes Quintil","12534.96","4824.5","9046","12163.53","12906.39"
"2017","2","22395.36","17279.5","6248","21810.54","22980.18"
"2017","3","30663.8","29105","7335","30037.04","31290.56"
"2017","4","43883.23","44109","10177","43254.26","44512.2"
"2017","5 Einkommensstärkstes Quintil","82833.64","74198.5","11841","81320.26","84347.02"
"2018","1 Einkommensschwächstes Quintil","12733.73","4501","10842","12275.31","13192.15"
"2018","2","19225.69","12279","6163","18647.02","19804.36"
"2018","3","29933.73","26598","7033","29238.52","30628.94"
"2018","4","43105.22","43280","10366","42281.06","43929.38"
"2018","5 Einkommensstärkstes Quintil","81383.04","73560.5","12082","80002.5","82763.58"
"2019","1 Einkommensschwächstes Quintil","13284.81","4449","9153","12675.41","13894.21"
"2019","2","19659.29","13219.5","5772","18664.21","20654.37"
"2019","3","30591.3","26675.5","6222","29745.94","31436.66"
"2019","4","43451.23","43746","10222","42604.35","44298.11"
"2019","5 Einkommensstärkstes Quintil","85284.79","75754","16141","81530.67","89038.91"
"2020","1 Einkommensschwächstes Quintil","13644.35","4655","7647","13214.07","14074.63"
"2020","2","21872.03","14008.5","6436","21250.29","22493.77"
"2020","3","29297.52","26295","6245","28400.51","30194.53"
"2020","4","45653.49","44404.5","10456","44812.93","46494.05"
"2020","5 Einkommensstärkstes Quintil","86512.86","76180","15766","81785.14","91240.58"
