"year","hhtyp","mean","median","n","lower_confidence","upper_confidence"
"1996","Alleinerziehende","21003.83","17403.5","959","19853.12","22154.54"
"1996","Paar mit Kind(ern)","44250.15","40354","10157","43773.08","44727.22"
"1996","Sonstige","38569.86","35011.5","1108","36888.37","40251.35"
"1997","(Ehe-)Paar ohne Kind(er)","27988.78","21646.5","3758","27128.75","28848.81"
"1997","1-Pers.- Haushalt","12911.23","3852","1402","11953.39","13869.07"
"1997","Alleinerziehende","20362.74","16931.5","967","19256.3","21469.18"
"1997","Paar mit Kind(ern)","45376.87","41125","9806","44849.13","45904.61"
"1997","Sonstige","38444.11","34567","1074","36855.09","40033.13"
"1998","(Ehe-)Paar ohne Kind(er)","28614.28","22680","4358","27779.93","29448.63"
"1998","1-Pers.- Haushalt","12868.36","3512","1706","11994.11","13742.61"
"1998","Alleinerziehende","20376.06","17661.5","1105","19287.13","21464.99"
"1998","Paar mit Kind(ern)","45586.08","40635","10582","45043.01","46129.15"
"1998","Sonstige","38172.04","35887.5","1005","36610.06","39734.02"
"1999","(Ehe-)Paar ohne Kind(er)","29738.16","23234","4312","28869.61","30606.71"
"1999","1-Pers.- Haushalt","13359.06","4235.5","1638","12495.39","14222.73"
"1999","Alleinerziehende","20282.54","17661.5","1115","19235.92","21329.16"
"1999","Paar mit Kind(ern)","47327.45","41566","10257","46781.54","47873.36"
"1999","Sonstige","38473.81","37517","666","36471.71","40475.91"
"2000","(Ehe-)Paar ohne Kind(er)","30685.56","21812.5","7936","29944.67","31426.45"
"2000","1-Pers.- Haushalt","15390.97","6944","3260","14729.19","16052.75"
"2000","Alleinerziehende","21846.68","18024","1911","20696.83","22996.53"
"2000","Paar mit Kind(ern)","48528.98","43123","17502","48078.32","48979.64"
"2000","Sonstige","37885.92","31655","1198","36234.17","39537.67"
"2001","(Ehe-)Paar ohne Kind(er)","30210.23","20505.5","7178","29418.45","31002.01"
"2001","1-Pers.- Haushalt","15323.81","6479","2926","14587.7","16059.92"
"2001","Alleinerziehende","21090.4","18601.5","1761","20212.55","21968.25"
"2001","Paar mit Kind(ern)","49598.04","44164.5","15798","49106.01","50090.07"
"2001","Sonstige","39084.05","33414","1065","37259.41","40908.69"
"2002","(Ehe-)Paar ohne Kind(er)","30371.67","18309.5","7804","29257.92","31485.42"
"2002","1-Pers.- Haushalt","15947.58","6022","2938","14892.02","17003.14"
"2002","Alleinerziehende","22084.17","18214","1770","20798.71","23369.63"
"2002","Paar mit Kind(ern)","50309.69","43596.5","16586","49548.36","51071.02"
"2002","Sonstige","35726.23","30693.5","1018","33480.05","37972.41"
"2003","(Ehe-)Paar ohne Kind(er)","31083.07","18387","7636","30000.61","32165.53"
"2003","1-Pers.- Haushalt","16221.15","5845.5","2919","15246.37","17195.93"
"2003","Alleinerziehende","21479.54","17569","1742","20395.2","22563.88"
"2003","Paar mit Kind(ern)","51708.37","45245","15626","50949.91","52466.83"
"2003","Sonstige","35610.03","29539.5","869","33231.32","37988.74"
"2004","(Ehe-)Paar ohne Kind(er)","31989.45","19613.5","7638","30137.37","33841.53"
"2004","1-Pers.- Haushalt","16030.45","5572.5","2861","14283.4","17777.5"
"2004","Alleinerziehende","20639.48","16660.5","1686","19517.41","21761.55"
"2004","Paar mit Kind(ern)","50586.03","45750.5","14947","49822.12","51349.94"
"2004","Sonstige","40891.62","30786","799","38064.72","43718.52"
"2005","(Ehe-)Paar ohne Kind(er)","31725.61","18580.5","7384","29653.1","33798.12"
"2005","1-Pers.- Haushalt","16159.93","5208","2913","14978.63","17341.23"
"2005","Alleinerziehende","19810.11","15181","1736","18774.79","20845.43"
"2005","Paar mit Kind(ern)","51222.27","45641.5","13924","50507.78","51936.76"
"2005","Sonstige","40518.11","32402.5","749","37910.43","43125.79"
"2006","(Ehe-)Paar ohne Kind(er)","31534.39","18536","8316","30267.42","32801.36"
"2006","1-Pers.- Haushalt","16159.05","4649","3300","15171.49","17146.61"
"2006","Alleinerziehende","19372.01","14765","1924","18349.38","20394.64"
"2006","Paar mit Kind(ern)","51546.2","45249.5","14388","50771.63","52320.77"
"2006","Sonstige","39906.02","33347.5","740","37524.31","42287.73"
"2007","(Ehe-)Paar ohne Kind(er)","31773.01","18777.5","7752","30681.49","32864.53"
"2007","1-Pers.- Haushalt","16479.08","5308","3121","15459.5","17498.66"
"2007","Alleinerziehende","19498.49","13787.5","1774","18352.35","20644.63"
"2007","Paar mit Kind(ern)","54302.61","47497","13347","53473.59","55131.63"
"2007","Sonstige","35558.75","33615","624","33121.42","37996.08"
"2008","(Ehe-)Paar ohne Kind(er)","33436.47","19752","7468","31975.93","34897.01"
"2008","1-Pers.- Haushalt","16431.58","5255","2997","15245.6","17617.56"
"2008","Alleinerziehende","20817.36","16642.5","1714","19687.11","21947.61"
"2008","Paar mit Kind(ern)","56567.31","49585.5","12161","55651.62","57483"
"2008","Sonstige","44723.99","41467","537","41922.52","47525.46"
"2009","(Ehe-)Paar ohne Kind(er)","34028.63","21287","7100","32768.61","35288.65"
"2009","1-Pers.- Haushalt","17385.58","5254","2860","16171.75","18599.41"
"2009","Alleinerziehende","23291.81","17636.5","1589","21659.8","24923.82"
"2009","Paar mit Kind(ern)","57407.92","49374.5","11228","56416.63","58399.21"
"2009","Sonstige","44710.58","37030.5","444","41709.07","47712.09"
"2010","(Ehe-)Paar ohne Kind(er)","34108.97","21366.5","6744","32981.52","35236.42"
"2010","1-Pers.- Haushalt","16787.79","5887.5","2711","15592.18","17983.4"
"2010","Alleinerziehende","22910.91","17212","4747","22273","23548.82"
"2010","Paar mit Kind(ern)","57781.2","50928","22667","57201.65","58360.75"
"2010","Sonstige","43759.87","37161.5","599","40803.69","46716.05"
"2011","(Ehe-)Paar ohne Kind(er)","35642.46","23580","8748","34639.51","36645.41"
"2011","1-Pers.- Haushalt","16902.15","6000.5","3551","15990.57","17813.73"
"2011","Alleinerziehende","23717.46","17523","5866","23167.3","24267.62"
"2011","Paar mit Kind(ern)","60586.54","53168","25054","59992.36","61180.72"
"2011","Sonstige","39928.69","37452.5","782","37703.28","42154.1"
"2012","(Ehe-)Paar ohne Kind(er)","36977.21","24296","8900","35694.16","38260.26"
"2012","1-Pers.- Haushalt","17041.25","6035.5","3683","16010.37","18072.13"
"2012","Alleinerziehende","24883.98","19369","5593","24282.89","25485.07"
"2012","Paar mit Kind(ern)","62038.71","53035.5","23464","61363.88","62713.54"
"2012","Sonstige","40504.41","36000","766","37822.87","43185.95"
"2013","(Ehe-)Paar ohne Kind(er)","37905.53","25254","9278","36830.81","38980.25"
"2013","1-Pers.- Haushalt","17446.64","7167","3844","16531.07","18362.21"
"2013","Alleinerziehende","24600.58","19316.5","5802","24001.32","25199.84"
"2013","Paar mit Kind(ern)","63121.84","54559","26921","62471.14","63772.54"
"2013","Sonstige","38535.29","29793.5","1820","36893.16","40177.42"
"2014","(Ehe-)Paar ohne Kind(er)","38909.23","26493.5","8726","37605.25","40213.21"
"2014","1-Pers.- Haushalt","17696.29","6764.5","3566","16598","18794.58"
"2014","Alleinerziehende","24613.46","18752.5","4688","23886.41","25340.51"
"2014","Paar mit Kind(ern)","64052.46","54833.5","23106","63384.21","64720.71"
"2014","Sonstige","42686.52","36152.5","1421","40369.72","45003.32"
"2015","(Ehe-)Paar ohne Kind(er)","39560.14","28541.5","8752","38412.7","40707.58"
"2015","1-Pers.- Haushalt","17308.63","5976","3627","16248.7","18368.56"
"2015","Alleinerziehende","25056.15","19913.5","4428","24237.36","25874.94"
"2015","Paar mit Kind(ern)","65449.25","58431","22783","64850.41","66048.09"
"2015","Sonstige","42902.06","38920","1462","40846.48","44957.64"
"2016","(Ehe-)Paar ohne Kind(er)","41784.11","30141.5","8194","40376.45","43191.77"
"2016","1-Pers.- Haushalt","18534.79","5991","3388","17305.46","19764.12"
"2016","Alleinerziehende","27215.27","19798.5","3929","26190.66","28239.88"
"2016","Paar mit Kind(ern)","66803.69","58732.5","20159","66046.2","67561.18"
"2016","Sonstige","44009.43","35021","1120","41867.75","46151.11"
"2017","(Ehe-)Paar ohne Kind(er)","43564.35","32395.5","9314","42404.81","44723.89"
"2017","1-Pers.- Haushalt","18438.43","6079.5","4112","17397.02","19479.84"
"2017","Alleinerziehende","29391.56","23973","4453","28452.22","30330.9"
"2017","Paar mit Kind(ern)","69278.51","60874.5","25029","68504.53","70052.49"
"2017","Sonstige","47476.89","44206","1739","45530.5","49423.28"
"2018","(Ehe-)Paar ohne Kind(er)","43143.27","31363","9237","41962.28","44324.26"
"2018","1-Pers.- Haushalt","19220.19","6088","4453","18012.84","20427.54"
"2018","Alleinerziehende","32718.27","23290.5","4613","31508.63","33927.91"
"2018","Paar mit Kind(ern)","71511.82","63693","26276","70784.43","72239.21"
"2018","Sonstige","50065.01","43539.5","1907","48216.56","51913.46"
"2019","(Ehe-)Paar ohne Kind(er)","45433.91","33576.5","10319","43247.46","47620.36"
"2019","1-Pers.- Haushalt","20098.01","6467.5","4639","18115.78","22080.24"
"2019","Alleinerziehende","31793.18","26369","4286","29559.76","34026.6"
"2019","Paar mit Kind(ern)","76915.03","66087","26573","74700.07","79129.99"
"2019","Sonstige","51887.03","43749.5","1696","48103.65","55670.41"
"2020","(Ehe-)Paar ohne Kind(er)","49232.89","35035","10265","45664.13","52801.65"
"2020","1-Pers.- Haushalt","19944.59","7180","5129","18580.55","21308.63"
"2020","Alleinerziehende","34057.2","28688","3977","31746.33","36368.07"
"2020","Paar mit Kind(ern)","80546.14","70453.5","25254","77894.37","83197.91"
"2020","Sonstige","59298.57","43750.5","1925","56207.22","62389.92"
