,Unnamed: 0,year,quintil_oecd_hh,regtyp,pet_dog,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
72,72,2011,4th Quintile,Urban regions,Yes,0.10288,186,12081,0.08916,0.11585
73,73,2011,4th Quintile,Urban regions,No,0.89712,1437,12081,0.85688,0.9417
74,74,2011,4th Quintile,Rural regions,Yes,0.14492,119,12081,0.12092,0.17138
75,75,2011,4th Quintile,Rural regions,No,0.85508,672,12081,0.79341,0.92223
76,76,2011,5th Quintile,Urban regions,Yes,0.1102,243,12081,0.09915,0.12135
77,77,2011,5th Quintile,Urban regions,No,0.8898,1828,12081,0.85925,0.92818
78,78,2011,5th Quintile,Rural regions,Yes,0.19693,133,12081,0.16492,0.2268
79,79,2011,5th Quintile,Rural regions,No,0.80307,583,12081,0.73243,0.87685
80,80,2016,1st Quintile,Urban regions,Yes,0.10079,235,14297,0.08526,0.11917
81,81,2016,1st Quintile,Urban regions,No,0.89921,1717,14297,0.84931,0.95147
82,82,2016,1st Quintile,Rural regions,Yes,0.15786,201,14297,0.12665,0.18133
83,83,2016,1st Quintile,Rural regions,No,0.84214,912,14297,0.78055,0.91278
84,84,2016,2nd Quintile,Urban regions,Yes,0.10095,221,14297,0.0848,0.11991
85,85,2016,2nd Quintile,Urban regions,No,0.89905,1688,14297,0.84648,0.94494
86,86,2016,2nd Quintile,Rural regions,Yes,0.14841,196,14297,0.12856,0.17083
87,87,2016,2nd Quintile,Rural regions,No,0.85159,997,14297,0.80307,0.91201
88,88,2016,3rd Quintile,Urban regions,Yes,0.10474,196,14297,0.08609,0.12535
89,89,2016,3rd Quintile,Urban regions,No,0.89526,1512,14297,0.84838,0.93859
90,90,2016,3rd Quintile,Rural regions,Yes,0.13751,180,14297,0.11285,0.16179
91,91,2016,3rd Quintile,Rural regions,No,0.86249,863,14297,0.80407,0.91286
92,92,2016,4th Quintile,Urban regions,Yes,0.10101,203,14297,0.08403,0.11555
93,93,2016,4th Quintile,Urban regions,No,0.89899,1567,14297,0.85416,0.94485
94,94,2016,4th Quintile,Rural regions,Yes,0.16886,166,14297,0.14467,0.19751
95,95,2016,4th Quintile,Rural regions,No,0.83114,722,14297,0.76384,0.89836
96,96,2016,5th Quintile,Urban regions,Yes,0.11688,239,14297,0.09945,0.13352
97,97,2016,5th Quintile,Urban regions,No,0.88312,1782,14297,0.83994,0.92694
98,98,2016,5th Quintile,Rural regions,Yes,0.16816,119,14297,0.13319,0.2085
99,99,2016,5th Quintile,Rural regions,No,0.83184,581,14297,0.77195,0.90297
100,100,2021,1st Quintile,Urban regions,Yes,0.09058,131,11036,0.07488,0.10845
101,101,2021,1st Quintile,Urban regions,No,0.90942,1222,11036,0.8512,0.96372
102,102,2021,1st Quintile,Rural regions,Yes,0.15723,132,11036,0.12795,0.19178
103,103,2021,1st Quintile,Rural regions,No,0.84277,580,11036,0.76792,0.92173
104,104,2021,2nd Quintile,Urban regions,Yes,0.10482,167,11036,0.08612,0.12487
105,105,2021,2nd Quintile,Urban regions,No,0.89518,1177,11036,0.84085,0.95922
106,106,2021,2nd Quintile,Rural regions,Yes,0.11162,158,11036,0.09275,0.132
107,107,2021,2nd Quintile,Rural regions,No,0.88838,700,11036,0.80905,0.9751
108,108,2021,3rd Quintile,Urban regions,Yes,0.1198,182,11036,0.10172,0.14171
109,109,2021,3rd Quintile,Urban regions,No,0.8802,1129,11036,0.81717,0.93298
110,110,2021,3rd Quintile,Rural regions,Yes,0.13135,137,11036,0.1071,0.15883
111,111,2021,3rd Quintile,Rural regions,No,0.86865,567,11036,0.78362,0.93851
112,112,2021,4th Quintile,Urban regions,Yes,0.11859,181,11036,0.09698,0.1422
113,113,2021,4th Quintile,Urban regions,No,0.88141,1235,11036,0.83135,0.93312
114,114,2021,4th Quintile,Rural regions,Yes,0.15517,103,11036,0.1146,0.19568
115,115,2021,4th Quintile,Rural regions,No,0.84483,564,11036,0.77103,0.93132
116,116,2021,5th Quintile,Urban regions,Yes,0.12023,275,11036,0.09966,0.14324
117,117,2021,5th Quintile,Urban regions,No,0.87977,1687,11036,0.8325,0.93237
118,118,2021,5th Quintile,Rural regions,Yes,0.19008,143,11036,0.14856,0.23756
119,119,2021,5th Quintile,Rural regions,No,0.80992,566,11036,0.73317,0.90605
