year,hhtyp,regtyp,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Couple with children,Urban regions,No,0.83984,2273,2689,0.82597,0.85370
2001,Couple with children,Rural regions,Yes,0.23649,374,1486,0.21488,0.25810
2001,Couple with children,Rural regions,No,0.76351,1112,1486,0.74190,0.78512
2001,Multi-generational household,Urban regions,No,0.83410,88,88,0.75593,0.91227
2001,Multi-generational household,Rural regions,No,0.72252,39,39,0.58016,0.86489
2001,Other Combinations,Urban regions,No,0.87263,70,70,0.79396,0.95129
2006,Single-person household,Urban regions,Yes,0.06104,141,2260,0.05117,0.07092
2006,Single-person household,Urban regions,No,0.93896,2119,2260,0.92908,0.94883
2006,Single-person household,Rural regions,Yes,0.09768,100,1028,0.07952,0.11583
2006,Single-person household,Rural regions,No,0.90232,928,1028,0.88417,0.92048
2006,Couple without children,Urban regions,Yes,0.09772,297,2787,0.08670,0.10875
2006,Couple without children,Urban regions,No,0.90228,2490,2787,0.89125,0.91330
2006,Couple without children,Rural regions,Yes,0.16050,223,1371,0.14106,0.17993
2006,Couple without children,Rural regions,No,0.83950,1148,1371,0.82007,0.85894
2006,Single parent,Urban regions,Yes,0.12393,65,495,0.09488,0.15299
2006,Single parent,Urban regions,No,0.87607,430,495,0.84701,0.90512
2006,Single parent,Rural regions,Yes,0.19369,50,277,0.14707,0.24031
2006,Single parent,Rural regions,No,0.80631,227,277,0.75969,0.85293
2006,Couple with children,Urban regions,Yes,0.15346,395,2499,0.13932,0.16759
2006,Couple with children,Urban regions,No,0.84654,2104,2499,0.83241,0.86068
2006,Couple with children,Rural regions,Yes,0.25026,348,1338,0.22704,0.27348
2006,Couple with children,Rural regions,No,0.74974,990,1338,0.72652,0.77296
2006,Multi-generational household,Urban regions,No,0.83320,50,50,0.72881,0.93758
2006,Other Combinations,Urban regions,No,0.90200,57,57,0.82413,0.97987
2011,Single-person household,Urban regions,Yes,0.06531,155,2389,0.05540,0.07521
2011,Single-person household,Urban regions,No,0.93300,2234,2389,0.92298,0.94303
2011,Single-person household,Rural regions,Yes,0.11498,118,1121,0.09630,0.13366
2011,Single-person household,Rural regions,No,0.88288,1003,1121,0.86405,0.90171
2011,Couple without children,Urban regions,Yes,0.10731,298,2772,0.09578,0.11883
2011,Couple without children,Urban regions,No,0.89266,2474,2772,0.88113,0.90418
2011,Couple without children,Rural regions,Yes,0.13738,236,1599,0.12050,0.15426
2011,Couple without children,Rural regions,No,0.86186,1363,1599,0.84494,0.87877
2011,Single parent,Urban regions,Yes,0.06914,75,518,0.04727,0.09101
2011,Single parent,Urban regions,No,0.45575,443,518,0.41282,0.49868
2011,Single parent,Rural regions,Yes,0.09156,42,266,0.05684,0.12629
2011,Single parent,Rural regions,No,0.43319,224,266,0.37353,0.49285
2011,Couple with children,Urban regions,Yes,0.12898,322,2087,0.11459,0.14336
2011,Couple with children,Urban regions,No,0.66639,1765,2087,0.64616,0.68663
2011,Couple with children,Rural regions,Yes,0.20755,287,1153,0.18413,0.23097
2011,Couple with children,Rural regions,No,0.58479,866,1153,0.55634,0.61325
2011,Multi-generational household,Urban regions,No,0.68630,34,34,0.52799,0.84462
2011,Other Combinations,Urban regions,No,0.92956,56,56,0.86193,0.99719
2016,Single-person household,Urban regions,Yes,0.05843,134,2319,0.04889,0.06798
2016,Single-person household,Urban regions,No,0.93523,2185,2319,0.92521,0.94525
2016,Single-person household,Rural regions,Yes,0.10054,102,1069,0.08250,0.11857
2016,Single-person household,Rural regions,No,0.89355,967,1069,0.87506,0.91205
2016,Couple without children,Urban regions,Yes,0.11900,293,2568,0.10647,0.13153
2016,Couple without children,Urban regions,No,0.88009,2275,2568,0.86752,0.89266
2016,Couple without children,Rural regions,Yes,0.16889,240,1529,0.15011,0.18768
2016,Couple without children,Rural regions,No,0.83058,1289,1529,0.81177,0.84939
2016,Single parent,Urban regions,Yes,0.14868,149,992,0.12653,0.17083
2016,Single parent,Urban regions,No,0.84451,843,992,0.82194,0.86707
2016,Single parent,Rural regions,Yes,0.20069,99,532,0.16662,0.23476
2016,Single parent,Rural regions,No,0.79376,433,532,0.75934,0.82817
2016,Couple with children,Urban regions,Yes,0.16204,494,3297,0.14946,0.17462
2016,Couple with children,Urban regions,No,0.83042,2803,3297,0.81761,0.84323
2016,Couple with children,Rural regions,Yes,0.21761,398,1693,0.19795,0.23727
2016,Couple with children,Rural regions,No,0.77476,1295,1693,0.75486,0.79467
2016,Multi-generational household,Urban regions,No,0.84867,52,52,0.75032,0.94703
2016,Multi-generational household,Rural regions,No,0.86093,33,33,0.74103,0.98082
2016,Other Combinations,Urban regions,No,0.86058,124,124,0.79936,0.92180
2016,Other Combinations,Rural regions,No,0.79109,47,47,0.67361,0.90857
2021,Single-person household,Urban regions,Yes,0.05870,137,2248,0.04898,0.06842
2021,Single-person household,Urban regions,No,0.92882,2111,2248,0.91819,0.93945
2021,Single-person household,Rural regions,Yes,0.07897,85,939,0.06171,0.09623
2021,Single-person household,Rural regions,No,0.91530,854,939,0.89748,0.93311
2021,Couple without children,Urban regions,Yes,0.12105,281,2217,0.10747,0.13463
2021,Couple without children,Urban regions,No,0.87686,1936,2217,0.86317,0.89054
2021,Couple without children,Rural regions,Yes,0.16262,193,1197,0.14170,0.18353
2021,Couple without children,Rural regions,No,0.83544,1004,1197,0.81442,0.85645
2021,Single parent,Urban regions,Yes,0.19846,106,572,0.16575,0.23118
2021,Single parent,Urban regions,No,0.77974,466,572,0.74575,0.81373
2021,Single parent,Rural regions,Yes,0.25210,86,324,0.20475,0.29946
2021,Single parent,Rural regions,No,0.74320,238,324,0.69555,0.79084
2021,Couple with children,Urban regions,Yes,0.16935,374,2101,0.15331,0.18539
2021,Couple with children,Urban regions,No,0.80697,1727,2101,0.79009,0.82385
2021,Couple with children,Rural regions,Yes,0.22703,286,1061,0.20181,0.25225
2021,Couple with children,Rural regions,No,0.75191,775,1061,0.72590,0.77791
2021,Multi-generational household,Urban regions,No,0.78984,35,35,0.65289,0.92679
2021,Other Combinations,Urban regions,No,0.80722,160,160,0.74590,0.86853
2021,Other Combinations,Rural regions,No,0.88568,65,65,0.80773,0.96364
