year,regtyp,sex,plj0046,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Urban regions,female,Not concerned at all,0.20668,2124,7856,0.19773,0.21564
2002,Rural regions,male,Very concerned,0.28000,1206,3737,0.26560,0.29440
2002,Rural regions,male,Somewhat concerned,0.37834,1744,3737,0.36279,0.39389
2002,Rural regions,male,Not concerned at all,0.16192,787,3737,0.15011,0.17373
2002,Rural regions,female,Very concerned,0.25452,1138,3924,0.24089,0.26815
2002,Rural regions,female,Somewhat concerned,0.42686,2030,3924,0.41138,0.44234
2002,Rural regions,female,Not concerned at all,0.14451,756,3924,0.13351,0.15551
2003,Urban regions,male,Very concerned,0.21684,1743,7047,0.20721,0.22646
2003,Urban regions,male,Somewhat concerned,0.35451,3068,7047,0.34334,0.36568
2003,Urban regions,male,Not concerned at all,0.24748,2236,7047,0.23740,0.25756
2003,Urban regions,female,Very concerned,0.20663,1713,7590,0.19752,0.21574
2003,Urban regions,female,Somewhat concerned,0.38793,3569,7590,0.37696,0.39889
2003,Urban regions,female,Not concerned at all,0.23237,2308,7590,0.22286,0.24187
2003,Rural regions,male,Very concerned,0.25481,1055,3566,0.24051,0.26912
2003,Rural regions,male,Somewhat concerned,0.39705,1704,3566,0.38099,0.41311
2003,Rural regions,male,Not concerned at all,0.17275,807,3566,0.16034,0.18516
2003,Rural regions,female,Very concerned,0.23603,1003,3780,0.22250,0.24957
2003,Rural regions,female,Somewhat concerned,0.43052,1961,3780,0.41473,0.44631
2003,Rural regions,female,Not concerned at all,0.16549,816,3780,0.15364,0.17734
2004,Urban regions,male,Very concerned,0.27314,2149,6831,0.26258,0.28371
2004,Urban regions,male,Somewhat concerned,0.33808,2899,6831,0.32686,0.34930
2004,Urban regions,male,Not concerned at all,0.20865,1783,6831,0.19901,0.21828
2004,Urban regions,female,Very concerned,0.26055,2127,7417,0.25056,0.27054
2004,Urban regions,female,Somewhat concerned,0.38319,3485,7417,0.37212,0.39425
2004,Urban regions,female,Not concerned at all,0.18767,1805,7417,0.17879,0.19656
2004,Rural regions,male,Very concerned,0.31017,1220,3480,0.29480,0.32554
2004,Rural regions,male,Somewhat concerned,0.36153,1552,3480,0.34557,0.37750
2004,Rural regions,male,Not concerned at all,0.15757,708,3480,0.14546,0.16968
2004,Rural regions,female,Very concerned,0.27233,1161,3705,0.25800,0.28667
2004,Rural regions,female,Somewhat concerned,0.40800,1783,3705,0.39218,0.42383
2004,Rural regions,female,Not concerned at all,0.15674,761,3705,0.14503,0.16845
2005,Urban regions,male,Very concerned,0.31334,2396,6529,0.30209,0.32459
2005,Urban regions,male,Somewhat concerned,0.34022,2729,6529,0.32872,0.35171
2005,Urban regions,male,Not concerned at all,0.17242,1404,6529,0.16326,0.18158
2005,Urban regions,female,Very concerned,0.30368,2442,7142,0.29301,0.31434
2005,Urban regions,female,Somewhat concerned,0.36770,3224,7142,0.35651,0.37888
2005,Urban regions,female,Not concerned at all,0.16687,1476,7142,0.15822,0.17551
2005,Rural regions,male,Very concerned,0.37907,1441,3298,0.36251,0.39563
2005,Rural regions,male,Somewhat concerned,0.32646,1317,3298,0.31045,0.34247
2005,Rural regions,male,Not concerned at all,0.12421,540,3298,0.11295,0.13547
2005,Rural regions,female,Very concerned,0.34638,1370,3565,0.33076,0.36200
2005,Rural regions,female,Somewhat concerned,0.37591,1648,3565,0.36001,0.39181
2005,Rural regions,female,Not concerned at all,0.12049,547,3565,0.10980,0.13118
2006,Urban regions,male,Very concerned,0.27877,2279,6840,0.26814,0.28940
2006,Urban regions,male,Somewhat concerned,0.34283,2884,6840,0.33158,0.35408
2006,Urban regions,male,Not concerned at all,0.19755,1677,6840,0.18811,0.20698
2006,Urban regions,female,Very concerned,0.26335,2293,7525,0.25340,0.27331
2006,Urban regions,female,Somewhat concerned,0.37516,3430,7525,0.36422,0.38610
2006,Urban regions,female,Not concerned at all,0.19278,1802,7525,0.18387,0.20170
2006,Rural regions,male,Very concerned,0.32053,1339,3546,0.30517,0.33589
2006,Rural regions,male,Somewhat concerned,0.34019,1543,3546,0.32459,0.35579
2006,Rural regions,male,Not concerned at all,0.15003,664,3546,0.13828,0.16179
2006,Rural regions,female,Very concerned,0.29066,1279,3856,0.27633,0.30500
2006,Rural regions,female,Somewhat concerned,0.39111,1879,3856,0.37570,0.40651
2006,Rural regions,female,Not concerned at all,0.14406,698,3856,0.13298,0.15515
2007,Urban regions,male,Very concerned,0.25017,1882,6346,0.23952,0.26083
2007,Urban regions,male,Somewhat concerned,0.34139,2639,6346,0.32973,0.35306
2007,Urban regions,male,Not concerned at all,0.22820,1825,6346,0.21787,0.23853
2007,Urban regions,female,Very concerned,0.23399,1894,7021,0.22409,0.24390
2007,Urban regions,female,Somewhat concerned,0.37315,3226,7021,0.36184,0.38447
2007,Urban regions,female,Not concerned at all,0.21880,1901,7021,0.20913,0.22847
2007,Rural regions,male,Very concerned,0.28589,1126,3365,0.27062,0.30116
2007,Rural regions,male,Somewhat concerned,0.35213,1477,3365,0.33599,0.36827
2007,Rural regions,male,Not concerned at all,0.18233,762,3365,0.16928,0.19538
2007,Rural regions,female,Very concerned,0.25262,1062,3596,0.23841,0.26682
2007,Rural regions,female,Somewhat concerned,0.41679,1774,3596,0.40067,0.43291
2007,Rural regions,female,Not concerned at all,0.17273,760,3596,0.16038,0.18509
2008,Urban regions,male,Very concerned,0.21617,1542,5994,0.20575,0.22660
2008,Urban regions,male,Somewhat concerned,0.34314,2475,5994,0.33112,0.35516
2008,Urban regions,male,Not concerned at all,0.26802,1977,5994,0.25681,0.27923
2008,Urban regions,female,Very concerned,0.20295,1548,6641,0.19327,0.21262
2008,Urban regions,female,Somewhat concerned,0.38206,3019,6641,0.37038,0.39375
2008,Urban regions,female,Not concerned at all,0.25099,2074,6641,0.24057,0.26142
2008,Rural regions,male,Very concerned,0.26167,949,3171,0.24636,0.27697
2008,Rural regions,male,Somewhat concerned,0.35484,1412,3171,0.33819,0.37150
2008,Rural regions,male,Not concerned at all,0.20817,810,3171,0.19403,0.22230
2008,Rural regions,female,Very concerned,0.22550,866,3405,0.21146,0.23954
2008,Rural regions,female,Somewhat concerned,0.42575,1722,3405,0.40914,0.44236
2008,Rural regions,female,Not concerned at all,0.19917,817,3405,0.18576,0.21259
2009,Urban regions,male,Very concerned,0.18298,1165,5533,0.17279,0.19317
2009,Urban regions,male,Somewhat concerned,0.32587,2165,5533,0.31352,0.33822
2009,Urban regions,male,Not concerned at all,0.32319,2203,5533,0.31086,0.33551
2009,Urban regions,female,Very concerned,0.17877,1230,6118,0.16917,0.18838
2009,Urban regions,female,Somewhat concerned,0.36867,2669,6118,0.35658,0.38076
2009,Urban regions,female,Not concerned at all,0.28983,2219,6118,0.27846,0.30120
2009,Rural regions,male,Very concerned,0.21718,750,3026,0.20248,0.23187
2009,Rural regions,male,Somewhat concerned,0.35772,1346,3026,0.34064,0.37480
2009,Rural regions,male,Not concerned at all,0.25249,930,3026,0.23700,0.26797
2009,Rural regions,female,Very concerned,0.18268,688,3230,0.16935,0.19601
2009,Rural regions,female,Somewhat concerned,0.42696,1607,3230,0.40990,0.44402
2009,Rural regions,female,Not concerned at all,0.24215,935,3230,0.22737,0.25692
2010,Urban regions,male,Very concerned,0.17802,1442,7057,0.16909,0.18694
2010,Urban regions,male,Somewhat concerned,0.32932,2660,7057,0.31835,0.34028
2010,Urban regions,male,Not concerned at all,0.32303,2955,7057,0.31212,0.33394
2010,Urban regions,female,Very concerned,0.17672,1688,8502,0.16861,0.18483
2010,Urban regions,female,Somewhat concerned,0.35810,3532,8502,0.34791,0.36829
2010,Urban regions,female,Not concerned at all,0.30649,3282,8502,0.29669,0.31629
2010,Rural regions,male,Very concerned,0.21984,962,3791,0.20666,0.23303
2010,Rural regions,male,Somewhat concerned,0.35414,1586,3791,0.33891,0.36936
2010,Rural regions,male,Not concerned at all,0.26102,1243,3791,0.24704,0.27501
2010,Rural regions,female,Very concerned,0.20672,1004,4444,0.19481,0.21863
2010,Rural regions,female,Somewhat concerned,0.38829,2051,4444,0.37396,0.40262
2010,Rural regions,female,Not concerned at all,0.25267,1389,4444,0.23989,0.26545
2011,Urban regions,male,Very concerned,0.17824,1433,6207,0.16872,0.18776
2011,Urban regions,male,Somewhat concerned,0.30285,2443,6207,0.29142,0.31428
2011,Urban regions,male,Not concerned at all,0.27349,2331,6207,0.26240,0.28458
2011,Urban regions,female,Very concerned,0.16411,1510,7038,0.15546,0.17277
2011,Urban regions,female,Somewhat concerned,0.32723,3062,7038,0.31627,0.33820
2011,Urban regions,female,Not concerned at all,0.26408,2466,7038,0.25378,0.27438
2011,Rural regions,male,Very concerned,0.21309,930,3458,0.19944,0.22674
2011,Rural regions,male,Somewhat concerned,0.32265,1485,3458,0.30706,0.33823
2011,Rural regions,male,Not concerned at all,0.22171,1043,3458,0.20787,0.23556
2011,Rural regions,female,Very concerned,0.19407,908,3753,0.18141,0.20672
2011,Rural regions,female,Somewhat concerned,0.35246,1789,3753,0.33717,0.36775
2011,Rural regions,female,Not concerned at all,0.20491,1056,3753,0.19200,0.21783
2012,Urban regions,male,Very concerned,0.13662,1122,6097,0.12800,0.14524
2012,Urban regions,male,Somewhat concerned,0.28507,2219,6097,0.27374,0.29640
2012,Urban regions,male,Not concerned at all,0.34321,2756,6097,0.33129,0.35513
2012,Urban regions,female,Very concerned,0.14317,1208,6892,0.13490,0.15144
2012,Urban regions,female,Somewhat concerned,0.31096,2820,6892,0.30003,0.32188
2012,Urban regions,female,Not concerned at all,0.30687,2864,6892,0.29598,0.31776
2012,Rural regions,male,Very concerned,0.17371,720,3511,0.16117,0.18624
2012,Rural regions,male,Somewhat concerned,0.32146,1472,3511,0.30601,0.33691
2012,Rural regions,male,Not concerned at all,0.27436,1319,3511,0.25960,0.28912
2012,Rural regions,female,Very concerned,0.14517,711,3860,0.13405,0.15628
2012,Rural regions,female,Somewhat concerned,0.35689,1772,3860,0.34177,0.37200
2012,Rural regions,female,Not concerned at all,0.26540,1377,3860,0.25147,0.27933
2013,Urban regions,male,Very concerned,0.15400,1225,5596,0.14455,0.16346
2013,Urban regions,male,Somewhat concerned,0.26004,2069,5596,0.24854,0.27153
2013,Urban regions,male,Not concerned at all,0.27373,2302,5596,0.26204,0.28541
2013,Urban regions,female,Very concerned,0.15548,1349,6406,0.14661,0.16436
2013,Urban regions,female,Somewhat concerned,0.29528,2686,6406,0.28411,0.30646
2013,Urban regions,female,Not concerned at all,0.24483,2371,6406,0.23430,0.25536
2013,Rural regions,male,Very concerned,0.17116,707,3199,0.15810,0.18421
2013,Rural regions,male,Somewhat concerned,0.31191,1376,3199,0.29585,0.32797
2013,Rural regions,male,Not concerned at all,0.25234,1116,3199,0.23728,0.26739
2013,Rural regions,female,Very concerned,0.15794,738,3552,0.14595,0.16994
2013,Rural regions,female,Somewhat concerned,0.33098,1596,3552,0.31550,0.34646
2013,Rural regions,female,Not concerned at all,0.24605,1218,3552,0.23189,0.26022
2014,Urban regions,male,Very concerned,0.20428,1906,8028,0.19546,0.21310
2014,Urban regions,male,Somewhat concerned,0.32247,3134,8028,0.31224,0.33270
2014,Urban regions,male,Not concerned at all,0.30213,2988,8028,0.29208,0.31217
2014,Urban regions,female,Very concerned,0.22421,2408,9521,0.21584,0.23259
2014,Urban regions,female,Somewhat concerned,0.35284,4076,9521,0.34324,0.36244
2014,Urban regions,female,Not concerned at all,0.26133,3037,9521,0.25250,0.27015
2014,Rural regions,male,Very concerned,0.22714,1143,4337,0.21467,0.23961
2014,Rural regions,male,Somewhat concerned,0.35905,1855,4337,0.34477,0.37333
2014,Rural regions,male,Not concerned at all,0.25507,1339,4337,0.24210,0.26805
2014,Rural regions,female,Very concerned,0.22938,1322,5019,0.21774,0.24101
2014,Rural regions,female,Somewhat concerned,0.38040,2231,5019,0.36696,0.39383
2014,Rural regions,female,Not concerned at all,0.24021,1466,5019,0.22839,0.25204
2015,Urban regions,male,Very concerned,0.24532,2126,7343,0.23548,0.25517
2015,Urban regions,male,Somewhat concerned,0.31781,2934,7343,0.30716,0.32846
2015,Urban regions,male,Not concerned at all,0.24401,2283,7343,0.23419,0.25384
2015,Urban regions,female,Very concerned,0.25960,2706,8750,0.25041,0.26879
2015,Urban regions,female,Somewhat concerned,0.35407,3823,8750,0.34405,0.36409
2015,Urban regions,female,Not concerned at all,0.20733,2221,8750,0.19884,0.21583
2015,Rural regions,male,Very concerned,0.29327,1375,4035,0.27922,0.30731
2015,Rural regions,male,Somewhat concerned,0.33168,1683,4035,0.31715,0.34621
2015,Rural regions,male,Not concerned at all,0.19211,977,4035,0.17995,0.20426
2015,Rural regions,female,Very concerned,0.29844,1665,4712,0.28537,0.31151
2015,Rural regions,female,Somewhat concerned,0.37448,2081,4712,0.36066,0.38830
2015,Rural regions,female,Not concerned at all,0.15776,966,4712,0.14735,0.16817
2016,Urban regions,male,Very concerned,0.33891,2853,7094,0.32789,0.34992
2016,Urban regions,male,Somewhat concerned,0.32372,2818,7094,0.31283,0.33461
2016,Urban regions,male,Not concerned at all,0.15434,1423,7094,0.14593,0.16274
2016,Urban regions,female,Very concerned,0.38461,3729,8508,0.37427,0.39495
2016,Urban regions,female,Somewhat concerned,0.33642,3474,8508,0.32638,0.34646
2016,Urban regions,female,Not concerned at all,0.11665,1305,8508,0.10983,0.12347
2016,Rural regions,male,Very concerned,0.41340,1896,3903,0.39795,0.42885
2016,Rural regions,male,Somewhat concerned,0.28848,1380,3903,0.27426,0.30269
2016,Rural regions,male,Not concerned at all,0.12614,627,3903,0.11573,0.13656
2016,Rural regions,female,Very concerned,0.43028,2239,4526,0.41585,0.44470
2016,Rural regions,female,Somewhat concerned,0.32089,1734,4526,0.30729,0.33450
2016,Rural regions,female,Not concerned at all,0.09112,553,4526,0.08273,0.09950
2017,Urban regions,male,Very concerned,0.28213,2625,7844,0.27217,0.29209
2017,Urban regions,male,Somewhat concerned,0.34604,3316,7844,0.33551,0.35657
2017,Urban regions,male,Not concerned at all,0.19103,1903,7844,0.18233,0.19973
2017,Urban regions,female,Very concerned,0.31002,3289,9240,0.30059,0.31945
2017,Urban regions,female,Somewhat concerned,0.36703,4125,9240,0.35720,0.37686
2017,Urban regions,female,Not concerned at all,0.15844,1826,9240,0.15099,0.16588
2017,Rural regions,male,Very concerned,0.33819,1792,4346,0.32413,0.35226
2017,Rural regions,male,Somewhat concerned,0.33894,1751,4346,0.32487,0.35302
2017,Rural regions,male,Not concerned at all,0.14487,803,4346,0.13440,0.15533
2017,Rural regions,female,Very concerned,0.36554,2075,4951,0.35213,0.37896
2017,Rural regions,female,Somewhat concerned,0.35427,2122,4951,0.34095,0.36760
2017,Rural regions,female,Not concerned at all,0.11908,754,4951,0.11005,0.12810
2018,Urban regions,male,Very concerned,0.23785,2104,7629,0.22830,0.24741
2018,Urban regions,male,Somewhat concerned,0.34375,3170,7629,0.33309,0.35441
2018,Urban regions,male,Not concerned at all,0.24415,2355,7629,0.23451,0.25379
2018,Urban regions,female,Very concerned,0.24381,2572,9000,0.23493,0.25268
2018,Urban regions,female,Somewhat concerned,0.38527,4033,9000,0.37522,0.39533
2018,Urban regions,female,Not concerned at all,0.21014,2395,9000,0.20172,0.21856
2018,Rural regions,male,Very concerned,0.30555,1436,4137,0.29151,0.31958
2018,Rural regions,male,Somewhat concerned,0.32783,1738,4137,0.31352,0.34213
2018,Rural regions,male,Not concerned at all,0.19097,963,4137,0.17899,0.20295
2018,Rural regions,female,Very concerned,0.29442,1623,4758,0.28147,0.30737
2018,Rural regions,female,Somewhat concerned,0.38526,2187,4758,0.37143,0.39909
2018,Rural regions,female,Not concerned at all,0.16572,948,4758,0.15515,0.17628
2019,Urban regions,male,Very concerned,0.22162,1972,7726,0.21236,0.23088
2019,Urban regions,male,Somewhat concerned,0.33121,3139,7726,0.32072,0.34171
2019,Urban regions,male,Not concerned at all,0.26277,2615,7726,0.25295,0.27258
2019,Urban regions,female,Very concerned,0.22688,2248,8575,0.21802,0.23575
2019,Urban regions,female,Somewhat concerned,0.39151,3910,8575,0.38118,0.40184
2019,Urban regions,female,Not concerned at all,0.21794,2417,8575,0.20920,0.22668
2019,Rural regions,male,Very concerned,0.28442,1408,4181,0.27074,0.29810
2019,Rural regions,male,Somewhat concerned,0.32437,1711,4181,0.31017,0.33856
2019,Rural regions,male,Not concerned at all,0.21333,1062,4181,0.20091,0.22575
2019,Rural regions,female,Very concerned,0.27184,1459,4539,0.25890,0.28479
2019,Rural regions,female,Somewhat concerned,0.39878,2079,4539,0.38454,0.41303
2019,Rural regions,female,Not concerned at all,0.16583,1001,4539,0.15501,0.17665
2020,Urban regions,male,Very concerned,0.19681,1686,8071,0.18814,0.20548
2020,Urban regions,male,Somewhat concerned,0.30114,2986,8071,0.29113,0.31115
2020,Urban regions,male,Not concerned at all,0.31656,3399,8071,0.30641,0.32670
2020,Urban regions,female,Very concerned,0.19432,1901,8858,0.18608,0.20256
2020,Urban regions,female,Somewhat concerned,0.36961,3730,8858,0.35955,0.37966
2020,Urban regions,female,Not concerned at all,0.27190,3227,8858,0.26264,0.28117
2020,Rural regions,male,Very concerned,0.26213,1179,4098,0.24866,0.27560
2020,Rural regions,male,Somewhat concerned,0.32179,1604,4098,0.30748,0.33609
2020,Rural regions,male,Not concerned at all,0.23422,1315,4098,0.22126,0.24719
2020,Rural regions,female,Very concerned,0.24183,1276,4442,0.22924,0.25442
2020,Rural regions,female,Somewhat concerned,0.37459,1914,4442,0.36035,0.38882
2020,Rural regions,female,Not concerned at all,0.20976,1252,4442,0.19778,0.22173
2021,Urban regions,male,Very concerned,0.17306,959,5322,0.16290,0.18322
2021,Urban regions,male,Somewhat concerned,0.28543,1873,5322,0.27330,0.29757
2021,Urban regions,male,Not concerned at all,0.34490,2490,5322,0.33213,0.35767
2021,Urban regions,female,Very concerned,0.17443,1113,6014,0.16484,0.18403
2021,Urban regions,female,Somewhat concerned,0.32348,2338,6014,0.31166,0.33530
2021,Urban regions,female,Not concerned at all,0.32878,2563,6014,0.31691,0.34066
2021,Rural regions,male,Very concerned,0.23159,696,2726,0.21575,0.24743
2021,Rural regions,male,Somewhat concerned,0.32481,1050,2726,0.30723,0.34239
2021,Rural regions,male,Not concerned at all,0.26771,980,2726,0.25109,0.28434
2021,Rural regions,female,Very concerned,0.23316,774,3030,0.21811,0.24822
2021,Rural regions,female,Somewhat concerned,0.36101,1309,3030,0.34391,0.37812
2021,Rural regions,female,Not concerned at all,0.23086,947,3030,0.21585,0.24587
2022,Urban regions,male,Very concerned,0.16164,1568,8535,0.15383,0.16945
2022,Urban regions,male,Somewhat concerned,0.29618,3073,8535,0.28649,0.30586
2022,Urban regions,male,Not concerned at all,0.34410,3894,8535,0.33402,0.35418
2022,Urban regions,female,Very concerned,0.18110,1804,9065,0.17317,0.18903
2022,Urban regions,female,Somewhat concerned,0.33667,3665,9065,0.32694,0.34640
2022,Urban regions,female,Not concerned at all,0.30427,3596,9065,0.29480,0.31375
2022,Rural regions,male,Very concerned,0.24917,1183,3963,0.23571,0.26264
2022,Rural regions,male,Somewhat concerned,0.31254,1450,3963,0.29810,0.32697
2022,Rural regions,male,Not concerned at all,0.25247,1330,3963,0.23894,0.26600
2022,Rural regions,female,Very concerned,0.27151,1389,4398,0.25836,0.28466
2022,Rural regions,female,Somewhat concerned,0.34297,1808,4398,0.32893,0.35700
2022,Rural regions,female,Not concerned at all,0.21805,1201,4398,0.20584,0.23025
