year,bula_h,pgisced97,plj0046,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1999,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Very concerned,0.30990,37,11336,0.30886,0.31095
1999,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Somewhat concerned,0.35240,56,11336,0.35132,0.35347
1999,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Not concerned at all,0.33770,41,11336,0.33663,0.33877
1999,North Rhine-Westphalia,First Stage of Tertiary Education,Very concerned,0.36539,51,11336,0.36429,0.36649
1999,North Rhine-Westphalia,First Stage of Tertiary Education,Somewhat concerned,0.63461,86,11336,0.63351,0.63571
1999,North Rhine-Westphalia,Second Stage of Tertiary Education,Very concerned,0.19730,65,11336,0.19671,0.19788
1999,North Rhine-Westphalia,Second Stage of Tertiary Education,Somewhat concerned,0.44542,135,11336,0.44469,0.44615
1999,North Rhine-Westphalia,Second Stage of Tertiary Education,Not concerned at all,0.35728,109,11336,0.35658,0.35799
1999,Hesse,Lower Secondary Level,Very concerned,0.37730,66,11336,0.37636,0.37823
1999,Hesse,Lower Secondary Level,Somewhat concerned,0.44497,87,11336,0.44401,0.44593
1999,Hesse,Lower Secondary Level,Not concerned at all,0.17773,36,11336,0.17699,0.17847
1999,Hesse,Upper Secondary Level,Very concerned,0.40775,152,11336,0.40713,0.40837
1999,Hesse,Upper Secondary Level,Somewhat concerned,0.45663,201,11336,0.45600,0.45726
1999,Hesse,Upper Secondary Level,Not concerned at all,0.13562,69,11336,0.13518,0.13605
1999,Hesse,Second Stage of Tertiary Education,Somewhat concerned,0.58035,61,11336,0.57918,0.58153
1999,Hesse,Second Stage of Tertiary Education,Not concerned at all,0.41965,42,11336,0.41847,0.42082
1999,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Very concerned,0.27418,53,11336,0.27337,0.27500
1999,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Somewhat concerned,0.57821,106,11336,0.57730,0.57911
1999,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Not concerned at all,0.14761,39,11336,0.14696,0.14826
1999,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Very concerned,0.34622,129,11336,0.34559,0.34686
1999,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Somewhat concerned,0.49426,192,11336,0.49360,0.49493
1999,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Not concerned at all,0.15951,64,11336,0.15902,0.16000
1999,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Somewhat concerned,1.00000,38,11336,1.00000,1.00000
1999,Baden-Wuerttemberg,Primary Level,Somewhat concerned,0.57378,64,11336,0.57175,0.57581
1999,Baden-Wuerttemberg,Primary Level,Not concerned at all,0.42622,40,11336,0.42419,0.42825
1999,Baden-Wuerttemberg,Lower Secondary Level,Very concerned,0.39424,142,11336,0.39356,0.39492
1999,Baden-Wuerttemberg,Lower Secondary Level,Somewhat concerned,0.46140,211,11336,0.46070,0.46209
1999,Baden-Wuerttemberg,Lower Secondary Level,Not concerned at all,0.14436,73,11336,0.14387,0.14486
1999,Baden-Wuerttemberg,Upper Secondary Level,Very concerned,0.40146,287,11336,0.40098,0.40194
1999,Baden-Wuerttemberg,Upper Secondary Level,Somewhat concerned,0.45600,356,11336,0.45551,0.45649
1999,Baden-Wuerttemberg,Upper Secondary Level,Not concerned at all,0.14254,131,11336,0.14220,0.14289
1999,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Somewhat concerned,1.00000,37,11336,1.00000,1.00000
1999,Baden-Wuerttemberg,First Stage of Tertiary Education,Very concerned,0.42749,33,11336,0.42611,0.42888
1999,Baden-Wuerttemberg,First Stage of Tertiary Education,Somewhat concerned,0.57251,46,11336,0.57112,0.57389
1999,Baden-Wuerttemberg,Second Stage of Tertiary Education,Somewhat concerned,0.51560,75,11336,0.51451,0.51670
1999,Baden-Wuerttemberg,Second Stage of Tertiary Education,Not concerned at all,0.48440,57,11336,0.48330,0.48549
1999,Bavaria,Lower Secondary Level,Very concerned,0.32437,116,11336,0.32371,0.32503
1999,Bavaria,Lower Secondary Level,Somewhat concerned,0.51453,185,11336,0.51382,0.51523
1999,Bavaria,Lower Secondary Level,Not concerned at all,0.16110,71,11336,0.16058,0.16162
1999,Bavaria,Upper Secondary Level,Very concerned,0.41639,379,11336,0.41597,0.41682
1999,Bavaria,Upper Secondary Level,Somewhat concerned,0.44628,411,11336,0.44584,0.44671
1999,Bavaria,Upper Secondary Level,Not concerned at all,0.13733,133,11336,0.13703,0.13763
1999,Bavaria,First Stage of Tertiary Education,Very concerned,0.39347,40,11336,0.39211,0.39482
1999,Bavaria,First Stage of Tertiary Education,Somewhat concerned,0.60653,51,11336,0.60518,0.60789
1999,Bavaria,Second Stage of Tertiary Education,Very concerned,0.26005,41,11336,0.25926,0.26083
1999,Bavaria,Second Stage of Tertiary Education,Somewhat concerned,0.38572,81,11336,0.38484,0.38659
1999,Bavaria,Second Stage of Tertiary Education,Not concerned at all,0.35424,82,11336,0.35338,0.35509
1999,Berlin,Upper Secondary Level,Very concerned,0.44463,98,11336,0.44376,0.44551
1999,Berlin,Upper Secondary Level,Somewhat concerned,0.41675,86,11336,0.41588,0.41762
1999,Berlin,Upper Secondary Level,Not concerned at all,0.13862,32,11336,0.13801,0.13923
1999,Berlin,Second Stage of Tertiary Education,Very concerned,0.34018,53,11336,0.33915,0.34122
1999,Berlin,Second Stage of Tertiary Education,Somewhat concerned,0.38581,60,11336,0.38474,0.38687
1999,Berlin,Second Stage of Tertiary Education,Not concerned at all,0.27401,40,11336,0.27304,0.27498
1999,Brandenburg,Upper Secondary Level,Very concerned,0.36836,125,11336,0.36747,0.36924
1999,Brandenburg,Upper Secondary Level,Somewhat concerned,0.52873,158,11336,0.52781,0.52965
1999,Brandenburg,Upper Secondary Level,Not concerned at all,0.10291,31,11336,0.10235,0.10347
1999,Brandenburg,Second Stage of Tertiary Education,Very concerned,0.40651,47,11336,0.40507,0.40795
1999,Brandenburg,Second Stage of Tertiary Education,Somewhat concerned,0.59349,75,11336,0.59205,0.59493
1999,Mecklenburg-Western Pomerania,Upper Secondary Level,Very concerned,0.35636,69,11336,0.35529,0.35743
1999,Mecklenburg-Western Pomerania,Upper Secondary Level,Somewhat concerned,0.64364,129,11336,0.64257,0.64471
1999,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Somewhat concerned,1.00000,59,11336,1.00000,1.00000
1999,Saxony,Lower Secondary Level,Very concerned,0.40410,45,11336,0.40249,0.40571
1999,Saxony,Lower Secondary Level,Somewhat concerned,0.59590,57,11336,0.59429,0.59751
1999,Saxony,Upper Secondary Level,Very concerned,0.45677,299,11336,0.45611,0.45742
1999,Saxony,Upper Secondary Level,Somewhat concerned,0.43195,268,11336,0.43130,0.43260
1999,Saxony,Upper Secondary Level,Not concerned at all,0.11128,73,11336,0.11087,0.11170
1999,Saxony,First Stage of Tertiary Education,Very concerned,1.00000,35,11336,1.00000,1.00000
1999,Saxony,Second Stage of Tertiary Education,Very concerned,0.29533,67,11336,0.29433,0.29633
1999,Saxony,Second Stage of Tertiary Education,Somewhat concerned,0.47346,120,11336,0.47237,0.47455
1999,Saxony,Second Stage of Tertiary Education,Not concerned at all,0.23121,55,11336,0.23028,0.23213
1999,Saxony-Anhalt,Lower Secondary Level,Somewhat concerned,1.00000,34,11336,1.00000,1.00000
1999,Saxony-Anhalt,Upper Secondary Level,Very concerned,0.45701,159,11336,0.45613,0.45790
1999,Saxony-Anhalt,Upper Secondary Level,Somewhat concerned,0.43313,167,11336,0.43225,0.43400
1999,Saxony-Anhalt,Upper Secondary Level,Not concerned at all,0.10986,36,11336,0.10931,0.11042
1999,Saxony-Anhalt,Second Stage of Tertiary Education,Very concerned,0.33296,45,11336,0.33155,0.33437
1999,Saxony-Anhalt,Second Stage of Tertiary Education,Somewhat concerned,0.43844,68,11336,0.43695,0.43992
1999,Saxony-Anhalt,Second Stage of Tertiary Education,Not concerned at all,0.22861,35,11336,0.22735,0.22986
1999,Thuringa,Upper Secondary Level,Very concerned,0.40325,177,11336,0.40241,0.40410
1999,Thuringa,Upper Secondary Level,Somewhat concerned,0.46000,206,11336,0.45914,0.46086
1999,Thuringa,Upper Secondary Level,Not concerned at all,0.13674,57,11336,0.13615,0.13734
1999,Thuringa,Second Stage of Tertiary Education,Very concerned,0.17215,31,11336,0.17083,0.17348
1999,Thuringa,Second Stage of Tertiary Education,Somewhat concerned,0.49381,65,11336,0.49206,0.49557
1999,Thuringa,Second Stage of Tertiary Education,Not concerned at all,0.33403,37,11336,0.33238,0.33569
2000,Schleswig-Holstein,Lower Secondary Level,Somewhat concerned,1.00000,51,21908,1.00000,1.00000
2000,Schleswig-Holstein,Upper Secondary Level,Very concerned,0.23768,80,21908,0.23696,0.23841
2000,Schleswig-Holstein,Upper Secondary Level,Somewhat concerned,0.47627,185,21908,0.47542,0.47712
2000,Schleswig-Holstein,Upper Secondary Level,Not concerned at all,0.28605,121,21908,0.28528,0.28682
2000,Schleswig-Holstein,Second Stage of Tertiary Education,Somewhat concerned,0.41899,35,21908,0.41706,0.42092
2000,Schleswig-Holstein,Second Stage of Tertiary Education,Not concerned at all,0.58101,50,21908,0.57908,0.58294
2000,Hamburg,Upper Secondary Level,Very concerned,0.42600,63,21908,0.42482,0.42718
2000,Hamburg,Upper Secondary Level,Somewhat concerned,0.34904,56,21908,0.34790,0.35018
2000,Hamburg,Upper Secondary Level,Not concerned at all,0.22496,33,21908,0.22396,0.22596
2000,Lower Saxony,Lower Secondary Level,Very concerned,0.31074,86,21908,0.30984,0.31164
2000,Lower Saxony,Lower Secondary Level,Somewhat concerned,0.48516,160,21908,0.48418,0.48613
2000,Lower Saxony,Lower Secondary Level,Not concerned at all,0.20410,72,21908,0.20332,0.20489
2000,Lower Saxony,Upper Secondary Level,Very concerned,0.31487,356,21908,0.31438,0.31535
2000,Lower Saxony,Upper Secondary Level,Somewhat concerned,0.51243,580,21908,0.51191,0.51296
2000,Lower Saxony,Upper Secondary Level,Not concerned at all,0.17270,194,21908,0.17231,0.17310
2000,Lower Saxony,Post-secondary Non-tertiary Level,Somewhat concerned,0.59046,53,21908,0.58875,0.59217
2000,Lower Saxony,Post-secondary Non-tertiary Level,Not concerned at all,0.40954,44,21908,0.40783,0.41125
2000,Lower Saxony,First Stage of Tertiary Education,Very concerned,0.41466,38,21908,0.41290,0.41642
2000,Lower Saxony,First Stage of Tertiary Education,Somewhat concerned,0.58534,65,21908,0.58358,0.58710
2000,Lower Saxony,Second Stage of Tertiary Education,Very concerned,0.19813,49,21908,0.19721,0.19905
2000,Lower Saxony,Second Stage of Tertiary Education,Somewhat concerned,0.40211,91,21908,0.40098,0.40325
2000,Lower Saxony,Second Stage of Tertiary Education,Not concerned at all,0.39976,95,21908,0.39862,0.40089
2000,Bremen,Upper Secondary Level,Somewhat concerned,1.00000,42,21908,1.00000,1.00000
2000,North Rhine-Westphalia,Pre-primary Level,Somewhat concerned,0.43228,43,21908,0.43016,0.43440
2000,North Rhine-Westphalia,Pre-primary Level,Not concerned at all,0.56772,44,21908,0.56560,0.56984
2000,North Rhine-Westphalia,Primary Level,Somewhat concerned,0.56224,68,21908,0.56043,0.56405
2000,North Rhine-Westphalia,Primary Level,Not concerned at all,0.43776,47,21908,0.43595,0.43957
2000,North Rhine-Westphalia,Lower Secondary Level,Very concerned,0.32594,243,21908,0.32532,0.32656
2000,North Rhine-Westphalia,Lower Secondary Level,Somewhat concerned,0.42104,329,21908,0.42038,0.42169
2000,North Rhine-Westphalia,Lower Secondary Level,Not concerned at all,0.25303,218,21908,0.25245,0.25360
2000,North Rhine-Westphalia,Upper Secondary Level,Very concerned,0.36155,924,21908,0.36120,0.36189
2000,North Rhine-Westphalia,Upper Secondary Level,Somewhat concerned,0.45528,1222,21908,0.45493,0.45564
2000,North Rhine-Westphalia,Upper Secondary Level,Not concerned at all,0.18317,464,21908,0.18289,0.18345
2000,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Very concerned,0.20531,71,21908,0.20453,0.20609
2000,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Somewhat concerned,0.42592,156,21908,0.42496,0.42687
2000,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Not concerned at all,0.36877,109,21908,0.36784,0.36970
2000,North Rhine-Westphalia,First Stage of Tertiary Education,Very concerned,0.27407,114,21908,0.27325,0.27490
2000,North Rhine-Westphalia,First Stage of Tertiary Education,Somewhat concerned,0.45074,186,21908,0.44982,0.45166
2000,North Rhine-Westphalia,First Stage of Tertiary Education,Not concerned at all,0.27519,99,21908,0.27436,0.27602
2000,North Rhine-Westphalia,Second Stage of Tertiary Education,Very concerned,0.17407,117,21908,0.17354,0.17460
2000,North Rhine-Westphalia,Second Stage of Tertiary Education,Somewhat concerned,0.39795,288,21908,0.39727,0.39864
2000,North Rhine-Westphalia,Second Stage of Tertiary Education,Not concerned at all,0.42798,275,21908,0.42728,0.42867
2000,Hesse,Lower Secondary Level,Very concerned,0.32462,86,21908,0.32362,0.32562
2000,Hesse,Lower Secondary Level,Somewhat concerned,0.39449,109,21908,0.39345,0.39553
2000,Hesse,Lower Secondary Level,Not concerned at all,0.28089,86,21908,0.27993,0.28185
2000,Hesse,Upper Secondary Level,Very concerned,0.38322,321,21908,0.38261,0.38383
2000,Hesse,Upper Secondary Level,Somewhat concerned,0.44254,357,21908,0.44192,0.44316
2000,Hesse,Upper Secondary Level,Not concerned at all,0.17424,145,21908,0.17376,0.17471
2000,Hesse,Post-secondary Non-tertiary Level,Somewhat concerned,1.00000,49,21908,1.00000,1.00000
2000,Hesse,First Stage of Tertiary Education,Very concerned,0.51791,39,21908,0.51587,0.51995
2000,Hesse,First Stage of Tertiary Education,Somewhat concerned,0.48209,37,21908,0.48005,0.48413
2000,Hesse,Second Stage of Tertiary Education,Very concerned,0.14497,42,21908,0.14420,0.14575
2000,Hesse,Second Stage of Tertiary Education,Somewhat concerned,0.41410,110,21908,0.41303,0.41518
2000,Hesse,Second Stage of Tertiary Education,Not concerned at all,0.44092,115,21908,0.43983,0.44201
2000,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Very concerned,0.25842,73,21908,0.25751,0.25932
2000,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Somewhat concerned,0.47527,141,21908,0.47423,0.47631
2000,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Not concerned at all,0.26631,82,21908,0.26540,0.26723
2000,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Very concerned,0.29743,228,21908,0.29683,0.29802
2000,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Somewhat concerned,0.48474,380,21908,0.48409,0.48538
2000,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Not concerned at all,0.21784,168,21908,0.21730,0.21837
2000,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Somewhat concerned,1.00000,31,21908,1.00000,1.00000
2000,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Somewhat concerned,0.59849,53,21908,0.59650,0.60047
2000,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Not concerned at all,0.40151,35,21908,0.39953,0.40350
2000,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Somewhat concerned,0.55747,76,21908,0.55577,0.55917
2000,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Not concerned at all,0.44253,52,21908,0.44083,0.44423
2000,Baden-Wuerttemberg,Primary Level,Somewhat concerned,0.46856,33,21908,0.46606,0.47106
2000,Baden-Wuerttemberg,Primary Level,Not concerned at all,0.53144,37,21908,0.52894,0.53394
2000,Baden-Wuerttemberg,Lower Secondary Level,Very concerned,0.29811,153,21908,0.29741,0.29881
2000,Baden-Wuerttemberg,Lower Secondary Level,Somewhat concerned,0.48294,285,21908,0.48217,0.48370
2000,Baden-Wuerttemberg,Lower Secondary Level,Not concerned at all,0.21896,167,21908,0.21832,0.21959
2000,Baden-Wuerttemberg,Upper Secondary Level,Very concerned,0.32199,421,21908,0.32154,0.32244
2000,Baden-Wuerttemberg,Upper Secondary Level,Somewhat concerned,0.46876,670,21908,0.46828,0.46924
2000,Baden-Wuerttemberg,Upper Secondary Level,Not concerned at all,0.20925,310,21908,0.20886,0.20964
2000,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Somewhat concerned,1.00000,61,21908,1.00000,1.00000
2000,Baden-Wuerttemberg,First Stage of Tertiary Education,Very concerned,0.34425,82,21908,0.34314,0.34535
2000,Baden-Wuerttemberg,First Stage of Tertiary Education,Somewhat concerned,0.41897,102,21908,0.41783,0.42012
2000,Baden-Wuerttemberg,First Stage of Tertiary Education,Not concerned at all,0.23678,49,21908,0.23580,0.23777
2000,Baden-Wuerttemberg,Second Stage of Tertiary Education,Very concerned,0.20595,80,21908,0.20525,0.20664
2000,Baden-Wuerttemberg,Second Stage of Tertiary Education,Somewhat concerned,0.38618,159,21908,0.38535,0.38702
2000,Baden-Wuerttemberg,Second Stage of Tertiary Education,Not concerned at all,0.40787,156,21908,0.40702,0.40871
2000,Bavaria,Lower Secondary Level,Very concerned,0.30933,157,21908,0.30857,0.31009
2000,Bavaria,Lower Secondary Level,Somewhat concerned,0.45060,218,21908,0.44978,0.45141
2000,Bavaria,Lower Secondary Level,Not concerned at all,0.24008,129,21908,0.23937,0.24078
2000,Bavaria,Upper Secondary Level,Very concerned,0.31592,597,21908,0.31552,0.31631
2000,Bavaria,Upper Secondary Level,Somewhat concerned,0.48656,933,21908,0.48614,0.48698
2000,Bavaria,Upper Secondary Level,Not concerned at all,0.19753,360,21908,0.19719,0.19786
2000,Bavaria,Post-secondary Non-tertiary Level,Somewhat concerned,0.49555,62,21908,0.49393,0.49717
2000,Bavaria,Post-secondary Non-tertiary Level,Not concerned at all,0.50445,62,21908,0.50283,0.50607
2000,Bavaria,First Stage of Tertiary Education,Very concerned,0.23119,66,21908,0.23021,0.23216
2000,Bavaria,First Stage of Tertiary Education,Somewhat concerned,0.50888,126,21908,0.50773,0.51004
2000,Bavaria,First Stage of Tertiary Education,Not concerned at all,0.25993,60,21908,0.25891,0.26094
2000,Bavaria,Second Stage of Tertiary Education,Very concerned,0.13411,57,21908,0.13354,0.13468
2000,Bavaria,Second Stage of Tertiary Education,Somewhat concerned,0.42167,189,21908,0.42084,0.42249
2000,Bavaria,Second Stage of Tertiary Education,Not concerned at all,0.44423,213,21908,0.44340,0.44506
2000,Berlin,Upper Secondary Level,Very concerned,0.43041,154,21908,0.42953,0.43129
2000,Berlin,Upper Secondary Level,Somewhat concerned,0.36617,136,21908,0.36531,0.36703
2000,Berlin,Upper Secondary Level,Not concerned at all,0.20342,65,21908,0.20270,0.20413
2000,Berlin,First Stage of Tertiary Education,Somewhat concerned,1.00000,34,21908,1.00000,1.00000
2000,Berlin,Second Stage of Tertiary Education,Very concerned,0.21751,55,21908,0.21658,0.21843
2000,Berlin,Second Stage of Tertiary Education,Somewhat concerned,0.44122,100,21908,0.44011,0.44233
2000,Berlin,Second Stage of Tertiary Education,Not concerned at all,0.34128,78,21908,0.34022,0.34234
2000,Brandenburg,Lower Secondary Level,Very concerned,0.52173,44,21908,0.51934,0.52412
2000,Brandenburg,Lower Secondary Level,Somewhat concerned,0.47827,38,21908,0.47588,0.48066
2000,Brandenburg,Upper Secondary Level,Very concerned,0.39662,191,21908,0.39570,0.39754
2000,Brandenburg,Upper Secondary Level,Somewhat concerned,0.39558,220,21908,0.39466,0.39650
2000,Brandenburg,Upper Secondary Level,Not concerned at all,0.20780,97,21908,0.20704,0.20857
2000,Brandenburg,First Stage of Tertiary Education,Very concerned,0.54824,34,21908,0.54583,0.55064
2000,Brandenburg,First Stage of Tertiary Education,Somewhat concerned,0.45176,35,21908,0.44936,0.45417
2000,Brandenburg,Second Stage of Tertiary Education,Very concerned,0.24523,60,21908,0.24410,0.24637
2000,Brandenburg,Second Stage of Tertiary Education,Somewhat concerned,0.43588,122,21908,0.43457,0.43719
2000,Brandenburg,Second Stage of Tertiary Education,Not concerned at all,0.31889,80,21908,0.31765,0.32012
2000,Mecklenburg-Western Pomerania,Upper Secondary Level,Very concerned,0.34542,111,21908,0.34441,0.34644
2000,Mecklenburg-Western Pomerania,Upper Secondary Level,Somewhat concerned,0.47765,158,21908,0.47659,0.47872
2000,Mecklenburg-Western Pomerania,Upper Secondary Level,Not concerned at all,0.17692,56,21908,0.17611,0.17774
2000,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Somewhat concerned,0.63513,62,21908,0.63308,0.63717
2000,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Not concerned at all,0.36487,37,21908,0.36283,0.36692
2000,Saxony,Lower Secondary Level,Very concerned,0.36380,55,21908,0.36202,0.36558
2000,Saxony,Lower Secondary Level,Somewhat concerned,0.63620,72,21908,0.63442,0.63798
2000,Saxony,Upper Secondary Level,Very concerned,0.39733,388,21908,0.39668,0.39798
2000,Saxony,Upper Secondary Level,Somewhat concerned,0.43435,443,21908,0.43369,0.43501
2000,Saxony,Upper Secondary Level,Not concerned at all,0.16832,164,21908,0.16782,0.16881
2000,Saxony,First Stage of Tertiary Education,Very concerned,0.42225,57,21908,0.42034,0.42415
2000,Saxony,First Stage of Tertiary Education,Somewhat concerned,0.57775,66,21908,0.57585,0.57966
2000,Saxony,Second Stage of Tertiary Education,Very concerned,0.17078,68,21908,0.16996,0.17161
2000,Saxony,Second Stage of Tertiary Education,Somewhat concerned,0.50738,191,21908,0.50628,0.50848
2000,Saxony,Second Stage of Tertiary Education,Not concerned at all,0.32183,111,21908,0.32081,0.32286
2000,Saxony-Anhalt,Lower Secondary Level,Very concerned,0.48866,35,21908,0.48632,0.49101
2000,Saxony-Anhalt,Lower Secondary Level,Somewhat concerned,0.51134,38,21908,0.50899,0.51368
2000,Saxony-Anhalt,Upper Secondary Level,Very concerned,0.33529,193,21908,0.33447,0.33612
2000,Saxony-Anhalt,Upper Secondary Level,Somewhat concerned,0.47559,260,21908,0.47472,0.47647
2000,Saxony-Anhalt,Upper Secondary Level,Not concerned at all,0.18911,100,21908,0.18843,0.18980
2000,Saxony-Anhalt,First Stage of Tertiary Education,Very concerned,0.40397,39,21908,0.40183,0.40610
2000,Saxony-Anhalt,First Stage of Tertiary Education,Somewhat concerned,0.59603,57,21908,0.59390,0.59817
2000,Saxony-Anhalt,Second Stage of Tertiary Education,Very concerned,0.28767,61,21908,0.28636,0.28898
2000,Saxony-Anhalt,Second Stage of Tertiary Education,Somewhat concerned,0.43154,107,21908,0.43010,0.43297
2000,Saxony-Anhalt,Second Stage of Tertiary Education,Not concerned at all,0.28079,64,21908,0.27950,0.28209
2000,Thuringa,Lower Secondary Level,Somewhat concerned,1.00000,37,21908,1.00000,1.00000
2000,Thuringa,Upper Secondary Level,Very concerned,0.35906,241,21908,0.35824,0.35988
2000,Thuringa,Upper Secondary Level,Somewhat concerned,0.47479,322,21908,0.47394,0.47565
2000,Thuringa,Upper Secondary Level,Not concerned at all,0.16615,103,21908,0.16551,0.16679
2000,Thuringa,First Stage of Tertiary Education,Very concerned,0.42056,31,21908,0.41800,0.42311
2000,Thuringa,First Stage of Tertiary Education,Somewhat concerned,0.57944,39,21908,0.57689,0.58200
2000,Thuringa,Second Stage of Tertiary Education,Very concerned,0.18407,32,21908,0.18266,0.18548
2000,Thuringa,Second Stage of Tertiary Education,Somewhat concerned,0.44654,84,21908,0.44473,0.44835
2000,Thuringa,Second Stage of Tertiary Education,Not concerned at all,0.36939,58,21908,0.36763,0.37114
2001,Schleswig-Holstein,Lower Secondary Level,Somewhat concerned,0.55167,34,19644,0.54968,0.55367
2001,Schleswig-Holstein,Lower Secondary Level,Not concerned at all,0.44833,31,19644,0.44633,0.45032
2001,Schleswig-Holstein,Upper Secondary Level,Very concerned,0.19664,68,19644,0.19598,0.19729
2001,Schleswig-Holstein,Upper Secondary Level,Somewhat concerned,0.48700,167,19644,0.48618,0.48783
2001,Schleswig-Holstein,Upper Secondary Level,Not concerned at all,0.31636,127,19644,0.31559,0.31713
2001,Schleswig-Holstein,Second Stage of Tertiary Education,Somewhat concerned,0.54358,38,19644,0.54162,0.54554
2001,Schleswig-Holstein,Second Stage of Tertiary Education,Not concerned at all,0.45642,36,19644,0.45446,0.45838
2001,Hamburg,Upper Secondary Level,Very concerned,0.26556,38,19644,0.26448,0.26664
2001,Hamburg,Upper Secondary Level,Somewhat concerned,0.44534,63,19644,0.44413,0.44656
2001,Hamburg,Upper Secondary Level,Not concerned at all,0.28910,38,19644,0.28799,0.29020
2001,Hamburg,Second Stage of Tertiary Education,Somewhat concerned,1.00000,31,19644,1.00000,1.00000
2001,Lower Saxony,Lower Secondary Level,Very concerned,0.34565,82,19644,0.34474,0.34656
2001,Lower Saxony,Lower Secondary Level,Somewhat concerned,0.42665,132,19644,0.42570,0.42760
2001,Lower Saxony,Lower Secondary Level,Not concerned at all,0.22771,75,19644,0.22690,0.22851
2001,Lower Saxony,Upper Secondary Level,Very concerned,0.29466,288,19644,0.29419,0.29514
2001,Lower Saxony,Upper Secondary Level,Somewhat concerned,0.47828,488,19644,0.47777,0.47880
2001,Lower Saxony,Upper Secondary Level,Not concerned at all,0.22705,228,19644,0.22662,0.22749
2001,Lower Saxony,Post-secondary Non-tertiary Level,Somewhat concerned,1.00000,57,19644,1.00000,1.00000
2001,Lower Saxony,First Stage of Tertiary Education,Very concerned,0.31187,32,19644,0.31044,0.31330
