year,regtyp,rentown,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2014,Urban regions,Owner,,,,,,,,,,,,
2014,Urban regions,Tenant,5812,60.23393281343951,59.83362611895721,60.634239507921805,40.0,51.0,75.0,0.0,127.5,51.0,47.974999999999994,52.0
2014,Rural regions,Owner,,,,,,,,,,,,
2014,Rural regions,Tenant,2511,59.630790399329456,59.02056546697376,60.241015331685155,40.0,51.0,72.0,5.0,120.0,51.0,47.0,52.0
2015,Urban regions,Owner,,,,,,,,,,,,
2015,Urban regions,Tenant,6244,57.23583764627371,56.840865852563454,57.63080943998396,35.0,50.0,70.0,0.0,122.5,50.0,50.0,50.0
2015,Rural regions,Owner,,,,,,,,,,,,
2015,Rural regions,Tenant,2631,56.96108377296266,56.3815672488102,57.54060029711512,35.0,50.0,70.0,3.0,122.5,50.0,48.974999999999994,50.0
2016,Urban regions,Owner,,,,,,,,,,,,
2016,Urban regions,Tenant,5407,60.18575842458642,59.75843742545784,60.61307942371499,38.0,50.0,75.0,5.0,130.5,50.0,48.0,50.0
2016,Rural regions,Owner,,,,,,,,,,,,
2016,Rural regions,Tenant,2311,59.67382111144057,58.966331506037136,60.381310716844,38.0,51.0,70.0,3.0,118.0,51.0,47.0,52.0
2017,Urban regions,Owner,,,,,,,,,,,,
2017,Urban regions,Tenant,5756,60.019518911395814,59.61780342665667,60.421234396134956,40.0,50.0,73.0,5.0,122.5,50.0,47.974999999999994,50.0
2017,Rural regions,Owner,,,,,,,,,,,,
2017,Rural regions,Tenant,2516,59.21371973930968,58.52766991095667,59.899769567662695,36.0,50.0,72.0,8.0,126.0,50.0,49.0,50.0
2018,Urban regions,Owner,,,,,,,,,,,,
2018,Urban regions,Tenant,5913,59.7644960287634,59.375217872503434,60.15377418502337,40.0,50.0,73.0,5.0,122.5,50.0,48.0,50.0
2018,Rural regions,Owner,,,,,,,,,,,,
2018,Rural regions,Tenant,2485,58.68371736438629,58.071822394951546,59.29561233382103,38.0,50.0,72.0,10.0,123.0,50.0,48.0,50.0
2019,Urban regions,Owner,,,,,,,,,,,,
2019,Urban regions,Tenant,5406,59.82179600069214,59.410548515219006,60.23304348616527,40.0,50.0,72.0,1.0,120.0,50.0,47.0,50.0
2019,Rural regions,Owner,,,,,,,,,,,,
2019,Rural regions,Tenant,2263,59.68169975985786,59.05558080842771,60.307818711288,39.0,50.0,73.0,6.0,124.0,50.0,47.0,50.0
2020,Urban regions,Owner,,,,,,,,,,,,
2020,Urban regions,Tenant,8617,61.94302836128767,61.58732776439506,62.298728958180284,40.0,52.501391130604475,75.0,5.0,127.5,52.0,49.0,54.0
2020,Rural regions,Owner,,,,,,,,,,,,
2020,Rural regions,Tenant,3072,62.39235223882005,61.76715103816875,63.01755343947136,40.0,51.0,77.0,10.0,132.5,51.0,46.974999999999994,52.0
2021,Urban regions,Owner,,,,,,,,,,,,
2021,Urban regions,Tenant,5293,64.1618018340539,63.699507232378345,64.62409643572947,40.0,56.0,80.0,5.0,140.0,56.0,52.0,57.0
2021,Rural regions,Owner,,,,,,,,,,,,
2021,Rural regions,Tenant,1916,60.515937837204284,59.80540248760405,61.22647318680452,40.0,50.0,75.0,10.0,127.5,50.0,45.0,50.0
