year,hhtyp,regtyp,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Single parent,Rural regions,Yes,0.06863,48,764,0.05069,0.08657
2013,Single parent,Rural regions,No,0.92469,716,764,0.90596,0.94341
2013,Couple with children,Urban regions,Yes,0.13059,482,4433,0.12067,0.14051
2013,Couple with children,Urban regions,No,0.86913,3951,4433,0.85920,0.87906
2013,Couple with children,Rural regions,Yes,0.17211,368,2206,0.15636,0.18787
2013,Couple with children,Rural regions,No,0.82739,1838,2206,0.81162,0.84317
2013,Multi-generational household,Urban regions,No,0.99742,76,76,0.98595,1.00890
2013,Multi-generational household,Rural regions,No,0.94563,65,65,0.89007,1.00118
2013,Other Combinations,Urban regions,No,0.95846,250,250,0.93368,0.98325
2013,Other Combinations,Rural regions,No,0.88539,84,84,0.81686,0.95392
2014,Single-person household,Urban regions,Yes,0.03721,85,2419,0.02966,0.04475
2014,Single-person household,Urban regions,No,0.95957,2334,2419,0.95172,0.96742
2014,Single-person household,Rural regions,Yes,0.04877,59,1140,0.03626,0.06128
2014,Single-person household,Rural regions,No,0.95032,1081,1140,0.93770,0.96294
2014,Couple without children,Urban regions,Yes,0.09686,261,2750,0.08581,0.10792
2014,Couple without children,Urban regions,No,0.90147,2489,2750,0.89033,0.91261
2014,Couple without children,Rural regions,Yes,0.13012,187,1611,0.11369,0.14655
2014,Couple without children,Rural regions,No,0.86885,1424,1611,0.85236,0.88534
2014,Single parent,Urban regions,Yes,0.03506,53,1183,0.02458,0.04555
2014,Single parent,Urban regions,No,0.96494,1130,1183,0.95445,0.97542
2014,Single parent,Rural regions,Yes,0.06991,50,631,0.05000,0.08982
2014,Single parent,Rural regions,No,0.92921,581,631,0.90918,0.94923
2014,Couple with children,Urban regions,Yes,0.13815,456,3782,0.12715,0.14915
2014,Couple with children,Urban regions,No,0.86172,3326,3782,0.85072,0.87272
2014,Couple with children,Rural regions,Yes,0.19861,370,1916,0.18074,0.21648
2014,Couple with children,Rural regions,No,0.80119,1546,1916,0.78332,0.81907
2014,Multi-generational household,Urban regions,No,0.96444,65,65,0.91907,1.00981
2014,Multi-generational household,Rural regions,No,0.89646,49,49,0.81028,0.98265
2014,Other Combinations,Urban regions,No,0.97577,185,185,0.95355,0.99799
2014,Other Combinations,Rural regions,No,0.92412,65,65,0.85924,0.98900
2015,Single-person household,Urban regions,Yes,0.03406,85,2451,0.02687,0.04124
2015,Single-person household,Urban regions,No,0.96279,2366,2451,0.95530,0.97029
2015,Single-person household,Rural regions,Yes,0.06316,79,1166,0.04919,0.07713
2015,Single-person household,Rural regions,No,0.93498,1087,1166,0.92082,0.94914
2015,Couple without children,Urban regions,Yes,0.09207,247,2778,0.08131,0.10282
2015,Couple without children,Urban regions,No,0.90544,2531,2778,0.89456,0.91633
2015,Couple without children,Rural regions,Yes,0.13412,199,1592,0.11737,0.15086
2015,Couple without children,Rural regions,No,0.86363,1393,1592,0.84676,0.88049
2015,Single parent,Urban regions,Yes,0.04846,53,1124,0.03590,0.06102
2015,Single parent,Urban regions,No,0.95154,1071,1124,0.93898,0.96410
2015,Single parent,Rural regions,Yes,0.06608,41,586,0.04595,0.08621
2015,Single parent,Rural regions,No,0.93337,545,586,0.91317,0.95358
2015,Couple with children,Urban regions,Yes,0.14865,462,3750,0.13726,0.16004
2015,Couple with children,Urban regions,No,0.85018,3288,3750,0.83875,0.86160
2015,Couple with children,Rural regions,Yes,0.22280,380,1907,0.20412,0.24148
2015,Couple with children,Rural regions,No,0.77720,1527,1907,0.75852,0.79588
2015,Multi-generational household,Urban regions,No,0.93850,76,76,0.88413,0.99287
2015,Multi-generational household,Rural regions,No,0.85186,54,54,0.75622,0.94750
2015,Other Combinations,Urban regions,No,0.95812,179,179,0.92869,0.98755
2015,Other Combinations,Rural regions,No,0.93138,60,60,0.86687,0.99589
2016,Single-person household,Urban regions,Yes,0.02802,73,2312,0.02129,0.03475
2016,Single-person household,Urban regions,No,0.96359,2239,2312,0.95596,0.97123
2016,Single-person household,Rural regions,Yes,0.04664,56,1067,0.03398,0.05930
2016,Single-person household,Rural regions,No,0.94422,1011,1067,0.93045,0.95800
2016,Couple without children,Urban regions,Yes,0.09507,244,2565,0.08372,0.10642
2016,Couple without children,Urban regions,No,0.90173,2321,2565,0.89021,0.91326
2016,Couple without children,Rural regions,Yes,0.15088,207,1527,0.13292,0.16884
2016,Couple without children,Rural regions,No,0.84722,1320,1527,0.82917,0.86527
2016,Single parent,Urban regions,Yes,0.04239,48,992,0.02985,0.05494
2016,Single parent,Urban regions,No,0.95079,944,992,0.93733,0.96426
2016,Single parent,Rural regions,Yes,0.10767,33,532,0.08131,0.13403
2016,Single parent,Rural regions,No,0.88678,499,532,0.85982,0.91373
2016,Couple with children,Urban regions,Yes,0.14528,414,3297,0.13325,0.15731
2016,Couple with children,Urban regions,No,0.84717,2883,3297,0.83489,0.85946
2016,Couple with children,Rural regions,Yes,0.20261,331,1692,0.18345,0.22177
2016,Couple with children,Rural regions,No,0.78427,1361,1692,0.76467,0.80388
2016,Multi-generational household,Urban regions,No,0.92133,59,59,0.85204,0.99062
2016,Multi-generational household,Rural regions,No,0.75617,39,39,0.61965,0.89270
2016,Other Combinations,Urban regions,No,0.93696,133,133,0.89551,0.97842
2016,Other Combinations,Rural regions,No,0.93436,55,55,0.86831,1.00042
2017,Single-person household,Urban regions,Yes,0.03936,100,2592,0.03188,0.04685
2017,Single-person household,Urban regions,No,0.95417,2492,2592,0.94612,0.96222
2017,Single-person household,Rural regions,Yes,0.06209,81,1234,0.04862,0.07556
2017,Single-person household,Rural regions,No,0.92575,1153,1234,0.91112,0.94039
2017,Couple without children,Urban regions,Yes,0.09874,298,2886,0.08786,0.10963
2017,Couple without children,Urban regions,No,0.89612,2588,2886,0.88498,0.90725
2017,Couple without children,Rural regions,Yes,0.15249,231,1718,0.13548,0.16949
2017,Couple without children,Rural regions,No,0.84507,1487,1718,0.82795,0.86218
2017,Single parent,Urban regions,Yes,0.04292,54,992,0.03030,0.05554
2017,Single parent,Urban regions,No,0.94707,938,992,0.93313,0.96101
2017,Single parent,Rural regions,Yes,0.12437,43,545,0.09664,0.15210
2017,Single parent,Rural regions,No,0.86871,502,545,0.84033,0.89709
2017,Couple with children,Urban regions,Yes,0.14079,470,3508,0.12928,0.15230
2017,Couple with children,Urban regions,No,0.84768,3038,3508,0.83579,0.85957
2017,Couple with children,Rural regions,Yes,0.21167,376,1808,0.19283,0.23050
2017,Couple with children,Rural regions,No,0.77464,1432,1808,0.75537,0.79390
2017,Multi-generational household,Urban regions,No,0.93811,66,66,0.87953,0.99669
2017,Multi-generational household,Rural regions,No,0.82151,40,40,0.70133,0.94169
2017,Other Combinations,Urban regions,No,0.90612,171,171,0.86228,0.94996
2017,Other Combinations,Rural regions,No,0.76667,63,63,0.66139,0.87195
2018,Single-person household,Urban regions,Yes,0.03822,96,2757,0.03106,0.04537
2018,Single-person household,Urban regions,No,0.95161,2661,2757,0.94360,0.95962
2018,Single-person household,Rural regions,Yes,0.06307,85,1260,0.04964,0.07650
2018,Single-person household,Rural regions,No,0.92711,1175,1260,0.91275,0.94147
2018,Couple without children,Urban regions,Yes,0.09801,286,2859,0.08710,0.10891
2018,Couple without children,Urban regions,No,0.89890,2573,2859,0.88784,0.90995
2018,Couple without children,Rural regions,Yes,0.15309,234,1678,0.13585,0.17032
2018,Couple without children,Rural regions,No,0.84326,1444,1678,0.82586,0.86066
2018,Single parent,Urban regions,Yes,0.05142,53,1006,0.03777,0.06508
2018,Single parent,Urban regions,No,0.93484,953,1006,0.91959,0.95010
2018,Single parent,Rural regions,Yes,0.09578,46,504,0.07006,0.12150
2018,Single parent,Rural regions,No,0.89537,458,504,0.86862,0.92212
2018,Couple with children,Urban regions,Yes,0.15235,453,3299,0.14008,0.16461
2018,Couple with children,Urban regions,No,0.83208,2846,3299,0.81932,0.84483
2018,Couple with children,Rural regions,Yes,0.20408,353,1716,0.18501,0.22316
2018,Couple with children,Rural regions,No,0.78072,1363,1716,0.76114,0.80031
2018,Multi-generational household,Urban regions,No,0.92006,70,70,0.85607,0.98405
2018,Multi-generational household,Rural regions,No,0.78766,36,36,0.65217,0.92315
2018,Other Combinations,Urban regions,No,0.88798,150,150,0.83733,0.93862
2018,Other Combinations,Rural regions,No,0.72803,57,57,0.61149,0.84458
2019,Single-person household,Urban regions,Yes,0.03699,78,2215,0.02912,0.04485
2019,Single-person household,Urban regions,No,0.87139,2137,2215,0.85745,0.88534
2019,Single-person household,Rural regions,Yes,0.06417,80,1046,0.04931,0.07902
2019,Single-person household,Rural regions,No,0.85593,966,1046,0.83464,0.87722
2019,Couple without children,Urban regions,Yes,0.09944,266,2407,0.08749,0.11140
2019,Couple without children,Urban regions,No,0.80587,2141,2407,0.79007,0.82168
2019,Couple without children,Rural regions,Yes,0.14012,203,1451,0.12225,0.15798
2019,Couple without children,Rural regions,No,0.78751,1248,1451,0.76646,0.80857
2019,Single parent,Urban regions,Yes,0.04316,41,834,0.02936,0.05696
2019,Single parent,Urban regions,No,0.87533,793,834,0.85289,0.89776
2019,Single parent,Rural regions,Yes,0.11929,41,399,0.08745,0.15114
2019,Single parent,Rural regions,No,0.73677,358,399,0.69351,0.78004
2019,Couple with children,Urban regions,Yes,0.13719,380,2616,0.12401,0.15038
2019,Couple with children,Urban regions,No,0.75350,2236,2616,0.73699,0.77002
2019,Couple with children,Rural regions,Yes,0.20234,311,1393,0.18123,0.22344
2019,Couple with children,Rural regions,No,0.68363,1082,1393,0.65920,0.70806
2019,Multi-generational household,Urban regions,No,0.88890,49,49,0.80000,0.97781
2019,Other Combinations,Urban regions,No,0.85616,102,102,0.78772,0.92460
2019,Other Combinations,Rural regions,No,0.67551,44,44,0.53558,0.81545
2020,Single-person household,Urban regions,Yes,0.04043,133,3254,0.03367,0.04720
2020,Single-person household,Urban regions,No,0.94547,3121,3254,0.93767,0.95327
2020,Single-person household,Rural regions,Yes,0.08574,121,1334,0.07071,0.10077
2020,Single-person household,Rural regions,No,0.90251,1213,1334,0.88659,0.91843
2020,Couple without children,Urban regions,Yes,0.11529,395,3292,0.10438,0.12620
2020,Couple without children,Urban regions,No,0.87959,2897,3292,0.86847,0.89070
2020,Couple without children,Rural regions,Yes,0.15673,275,1721,0.13955,0.17392
2020,Couple without children,Rural regions,No,0.84032,1446,1721,0.82301,0.85763
2020,Single parent,Urban regions,Yes,0.05384,51,895,0.03905,0.06864
2020,Single parent,Urban regions,No,0.93092,844,895,0.91429,0.94754
2020,Single parent,Rural regions,Yes,0.13041,52,442,0.09898,0.16184
2020,Single parent,Rural regions,No,0.86189,390,442,0.82969,0.89409
2020,Couple with children,Urban regions,Yes,0.16939,499,3256,0.15650,0.18227
2020,Couple with children,Urban regions,No,0.80496,2757,3256,0.79135,0.81857
2020,Couple with children,Rural regions,Yes,0.22337,372,1640,0.20321,0.24353
2020,Couple with children,Rural regions,No,0.76164,1268,1640,0.74101,0.78227
2020,Multi-generational household,Urban regions,No,0.90890,60,60,0.83548,0.98233
2020,Multi-generational household,Rural regions,No,0.67282,42,42,0.52920,0.81643
2020,Other Combinations,Urban regions,No,0.84385,191,191,0.79223,0.89546
2020,Other Combinations,Rural regions,No,0.79732,80,80,0.70867,0.88596
2021,Single-person household,Urban regions,Yes,0.03715,86,1953,0.02876,0.04554
2021,Single-person household,Urban regions,No,0.84249,1867,1953,0.82633,0.85865
2021,Single-person household,Rural regions,Yes,0.07501,85,845,0.05723,0.09278
2021,Single-person household,Rural regions,No,0.82037,760,845,0.79447,0.84626
2021,Couple without children,Urban regions,Yes,0.10309,260,2013,0.08980,0.11638
2021,Couple without children,Urban regions,No,0.80226,1753,2013,0.78486,0.81967
2021,Couple without children,Rural regions,Yes,0.14512,181,1107,0.12436,0.16588
2021,Couple without children,Rural regions,No,0.79423,926,1107,0.77041,0.81806
2021,Single parent,Urban regions,Yes,0.05249,37,529,0.03347,0.07151
2021,Single parent,Urban regions,No,0.82666,492,529,0.79437,0.85895
2021,Single parent,Rural regions,Yes,0.13510,32,294,0.09596,0.17424
2021,Single parent,Rural regions,No,0.79495,262,294,0.74872,0.84118
2021,Couple with children,Urban regions,Yes,0.15256,311,1908,0.13642,0.16870
2021,Couple with children,Urban regions,No,0.70121,1597,1908,0.68066,0.72175
2021,Couple with children,Rural regions,Yes,0.20734,228,975,0.18188,0.23280
2021,Couple with children,Rural regions,No,0.67359,747,975,0.64415,0.70304
2021,Multi-generational household,Urban regions,No,0.77225,37,37,0.63525,0.90924
2021,Other Combinations,Urban regions,No,0.73284,139,139,0.65902,0.80667
2021,Other Combinations,Rural regions,No,0.78808,58,58,0.68199,0.89418
2022,Single-person household,Urban regions,Yes,0.06842,235,4019,0.06061,0.07623
2022,Single-person household,Urban regions,No,0.91870,3784,4019,0.91025,0.92715
2022,Single-person household,Rural regions,Yes,0.12183,200,1545,0.10551,0.13814
2022,Single-person household,Rural regions,No,0.87169,1345,1545,0.85501,0.88837
2022,Couple without children,Urban regions,Yes,0.14583,530,3893,0.13474,0.15692
2022,Couple without children,Urban regions,No,0.84861,3363,3893,0.83735,0.85987
2022,Couple without children,Rural regions,Yes,0.20541,388,1827,0.18688,0.22394
2022,Couple without children,Rural regions,No,0.79203,1439,1827,0.77341,0.81064
2022,Single parent,Urban regions,Yes,0.07779,68,765,0.05880,0.09678
2022,Single parent,Urban regions,No,0.90935,697,765,0.88899,0.92971
2022,Single parent,Rural regions,Yes,0.16164,39,377,0.12443,0.19885
2022,Single parent,Rural regions,No,0.83033,338,377,0.79239,0.86827
2022,Couple with children,Urban regions,Yes,0.19468,709,3355,0.18128,0.20808
2022,Couple with children,Urban regions,No,0.77858,2646,3355,0.76453,0.79263
2022,Couple with children,Rural regions,Yes,0.27456,533,1791,0.25388,0.29523
2022,Couple with children,Rural regions,No,0.71156,1258,1791,0.69058,0.73255
2022,Multi-generational household,Urban regions,No,0.87050,41,41,0.76645,0.97455
2022,Other Combinations,Urban regions,Yes,0.09993,92,771,0.07875,0.12112
2022,Other Combinations,Urban regions,No,0.87820,679,771,0.85509,0.90130
2022,Other Combinations,Rural regions,Yes,0.20806,84,342,0.16498,0.25114
2022,Other Combinations,Rural regions,No,0.78172,258,342,0.73788,0.82556
