year,regtyp,plj0024_h,proportion,n,lower_confidence,upper_confidence
2013,Laendlicher Raum,Seit Geburt,0.3366922644690017,44486,0.332300707783531,0.3410838211544724
2013,Staedtischer Raum,Erst spaeter,0.08147593182243866,44486,0.07893376333474068,0.08401810031013664
2013,Laendlicher Raum,Erst spaeter,0.02704626334519573,44486,0.025538809152742693,0.02855371753764877
2014,Staedtischer Raum,Seit Geburt,0.5580027530972343,38694,0.5530543825802086,0.5629511236142601
2014,Laendlicher Raum,Seit Geburt,0.3434280231927585,38694,0.33869658366221234,0.34815946272330467
2014,Staedtischer Raum,Erst spaeter,0.07437533892295499,38694,0.07176097407783878,0.0769897037680712
2014,Laendlicher Raum,Erst spaeter,0.0241938847870521,38694,0.02266290721174442,0.02572486236235978
2015,Staedtischer Raum,Seit Geburt,0.5561108188672629,38036,0.5511176459743455,0.5611039917601802
2015,Laendlicher Raum,Seit Geburt,0.3447308434157461,38036,0.3399543565696992,0.34950733026179304
2015,Staedtischer Raum,Erst spaeter,0.07355777660880239,38036,0.07093427026389171,0.07618128295371307
2015,Laendlicher Raum,Erst spaeter,0.025600561108188674,38036,0.024013287092654087,0.02718783512372326
2016,Staedtischer Raum,Seit Geburt,0.5590446914164104,41132,0.5542463990189217,0.5638429838138992
2016,Laendlicher Raum,Seit Geburt,0.34499881768739654,41132,0.3404047646669891,0.349592870707804
2016,Staedtischer Raum,Erst spaeter,0.07027666114920784,41132,0.06780636748581148,0.07274695481260421
2016,Laendlicher Raum,Erst spaeter,0.025679829746985103,41132,0.02415116209881534,0.027208497395154865
2017,Staedtischer Raum,Seit Geburt,0.5642314189189189,45410,0.5596706621583011,0.5687921756795368
2017,Laendlicher Raum,Seit Geburt,0.34695945945945944,45410,0.3425813183177834,0.3513376006011355
2017,Staedtischer Raum,Erst spaeter,0.06583614864864865,45410,0.06355515509544632,0.06811714220185097
2017,Laendlicher Raum,Erst spaeter,0.022972972972972974,45410,0.02159499520751759,0.02435095073842836
2018,Staedtischer Raum,Seit Geburt,0.5693421109996948,43121,0.5646683713465369,0.5740158506528527
2018,Laendlicher Raum,Seit Geburt,0.3425033788202468,43121,0.3380242778543939,0.3469824797860997
2018,Staedtischer Raum,Erst spaeter,0.06544011858569124,43121,0.06310592288305676,0.06777431428832571
2018,Laendlicher Raum,Erst spaeter,0.02271439159436718,43121,0.021308107821432755,0.024120675367301607
2020,Staedtischer Raum,Seit Geburt,0.5838403392330384,42741,0.5791671779336266,0.5885135005324501
2020,Laendlicher Raum,Seit Geburt,0.3365136430678466,42741,0.33203392101783996,0.3409933651178532
2020,Staedtischer Raum,Erst spaeter,0.06019542772861357,42741,0.05794049151649838,0.062450363940728754
2020,Laendlicher Raum,Erst spaeter,0.019450589970501475,42741,0.018141302949902488,0.020759876991100462
2021,Staedtischer Raum,Seit Geburt,0.5899393227637503,27598,0.5841364239045114,0.5957422216229892
2021,Laendlicher Raum,Seit Geburt,0.33300711163306584,27598,0.3274467297191275,0.33856749354700416
2021,Staedtischer Raum,Erst spaeter,0.05845892868793632,27598,0.055690952644817326,0.06122690473105531
2021,Laendlicher Raum,Erst spaeter,0.018529392575194103,27598,0.016938332761787054,0.02012045238860115
2021,-1,Seit Geburt,6.524434005350036e-05,27598,-3.0051626521974167e-05,0.0001605403066289749
