year,age_gr,sampreg,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2004,66 and older,East,No,0.89541,852,946,0.87590,0.91492
2006,17-29 y.,West,Yes,0.40069,1010,2712,0.38225,0.41914
2006,17-29 y.,West,No,0.59931,1702,2712,0.58086,0.61775
2006,17-29 y.,East,Yes,0.40903,408,960,0.37791,0.44014
2006,17-29 y.,East,No,0.59097,552,960,0.55986,0.62209
2006,30-45 y.,West,Yes,0.38291,1775,4956,0.36937,0.39644
2006,30-45 y.,West,No,0.61709,3181,4956,0.60356,0.63063
2006,30-45 y.,East,Yes,0.38751,474,1315,0.36116,0.41385
2006,30-45 y.,East,No,0.61249,841,1315,0.58615,0.63884
2006,46-65 y.,West,Yes,0.31748,1628,5706,0.30540,0.32956
2006,46-65 y.,West,No,0.68252,4078,5706,0.67044,0.69460
2006,46-65 y.,East,Yes,0.28880,495,1868,0.26824,0.30936
2006,46-65 y.,East,No,0.71120,1373,1868,0.69064,0.73176
2006,66 and older,West,Yes,0.11464,386,3300,0.10376,0.12551
2006,66 and older,West,No,0.88536,2914,3300,0.87449,0.89624
2006,66 and older,East,Yes,0.08658,96,1125,0.07014,0.10303
2006,66 and older,East,No,0.91342,1029,1125,0.89697,0.92986
2008,17-29 y.,West,Yes,0.36019,775,2329,0.34069,0.37969
2008,17-29 y.,West,No,0.63981,1554,2329,0.62031,0.65931
2008,17-29 y.,East,Yes,0.37619,300,822,0.34305,0.40933
2008,17-29 y.,East,No,0.62381,522,822,0.59067,0.65695
2008,30-45 y.,West,Yes,0.35352,1350,4019,0.33874,0.36830
2008,30-45 y.,West,No,0.64648,2669,4019,0.63170,0.66126
2008,30-45 y.,East,Yes,0.37329,404,1147,0.34528,0.40129
2008,30-45 y.,East,No,0.62671,743,1147,0.59871,0.65472
2008,46-65 y.,West,Yes,0.31260,1408,5008,0.29976,0.32544
2008,46-65 y.,West,No,0.68740,3600,5008,0.67456,0.70024
2008,46-65 y.,East,Yes,0.31058,474,1677,0.28843,0.33273
2008,46-65 y.,East,No,0.68942,1203,1677,0.66727,0.71157
2008,66 and older,West,Yes,0.11489,368,3174,0.10379,0.12598
2008,66 and older,West,No,0.88511,2806,3174,0.87402,0.89621
2008,66 and older,East,Yes,0.10553,110,1115,0.08749,0.12357
2008,66 and older,East,No,0.89447,1005,1115,0.87643,0.91251
2010,17-29 y.,West,Yes,0.31912,588,1902,0.29816,0.34007
2010,17-29 y.,West,No,0.68088,1314,1902,0.65993,0.70184
2010,17-29 y.,East,Yes,0.38503,227,606,0.34626,0.42381
2010,17-29 y.,East,No,0.61497,379,606,0.57619,0.65374
2010,30-45 y.,West,Yes,0.35470,1025,3162,0.33802,0.37138
2010,30-45 y.,West,No,0.64530,2137,3162,0.62862,0.66198
2010,30-45 y.,East,Yes,0.34132,332,939,0.31097,0.37166
2010,30-45 y.,East,No,0.65868,607,939,0.62834,0.68903
2010,46-65 y.,West,Yes,0.32545,1294,4487,0.31174,0.33916
2010,46-65 y.,West,No,0.67455,3193,4487,0.66084,0.68826
2010,46-65 y.,East,Yes,0.29795,437,1516,0.27492,0.32099
2010,46-65 y.,East,No,0.70205,1079,1516,0.67901,0.72508
2010,66 and older,West,Yes,0.11207,340,2952,0.10069,0.12345
2010,66 and older,West,No,0.88793,2612,2952,0.87655,0.89931
2010,66 and older,East,Yes,0.09368,94,1057,0.07611,0.11126
2010,66 and older,East,No,0.90632,963,1057,0.88874,0.92389
2012,17-29 y.,West,Yes,0.29273,646,2264,0.27399,0.31148
2012,17-29 y.,West,No,0.70727,1618,2264,0.68852,0.72601
2012,17-29 y.,East,Yes,0.40555,243,613,0.36664,0.44445
2012,17-29 y.,East,No,0.59445,370,613,0.55555,0.63336
2012,30-45 y.,West,Yes,0.33208,1129,3567,0.31662,0.34754
2012,30-45 y.,West,No,0.66792,2438,3567,0.65246,0.68338
2012,30-45 y.,East,Yes,0.35864,372,1010,0.32904,0.38823
2012,30-45 y.,East,No,0.64136,638,1010,0.61177,0.67096
2012,46-65 y.,West,Yes,0.31677,1723,5879,0.30488,0.32866
2012,46-65 y.,West,No,0.68323,4156,5879,0.67134,0.69512
2012,46-65 y.,East,Yes,0.31371,597,1929,0.29300,0.33443
2012,46-65 y.,East,No,0.68629,1332,1929,0.66557,0.70700
2012,66 and older,West,Yes,0.11712,434,3887,0.10701,0.12723
2012,66 and older,West,No,0.88288,3453,3887,0.87277,0.89299
2012,66 and older,East,Yes,0.10309,120,1273,0.08638,0.11980
2012,66 and older,East,No,0.89691,1153,1273,0.88020,0.91362
2014,17-29 y.,West,Yes,0.28050,1091,3580,0.26579,0.29522
2014,17-29 y.,West,No,0.71950,2489,3580,0.70478,0.73421
2014,17-29 y.,East,Yes,0.41399,291,705,0.37761,0.45038
2014,17-29 y.,East,No,0.58601,414,705,0.54962,0.62239
2014,30-45 y.,West,Yes,0.31763,2110,6889,0.30664,0.32862
2014,30-45 y.,West,No,0.68237,4779,6889,0.67138,0.69336
2014,30-45 y.,East,Yes,0.36068,587,1623,0.33731,0.38405
2014,30-45 y.,East,No,0.63932,1036,1623,0.61595,0.66269
2014,46-65 y.,West,Yes,0.32329,2143,7269,0.31253,0.33404
2014,46-65 y.,West,No,0.67671,5126,7269,0.66596,0.68747
2014,46-65 y.,East,Yes,0.32391,620,2021,0.30351,0.34432
2014,46-65 y.,East,No,0.67609,1401,2021,0.65568,0.69649
2014,66 and older,West,Yes,0.11445,443,3728,0.10423,0.12467
2014,66 and older,West,No,0.88555,3285,3728,0.87533,0.89577
2014,66 and older,East,Yes,0.11054,122,1216,0.09290,0.12817
2014,66 and older,East,No,0.88946,1094,1216,0.87183,0.90710
2016,17-29 y.,West,Yes,0.25181,839,3165,0.23669,0.26694
2016,17-29 y.,West,No,0.74819,2326,3165,0.73306,0.76331
2016,17-29 y.,East,Yes,0.33251,232,626,0.29557,0.36944
2016,17-29 y.,East,No,0.66749,394,626,0.63056,0.70443
2016,30-45 y.,West,Yes,0.29963,1726,5685,0.28772,0.31154
2016,30-45 y.,West,No,0.70037,3959,5685,0.68846,0.71228
2016,30-45 y.,East,Yes,0.37227,492,1355,0.34652,0.39802
2016,30-45 y.,East,No,0.62773,863,1355,0.60198,0.65348
2016,46-65 y.,West,Yes,0.30246,1895,6718,0.29148,0.31345
2016,46-65 y.,West,No,0.69754,4823,6718,0.68655,0.70852
2016,46-65 y.,East,Yes,0.33332,589,1866,0.31193,0.35472
2016,46-65 y.,East,No,0.66668,1277,1866,0.64528,0.68807
2016,66 and older,West,Yes,0.12024,418,3542,0.10953,0.13096
2016,66 and older,West,No,0.87976,3124,3542,0.86904,0.89047
2016,66 and older,East,Yes,0.09006,101,1165,0.07362,0.10651
2016,66 and older,East,No,0.90994,1064,1165,0.89349,0.92638
2018,17-29 y.,West,Yes,0.24997,863,3499,0.23562,0.26432
2018,17-29 y.,West,No,0.75003,2636,3499,0.73568,0.76438
2018,17-29 y.,East,Yes,0.31283,243,727,0.27910,0.34655
2018,17-29 y.,East,No,0.68717,484,727,0.65345,0.72090
2018,30-45 y.,West,Yes,0.28838,1555,5312,0.27620,0.30056
2018,30-45 y.,West,No,0.71162,3757,5312,0.69944,0.72380
2018,30-45 y.,East,Yes,0.31103,496,1392,0.28670,0.33535
2018,30-45 y.,East,No,0.68897,896,1392,0.66465,0.71330
2018,46-65 y.,West,Yes,0.30726,2059,7499,0.29682,0.31771
2018,46-65 y.,West,No,0.69274,5440,7499,0.68229,0.70318
2018,46-65 y.,East,Yes,0.32711,680,2118,0.30712,0.34709
2018,46-65 y.,East,No,0.67289,1438,2118,0.65291,0.69288
2018,66 and older,West,Yes,0.10923,452,3745,0.09924,0.11922
2018,66 and older,West,No,0.89077,3293,3745,0.88078,0.90076
2018,66 and older,East,Yes,0.11429,129,1239,0.09657,0.13201
2018,66 and older,East,No,0.88571,1110,1239,0.86799,0.90343
2020,17-29 y.,West,Yes,0.22029,1006,4312,0.20792,0.23266
2020,17-29 y.,West,No,0.77971,3306,4312,0.76734,0.79208
2020,17-29 y.,East,Yes,0.25218,205,752,0.22112,0.28324
2020,17-29 y.,East,No,0.74782,547,752,0.71676,0.77888
2020,30-45 y.,West,Yes,0.26422,1819,6495,0.25349,0.27494
2020,30-45 y.,West,No,0.73578,4676,6495,0.72506,0.74651
2020,30-45 y.,East,Yes,0.31698,541,1539,0.29373,0.34024
2020,30-45 y.,East,No,0.68302,998,1539,0.65976,0.70627
2020,46-65 y.,West,Yes,0.27165,2117,8202,0.26202,0.28127
2020,46-65 y.,West,No,0.72835,6085,8202,0.71873,0.73798
2020,46-65 y.,East,Yes,0.32568,654,2179,0.30600,0.34536
2020,46-65 y.,East,No,0.67432,1525,2179,0.65464,0.69400
2020,66 and older,West,Yes,0.12591,480,3663,0.11517,0.13666
2020,66 and older,West,No,0.87409,3183,3663,0.86334,0.88483
2020,66 and older,East,Yes,0.12788,141,1238,0.10927,0.14650
2020,66 and older,East,No,0.87212,1097,1238,0.85350,0.89073
2022,17-29 y.,West,Yes,0.20077,743,4311,0.18881,0.21273
2022,17-29 y.,West,No,0.79923,3568,4311,0.78727,0.81119
2022,17-29 y.,East,Yes,0.22909,225,934,0.20212,0.25605
2022,17-29 y.,East,No,0.77091,709,934,0.74395,0.79788
2022,30-45 y.,West,Yes,0.23780,1293,6237,0.22723,0.24836
2022,30-45 y.,West,No,0.76220,4944,6237,0.75164,0.77277
2022,30-45 y.,East,Yes,0.27972,494,1782,0.25887,0.30056
2022,30-45 y.,East,No,0.72028,1288,1782,0.69944,0.74113
2022,46-65 y.,West,Yes,0.23911,1526,6894,0.22904,0.24918
2022,46-65 y.,West,No,0.76089,5368,6894,0.75082,0.77096
2022,46-65 y.,East,Yes,0.26602,453,1836,0.24580,0.28624
2022,46-65 y.,East,No,0.73398,1383,1836,0.71376,0.75420
2022,66 and older,West,Yes,0.12900,414,3070,0.11714,0.14086
2022,66 and older,West,No,0.87100,2656,3070,0.85914,0.88286
2022,66 and older,East,Yes,0.10919,127,1041,0.09024,0.12815
2022,66 and older,East,No,0.89081,914,1041,0.87185,0.90976
