year,migback,regtyp,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Indirect migration background,Urban regions,Yes,0.15664,363,1166,0.13577,0.17751
2016,Indirect migration background,Urban regions,No,0.34840,803,1166,0.32104,0.37576
2016,Indirect migration background,Rural regions,Yes,0.13084,100,293,0.09216,0.16951
2016,Indirect migration background,Rural regions,No,0.36401,193,293,0.30882,0.41920
2018,No migration background,Urban regions,Yes,0.19399,2733,11927,0.18689,0.20108
2018,No migration background,Urban regions,No,0.67295,9194,11927,0.66453,0.68137
2018,No migration background,Rural regions,Yes,0.22027,1958,7447,0.21086,0.22969
2018,No migration background,Rural regions,No,0.63118,5489,7447,0.62022,0.64214
2018,Direct migration background,Urban regions,Yes,0.25773,958,3385,0.24299,0.27246
2018,Direct migration background,Urban regions,No,0.63622,2427,3385,0.62001,0.65243
2018,Direct migration background,Rural regions,Yes,0.25242,348,1173,0.22755,0.27729
2018,Direct migration background,Rural regions,No,0.62121,825,1173,0.59344,0.64898
2018,Indirect migration background,Urban regions,Yes,0.16640,389,1303,0.14617,0.18663
2018,Indirect migration background,Urban regions,No,0.35392,914,1303,0.32794,0.37989
2018,Indirect migration background,Rural regions,Yes,0.13530,91,296,0.09627,0.17434
2018,Indirect migration background,Rural regions,No,0.34913,205,296,0.29473,0.40353
2020,No migration background,Urban regions,Yes,0.17922,2453,11578,0.17224,0.18621
2020,No migration background,Urban regions,No,0.68082,9125,11578,0.67232,0.68931
2020,No migration background,Rural regions,Yes,0.20759,1696,6916,0.19803,0.21715
2020,No migration background,Rural regions,No,0.63608,5220,6916,0.62474,0.64742
2020,Direct migration background,Urban regions,Yes,0.23701,1732,6229,0.22645,0.24757
2020,Direct migration background,Urban regions,No,0.69496,4497,6229,0.68352,0.70639
2020,Direct migration background,Rural regions,Yes,0.28839,665,2127,0.26913,0.30765
2020,Direct migration background,Rural regions,No,0.63328,1462,2127,0.61279,0.65376
2020,Indirect migration background,Urban regions,Yes,0.15402,337,1240,0.13392,0.17412
2020,Indirect migration background,Urban regions,No,0.35711,903,1240,0.33043,0.38379
2020,Indirect migration background,Rural regions,Yes,0.13025,80,290,0.09145,0.16906
2020,Indirect migration background,Rural regions,No,0.32825,210,290,0.27411,0.38239
2022,No migration background,Urban regions,Yes,0.15774,2146,11289,0.15101,0.16446
2022,No migration background,Urban regions,No,0.68581,9143,11289,0.67724,0.69437
2022,No migration background,Rural regions,Yes,0.17874,1554,7004,0.16977,0.18771
2022,No migration background,Rural regions,No,0.67056,5450,7004,0.65956,0.68157
2022,Direct migration background,Urban regions,Yes,0.21224,990,5294,0.20123,0.22326
2022,Direct migration background,Urban regions,No,0.66540,4304,5294,0.65269,0.67811
2022,Direct migration background,Rural regions,Yes,0.22551,253,1058,0.20031,0.25070
2022,Direct migration background,Rural regions,No,0.64500,805,1058,0.61615,0.67384
2022,Indirect migration background,Urban regions,Yes,0.14017,239,1107,0.11971,0.16063
2022,Indirect migration background,Urban regions,No,0.40797,868,1107,0.37900,0.43693
2022,Indirect migration background,Rural regions,Yes,0.17055,92,344,0.13075,0.21036
2022,Indirect migration background,Rural regions,No,0.33255,252,344,0.28269,0.38241
