year,migback,sex,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Indirect migration background,male,No,0.32761,440,681,0.29233,0.36289
2016,Indirect migration background,female,Yes,0.12609,222,778,0.10275,0.14943
2016,Indirect migration background,female,No,0.37687,556,778,0.34279,0.41094
2018,No migration background,male,Yes,0.22063,2305,8986,0.21205,0.22920
2018,No migration background,male,No,0.63516,6681,8986,0.62521,0.64512
2018,No migration background,female,Yes,0.18615,2386,10388,0.17866,0.19363
2018,No migration background,female,No,0.68122,8002,10388,0.67226,0.69018
2018,Direct migration background,male,Yes,0.29491,715,2018,0.27501,0.31481
2018,Direct migration background,male,No,0.57353,1303,2018,0.55195,0.59511
2018,Direct migration background,female,Yes,0.22113,591,2540,0.20499,0.23728
2018,Direct migration background,female,No,0.68849,1949,2540,0.67048,0.70651
2018,Indirect migration background,male,Yes,0.19231,243,738,0.16386,0.22076
2018,Indirect migration background,male,No,0.31254,495,738,0.27907,0.34600
2018,Indirect migration background,female,Yes,0.12763,237,861,0.10533,0.14994
2018,Indirect migration background,female,No,0.39794,624,861,0.36523,0.43065
2020,No migration background,male,Yes,0.20264,2080,8773,0.19423,0.21105
2020,No migration background,male,No,0.64789,6693,8773,0.63789,0.65788
2020,No migration background,female,Yes,0.17605,2067,9714,0.16848,0.18363
2020,No migration background,female,No,0.68244,7647,9714,0.67318,0.69170
2020,Direct migration background,male,Yes,0.28670,1643,4447,0.27341,0.30000
2020,Direct migration background,male,No,0.63911,2804,4447,0.62499,0.65323
2020,Direct migration background,female,Yes,0.21121,754,3909,0.19842,0.22401
2020,Direct migration background,female,No,0.72319,3155,3909,0.70916,0.73722
2020,Indirect migration background,male,Yes,0.17169,225,725,0.14422,0.19916
2020,Indirect migration background,male,No,0.32673,500,725,0.29256,0.36089
2020,Indirect migration background,female,Yes,0.12448,192,805,0.10166,0.14730
2020,Indirect migration background,female,No,0.38191,613,805,0.34833,0.41550
2022,No migration background,male,Yes,0.17669,1875,8783,0.16871,0.18467
2022,No migration background,male,No,0.66365,6908,8783,0.65377,0.67353
2022,No migration background,female,Yes,0.15368,1822,9498,0.14643,0.16093
2022,No migration background,female,No,0.69757,7676,9498,0.68833,0.70681
2022,Direct migration background,male,Yes,0.23630,752,3096,0.22133,0.25126
2022,Direct migration background,male,No,0.62331,2344,3096,0.60623,0.64038
2022,Direct migration background,female,Yes,0.19442,489,3249,0.18081,0.20803
2022,Direct migration background,female,No,0.69831,2760,3249,0.68252,0.71409
2022,Indirect migration background,male,Yes,0.16121,170,670,0.13335,0.18908
2022,Indirect migration background,male,No,0.35289,500,670,0.31668,0.38910
2022,Indirect migration background,female,Yes,0.13128,161,781,0.10758,0.15497
2022,Indirect migration background,female,No,0.43414,620,781,0.39935,0.46892
