year,regtyp,sex,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,Urban regions,female,No,0.58909,5336,6928,0.57751,0.60068
2012,Rural regions,male,Yes,0.25348,1097,3515,0.23910,0.26787
2012,Rural regions,male,No,0.51764,2418,3515,0.50112,0.53417
2012,Rural regions,female,Yes,0.17390,890,3876,0.16197,0.18584
2012,Rural regions,female,No,0.59667,2986,3876,0.58122,0.61211
2014,Urban regions,male,Yes,0.24639,2420,8062,0.23698,0.25580
2014,Urban regions,male,No,0.58556,5642,8062,0.57481,0.59632
2014,Urban regions,female,Yes,0.19228,2273,9573,0.18439,0.20018
2014,Urban regions,female,No,0.64899,7300,9573,0.63943,0.65856
2014,Rural regions,male,Yes,0.27857,1428,4355,0.26525,0.29189
2014,Rural regions,male,No,0.56543,2927,4355,0.55071,0.58015
2014,Rural regions,female,Yes,0.20448,1286,5041,0.19335,0.21562
2014,Rural regions,female,No,0.65067,3755,5041,0.63751,0.66383
2016,Urban regions,male,Yes,0.22989,2002,7130,0.22012,0.23966
2016,Urban regions,male,No,0.59211,5128,7130,0.58070,0.60352
2016,Urban regions,female,Yes,0.18623,1957,8539,0.17797,0.19449
2016,Urban regions,female,No,0.65303,6582,8539,0.64294,0.66313
2016,Rural regions,male,Yes,0.26018,1233,3909,0.24643,0.27394
2016,Rural regions,male,No,0.56993,2676,3909,0.55441,0.58545
2016,Rural regions,female,Yes,0.18695,1100,4544,0.17561,0.19829
2016,Rural regions,female,No,0.65961,3444,4544,0.64583,0.67339
2018,Urban regions,male,Yes,0.21963,2012,7606,0.21032,0.22893
2018,Urban regions,male,No,0.60376,5594,7606,0.59276,0.61475
2018,Urban regions,female,Yes,0.18341,2068,9009,0.17541,0.19140
2018,Urban regions,female,No,0.65704,6941,9009,0.64724,0.66685
2018,Rural regions,male,Yes,0.24661,1251,4136,0.23347,0.25975
2018,Rural regions,male,No,0.57528,2885,4136,0.56021,0.59035
2018,Rural regions,female,Yes,0.19208,1146,4780,0.18091,0.20325
2018,Rural regions,female,No,0.65806,3634,4780,0.64462,0.67151
2020,Urban regions,male,Yes,0.19889,2549,9369,0.19081,0.20697
2020,Urban regions,male,No,0.62440,6820,9369,0.61459,0.63420
2020,Urban regions,female,Yes,0.17162,1971,9671,0.16410,0.17913
2020,Urban regions,female,No,0.66998,7700,9671,0.66061,0.67935
2020,Rural regions,male,Yes,0.23482,1399,4576,0.22253,0.24710
2020,Rural regions,male,No,0.59476,3177,4576,0.58053,0.60898
2020,Rural regions,female,Yes,0.18693,1042,4757,0.17585,0.19801
2020,Rural regions,female,No,0.64683,3715,4757,0.63324,0.66041
2022,Urban regions,male,Yes,0.17470,1792,8573,0.16667,0.18274
2022,Urban regions,male,No,0.63039,6781,8573,0.62017,0.64061
2022,Urban regions,female,Yes,0.15640,1579,9108,0.14894,0.16386
2022,Urban regions,female,No,0.66878,7529,9108,0.65911,0.67845
2022,Rural regions,male,Yes,0.20490,1005,3982,0.19236,0.21744
2022,Rural regions,male,No,0.61621,2977,3982,0.60110,0.63132
2022,Rural regions,female,Yes,0.16205,894,4423,0.15119,0.17291
2022,Rural regions,female,No,0.67528,3529,4423,0.66148,0.68908
