year,regtyp,sampreg,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2010,Urban regions,West,No,0.72317,7038,9509,0.71417,0.73216
2010,Urban regions,East,Yes,0.26707,347,1400,0.24388,0.29025
2010,Urban regions,East,No,0.73293,1053,1400,0.70975,0.75612
2010,Rural regions,West,Yes,0.27003,776,2994,0.25412,0.28593
2010,Rural regions,West,No,0.72997,2218,2994,0.71407,0.74588
2010,Rural regions,East,Yes,0.26257,743,2718,0.24603,0.27912
2010,Rural regions,East,No,0.73743,1975,2718,0.72088,0.75397
2012,Urban regions,West,Yes,0.26121,2861,11428,0.25315,0.26926
2012,Urban regions,West,No,0.73879,8567,11428,0.73074,0.74685
2012,Urban regions,East,Yes,0.27112,416,1603,0.24935,0.29289
2012,Urban regions,East,No,0.72888,1187,1603,0.70711,0.75065
2012,Rural regions,West,Yes,0.27320,1071,4169,0.25967,0.28673
2012,Rural regions,West,No,0.72680,3098,4169,0.71327,0.74033
2012,Rural regions,East,Yes,0.28197,916,3222,0.26643,0.29751
2012,Rural regions,East,No,0.71803,2306,3222,0.70249,0.73357
2014,Urban regions,West,Yes,0.26015,4170,15706,0.25328,0.26701
2014,Urban regions,West,No,0.73985,11536,15706,0.73299,0.74672
2014,Urban regions,East,Yes,0.27278,523,1929,0.25290,0.29266
2014,Urban regions,East,No,0.72722,1406,1929,0.70734,0.74710
2014,Rural regions,West,Yes,0.27446,1617,5760,0.26294,0.28599
2014,Rural regions,West,No,0.72554,4143,5760,0.71401,0.73706
2014,Rural regions,East,Yes,0.30211,1097,3636,0.28718,0.31704
2014,Rural regions,East,No,0.69789,2539,3636,0.68296,0.71282
2016,Urban regions,West,Yes,0.24858,3480,13912,0.24140,0.25576
2016,Urban regions,West,No,0.75142,10432,13912,0.74424,0.75860
2016,Urban regions,East,Yes,0.26515,479,1757,0.24450,0.28580
2016,Urban regions,East,No,0.73485,1278,1757,0.71420,0.75550
2016,Rural regions,West,Yes,0.25067,1398,5198,0.23888,0.26245
2016,Rural regions,West,No,0.74933,3800,5198,0.73755,0.76112
2016,Rural regions,East,Yes,0.29517,935,3255,0.27950,0.31084
2016,Rural regions,East,No,0.70483,2320,3255,0.68916,0.72050
2018,Urban regions,West,Yes,0.24235,3571,14693,0.23542,0.24928
2018,Urban regions,West,No,0.75765,11122,14693,0.75072,0.76458
2018,Urban regions,East,Yes,0.23787,509,1922,0.21883,0.25691
2018,Urban regions,East,No,0.76213,1413,1922,0.74309,0.78117
2018,Rural regions,West,Yes,0.24903,1358,5362,0.23745,0.26060
2018,Rural regions,West,No,0.75097,4004,5362,0.73940,0.76255
2018,Rural regions,East,Yes,0.28685,1039,3554,0.27198,0.30172
2018,Rural regions,East,No,0.71315,2515,3554,0.69828,0.72802
2020,Urban regions,West,Yes,0.22056,3977,16940,0.21431,0.22680
2020,Urban regions,West,No,0.77944,12963,16940,0.77320,0.78569
2020,Urban regions,East,Yes,0.24024,545,2107,0.22200,0.25849
2020,Urban regions,East,No,0.75976,1562,2107,0.74151,0.77800
2020,Rural regions,West,Yes,0.24074,1445,5732,0.22967,0.25181
2020,Rural regions,West,No,0.75926,4287,5732,0.74819,0.77033
2020,Rural regions,East,Yes,0.27771,996,3601,0.26308,0.29234
2020,Rural regions,East,No,0.72229,2605,3601,0.70766,0.73692
2022,Urban regions,West,Yes,0.20193,2921,15551,0.19562,0.20824
2022,Urban regions,West,No,0.79807,12630,15551,0.79176,0.80438
2022,Urban regions,East,Yes,0.21493,455,2147,0.19755,0.23231
2022,Urban regions,East,No,0.78507,1692,2147,0.76769,0.80245
2022,Rural regions,West,Yes,0.21700,1055,4961,0.20552,0.22847
2022,Rural regions,West,No,0.78300,3906,4961,0.77153,0.79448
2022,Rural regions,East,Yes,0.22842,844,3446,0.21440,0.24244
2022,Rural regions,East,No,0.77158,2602,3446,0.75756,0.78560
