,Unnamed: 0,year,bula_h,hhtyp,hgroom,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
72,72,1985,Hesse,Couple without children,2 rooms,0.31956,34,3349,0.24937,0.3984
73,73,1985,Hesse,Couple without children,3 rooms,0.68044,56,3349,0.6029,0.74003
74,74,1985,Hesse,Couple with children,3 rooms,0.35793,88,3349,0.28086,0.42137
75,75,1985,Hesse,Couple with children,4 rooms,0.41855,66,3349,0.35852,0.48887
76,76,1985,Hesse,Couple with children,5 rooms,0.22353,32,3349,0.18714,0.26685
77,77,1985,"Rhineland-Palatinate, Saarland",Couple with children,3 rooms,0.48455,35,3349,0.39548,0.54963
78,78,1985,"Rhineland-Palatinate, Saarland",Couple with children,4 rooms,0.51545,31,3349,0.44669,0.57468
79,79,1985,Baden-Wuerttemberg,Single-person household,1 room,0.15682,34,3349,0.12167,0.19085
80,80,1985,Baden-Wuerttemberg,Single-person household,2 rooms,0.41479,63,3349,0.3692,0.45962
81,81,1985,Baden-Wuerttemberg,Single-person household,3 rooms,0.42839,63,3349,0.39555,0.47187
82,82,1985,Baden-Wuerttemberg,Couple without children,2 rooms,0.21272,39,3349,0.16711,0.25946
83,83,1985,Baden-Wuerttemberg,Couple without children,3 rooms,0.49162,71,3349,0.44033,0.54688
84,84,1985,Baden-Wuerttemberg,Couple without children,4 rooms,0.29566,36,3349,0.26997,0.32219
85,85,1985,Baden-Wuerttemberg,Couple with children,3 rooms,0.28705,185,3349,0.24494,0.32295
86,86,1985,Baden-Wuerttemberg,Couple with children,4 rooms,0.3057,124,3349,0.27587,0.34092
87,87,1985,Baden-Wuerttemberg,Couple with children,5 rooms,0.24322,82,3349,0.21674,0.26778
88,88,1985,Baden-Wuerttemberg,Couple with children,6 rooms,0.16403,48,3349,0.1525,0.17567
89,89,1985,Bavaria,Single-person household,1 room,0.23713,38,3349,0.20826,0.26551
90,90,1985,Bavaria,Single-person household,2 rooms,0.31075,48,3349,0.27972,0.34851
91,91,1985,Bavaria,Single-person household,3 rooms,0.45212,61,3349,0.40806,0.48799
92,92,1985,Bavaria,Couple without children,2 rooms,0.22057,48,3349,0.19087,0.25352
93,93,1985,Bavaria,Couple without children,3 rooms,0.46446,81,3349,0.43101,0.49422
94,94,1985,Bavaria,Couple without children,4 rooms,0.31497,54,3349,0.29062,0.33703
95,95,1985,Bavaria,Couple with children,3 rooms,0.34965,132,3349,0.3157,0.38512
96,96,1985,Bavaria,Couple with children,4 rooms,0.38503,125,3349,0.34906,0.41418
97,97,1985,Bavaria,Couple with children,5 rooms,0.26532,74,3349,0.24933,0.28073
98,98,1985,Berlin,Single-person household,2 rooms,1.0,38,3349,0.92175,1.07221
99,99,1986,Lower Saxony,Single-person household,2 rooms,1.0,38,3078,0.87858,1.10514
100,100,1986,Lower Saxony,Couple without children,3 rooms,1.0,61,3078,0.86164,1.11297
101,101,1986,Lower Saxony,Couple with children,3 rooms,0.27786,49,3078,0.22993,0.32636
102,102,1986,Lower Saxony,Couple with children,4 rooms,0.42651,59,3078,0.38452,0.4608
103,103,1986,Lower Saxony,Couple with children,5 rooms,0.29563,40,3078,0.27299,0.31547
104,104,1986,North Rhine-Westphalia,Single-person household,1 room,0.19132,62,3078,0.16862,0.21169
105,105,1986,North Rhine-Westphalia,Single-person household,2 rooms,0.5246,133,3078,0.49283,0.56095
106,106,1986,North Rhine-Westphalia,Single-person household,3 rooms,0.28407,64,3078,0.2636,0.30243
107,107,1986,North Rhine-Westphalia,Couple without children,2 rooms,0.27145,85,3078,0.23908,0.3021
108,108,1986,North Rhine-Westphalia,Couple without children,3 rooms,0.51733,149,3078,0.48522,0.55456
109,109,1986,North Rhine-Westphalia,Couple without children,4 rooms,0.21121,59,3078,0.19426,0.22651
110,110,1986,North Rhine-Westphalia,Couple with children,2 rooms,0.04796,43,3078,0.03477,0.05835
111,111,1986,North Rhine-Westphalia,Couple with children,3 rooms,0.32684,221,3078,0.30051,0.36118
112,112,1986,North Rhine-Westphalia,Couple with children,4 rooms,0.3275,177,3078,0.30458,0.35014
113,113,1986,North Rhine-Westphalia,Couple with children,5 rooms,0.18638,92,3078,0.16854,0.20262
114,114,1986,North Rhine-Westphalia,Couple with children,6 rooms,0.11133,51,3078,0.10118,0.1211
115,115,1986,Hesse,Single-person household,2 rooms,1.0,35,3078,0.86519,1.12425
116,116,1986,Hesse,Couple without children,2 rooms,0.32744,32,3078,0.24073,0.39308
117,117,1986,Hesse,Couple without children,3 rooms,0.67256,46,3078,0.60741,0.7413
118,118,1986,Hesse,Couple with children,3 rooms,0.48954,87,3078,0.38949,0.57817
119,119,1986,Hesse,Couple with children,4 rooms,0.51046,58,3078,0.42599,0.58411
120,120,1986,"Rhineland-Palatinate, Saarland",Couple with children,3 rooms,0.46268,32,3078,0.37641,0.54633
121,121,1986,"Rhineland-Palatinate, Saarland",Couple with children,4 rooms,0.53732,32,3078,0.44799,0.61901
122,122,1986,Baden-Wuerttemberg,Single-person household,1 room,0.17983,32,3078,0.13862,0.22284
123,123,1986,Baden-Wuerttemberg,Single-person household,2 rooms,0.39075,53,3078,0.32429,0.4448
124,124,1986,Baden-Wuerttemberg,Single-person household,3 rooms,0.42942,50,3078,0.39302,0.46714
125,125,1986,Baden-Wuerttemberg,Couple without children,2 rooms,0.22114,42,3078,0.17266,0.26495
126,126,1986,Baden-Wuerttemberg,Couple without children,3 rooms,0.47075,70,3078,0.41989,0.52782
127,127,1986,Baden-Wuerttemberg,Couple without children,4 rooms,0.30812,43,3078,0.27427,0.34504
128,128,1986,Baden-Wuerttemberg,Couple with children,2 rooms,0.03262,31,3078,0.02171,0.04576
129,129,1986,Baden-Wuerttemberg,Couple with children,3 rooms,0.3074,177,3078,0.26713,0.35302
130,130,1986,Baden-Wuerttemberg,Couple with children,4 rooms,0.2754,115,3078,0.24025,0.30702
131,131,1986,Baden-Wuerttemberg,Couple with children,5 rooms,0.22638,75,3078,0.20505,0.25007
132,132,1986,Baden-Wuerttemberg,Couple with children,6 rooms,0.1582,46,3078,0.14361,0.17465
133,133,1986,Bavaria,Single-person household,1 room,0.24563,40,3078,0.21619,0.27683
134,134,1986,Bavaria,Single-person household,2 rooms,0.33054,46,3078,0.29844,0.36212
135,135,1986,Bavaria,Single-person household,3 rooms,0.42383,57,3078,0.3874,0.45512
136,136,1986,Bavaria,Couple without children,2 rooms,0.23275,43,3078,0.20245,0.27009
137,137,1986,Bavaria,Couple without children,3 rooms,0.457,71,3078,0.42372,0.49393
138,138,1986,Bavaria,Couple without children,4 rooms,0.31026,49,3078,0.28313,0.33971
139,139,1986,Bavaria,Couple with children,3 rooms,0.38641,130,3078,0.35644,0.42575
140,140,1986,Bavaria,Couple with children,4 rooms,0.37425,105,3078,0.34354,0.4045
141,141,1986,Bavaria,Couple with children,5 rooms,0.23934,63,3078,0.2232,0.25572
142,142,1986,Berlin,Single-person household,2 rooms,1.0,35,3078,0.90763,1.09502
143,143,1987,Lower Saxony,Single-person household,2 rooms,0.54873,41,3031,0.48835,0.61208
144,144,1987,Lower Saxony,Single-person household,3 rooms,0.45127,32,3031,0.40539,0.49309
145,145,1987,Lower Saxony,Couple without children,3 rooms,0.59342,53,3031,0.51806,0.65869
146,146,1987,Lower Saxony,Couple without children,4 rooms,0.40658,33,3031,0.3793,0.4315
147,147,1987,Lower Saxony,Couple with children,3 rooms,0.35139,58,3031,0.29888,0.40806
148,148,1987,Lower Saxony,Couple with children,4 rooms,0.33868,51,3031,0.30061,0.37945
149,149,1987,Lower Saxony,Couple with children,5 rooms,0.30993,43,3031,0.2843,0.33645
150,150,1987,North Rhine-Westphalia,Single-person household,1 room,0.1773,55,3031,0.1506,0.2011
151,151,1987,North Rhine-Westphalia,Single-person household,2 rooms,0.52897,136,3031,0.50259,0.55743
152,152,1987,North Rhine-Westphalia,Single-person household,3 rooms,0.29373,71,3031,0.26785,0.3157
153,153,1987,North Rhine-Westphalia,Couple without children,2 rooms,0.27137,80,3031,0.24031,0.29923
154,154,1987,North Rhine-Westphalia,Couple without children,3 rooms,0.5105,137,3031,0.47909,0.54674
155,155,1987,North Rhine-Westphalia,Couple without children,4 rooms,0.21814,56,3031,0.19689,0.23905
156,156,1987,North Rhine-Westphalia,Couple with children,2 rooms,0.0389,37,3031,0.02923,0.05126
157,157,1987,North Rhine-Westphalia,Couple with children,3 rooms,0.33066,215,3031,0.30173,0.36561
158,158,1987,North Rhine-Westphalia,Couple with children,4 rooms,0.31688,166,3031,0.28804,0.34119
159,159,1987,North Rhine-Westphalia,Couple with children,5 rooms,0.21305,105,3031,0.19704,0.23016
160,160,1987,North Rhine-Westphalia,Couple with children,6 rooms,0.10051,46,3031,0.08995,0.10998
161,161,1987,Hesse,Single-person household,2 rooms,1.0,36,3031,0.87782,1.1118
162,162,1987,Hesse,Couple without children,3 rooms,1.0,45,3031,0.85786,1.09275
163,163,1987,Hesse,Couple with children,3 rooms,0.36562,82,3031,0.28999,0.44265
164,164,1987,Hesse,Couple with children,4 rooms,0.39691,62,3031,0.33543,0.44937
165,165,1987,Hesse,Couple with children,5 rooms,0.23747,31,3031,0.18303,0.27876
166,166,1987,"Rhineland-Palatinate, Saarland",Couple with children,3 rooms,1.0,31,3031,0.692,1.24512
167,167,1987,Baden-Wuerttemberg,Single-person household,2 rooms,0.50137,59,3031,0.42163,0.563
168,168,1987,Baden-Wuerttemberg,Single-person household,3 rooms,0.49863,49,3031,0.44364,0.55199
169,169,1987,Baden-Wuerttemberg,Couple without children,2 rooms,0.16694,34,3031,0.12256,0.21714
170,170,1987,Baden-Wuerttemberg,Couple without children,3 rooms,0.51517,79,3031,0.46082,0.58406
171,171,1987,Baden-Wuerttemberg,Couple without children,4 rooms,0.31788,40,3031,0.28947,0.35095
172,172,1987,Baden-Wuerttemberg,Couple with children,2 rooms,0.04357,35,3031,0.02795,0.05913
173,173,1987,Baden-Wuerttemberg,Couple with children,3 rooms,0.3032,175,3031,0.2705,0.34287
174,174,1987,Baden-Wuerttemberg,Couple with children,4 rooms,0.28777,116,3031,0.24933,0.31653
175,175,1987,Baden-Wuerttemberg,Couple with children,5 rooms,0.22323,69,3031,0.19808,0.24961
176,176,1987,Baden-Wuerttemberg,Couple with children,6 rooms,0.14223,41,3031,0.12847,0.15514
177,177,1987,Bavaria,Single-person household,1 room,0.28322,48,3031,0.24753,0.31209
178,178,1987,Bavaria,Single-person household,2 rooms,0.31702,45,3031,0.29043,0.34448
179,179,1987,Bavaria,Single-person household,3 rooms,0.39976,56,3031,0.36403,0.42854
180,180,1987,Bavaria,Couple without children,2 rooms,0.26632,49,3031,0.22404,0.30662
181,181,1987,Bavaria,Couple without children,3 rooms,0.43967,64,3031,0.39637,0.47545
182,182,1987,Bavaria,Couple without children,4 rooms,0.29402,45,3031,0.26078,0.32048
183,183,1987,Bavaria,Couple with children,3 rooms,0.3729,121,3031,0.33119,0.41287
184,184,1987,Bavaria,Couple with children,4 rooms,0.38714,108,3031,0.35163,0.41532
185,185,1987,Bavaria,Couple with children,5 rooms,0.23996,60,3031,0.22859,0.25636
186,186,1987,Berlin,Single-person household,2 rooms,1.0,36,3031,0.888,1.09768
187,187,1988,Lower Saxony,Single-person household,2 rooms,0.53024,37,2912,0.47854,0.60111
188,188,1988,Lower Saxony,Single-person household,3 rooms,0.46976,31,2912,0.42025,0.52205
189,189,1988,Lower Saxony,Couple without children,3 rooms,1.0,54,2912,0.84869,1.14949
190,190,1988,Lower Saxony,Couple with children,3 rooms,0.3743,55,2912,0.30782,0.43144
191,191,1988,Lower Saxony,Couple with children,4 rooms,0.34994,50,2912,0.30666,0.381
192,192,1988,Lower Saxony,Couple with children,5 rooms,0.27577,36,2912,0.25543,0.29944
193,193,1988,North Rhine-Westphalia,Single-person household,1 room,0.17784,50,2912,0.15198,0.20199
194,194,1988,North Rhine-Westphalia,Single-person household,2 rooms,0.51604,120,2912,0.48385,0.54326
195,195,1988,North Rhine-Westphalia,Single-person household,3 rooms,0.30612,70,2912,0.2822,0.33457
196,196,1988,North Rhine-Westphalia,Couple without children,2 rooms,0.30002,88,2912,0.26181,0.33402
197,197,1988,North Rhine-Westphalia,Couple without children,3 rooms,0.5128,134,2912,0.47359,0.54782
198,198,1988,North Rhine-Westphalia,Couple without children,4 rooms,0.18718,49,2912,0.16778,0.20698
199,199,1988,North Rhine-Westphalia,Single parent,3 rooms,1.0,31,2912,0.85133,1.15661
200,200,1988,North Rhine-Westphalia,Couple with children,2 rooms,0.0431,35,2912,0.02855,0.05778
201,201,1988,North Rhine-Westphalia,Couple with children,3 rooms,0.33217,211,2912,0.30258,0.3703
202,202,1988,North Rhine-Westphalia,Couple with children,4 rooms,0.32059,160,2912,0.2932,0.35102
203,203,1988,North Rhine-Westphalia,Couple with children,5 rooms,0.19753,90,2912,0.1807,0.21561
204,204,1988,North Rhine-Westphalia,Couple with children,6 rooms,0.10661,48,2912,0.09646,0.11811
205,205,1988,Hesse,Single-person household,2 rooms,1.0,33,2912,0.87166,1.14615
206,206,1988,Hesse,Couple without children,3 rooms,1.0,41,2912,0.86799,1.15084
207,207,1988,Hesse,Couple with children,3 rooms,0.4554,76,2912,0.35341,0.53408
208,208,1988,Hesse,Couple with children,4 rooms,0.5446,62,2912,0.45658,0.63705
209,209,1988,"Rhineland-Palatinate, Saarland",Couple without children,3 rooms,1.0,32,2912,0.88589,1.14069
210,210,1988,"Rhineland-Palatinate, Saarland",Couple with children,4 rooms,1.0,31,2912,0.82643,1.16843
211,211,1988,Baden-Wuerttemberg,Single-person household,2 rooms,0.44746,55,2912,0.37844,0.50592
212,212,1988,Baden-Wuerttemberg,Single-person household,3 rooms,0.55254,55,2912,0.49104,0.60656
213,213,1988,Baden-Wuerttemberg,Couple without children,2 rooms,0.17281,41,2912,0.13511,0.21671
214,214,1988,Baden-Wuerttemberg,Couple without children,3 rooms,0.48444,77,2912,0.4188,0.55158
215,215,1988,Baden-Wuerttemberg,Couple without children,4 rooms,0.34275,40,2912,0.30269,0.37727
216,216,1988,Baden-Wuerttemberg,Couple with children,3 rooms,0.311,160,2912,0.26529,0.35925
217,217,1988,Baden-Wuerttemberg,Couple with children,4 rooms,0.27903,109,2912,0.244,0.31636
218,218,1988,Baden-Wuerttemberg,Couple with children,5 rooms,0.24792,72,2912,0.22223,0.27391
219,219,1988,Baden-Wuerttemberg,Couple with children,6 rooms,0.16206,43,2912,0.14313,0.17966
220,220,1988,Bavaria,Single-person household,1 room,0.25647,42,2912,0.21953,0.28753
221,221,1988,Bavaria,Single-person household,2 rooms,0.3195,47,2912,0.28916,0.35385
222,222,1988,Bavaria,Single-person household,3 rooms,0.42403,60,2912,0.38831,0.45194
223,223,1988,Bavaria,Couple without children,2 rooms,0.23578,41,2912,0.19045,0.27876
224,224,1988,Bavaria,Couple without children,3 rooms,0.48116,62,2912,0.44096,0.52266
225,225,1988,Bavaria,Couple without children,4 rooms,0.28305,38,2912,0.2555,0.31446
226,226,1988,Bavaria,Couple with children,3 rooms,0.32651,121,2912,0.28347,0.36393
227,227,1988,Bavaria,Couple with children,4 rooms,0.33107,100,2912,0.29972,0.36033
228,228,1988,Bavaria,Couple with children,5 rooms,0.21518,55,2912,0.19629,0.23316
229,229,1988,Bavaria,Couple with children,6 rooms,0.12724,33,2912,0.11452,0.13839
230,230,1988,Berlin,Single-person household,2 rooms,1.0,37,2912,0.89404,1.08819
231,231,1989,Lower Saxony,Single-person household,2 rooms,1.0,40,2766,0.89819,1.1025
232,232,1989,Lower Saxony,Couple without children,3 rooms,0.58738,57,2766,0.51275,0.6668
233,233,1989,Lower Saxony,Couple without children,4 rooms,0.41262,32,2766,0.36848,0.46019
234,234,1989,Lower Saxony,Couple with children,3 rooms,0.31307,49,2766,0.26208,0.38517
235,235,1989,Lower Saxony,Couple with children,4 rooms,0.41063,52,2766,0.3566,0.46437
236,236,1989,Lower Saxony,Couple with children,5 rooms,0.2763,33,2766,0.24714,0.30965
237,237,1989,North Rhine-Westphalia,Single-person household,1 room,0.1648,44,2766,0.13783,0.1934
238,238,1989,North Rhine-Westphalia,Single-person household,2 rooms,0.52912,121,2766,0.49634,0.56252
239,239,1989,North Rhine-Westphalia,Single-person household,3 rooms,0.30607,65,2766,0.28946,0.32851
240,240,1989,North Rhine-Westphalia,Couple without children,2 rooms,0.32015,88,2766,0.28336,0.35503
241,241,1989,North Rhine-Westphalia,Couple without children,3 rooms,0.49689,126,2766,0.46334,0.54078
242,242,1989,North Rhine-Westphalia,Couple without children,4 rooms,0.18296,49,2766,0.16144,0.20337
243,243,1989,North Rhine-Westphalia,Couple with children,2 rooms,0.0399,34,2766,0.03101,0.0497
244,244,1989,North Rhine-Westphalia,Couple with children,3 rooms,0.32555,197,2766,0.29035,0.35567
245,245,1989,North Rhine-Westphalia,Couple with children,4 rooms,0.32988,156,2766,0.3048,0.35349
246,246,1989,North Rhine-Westphalia,Couple with children,5 rooms,0.19232,86,2766,0.1733,0.20981
247,247,1989,North Rhine-Westphalia,Couple with children,6 rooms,0.11235,49,2766,0.10137,0.12335
248,248,1989,Hesse,Single-person household,2 rooms,1.0,35,2766,0.82504,1.16206
249,249,1989,Hesse,Couple without children,2 rooms,0.33152,32,2766,0.25634,0.41604
250,250,1989,Hesse,Couple without children,3 rooms,0.66848,42,2766,0.58205,0.75981
251,251,1989,Hesse,Couple with children,3 rooms,0.45019,78,2766,0.37895,0.54026
252,252,1989,Hesse,Couple with children,4 rooms,0.54981,61,2766,0.45589,0.64814
253,253,1989,"Rhineland-Palatinate, Saarland",Couple with children,4 rooms,1.0,31,2766,0.84162,1.14805
254,254,1989,Baden-Wuerttemberg,Single-person household,2 rooms,0.46534,56,2766,0.38624,0.53119
255,255,1989,Baden-Wuerttemberg,Single-person household,3 rooms,0.53466,48,2766,0.46945,0.59192
256,256,1989,Baden-Wuerttemberg,Couple without children,3 rooms,0.5895,73,2766,0.50622,0.66963
257,257,1989,Baden-Wuerttemberg,Couple without children,4 rooms,0.4105,41,2766,0.35766,0.45865
258,258,1989,Baden-Wuerttemberg,Couple with children,3 rooms,0.29209,151,2766,0.24909,0.35094
259,259,1989,Baden-Wuerttemberg,Couple with children,4 rooms,0.30966,108,2766,0.26789,0.35246
260,260,1989,Baden-Wuerttemberg,Couple with children,5 rooms,0.25975,68,2766,0.23142,0.2884
261,261,1989,Baden-Wuerttemberg,Couple with children,6 rooms,0.1385,37,2766,0.12227,0.15435
262,262,1989,Bavaria,Single-person household,1 room,0.20363,36,2766,0.17253,0.23274
263,263,1989,Bavaria,Single-person household,2 rooms,0.34928,52,2766,0.31379,0.38008
264,264,1989,Bavaria,Single-person household,3 rooms,0.44709,63,2766,0.41387,0.47639
265,265,1989,Bavaria,Couple without children,2 rooms,0.24978,42,2766,0.21132,0.30029
266,266,1989,Bavaria,Couple without children,3 rooms,0.46964,63,2766,0.41957,0.51605
267,267,1989,Bavaria,Couple without children,4 rooms,0.28058,41,2766,0.24117,0.31356
268,268,1989,Bavaria,Couple with children,3 rooms,0.31376,112,2766,0.27045,0.35299
269,269,1989,Bavaria,Couple with children,4 rooms,0.32704,91,2766,0.30138,0.35727
270,270,1989,Bavaria,Couple with children,5 rooms,0.2261,55,2766,0.20909,0.24899
271,271,1989,Bavaria,Couple with children,6 rooms,0.1331,32,2766,0.12011,0.14605
272,272,1989,Berlin,Single-person household,2 rooms,1.0,40,2766,0.90077,1.08832
273,273,1990,Lower Saxony,Single-person household,2 rooms,0.5292,40,3990,0.46455,0.58839
274,274,1990,Lower Saxony,Single-person household,3 rooms,0.4708,35,3990,0.40974,0.52598
275,275,1990,Lower Saxony,Couple without children,3 rooms,0.55256,57,3990,0.4684,0.62305
276,276,1990,Lower Saxony,Couple without children,4 rooms,0.44744,34,3990,0.40608,0.49443
277,277,1990,Lower Saxony,Couple with children,3 rooms,0.49793,54,3990,0.41608,0.58764
278,278,1990,Lower Saxony,Couple with children,4 rooms,0.50207,45,3990,0.43931,0.57739
279,279,1990,North Rhine-Westphalia,Single-person household,1 room,0.15066,39,3990,0.12405,0.1827
280,280,1990,North Rhine-Westphalia,Single-person household,2 rooms,0.53636,118,3990,0.50088,0.57204
281,281,1990,North Rhine-Westphalia,Single-person household,3 rooms,0.31297,66,3990,0.2918,0.33388
282,282,1990,North Rhine-Westphalia,Couple without children,2 rooms,0.31971,90,3990,0.27594,0.3658
283,283,1990,North Rhine-Westphalia,Couple without children,3 rooms,0.50369,131,3990,0.46385,0.53949
284,284,1990,North Rhine-Westphalia,Couple without children,4 rooms,0.1766,50,3990,0.15509,0.19757
285,285,1990,North Rhine-Westphalia,Couple with children,3 rooms,0.36166,201,3990,0.32149,0.39699
