year,hhtyp,regtyp,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Single-person household,Urban regions,4 rooms,0.06966,62,876,0.05279,0.08653
1986,Single-person household,Rural regions,2 rooms,0.26906,47,107,0.18463,0.35348
1986,Single-person household,Rural regions,3 rooms,0.39147,60,107,0.29855,0.48439
1986,Couple without children,Urban regions,2 rooms,0.23187,253,937,0.20483,0.25891
1986,Couple without children,Urban regions,3 rooms,0.42995,402,937,0.39823,0.46167
1986,Couple without children,Urban regions,4 rooms,0.19868,185,937,0.17312,0.22424
1986,Couple without children,Urban regions,5 rooms,0.07538,66,937,0.05846,0.09229
1986,Couple without children,Urban regions,6 rooms,0.03433,31,937,0.02267,0.04600
1986,Couple without children,Rural regions,2 rooms,0.14397,38,179,0.09239,0.19554
1986,Couple without children,Rural regions,3 rooms,0.31410,77,179,0.24591,0.38229
1986,Couple without children,Rural regions,4 rooms,0.29072,64,179,0.22401,0.35743
1986,Single parent,Urban regions,2 rooms,0.10073,32,163,0.05438,0.14708
1986,Single parent,Urban regions,3 rooms,0.40246,90,163,0.32695,0.47798
1986,Single parent,Urban regions,4 rooms,0.21234,41,163,0.14936,0.27532
1986,Couple with children,Urban regions,2 rooms,0.04255,135,1700,0.03295,0.05215
1986,Couple with children,Urban regions,3 rooms,0.31264,659,1700,0.29060,0.33468
1986,Couple with children,Urban regions,4 rooms,0.28678,467,1700,0.26527,0.30829
1986,Couple with children,Urban regions,5 rooms,0.17398,254,1700,0.15595,0.19201
1986,Couple with children,Urban regions,6 rooms,0.10475,136,1700,0.09019,0.11931
1986,Couple with children,Urban regions,7 rooms,0.03805,49,1700,0.02895,0.04715
1986,Couple with children,Rural regions,3 rooms,0.21465,121,408,0.17476,0.25454
1986,Couple with children,Rural regions,4 rooms,0.27787,127,408,0.23435,0.32139
1986,Couple with children,Rural regions,5 rooms,0.20569,92,408,0.16642,0.24496
1986,Couple with children,Rural regions,6 rooms,0.15312,68,408,0.11813,0.18811
1986,Other Combinations,Urban regions,3 rooms,0.40465,41,41,0.25254,0.55676
1987,Single-person household,Urban regions,1 room,0.18288,194,878,0.15730,0.20847
1987,Single-person household,Urban regions,2 rooms,0.42703,378,878,0.39430,0.45977
1987,Single-person household,Urban regions,3 rooms,0.27769,236,878,0.24805,0.30733
1987,Single-person household,Urban regions,4 rooms,0.07745,70,878,0.05975,0.09514
1987,Single-person household,Rural regions,2 rooms,0.25969,44,106,0.17582,0.34356
1987,Single-person household,Rural regions,3 rooms,0.40295,62,106,0.30913,0.49677
1987,Couple without children,Urban regions,2 rooms,0.21439,232,914,0.18777,0.24101
1987,Couple without children,Urban regions,3 rooms,0.42339,387,914,0.39134,0.45544
1987,Couple without children,Urban regions,4 rooms,0.20690,183,914,0.18063,0.23318
1987,Couple without children,Urban regions,5 rooms,0.08132,75,914,0.06359,0.09905
1987,Couple without children,Urban regions,6 rooms,0.04199,37,914,0.02898,0.05500
1987,Couple without children,Rural regions,2 rooms,0.14615,41,183,0.09483,0.19748
1987,Couple without children,Rural regions,3 rooms,0.31073,78,183,0.24349,0.37797
1987,Couple without children,Rural regions,4 rooms,0.28383,64,183,0.21833,0.34933
1987,Single parent,Urban regions,3 rooms,0.41452,89,126,0.32815,0.50088
1987,Single parent,Urban regions,4 rooms,0.17468,37,126,0.10812,0.24124
1987,Couple with children,Urban regions,2 rooms,0.04208,132,1673,0.03245,0.05170
1987,Couple with children,Urban regions,3 rooms,0.31259,643,1673,0.29037,0.33481
1987,Couple with children,Urban regions,4 rooms,0.28361,456,1673,0.26201,0.30522
1987,Couple with children,Urban regions,5 rooms,0.18683,263,1673,0.16815,0.20552
1987,Couple with children,Urban regions,6 rooms,0.09260,123,1673,0.07870,0.10649
1987,Couple with children,Urban regions,7 rooms,0.04469,56,1673,0.03479,0.05460
1987,Couple with children,Rural regions,3 rooms,0.21845,116,394,0.17759,0.25930
1987,Couple with children,Rural regions,4 rooms,0.27575,126,394,0.23157,0.31994
1987,Couple with children,Rural regions,5 rooms,0.21855,93,394,0.17769,0.25941
1987,Couple with children,Rural regions,6 rooms,0.13910,59,394,0.10489,0.17332
1987,Other Combinations,Urban regions,3 rooms,0.37550,38,38,0.21946,0.53153
1988,Single-person household,Urban regions,1 room,0.17157,168,830,0.14590,0.19723
1988,Single-person household,Urban regions,2 rooms,0.41522,352,830,0.38167,0.44876
1988,Single-person household,Urban regions,3 rooms,0.29303,243,830,0.26204,0.32401
1988,Single-person household,Urban regions,4 rooms,0.07560,67,830,0.05760,0.09359
1988,Single-person household,Rural regions,2 rooms,0.23779,40,100,0.15392,0.32165
1988,Single-person household,Rural regions,3 rooms,0.39624,60,100,0.29989,0.49259
1988,Couple without children,Urban regions,2 rooms,0.22602,240,900,0.19868,0.25336
1988,Couple without children,Urban regions,3 rooms,0.42189,386,900,0.38961,0.45418
1988,Couple without children,Urban regions,4 rooms,0.19575,171,900,0.16981,0.22168
1988,Couple without children,Urban regions,5 rooms,0.07646,66,900,0.05909,0.09383
1988,Couple without children,Urban regions,6 rooms,0.04417,37,900,0.03074,0.05760
1988,Couple without children,Rural regions,2 rooms,0.14675,44,173,0.09387,0.19964
1988,Couple without children,Rural regions,3 rooms,0.32592,74,173,0.25587,0.39597
1988,Couple without children,Rural regions,4 rooms,0.26582,55,173,0.19980,0.33184
1988,Single parent,Urban regions,2 rooms,0.12250,32,162,0.07186,0.17315
1988,Single parent,Urban regions,3 rooms,0.43088,91,162,0.35439,0.50738
1988,Single parent,Urban regions,4 rooms,0.18696,39,162,0.12674,0.24719
1988,Couple with children,Urban regions,2 rooms,0.03872,111,1620,0.02932,0.04811
1988,Couple with children,Urban regions,3 rooms,0.29850,600,1620,0.27621,0.32079
1988,Couple with children,Urban regions,4 rooms,0.28497,440,1620,0.26299,0.30696
1988,Couple with children,Urban regions,5 rooms,0.18118,243,1620,0.16242,0.19995
1988,Couple with children,Urban regions,6 rooms,0.10634,134,1620,0.09133,0.12136
1988,Couple with children,Urban regions,7 rooms,0.04805,59,1620,0.03763,0.05847
1988,Couple with children,Urban regions,8 rooms,0.02355,33,1620,0.01616,0.03093
1988,Couple with children,Rural regions,3 rooms,0.24461,119,386,0.20167,0.28755
1988,Couple with children,Rural regions,4 rooms,0.26705,122,386,0.22286,0.31124
1988,Couple with children,Rural regions,5 rooms,0.21531,86,386,0.17425,0.25637
1988,Couple with children,Rural regions,6 rooms,0.15504,59,386,0.11888,0.19119
1988,Other Combinations,Urban regions,3 rooms,0.41739,35,35,0.25163,0.58315
1989,Single-person household,Urban regions,1 room,0.15448,151,833,0.12992,0.17904
1989,Single-person household,Urban regions,2 rooms,0.42375,368,833,0.39018,0.45733
1989,Single-person household,Urban regions,3 rooms,0.29567,244,833,0.26466,0.32667
1989,Single-person household,Urban regions,4 rooms,0.08013,70,833,0.06169,0.09858
1989,Single-person household,Rural regions,2 rooms,0.25633,42,97,0.16899,0.34367
1989,Single-person household,Rural regions,3 rooms,0.36838,55,97,0.27189,0.46487
1989,Couple without children,Urban regions,2 rooms,0.22793,238,877,0.20015,0.25571
1989,Couple without children,Urban regions,3 rooms,0.41727,370,877,0.38461,0.44992
1989,Couple without children,Urban regions,4 rooms,0.18774,168,877,0.16188,0.21360
1989,Couple without children,Urban regions,5 rooms,0.07496,65,877,0.05752,0.09240
1989,Couple without children,Urban regions,6 rooms,0.04418,36,877,0.03058,0.05779
1989,Couple without children,Rural regions,2 rooms,0.12889,37,204,0.08279,0.17498
1989,Couple without children,Rural regions,3 rooms,0.31047,76,204,0.24683,0.37412
1989,Couple without children,Rural regions,4 rooms,0.28144,60,204,0.21958,0.34331
1989,Couple without children,Rural regions,5 rooms,0.13474,31,204,0.08777,0.18171
1989,Single parent,Urban regions,3 rooms,0.37381,78,117,0.28576,0.46185
1989,Single parent,Urban regions,4 rooms,0.20387,39,117,0.13055,0.27719
1989,Couple with children,Urban regions,2 rooms,0.03861,107,1527,0.02894,0.04827
1989,Couple with children,Urban regions,3 rooms,0.28477,568,1527,0.26213,0.30742
1989,Couple with children,Urban regions,4 rooms,0.30032,432,1527,0.27732,0.32332
1989,Couple with children,Urban regions,5 rooms,0.17974,229,1527,0.16048,0.19901
1989,Couple with children,Urban regions,6 rooms,0.10664,134,1527,0.09115,0.12213
1989,Couple with children,Urban regions,7 rooms,0.04718,57,1527,0.03655,0.05782
1989,Couple with children,Rural regions,3 rooms,0.21924,105,353,0.17602,0.26246
1989,Couple with children,Rural regions,4 rooms,0.27256,113,353,0.22605,0.31908
1989,Couple with children,Rural regions,5 rooms,0.22343,83,353,0.17992,0.26695
1989,Couple with children,Rural regions,6 rooms,0.14613,52,353,0.10923,0.18303
1989,Other Combinations,Urban regions,3 rooms,0.45165,34,34,0.28185,0.62145
1990,Single-person household,Urban regions,1 room,0.17216,179,912,0.14764,0.19667
1990,Single-person household,Urban regions,2 rooms,0.41942,400,912,0.38738,0.45147
1990,Single-person household,Urban regions,3 rooms,0.29135,263,912,0.26184,0.32085
1990,Single-person household,Urban regions,4 rooms,0.07243,70,912,0.05560,0.08926
1990,Single-person household,Rural regions,1 room,0.10156,41,331,0.06896,0.13415
1990,Single-person household,Rural regions,2 rooms,0.38861,157,331,0.33602,0.44120
1990,Single-person household,Rural regions,3 rooms,0.30917,99,331,0.25930,0.35903
1990,Single-person household,Rural regions,4 rooms,0.10646,34,331,0.07318,0.13974
1990,Couple without children,Urban regions,2 rooms,0.25199,301,1045,0.22566,0.27833
1990,Couple without children,Urban regions,3 rooms,0.40411,438,1045,0.37434,0.43387
1990,Couple without children,Urban regions,4 rooms,0.18957,194,1045,0.16579,0.21334
1990,Couple without children,Urban regions,5 rooms,0.06948,71,1045,0.05405,0.08490
1990,Couple without children,Urban regions,6 rooms,0.04126,41,1045,0.02920,0.05333
1990,Couple without children,Rural regions,2 rooms,0.17170,108,501,0.13865,0.20476
1990,Couple without children,Rural regions,3 rooms,0.37675,232,501,0.33427,0.41922
1990,Couple without children,Rural regions,4 rooms,0.21180,107,501,0.17598,0.24761
1990,Couple without children,Rural regions,5 rooms,0.10973,54,501,0.08233,0.13713
1990,Single parent,Urban regions,2 rooms,0.15456,50,206,0.10508,0.20405
1990,Single parent,Urban regions,3 rooms,0.35450,100,206,0.28901,0.41998
1990,Single parent,Urban regions,4 rooms,0.20986,56,206,0.15412,0.26561
1990,Single parent,Rural regions,3 rooms,0.38047,47,47,0.24017,0.52078
1990,Couple with children,Urban regions,2 rooms,0.04736,144,1850,0.03768,0.05704
1990,Couple with children,Urban regions,3 rooms,0.33337,751,1850,0.31189,0.35486
1990,Couple with children,Urban regions,4 rooms,0.28428,527,1850,0.26372,0.30484
1990,Couple with children,Urban regions,5 rooms,0.15999,236,1850,0.14328,0.17670
1990,Couple with children,Urban regions,6 rooms,0.09909,134,1850,0.08547,0.11271
1990,Couple with children,Urban regions,7 rooms,0.04116,58,1850,0.03210,0.05021
1990,Couple with children,Rural regions,2 rooms,0.05930,79,1099,0.04533,0.07327
1990,Couple with children,Rural regions,3 rooms,0.31335,417,1099,0.28591,0.34079
1990,Couple with children,Rural regions,4 rooms,0.25269,290,1099,0.22699,0.27840
1990,Couple with children,Rural regions,5 rooms,0.19520,181,1099,0.17176,0.21864
1990,Couple with children,Rural regions,6 rooms,0.09651,91,1099,0.07904,0.11398
1990,Couple with children,Rural regions,7 rooms,0.04637,41,1099,0.03394,0.05881
1990,Other Combinations,Urban regions,3 rooms,0.37159,32,32,0.20148,0.54170
1991,Single-person household,Urban regions,1 room,0.14919,156,900,0.12590,0.17248
1991,Single-person household,Urban regions,2 rooms,0.42886,402,900,0.39651,0.46121
1991,Single-person household,Urban regions,3 rooms,0.29761,266,900,0.26772,0.32750
1991,Single-person household,Urban regions,4 rooms,0.07811,76,900,0.06056,0.09565
1991,Single-person household,Rural regions,1 room,0.10589,39,312,0.07169,0.14009
1991,Single-person household,Rural regions,2 rooms,0.38849,140,312,0.33432,0.44266
1991,Single-person household,Rural regions,3 rooms,0.30378,97,312,0.25267,0.35490
1991,Single-person household,Rural regions,4 rooms,0.11780,36,312,0.08197,0.15363
1991,Couple without children,Urban regions,1 room,0.02119,32,1077,0.01258,0.02979
1991,Couple without children,Urban regions,2 rooms,0.23373,281,1077,0.20844,0.25902
1991,Couple without children,Urban regions,3 rooms,0.40295,447,1077,0.37364,0.43226
1991,Couple without children,Urban regions,4 rooms,0.19238,201,1077,0.16883,0.21593
1991,Couple without children,Urban regions,5 rooms,0.07503,74,1077,0.05929,0.09077
1991,Couple without children,Urban regions,6 rooms,0.04263,42,1077,0.03056,0.05471
1991,Couple without children,Rural regions,2 rooms,0.19498,114,517,0.16079,0.22916
1991,Couple without children,Rural regions,3 rooms,0.36082,215,517,0.31939,0.40226
1991,Couple without children,Rural regions,4 rooms,0.20365,101,517,0.16890,0.23840
1991,Couple without children,Rural regions,5 rooms,0.11822,56,517,0.09036,0.14608
1991,Couple without children,Rural regions,6 rooms,0.07055,31,517,0.04845,0.09264
1991,Single parent,Urban regions,2 rooms,0.14065,42,196,0.09186,0.18945
1991,Single parent,Urban regions,3 rooms,0.33899,95,196,0.27255,0.40543
1991,Single parent,Urban regions,4 rooms,0.23437,59,196,0.17491,0.29383
1991,Single parent,Rural regions,3 rooms,0.30308,40,40,0.15884,0.44733
1991,Couple with children,Urban regions,2 rooms,0.05913,160,1815,0.04827,0.06998
1991,Couple with children,Urban regions,3 rooms,0.31493,713,1815,0.29355,0.33630
1991,Couple with children,Urban regions,4 rooms,0.27368,504,1815,0.25317,0.29420
1991,Couple with children,Urban regions,5 rooms,0.16995,244,1815,0.15266,0.18723
1991,Couple with children,Urban regions,6 rooms,0.10403,140,1815,0.08998,0.11808
1991,Couple with children,Urban regions,7 rooms,0.04001,54,1815,0.03099,0.04902
1991,Couple with children,Rural regions,2 rooms,0.05354,65,1066,0.04002,0.06706
1991,Couple with children,Rural regions,3 rooms,0.31832,404,1066,0.29034,0.34630
1991,Couple with children,Rural regions,4 rooms,0.25264,286,1066,0.22654,0.27874
1991,Couple with children,Rural regions,5 rooms,0.18826,179,1066,0.16478,0.21174
1991,Couple with children,Rural regions,6 rooms,0.10573,94,1066,0.08726,0.12419
1991,Couple with children,Rural regions,7 rooms,0.04495,38,1066,0.03251,0.05739
1992,Single-person household,Urban regions,1 room,0.14663,168,893,0.12342,0.16985
1992,Single-person household,Urban regions,2 rooms,0.41942,393,893,0.38703,0.45180
1992,Single-person household,Urban regions,3 rooms,0.29992,261,893,0.26985,0.32999
1992,Single-person household,Urban regions,4 rooms,0.07972,71,893,0.06195,0.09750
1992,Single-person household,Rural regions,1 room,0.09912,34,319,0.06627,0.13196
1992,Single-person household,Rural regions,2 rooms,0.39095,147,319,0.33732,0.44459
1992,Single-person household,Rural regions,3 rooms,0.30867,100,319,0.25789,0.35944
1992,Single-person household,Rural regions,4 rooms,0.12126,38,319,0.08538,0.15714
1992,Couple without children,Urban regions,1 room,0.02055,36,1133,0.01228,0.02881
1992,Couple without children,Urban regions,2 rooms,0.24462,314,1133,0.21958,0.26966
1992,Couple without children,Urban regions,3 rooms,0.38477,449,1133,0.35642,0.41311
1992,Couple without children,Urban regions,4 rooms,0.19590,217,1133,0.17278,0.21902
1992,Couple without children,Urban regions,5 rooms,0.07273,75,1133,0.05760,0.08786
1992,Couple without children,Urban regions,6 rooms,0.04572,42,1133,0.03355,0.05789
1992,Couple without children,Rural regions,2 rooms,0.19224,104,502,0.15773,0.22675
1992,Couple without children,Rural regions,3 rooms,0.36908,206,502,0.32682,0.41133
1992,Couple without children,Rural regions,4 rooms,0.21012,103,502,0.17445,0.24580
1992,Couple without children,Rural regions,5 rooms,0.12464,58,502,0.09571,0.15356
1992,Couple without children,Rural regions,6 rooms,0.06866,31,502,0.04652,0.09080
1992,Single parent,Urban regions,2 rooms,0.18051,52,203,0.12747,0.23355
1992,Single parent,Urban regions,3 rooms,0.34267,99,203,0.27722,0.40812
1992,Single parent,Urban regions,4 rooms,0.19801,52,203,0.14305,0.25296
1992,Single parent,Rural regions,3 rooms,0.31313,43,43,0.17287,0.45339
1992,Couple with children,Urban regions,2 rooms,0.05763,152,1771,0.04677,0.06849
1992,Couple with children,Urban regions,3 rooms,0.30987,692,1771,0.28832,0.33141
1992,Couple with children,Urban regions,4 rooms,0.27676,488,1771,0.25591,0.29760
1992,Couple with children,Urban regions,5 rooms,0.17172,241,1771,0.15415,0.18929
1992,Couple with children,Urban regions,6 rooms,0.10832,143,1771,0.09384,0.12280
1992,Couple with children,Urban regions,7 rooms,0.04090,55,1771,0.03167,0.05013
1992,Couple with children,Rural regions,2 rooms,0.04432,50,1006,0.03159,0.05704
1992,Couple with children,Rural regions,3 rooms,0.31297,375,1006,0.28430,0.34164
1992,Couple with children,Rural regions,4 rooms,0.24860,273,1006,0.22187,0.27532
1992,Couple with children,Rural regions,5 rooms,0.19234,174,1006,0.16797,0.21671
1992,Couple with children,Rural regions,6 rooms,0.10722,94,1006,0.08809,0.12635
1992,Couple with children,Rural regions,7 rooms,0.04605,40,1006,0.03310,0.05901
1992,Other Combinations,Urban regions,3 rooms,0.36922,33,33,0.20201,0.53643
1992,Other Combinations,Rural regions,3 rooms,0.44641,31,31,0.26852,0.62430
1993,Single-person household,Urban regions,1 room,0.15022,163,949,0.12748,0.17297
1993,Single-person household,Urban regions,2 rooms,0.39407,387,949,0.36297,0.42518
1993,Single-person household,Urban regions,3 rooms,0.31033,287,949,0.28088,0.33978
1993,Single-person household,Urban regions,4 rooms,0.08757,79,949,0.06958,0.10557
1993,Single-person household,Urban regions,5 rooms,0.03226,33,949,0.02101,0.04351
1993,Single-person household,Rural regions,1 room,0.10828,46,356,0.07596,0.14061
1993,Single-person household,Rural regions,2 rooms,0.37691,154,356,0.32649,0.42732
1993,Single-person household,Rural regions,3 rooms,0.30399,110,356,0.25614,0.35184
1993,Single-person household,Rural regions,4 rooms,0.12491,46,356,0.09052,0.15930
1993,Couple without children,Urban regions,2 rooms,0.22641,308,1129,0.20199,0.25084
1993,Couple without children,Urban regions,3 rooms,0.39587,465,1129,0.36733,0.42441
1993,Couple without children,Urban regions,4 rooms,0.20343,224,1129,0.17994,0.22692
1993,Couple without children,Urban regions,5 rooms,0.07660,82,1129,0.06108,0.09212
1993,Couple without children,Urban regions,6 rooms,0.05438,50,1129,0.04114,0.06761
1993,Couple without children,Rural regions,2 rooms,0.17575,106,483,0.14177,0.20973
1993,Couple without children,Rural regions,3 rooms,0.37204,212,483,0.32889,0.41519
1993,Couple without children,Rural regions,4 rooms,0.21410,109,483,0.17748,0.25072
1993,Couple without children,Rural regions,5 rooms,0.12235,56,483,0.09309,0.15160
1993,Single parent,Urban regions,2 rooms,0.18190,52,198,0.12803,0.23577
1993,Single parent,Urban regions,3 rooms,0.37460,95,198,0.30701,0.44219
1993,Single parent,Urban regions,4 rooms,0.19674,51,198,0.14123,0.25225
1993,Single parent,Rural regions,3 rooms,0.34341,44,44,0.20148,0.48534
1993,Couple with children,Urban regions,2 rooms,0.04939,141,1756,0.03925,0.05952
1993,Couple with children,Urban regions,3 rooms,0.32161,683,1756,0.29976,0.34346
1993,Couple with children,Urban regions,4 rooms,0.27028,473,1756,0.24950,0.29106
1993,Couple with children,Urban regions,5 rooms,0.17835,244,1756,0.16044,0.19627
1993,Couple with children,Urban regions,6 rooms,0.09516,125,1756,0.08143,0.10889
1993,Couple with children,Urban regions,7 rooms,0.05087,58,1756,0.04059,0.06115
1993,Couple with children,Urban regions,8 rooms,0.01861,32,1756,0.01229,0.02493
1993,Couple with children,Rural regions,2 rooms,0.05495,52,979,0.04067,0.06924
1993,Couple with children,Rural regions,3 rooms,0.29380,358,979,0.26525,0.32235
1993,Couple with children,Rural regions,4 rooms,0.25261,265,979,0.22538,0.27984
1993,Couple with children,Rural regions,5 rooms,0.20680,181,979,0.18142,0.23218
1993,Couple with children,Rural regions,6 rooms,0.09919,80,979,0.08046,0.11792
1993,Couple with children,Rural regions,7 rooms,0.05318,43,979,0.03912,0.06725
1993,Other Combinations,Urban regions,3 rooms,0.37067,41,41,0.22100,0.52035
1994,Single-person household,Urban regions,1 room,0.14561,160,944,0.12309,0.16812
1994,Single-person household,Urban regions,2 rooms,0.40852,398,944,0.37714,0.43989
1994,Single-person household,Urban regions,3 rooms,0.29733,277,944,0.26816,0.32650
1994,Single-person household,Urban regions,4 rooms,0.08399,73,944,0.06629,0.10170
1994,Single-person household,Urban regions,5 rooms,0.03807,36,944,0.02586,0.05029
1994,Single-person household,Rural regions,1 room,0.09719,43,354,0.06628,0.12809
1994,Single-person household,Rural regions,2 rooms,0.36841,154,354,0.31809,0.41873
1994,Single-person household,Rural regions,3 rooms,0.30126,113,354,0.25340,0.34913
1994,Single-person household,Rural regions,4 rooms,0.13037,44,354,0.09525,0.16550
1994,Couple without children,Urban regions,2 rooms,0.22416,316,1148,0.20002,0.24829
1994,Couple without children,Urban regions,3 rooms,0.38265,452,1148,0.35452,0.41078
1994,Couple without children,Urban regions,4 rooms,0.22254,249,1148,0.19847,0.24661
1994,Couple without children,Urban regions,5 rooms,0.08081,85,1148,0.06504,0.09659
1994,Couple without children,Urban regions,6 rooms,0.04657,46,1148,0.03438,0.05877
1994,Couple without children,Rural regions,2 rooms,0.17752,108,539,0.14523,0.20981
1994,Couple without children,Rural regions,3 rooms,0.36074,222,539,0.32016,0.40131
1994,Couple without children,Rural regions,4 rooms,0.20290,115,539,0.16892,0.23688
1994,Couple without children,Rural regions,5 rooms,0.12804,60,539,0.09981,0.15628
1994,Couple without children,Rural regions,6 rooms,0.07781,34,539,0.05517,0.10044
1994,Single parent,Urban regions,2 rooms,0.22965,55,192,0.17000,0.28930
1994,Single parent,Urban regions,3 rooms,0.31861,87,192,0.25253,0.38469
1994,Single parent,Urban regions,4 rooms,0.19690,50,192,0.14051,0.25330
1994,Single parent,Rural regions,3 rooms,0.35141,43,43,0.20703,0.49580
1994,Couple with children,Urban regions,2 rooms,0.05069,130,1671,0.04017,0.06121
1994,Couple with children,Urban regions,3 rooms,0.31579,667,1671,0.29350,0.33808
1994,Couple with children,Urban regions,4 rooms,0.26559,450,1671,0.24440,0.28677
1994,Couple with children,Urban regions,5 rooms,0.17867,234,1671,0.16029,0.19704
1994,Couple with children,Urban regions,6 rooms,0.09874,127,1671,0.08443,0.11305
1994,Couple with children,Urban regions,7 rooms,0.05595,63,1671,0.04493,0.06697
1994,Couple with children,Rural regions,2 rooms,0.04799,51,933,0.03427,0.06172
1994,Couple with children,Rural regions,3 rooms,0.28953,321,933,0.26041,0.31865
1994,Couple with children,Rural regions,4 rooms,0.24592,262,933,0.21828,0.27357
1994,Couple with children,Rural regions,5 rooms,0.18632,166,933,0.16132,0.21132
1994,Couple with children,Rural regions,6 rooms,0.10410,86,933,0.08449,0.12370
1994,Couple with children,Rural regions,7 rooms,0.06568,47,933,0.04978,0.08159
1994,Other Combinations,Urban regions,3 rooms,0.36707,38,38,0.21176,0.52239
1995,Single-person household,Urban regions,1 room,0.15732,178,977,0.13448,0.18017
1995,Single-person household,Urban regions,2 rooms,0.41356,421,977,0.38266,0.44445
1995,Single-person household,Urban regions,3 rooms,0.28314,272,977,0.25488,0.31141
1995,Single-person household,Urban regions,4 rooms,0.08574,75,977,0.06817,0.10330
1995,Single-person household,Urban regions,5 rooms,0.03301,31,977,0.02180,0.04421
1995,Single-person household,Rural regions,1 room,0.09342,48,365,0.06352,0.12332
1995,Single-person household,Rural regions,2 rooms,0.36313,157,365,0.31373,0.41254
