year,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,3 rooms,0.31805,2326,6649,0.30685,0.32924
1995,4 rooms,0.18554,1355,6649,0.17620,0.19489
1995,5 rooms,0.10285,701,6649,0.09554,0.11015
1995,6 rooms,0.06353,407,6649,0.05767,0.06940
1995,7 rooms,0.02748,168,6649,0.02355,0.03141
1995,8 rooms,0.01356,94,6649,0.01078,0.01634
1996,1 room,0.05295,272,6582,0.04754,0.05836
1996,2 rooms,0.22649,1289,6582,0.21638,0.23660
1996,3 rooms,0.30967,2242,6582,0.29850,0.32084
1996,4 rooms,0.19001,1370,6582,0.18054,0.19949
1996,5 rooms,0.10795,725,6582,0.10045,0.11545
1996,6 rooms,0.06473,419,6582,0.05878,0.07067
1996,7 rooms,0.02917,183,6582,0.02511,0.03324
1996,8 rooms,0.01181,82,6582,0.00920,0.01442
1997,1 room,0.05257,254,6499,0.04715,0.05800
1997,2 rooms,0.22221,1242,6499,0.21210,0.23232
1997,3 rooms,0.31917,2237,6499,0.30784,0.33050
1997,4 rooms,0.18302,1345,6499,0.17362,0.19243
1997,5 rooms,0.10922,733,6499,0.10164,0.11681
1997,6 rooms,0.06646,425,6499,0.06041,0.07252
1997,7 rooms,0.03019,181,6499,0.02603,0.03435
1997,8 rooms,0.01149,82,6499,0.00890,0.01408
1998,1 room,0.04616,274,7391,0.04138,0.05095
1998,2 rooms,0.22241,1398,7391,0.21293,0.23189
1998,3 rooms,0.31080,2436,7391,0.30025,0.32135
1998,4 rooms,0.19927,1600,7391,0.19016,0.20837
1998,5 rooms,0.10535,820,7391,0.09835,0.11234
1998,6 rooms,0.06580,512,7391,0.06015,0.07145
1998,7 rooms,0.02918,212,7391,0.02534,0.03302
1998,8 rooms,0.01181,101,7391,0.00934,0.01427
1998,9 rooms,0.00543,38,7391,0.00376,0.00711
1999,1 room,0.04463,247,7115,0.03983,0.04943
1999,2 rooms,0.22301,1328,7115,0.21334,0.23269
1999,3 rooms,0.30752,2303,7115,0.29680,0.31824
1999,4 rooms,0.19930,1553,7115,0.19002,0.20859
1999,5 rooms,0.10593,816,7115,0.09878,0.11309
1999,6 rooms,0.06685,507,7115,0.06105,0.07265
1999,7 rooms,0.02933,216,7115,0.02541,0.03325
1999,8 rooms,0.01283,101,7115,0.01022,0.01545
1999,9 rooms,0.00638,44,7115,0.00453,0.00823
2000,1 room,0.04201,406,12950,0.03855,0.04546
2000,2 rooms,0.21283,2231,12950,0.20578,0.21988
2000,3 rooms,0.30856,3995,12950,0.30061,0.31652
2000,4 rooms,0.19337,2729,12950,0.18657,0.20018
2000,5 rooms,0.11466,1680,12950,0.10917,0.12015
2000,6 rooms,0.07006,1021,12950,0.06566,0.07445
2000,7 rooms,0.03153,481,12950,0.02852,0.03454
2000,8 rooms,0.01557,242,12950,0.01343,0.01770
2000,9 rooms,0.00569,86,12950,0.00440,0.00699
2000,10 or more rooms,0.00572,79,12950,0.00442,0.00702
2001,1 room,0.03850,329,11680,0.03501,0.04199
2001,2 rooms,0.20859,1988,11680,0.20122,0.21596
2001,3 rooms,0.31106,3595,11680,0.30266,0.31946
2001,4 rooms,0.19575,2489,11680,0.18855,0.20294
2001,5 rooms,0.11407,1511,11680,0.10830,0.11984
2001,6 rooms,0.07102,933,11680,0.06636,0.07567
2001,7 rooms,0.03186,444,11680,0.02867,0.03504
2001,8 rooms,0.01675,226,11680,0.01442,0.01908
2001,9 rooms,0.00586,82,11680,0.00447,0.00724
2001,10 or more rooms,0.00656,83,11680,0.00509,0.00802
2002,1 room,0.03709,312,12212,0.03374,0.04045
2002,2 rooms,0.21050,1962,12212,0.20327,0.21773
2002,3 rooms,0.30813,3506,12212,0.29994,0.31632
2002,4 rooms,0.19544,2569,12212,0.18841,0.20247
2002,5 rooms,0.12556,1799,12212,0.11968,0.13144
2002,6 rooms,0.06762,1068,12212,0.06317,0.07208
2002,7 rooms,0.03120,530,12212,0.02811,0.03428
2002,8 rooms,0.01373,261,12212,0.01166,0.01579
2002,9 rooms,0.00530,110,12212,0.00401,0.00659
2002,10 or more rooms,0.00543,95,12212,0.00413,0.00674
2003,1 room,0.04138,332,11804,0.03779,0.04497
2003,2 rooms,0.20718,1906,11804,0.19987,0.21449
2003,3 rooms,0.31147,3433,11804,0.30311,0.31982
2003,4 rooms,0.19143,2453,11804,0.18433,0.19853
2003,5 rooms,0.12482,1684,11804,0.11886,0.13079
2003,6 rooms,0.06783,1026,11804,0.06329,0.07236
2003,7 rooms,0.03035,521,11804,0.02725,0.03344
2003,8 rooms,0.01556,261,11804,0.01333,0.01780
2003,9 rooms,0.00506,102,11804,0.00378,0.00634
2003,10 or more rooms,0.00491,86,11804,0.00365,0.00617
2004,1 room,0.04074,324,11543,0.03713,0.04434
2004,2 rooms,0.20380,1821,11543,0.19645,0.21115
2004,3 rooms,0.31454,3353,11543,0.30607,0.32302
2004,4 rooms,0.18834,2400,11543,0.18121,0.19548
2004,5 rooms,0.12808,1686,11543,0.12199,0.13418
2004,6 rooms,0.06872,1022,11543,0.06411,0.07334
2004,7 rooms,0.03136,498,11543,0.02818,0.03454
2004,8 rooms,0.01397,238,11543,0.01183,0.01611
2004,9 rooms,0.00516,103,11543,0.00385,0.00646
2004,10 or more rooms,0.00529,98,11543,0.00397,0.00661
2005,1 room,0.03822,315,11199,0.03467,0.04177
2005,2 rooms,0.20662,1812,11199,0.19912,0.21412
2005,3 rooms,0.31122,3257,11199,0.30264,0.31979
2005,4 rooms,0.18948,2312,11199,0.18222,0.19674
2005,5 rooms,0.13026,1666,11199,0.12402,0.13649
2005,6 rooms,0.06712,941,11199,0.06248,0.07175
2005,7 rooms,0.02940,458,11199,0.02628,0.03253
2005,8 rooms,0.01689,251,11199,0.01450,0.01927
2005,9 rooms,0.00606,102,11199,0.00462,0.00750
2005,10 or more rooms,0.00474,85,11199,0.00346,0.00601
2006,1 room,0.03883,334,12265,0.03541,0.04225
2006,2 rooms,0.21286,2007,12265,0.20562,0.22011
2006,3 rooms,0.30909,3506,12265,0.30091,0.31726
2006,4 rooms,0.18814,2546,12265,0.18122,0.19505
2006,5 rooms,0.12715,1815,12265,0.12126,0.13305
2006,6 rooms,0.06634,1040,12265,0.06193,0.07074
2006,7 rooms,0.03154,544,12265,0.02845,0.03464
2006,8 rooms,0.01460,263,12265,0.01248,0.01672
2006,9 rooms,0.00676,116,12265,0.00531,0.00821
2006,10 or more rooms,0.00470,94,12265,0.00349,0.00591
2007,1 room,0.03806,313,11453,0.03455,0.04156
2007,2 rooms,0.20512,1802,11453,0.19772,0.21251
2007,3 rooms,0.30380,3269,11453,0.29538,0.31223
2007,4 rooms,0.19337,2395,11453,0.18614,0.20061
2007,5 rooms,0.12469,1667,11453,0.11864,0.13074
2007,6 rooms,0.07278,1033,11453,0.06802,0.07754
2007,7 rooms,0.03460,542,11453,0.03125,0.03794
2007,8 rooms,0.01532,240,11453,0.01307,0.01757
2007,9 rooms,0.00676,110,11453,0.00526,0.00826
2007,10 or more rooms,0.00551,82,11453,0.00415,0.00686
2008,1 room,0.03621,285,10822,0.03269,0.03973
2008,2 rooms,0.20387,1692,10822,0.19628,0.21146
2008,3 rooms,0.29852,3068,10822,0.28990,0.30714
2008,4 rooms,0.19378,2269,10822,0.18633,0.20123
2008,5 rooms,0.13248,1632,10822,0.12609,0.13886
2008,6 rooms,0.07287,969,10822,0.06798,0.07777
2008,7 rooms,0.03402,486,10822,0.03061,0.03744
2008,8 rooms,0.01537,231,10822,0.01305,0.01769
2008,9 rooms,0.00681,113,10822,0.00526,0.00836
2008,10 or more rooms,0.00607,77,10822,0.00460,0.00753
2009,1 room,0.03563,248,10177,0.03202,0.03923
2009,2 rooms,0.19884,1576,10177,0.19108,0.20659
2009,3 rooms,0.29797,2889,10177,0.28908,0.30686
2009,4 rooms,0.19398,2136,10177,0.18630,0.20166
2009,5 rooms,0.13647,1553,10177,0.12980,0.14314
2009,6 rooms,0.07068,899,10177,0.06570,0.07566
2009,7 rooms,0.03559,477,10177,0.03199,0.03919
2009,8 rooms,0.01643,211,10177,0.01396,0.01890
2009,9 rooms,0.00751,106,10177,0.00583,0.00919
2009,10 or more rooms,0.00691,82,10177,0.00530,0.00852
2010,1 room,0.03252,225,13799,0.02956,0.03548
2010,2 rooms,0.19084,1671,13799,0.18428,0.19739
2010,3 rooms,0.31006,4223,13799,0.30234,0.31777
2010,4 rooms,0.19613,3158,13799,0.18950,0.20275
2010,5 rooms,0.13148,2062,13799,0.12584,0.13711
2010,6 rooms,0.07502,1272,13799,0.07063,0.07942
2010,7 rooms,0.03493,631,13799,0.03187,0.03800
2010,8 rooms,0.01605,301,13799,0.01395,0.01814
2010,9 rooms,0.00792,147,13799,0.00644,0.00940
2010,10 or more rooms,0.00507,109,13799,0.00388,0.00625
2011,1 room,0.03636,334,16603,0.03351,0.03920
2011,2 rooms,0.19565,2110,16603,0.18962,0.20169
2011,3 rooms,0.30580,4914,16603,0.29879,0.31281
2011,4 rooms,0.18818,3601,16603,0.18223,0.19412
2011,5 rooms,0.13479,2509,16603,0.12960,0.13999
2011,6 rooms,0.07498,1617,16603,0.07097,0.07898
2011,7 rooms,0.03495,799,16603,0.03216,0.03775
2011,8 rooms,0.01827,416,16603,0.01623,0.02031
2011,9 rooms,0.00608,178,16603,0.00490,0.00726
2011,10 or more rooms,0.00495,125,16603,0.00388,0.00602
2012,1 room,0.03632,362,16303,0.03345,0.03920
2012,2 rooms,0.19280,2081,16303,0.18675,0.19886
2012,3 rooms,0.30587,4780,16303,0.29879,0.31294
2012,4 rooms,0.19265,3552,16303,0.18660,0.19871
2012,5 rooms,0.13176,2452,16303,0.12657,0.13696
2012,6 rooms,0.07409,1576,16303,0.07006,0.07811
2012,7 rooms,0.03654,795,16303,0.03366,0.03942
2012,8 rooms,0.01730,399,16303,0.01530,0.01930
2012,9 rooms,0.00606,168,16303,0.00487,0.00725
2012,10 or more rooms,0.00660,138,16303,0.00536,0.00784
2013,1 room,0.03773,441,17870,0.03494,0.04053
2013,2 rooms,0.19497,2430,17870,0.18917,0.20078
2013,3 rooms,0.30480,5403,17870,0.29805,0.31155
2013,4 rooms,0.18971,3913,17870,0.18397,0.19546
2013,5 rooms,0.13444,2592,17870,0.12943,0.13944
2013,6 rooms,0.07410,1601,17870,0.07026,0.07794
2013,7 rooms,0.03610,803,17870,0.03336,0.03883
2013,8 rooms,0.01711,393,17870,0.01520,0.01901
2013,9 rooms,0.00642,165,17870,0.00525,0.00759
2013,10 or more rooms,0.00462,129,17870,0.00362,0.00561
2014,1 room,0.03676,365,15828,0.03382,0.03969
2014,2 rooms,0.19491,2126,15828,0.18874,0.20108
2014,3 rooms,0.30395,4737,15828,0.29679,0.31112
2014,4 rooms,0.19263,3416,15828,0.18648,0.19877
2014,5 rooms,0.13034,2339,15828,0.12509,0.13558
2014,6 rooms,0.07312,1456,15828,0.06906,0.07718
2014,7 rooms,0.03803,752,15828,0.03505,0.04101
2014,8 rooms,0.01820,363,15828,0.01612,0.02029
2014,9 rooms,0.00668,156,15828,0.00541,0.00795
2014,10 or more rooms,0.00538,118,15828,0.00424,0.00652
2015,1 room,0.03810,455,15764,0.03511,0.04109
2015,2 rooms,0.19436,2277,15764,0.18818,0.20054
2015,3 rooms,0.30308,4767,15764,0.29590,0.31025
2015,4 rooms,0.18856,3215,15764,0.18245,0.19466
2015,5 rooms,0.13192,2276,15764,0.12663,0.13720
2015,6 rooms,0.07714,1453,15764,0.07297,0.08130
2015,7 rooms,0.03766,711,15764,0.03469,0.04063
2015,8 rooms,0.01702,337,15764,0.01500,0.01904
2015,9 rooms,0.00750,162,15764,0.00615,0.00885
2015,10 or more rooms,0.00468,111,15764,0.00361,0.00574
2016,1 room,0.03911,603,16402,0.03614,0.04208
2016,2 rooms,0.19083,2495,16402,0.18481,0.19684
2016,3 rooms,0.30005,5038,16402,0.29303,0.30706
2016,4 rooms,0.18805,3380,16402,0.18207,0.19403
2016,5 rooms,0.13299,2219,16402,0.12779,0.13819
2016,6 rooms,0.07857,1392,16402,0.07445,0.08268
2016,7 rooms,0.03887,693,16402,0.03592,0.04183
2016,8 rooms,0.01952,335,16402,0.01741,0.02164
2016,9 rooms,0.00590,131,16402,0.00473,0.00707
2016,10 or more rooms,0.00611,116,16402,0.00492,0.00731
2017,1 room,0.04207,687,18273,0.03916,0.04498
2017,2 rooms,0.18980,2744,18273,0.18412,0.19549
2017,3 rooms,0.29715,5483,18273,0.29052,0.30377
2017,4 rooms,0.18724,3837,18273,0.18159,0.19290
2017,5 rooms,0.13682,2532,18273,0.13183,0.14180
2017,6 rooms,0.07917,1557,18273,0.07526,0.08309
2017,7 rooms,0.03807,779,18273,0.03530,0.04085
2017,8 rooms,0.01759,374,18273,0.01569,0.01950
2017,9 rooms,0.00565,149,18273,0.00457,0.00674
2017,10 or more rooms,0.00643,131,18273,0.00527,0.00759
2018,1 room,0.04308,748,17873,0.04010,0.04606
2018,2 rooms,0.19302,2840,17873,0.18724,0.19881
2018,3 rooms,0.28816,5287,17873,0.28152,0.29480
2018,4 rooms,0.19149,3778,17873,0.18572,0.19725
2018,5 rooms,0.13385,2397,17873,0.12886,0.13884
2018,6 rooms,0.08207,1469,17873,0.07805,0.08610
2018,7 rooms,0.03864,731,17873,0.03582,0.04147
2018,8 rooms,0.01610,338,17873,0.01425,0.01794
2018,9 rooms,0.00699,153,17873,0.00577,0.00821
2018,10 or more rooms,0.00660,132,17873,0.00541,0.00778
2019,1 room,0.03858,668,18426,0.03580,0.04136
2019,2 rooms,0.19495,2726,18426,0.18923,0.20067
2019,3 rooms,0.28843,5098,18426,0.28189,0.29498
2019,4 rooms,0.18799,3814,18426,0.18235,0.19363
2019,5 rooms,0.13751,2649,18426,0.13253,0.14248
2019,6 rooms,0.08064,1677,18426,0.07670,0.08457
2019,7 rooms,0.04055,896,18426,0.03770,0.04340
2019,8 rooms,0.01809,465,18426,0.01617,0.02001
2019,9 rooms,0.00713,211,18426,0.00591,0.00834
2019,10 or more rooms,0.00615,222,18426,0.00502,0.00727
2020,1 room,0.03624,1064,19328,0.03360,0.03887
2020,2 rooms,0.19110,3402,19328,0.18556,0.19664
2020,3 rooms,0.27919,5588,19328,0.27287,0.28552
2020,4 rooms,0.19029,3725,19328,0.18475,0.19582
2020,5 rooms,0.13617,2375,19328,0.13133,0.14100
2020,6 rooms,0.08941,1556,19328,0.08538,0.09343
2020,7 rooms,0.04079,786,19328,0.03800,0.04358
2020,8 rooms,0.02148,465,19328,0.01944,0.02353
2020,9 rooms,0.00792,179,19328,0.00667,0.00917
2020,10 or more rooms,0.00741,188,19328,0.00620,0.00862
2021,1 room,0.03791,576,12565,0.03457,0.04125
2021,2 rooms,0.19258,2035,12565,0.18568,0.19947
2021,3 rooms,0.28571,3504,12565,0.27781,0.29361
2021,4 rooms,0.18458,2492,12565,0.17780,0.19136
2021,5 rooms,0.13711,1676,12565,0.13110,0.14313
2021,6 rooms,0.08595,1118,12565,0.08105,0.09085
2021,7 rooms,0.03912,564,12565,0.03573,0.04251
2021,8 rooms,0.02162,330,12565,0.01908,0.02416
2021,9 rooms,0.00862,138,12565,0.00700,0.01023
2021,10 or more rooms,0.00680,132,12565,0.00536,0.00824
2022,1 room,0.04027,1193,20442,0.03758,0.04297
2022,2 rooms,0.17991,3562,20442,0.17465,0.18518
2022,3 rooms,0.29060,5576,20442,0.28438,0.29683
2022,4 rooms,0.19472,3922,20442,0.18929,0.20015
2022,5 rooms,0.13605,2663,20442,0.13135,0.14075
2022,6 rooms,0.08168,1653,20442,0.07792,0.08543
2022,7 rooms,0.04114,925,20442,0.03842,0.04386
2022,8 rooms,0.02000,510,20442,0.01808,0.02192
2022,9 rooms,0.00748,209,20442,0.00630,0.00866
2022,10 or more rooms,0.00815,229,20442,0.00692,0.00938
