year,sampreg,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,West,Temporary job,0.04818,1060,8562,0.04365,0.05272
2002,East,Permanent job,0.29541,2140,2593,0.27784,0.31297
2002,East,Temporary job,0.06780,453,2593,0.05813,0.07748
2003,West,Permanent job,0.32058,6975,8001,0.31035,0.33081
2003,West,Temporary job,0.04826,1026,8001,0.04356,0.05295
2003,East,Permanent job,0.29336,2038,2452,0.27534,0.31139
2003,East,Temporary job,0.06141,414,2452,0.05190,0.07091
2004,West,Permanent job,0.31681,6686,7682,0.30641,0.32722
2004,West,Temporary job,0.04962,996,7682,0.04476,0.05448
2004,East,Permanent job,0.28502,1952,2392,0.26693,0.30311
2004,East,Temporary job,0.06848,440,2392,0.05835,0.07860
2005,West,Permanent job,0.33203,6543,7444,0.32133,0.34273
2005,West,Temporary job,0.05030,901,7444,0.04533,0.05526
2005,East,Permanent job,0.29008,1907,2283,0.27146,0.30870
2005,East,Temporary job,0.06676,376,2283,0.05652,0.07700
2006,West,Permanent job,0.32538,6824,7814,0.31500,0.33577
2006,West,Temporary job,0.05273,990,7814,0.04778,0.05769
2006,East,Permanent job,0.28589,1962,2378,0.26773,0.30405
2006,East,Temporary job,0.07204,416,2378,0.06164,0.08243
2007,West,Permanent job,0.33319,6443,7432,0.32248,0.34391
2007,West,Temporary job,0.05615,989,7432,0.05092,0.06139
2007,East,Permanent job,0.29956,1901,2312,0.28088,0.31823
2007,East,Temporary job,0.07498,411,2312,0.06424,0.08572
2008,West,Permanent job,0.34556,6138,7113,0.33451,0.35661
2008,West,Temporary job,0.06129,975,7113,0.05572,0.06687
2008,East,Permanent job,0.32026,1872,2258,0.30101,0.33951
2008,East,Temporary job,0.07315,386,2258,0.06241,0.08390
2009,West,Permanent job,0.34911,5675,6584,0.33759,0.36062
2009,West,Temporary job,0.06096,909,6584,0.05518,0.06674
2009,East,Permanent job,0.31729,1764,2140,0.29757,0.33702
2009,East,Temporary job,0.07644,376,2140,0.06518,0.08770
2010,West,Permanent job,0.35204,7961,9324,0.34235,0.36174
2010,West,Temporary job,0.06231,1363,9324,0.05740,0.06721
2010,East,Permanent job,0.33188,2192,2673,0.31403,0.34974
2010,East,Temporary job,0.08393,481,2673,0.07341,0.09444
2011,West,Permanent job,0.34868,9819,11445,0.33995,0.35742
2011,West,Temporary job,0.06413,1626,11445,0.05964,0.06862
2011,East,Permanent job,0.33958,2592,3136,0.32300,0.35616
2011,East,Temporary job,0.07673,544,3136,0.06741,0.08604
2012,West,Permanent job,0.35429,9612,11332,0.34549,0.36310
2012,West,Temporary job,0.06641,1720,11332,0.06183,0.07100
2012,East,Permanent job,0.34179,2568,3101,0.32509,0.35849
2012,East,Temporary job,0.06962,533,3101,0.06067,0.07858
2013,West,Permanent job,0.34859,10914,13234,0.34047,0.35671
2013,West,Temporary job,0.06781,2320,13234,0.06353,0.07210
2013,East,Permanent job,0.34432,2529,3091,0.32756,0.36107
2013,East,Temporary job,0.07343,562,3091,0.06423,0.08262
2014,West,Permanent job,0.35158,9665,11654,0.34291,0.36025
2014,West,Temporary job,0.07191,1989,11654,0.06722,0.07660
2014,East,Permanent job,0.33975,2290,2776,0.32212,0.35737
2014,East,Temporary job,0.07456,486,2776,0.06479,0.08434
2015,West,Permanent job,0.35946,9608,11706,0.35077,0.36816
2015,West,Temporary job,0.07276,2098,11706,0.06805,0.07746
2015,East,Permanent job,0.35370,2228,2691,0.33563,0.37177
2015,East,Temporary job,0.07045,463,2691,0.06078,0.08012
2016,West,Permanent job,0.35805,8752,10814,0.34901,0.36709
2016,West,Temporary job,0.07512,2062,10814,0.07015,0.08009
2016,East,Permanent job,0.35337,2134,2592,0.33496,0.37177
2016,East,Temporary job,0.07203,458,2592,0.06207,0.08198
2017,West,Permanent job,0.36507,10009,12336,0.35657,0.37356
2017,West,Temporary job,0.07511,2327,12336,0.07046,0.07976
2017,East,Permanent job,0.36893,2508,2989,0.35163,0.38623
2017,East,Temporary job,0.06425,481,2989,0.05546,0.07304
2018,West,Permanent job,0.37617,9691,12073,0.36753,0.38481
2018,West,Temporary job,0.07521,2382,12073,0.07050,0.07991
2018,East,Permanent job,0.37481,2499,2997,0.35748,0.39214
2018,East,Temporary job,0.06231,498,2997,0.05366,0.07097
2019,West,Permanent job,0.38132,9357,11665,0.37251,0.39014
2019,West,Temporary job,0.07292,2308,11665,0.06820,0.07764
2019,East,Permanent job,0.37766,2402,2869,0.35992,0.39541
2019,East,Temporary job,0.05939,467,2869,0.05074,0.06804
2020,West,Permanent job,0.38060,9952,12670,0.37215,0.38906
2020,West,Temporary job,0.06847,2718,12670,0.06407,0.07287
2020,East,Permanent job,0.39239,2402,2871,0.37453,0.41026
2020,East,Temporary job,0.05483,469,2871,0.04650,0.06316
2021,West,Permanent job,0.38679,6800,8253,0.37629,0.39730
2021,West,Temporary job,0.06387,1453,8253,0.05859,0.06914
2021,East,Permanent job,0.39447,1700,1949,0.37276,0.41617
2021,East,Temporary job,0.04735,249,1949,0.03792,0.05679
