year,regtyp,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2012,Urban regions,male,178.36847403588783,178.27692215324916,178.4600259185265,173.0,178.0,183.0,158.0,198.0,178.0,178.0,178.0,6094.0
2012,Urban regions,female,165.16466868290175,165.08931879658383,165.24001856921967,160.0,165.0,170.0,145.0,185.0,165.0,165.0,165.0,6916.0
2012,Rural regions,male,177.7512832099842,177.63312603517608,177.8694403847923,173.0,178.0,182.97198505496635,158.04202241755047,197.92996263741588,178.0,178.0,179.0,3531.0
2012,Rural regions,female,164.94401545888445,164.84320522825973,165.04482568950917,160.0,165.0,169.0,146.5,182.5,165.0,165.0,165.0,3883.0
2013,Urban regions,male,,,,,,,,,,,,
2013,Urban regions,female,,,,,,,,,,,,
2013,Rural regions,male,,,,,,,,,,,,
2013,Rural regions,female,,,,,,,,,,,,
2014,Urban regions,male,178.61469667175197,178.5323376796037,178.69705566390024,174.0,178.0,183.0,160.5,196.5,178.0,178.0,178.0,8025.0
2014,Urban regions,female,165.38540717835502,165.31948753845623,165.45132681825382,160.0,165.0,170.0,145.0,185.0,165.0,165.0,165.0,9548.0
2014,Rural regions,male,177.96713488094562,177.85768257217313,178.0765871897181,173.0,178.0,183.0,158.0,198.0,178.0,178.0,178.0,4369.0
2014,Rural regions,female,165.09861370768164,165.0110938407948,165.18613357456846,160.0,165.0,169.0,146.5,182.5,165.0,165.0,165.0,5054.0
2015,Urban regions,male,,,,,,,,,,,,
2015,Urban regions,female,,,,,,,,,,,,
2015,Rural regions,male,,,,,,,,,,,,
2015,Rural regions,female,,,,,,,,,,,,
2016,Urban regions,male,178.80187483624533,178.7160971279138,178.88765254457687,174.0,178.0,184.0,159.0,199.0,178.0,177.0,178.0,7087.0
2016,Urban regions,female,165.49877962103895,165.42873016118165,165.56882908089625,160.0,165.0,170.0,145.0,185.0,165.0,165.0,165.0,8498.0
2016,Rural regions,male,178.09598533665354,177.98369670078483,178.20827397252225,173.0,178.0,183.0,158.0,198.0,178.0,178.0,178.0,3922.0
2016,Rural regions,female,165.16632277773135,165.07463747546865,165.25800807999406,160.0,165.0,170.0,145.0,185.0,165.0,165.0,165.0,4551.0
2017,Urban regions,male,,,,,,,,,,,,
2017,Urban regions,female,,,,,,,,,,,,
2017,Rural regions,male,,,,,,,,,,,,
2017,Rural regions,female,,,,,,,,,,,,
2018,Urban regions,male,178.93976662739152,178.86334166969783,179.0161915850852,174.0,178.0,184.0,159.0,199.0,178.0,177.0,178.0,8980.0
2018,Urban regions,female,165.33849845520115,165.27330239699432,165.40369451340797,160.0,165.0,170.0,145.0,185.0,165.0,165.0,165.0,9899.0
2018,Rural regions,male,178.4106338941726,178.3071828683431,178.51408492000212,174.0,178.0,184.0,159.0,199.0,178.0,178.0,178.0,4658.0
2018,Rural regions,female,165.2553905804262,165.16757384155352,165.34320731929887,160.0,165.0,170.0,145.0,185.0,165.0,165.0,165.0,5125.0
2019,Urban regions,male,,,,,,,,,,,,
2019,Urban regions,female,,,,,,,,,,,,
2019,Rural regions,male,,,,,,,,,,,,
2019,Rural regions,female,,,,,,,,,,,,
2020,Urban regions,male,179.19645814977724,179.11585295279195,179.27706334676253,174.0,179.0,184.0,159.0,199.0,179.0,178.0,179.0,8089.0
2020,Urban regions,female,165.54768480564957,165.4778935646839,165.61747604661522,160.0,165.0,170.0,145.0,185.0,165.0,165.0,165.0,8862.0
2020,Rural regions,male,178.61273928938022,178.50041946949386,178.72505910926657,174.0,178.0,184.0,159.0,199.0,178.0,177.0,178.0,4123.0
2020,Rural regions,female,165.56381811494006,165.46965748666244,165.65797874321768,161.0,165.0,170.0,147.5,183.5,165.0,164.0,165.0,4479.0
2021,Urban regions,male,,,,,,,,,,,,
2021,Urban regions,female,,,,,,,,,,,,
2021,Rural regions,male,,,,,,,,,,,,
2021,Rural regions,female,,,,,,,,,,,,
