,Unnamed: 0,year,age_gr,sampreg,ple0011,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
32,32,2015,17-29 y.,East,No,1.0,631,25018,0.89937,1.12532
33,33,2015,30-45 y.,West,Yes,0.06276,380,25018,0.05419,0.06986
34,34,2015,30-45 y.,West,No,0.93724,5513,25018,0.90614,0.97408
35,35,2015,30-45 y.,East,Yes,0.04676,75,25018,0.03303,0.064
36,36,2015,30-45 y.,East,No,0.95324,1388,25018,0.88597,1.02501
37,37,2015,46-65 y.,West,Yes,0.12123,822,25018,0.11198,0.13024
38,38,2015,46-65 y.,West,No,0.87877,6138,25018,0.85292,0.90906
39,39,2015,46-65 y.,East,Yes,0.11759,208,25018,0.10219,0.13779
40,40,2015,46-65 y.,East,No,0.88241,1710,25018,0.83134,0.92827
41,41,2015,66 and older,West,Yes,0.12376,419,25018,0.1152,0.133
42,42,2015,66 and older,West,No,0.87624,3245,25018,0.84736,0.90155
43,43,2015,66 and older,East,Yes,0.13949,147,25018,0.1217,0.1589
44,44,2015,66 and older,East,No,0.86051,1072,25018,0.81549,0.88992
45,45,2017,17-29 y.,West,Yes,0.03573,137,26522,0.02886,0.04344
46,46,2017,17-29 y.,West,No,0.96427,3483,26522,0.92736,1.00536
47,47,2017,17-29 y.,East,No,1.0,713,26522,0.91949,1.0829
48,48,2017,30-45 y.,West,Yes,0.06674,364,26522,0.06012,0.07495
49,49,2017,30-45 y.,West,No,0.93326,5429,26522,0.89888,0.96422
50,50,2017,30-45 y.,East,Yes,0.03792,74,26522,0.02915,0.05089
51,51,2017,30-45 y.,East,No,0.96208,1390,26522,0.90124,1.02325
52,52,2017,46-65 y.,West,Yes,0.13008,975,26522,0.12241,0.14068
53,53,2017,46-65 y.,West,No,0.86992,6829,26522,0.84659,0.89131
54,54,2017,46-65 y.,East,Yes,0.12024,234,26522,0.10341,0.1347
55,55,2017,46-65 y.,East,No,0.87976,1935,26522,0.84241,0.91825
56,56,2017,66 and older,West,Yes,0.1201,418,26522,0.11077,0.12966
57,57,2017,66 and older,West,No,0.8799,3324,26522,0.85299,0.90583
58,58,2017,66 and older,East,Yes,0.12372,129,26522,0.10614,0.14062
59,59,2017,66 and older,East,No,0.87628,1088,26522,0.83564,0.91984
60,60,2019,17-29 y.,West,Yes,0.04358,125,25649,0.03386,0.05472
61,61,2019,17-29 y.,West,No,0.95642,3068,25649,0.91161,0.99594
62,62,2019,17-29 y.,East,Yes,0.03969,33,25649,0.02778,0.0538
63,63,2019,17-29 y.,East,No,0.96031,606,25649,0.8698,1.03184
64,64,2019,30-45 y.,West,Yes,0.06055,326,25649,0.05069,0.06942
65,65,2019,30-45 y.,West,No,0.93945,4602,25649,0.90039,0.97612
66,66,2019,30-45 y.,East,Yes,0.06443,81,25649,0.04715,0.09159
67,67,2019,30-45 y.,East,No,0.93557,1251,25649,0.87281,1.01775
68,68,2019,46-65 y.,West,Yes,0.13254,948,25649,0.12087,0.14355
69,69,2019,46-65 y.,West,No,0.86746,7167,25649,0.84346,0.89234
70,70,2019,46-65 y.,East,Yes,0.10424,215,25649,0.08532,0.12481
71,71,2019,46-65 y.,East,No,0.89576,2063,25649,0.85114,0.94225
72,72,2019,66 and older,West,Yes,0.12868,454,25649,0.1176,0.14001
73,73,2019,66 and older,West,No,0.87132,3413,25649,0.84619,0.90377
74,74,2019,66 and older,East,Yes,0.11113,124,25649,0.08863,0.12836
75,75,2019,66 and older,East,No,0.88887,1173,25649,0.83335,0.93446
76,76,2021,17-29 y.,West,Yes,0.06891,138,19142,0.05156,0.08996
77,77,2021,17-29 y.,West,No,0.93109,2566,19142,0.8624,0.97719
78,78,2021,17-29 y.,East,No,1.0,454,19142,0.86854,1.14127
79,79,2021,30-45 y.,West,Yes,0.07794,309,19142,0.06499,0.09132
80,80,2021,30-45 y.,West,No,0.92206,3848,19142,0.8732,0.97648
81,81,2021,30-45 y.,East,Yes,0.07524,72,19142,0.0544,0.10308
82,82,2021,30-45 y.,East,No,0.92476,977,19142,0.84818,1.02048
83,83,2021,46-65 y.,West,Yes,0.16103,793,19142,0.14817,0.1766
84,84,2021,46-65 y.,West,No,0.83897,4953,19142,0.80595,0.86953
85,85,2021,46-65 y.,East,Yes,0.13827,168,19142,0.11117,0.16594
86,86,2021,46-65 y.,East,No,0.86173,1301,19142,0.80501,0.92365
87,87,2021,66 and older,West,Yes,0.13913,364,19142,0.12606,0.15206
88,88,2021,66 and older,West,No,0.86087,2345,19142,0.82138,0.89845
89,89,2021,66 and older,East,Yes,0.09824,87,19142,0.07882,0.11832
90,90,2021,66 and older,East,No,0.90176,767,19142,0.8291,0.97387
