year,sampreg,sex,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,West,female,Central Asia,0.00095,31,404,-0.00206,0.00397
2015,West,female,Western Asia,0.00225,53,404,-0.00238,0.00688
2015,West,female,Eastern Europe,0.00751,241,404,-0.00092,0.01594
2016,West,male,Southern Europe,0.00263,69,277,-0.00341,0.00867
2016,West,male,Western Asia,0.00187,42,277,-0.00323,0.00696
2016,West,male,Eastern Europe,0.00739,166,277,-0.00271,0.01749
2016,West,female,Southern Europe,0.00360,71,340,-0.00278,0.00998
2016,West,female,Western Asia,0.00251,51,340,-0.00282,0.00783
2016,West,female,Eastern Europe,0.00781,218,340,-0.00156,0.01718
2017,West,male,Southern Europe,0.00324,69,289,-0.00332,0.00979
2017,West,male,Western Asia,0.00194,50,289,-0.00314,0.00701
2017,West,male,Eastern Europe,0.00766,170,289,-0.00241,0.01772
2017,West,female,Southern Europe,0.00467,86,402,-0.00200,0.01135
2017,West,female,Western Asia,0.00226,55,402,-0.00239,0.00690
2017,West,female,Eastern Europe,0.00834,227,402,-0.00056,0.01724
2017,West,female,Western Europe,0.00223,34,402,-0.00239,0.00685
2018,West,male,Southern Europe,0.00331,71,291,-0.00330,0.00992
2018,West,male,Western Asia,0.00237,55,291,-0.00323,0.00797
2018,West,male,Eastern Europe,0.00736,165,291,-0.00248,0.01720
2018,West,female,Southern Europe,0.00353,80,408,-0.00223,0.00929
2018,West,female,Western Asia,0.00196,53,408,-0.00234,0.00626
2018,West,female,Eastern Europe,0.00883,243,408,-0.00026,0.01792
2018,West,female,Western Europe,0.00226,32,408,-0.00235,0.00688
2019,West,male,Southern Europe,0.00462,81,284,-0.00328,0.01253
2019,West,male,Western Asia,0.00190,44,284,-0.00317,0.00697
2019,West,male,Eastern Europe,0.00757,159,284,-0.00253,0.01767
2019,West,female,Southern Europe,0.00388,85,401,-0.00221,0.00998
2019,West,female,Western Asia,0.00229,46,401,-0.00239,0.00698
2019,West,female,Eastern Europe,0.01015,230,401,0.00033,0.01997
2019,West,female,Western Europe,0.00332,40,401,-0.00232,0.00895
2020,West,male,Southern Europe,0.00243,95,320,-0.00297,0.00782
2020,West,male,Western Asia,0.00113,57,320,-0.00256,0.00482
2020,West,male,Eastern Europe,0.00355,168,320,-0.00298,0.01007
2020,West,female,Southern Europe,0.00281,99,446,-0.00211,0.00773
2020,West,female,Western Asia,0.00122,56,446,-0.00202,0.00447
2020,West,female,Eastern Europe,0.00394,251,446,-0.00188,0.00976
2020,West,female,Western Europe,0.00151,40,446,-0.00210,0.00511
2021,West,male,Southern Europe,0.00205,62,174,-0.00469,0.00880
2021,West,male,Eastern Europe,0.00400,112,174,-0.00541,0.01340
2021,West,female,Southern Europe,0.00513,62,298,-0.00300,0.01325
2021,West,female,Western Asia,0.00118,35,298,-0.00273,0.00509
2021,West,female,Eastern Europe,0.00532,166,298,-0.00295,0.01359
2021,West,female,Western Europe,0.00208,35,298,-0.00310,0.00725
2022,West,male,Southern Europe,0.00401,86,322,-0.00290,0.01092
2022,West,male,Western Asia,0.00244,113,322,-0.00296,0.00785
2022,West,male,Eastern Europe,0.00546,123,322,-0.00260,0.01352
2022,West,female,Southern Europe,0.00524,91,442,-0.00150,0.01198
2022,West,female,Western Asia,0.00161,68,442,-0.00213,0.00536
2022,West,female,Eastern Europe,0.00654,196,442,-0.00098,0.01406
2022,West,female,Western Europe,0.00280,53,442,-0.00213,0.00772
2022,West,female,Latin America and the Caribbean,0.00100,34,442,-0.00195,0.00395
