year,regtyp,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,Urban regions,Western Europe,0.11925,57,649,0.09430,0.14421
2019,Urban regions,Latin America and the Caribbean,0.05359,33,649,0.03625,0.07092
2019,Rural regions,Eastern Europe,0.56052,119,119,0.47096,0.65007
2020,Urban regions,Southern Asia,0.03317,32,766,0.02048,0.04586
2020,Urban regions,Southern Europe,0.20491,177,766,0.17630,0.23351
2020,Urban regions,Western Asia,0.10667,95,766,0.08479,0.12854
2020,Urban regions,Eastern Europe,0.28232,322,766,0.25043,0.31422
2020,Urban regions,Northern Europe,0.03743,35,766,0.02398,0.05088
2020,Urban regions,Western Europe,0.10201,58,766,0.08056,0.12345
2020,Urban regions,Latin America and the Caribbean,0.08788,47,766,0.06781,0.10794
2020,Rural regions,Southern Europe,0.30036,31,165,0.23020,0.37052
2020,Rural regions,Eastern Europe,0.45056,134,165,0.37441,0.52671
2021,Urban regions,Southern Europe,0.22985,118,436,0.19031,0.26939
2021,Urban regions,Western Asia,0.09569,54,436,0.06805,0.12334
2021,Urban regions,Eastern Europe,0.32370,219,436,0.27973,0.36766
2021,Urban regions,Western Europe,0.10979,45,436,0.08041,0.13917
2021,Rural regions,Eastern Europe,0.35695,80,80,0.25130,0.46260
2022,Urban regions,Southern Asia,0.02274,33,810,0.01247,0.03302
2022,Urban regions,Southern Europe,0.21543,165,810,0.18710,0.24376
2022,Urban regions,Western Asia,0.11281,161,810,0.09101,0.13461
2022,Urban regions,Eastern Europe,0.29068,269,810,0.25939,0.32198
2022,Urban regions,Northern Europe,0.06468,43,810,0.04773,0.08163
2022,Urban regions,Western Europe,0.11806,70,810,0.09583,0.14030
2022,Urban regions,Latin America and the Caribbean,0.07248,69,810,0.05461,0.09035
2022,Rural regions,Western Asia,0.05534,37,121,0.01443,0.09625
2022,Rural regions,Eastern Europe,0.31596,84,121,0.23278,0.39914
