year,age_gr,sex,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,30-45 y.,male,Eastern Europe,0.01204,65,97,-0.00978,0.03386
2017,30-45 y.,female,Southern Europe,0.00568,31,134,-0.00709,0.01845
2017,30-45 y.,female,Eastern Europe,0.01138,103,134,-0.00665,0.02941
2017,46-65 y.,male,Eastern Europe,0.00787,68,68,-0.01329,0.02902
2017,46-65 y.,female,Eastern Europe,0.00898,87,87,-0.01096,0.02892
2018,17-29 y.,male,Eastern Europe,0.00487,33,33,-0.01925,0.02899
2018,30-45 y.,male,Southern Europe,0.00802,32,95,-0.01001,0.02606
2018,30-45 y.,male,Eastern Europe,0.01201,63,95,-0.01001,0.03403
2018,30-45 y.,female,Southern Europe,0.00527,31,139,-0.00681,0.01735
2018,30-45 y.,female,Eastern Europe,0.01238,108,139,-0.00607,0.03083
2018,46-65 y.,male,Eastern Europe,0.00835,69,69,-0.01328,0.02997
2018,46-65 y.,female,Eastern Europe,0.01103,99,99,-0.00965,0.03170
2018,66 and older,female,Eastern Europe,0.00616,31,31,-0.02183,0.03415
2019,30-45 y.,male,Southern Europe,0.01090,34,82,-0.01171,0.03351
2019,30-45 y.,male,Eastern Europe,0.01107,48,82,-0.01172,0.03385
2019,30-45 y.,female,Eastern Europe,0.01511,102,102,-0.00868,0.03891
2019,46-65 y.,male,Eastern Europe,0.00764,78,78,-0.01181,0.02709
2019,46-65 y.,female,Eastern Europe,0.01223,98,98,-0.00964,0.03411
2020,17-29 y.,male,Eastern Europe,0.00246,31,31,-0.01526,0.02017
2020,17-29 y.,female,Eastern Europe,0.00346,36,36,-0.01600,0.02292
2020,30-45 y.,male,Southern Europe,0.00425,39,107,-0.00813,0.01663
2020,30-45 y.,male,Eastern Europe,0.00644,68,107,-0.00879,0.02167
2020,30-45 y.,female,Southern Europe,0.00373,36,145,-0.00623,0.01368
2020,30-45 y.,female,Eastern Europe,0.00569,109,145,-0.00660,0.01798
2020,46-65 y.,male,Southern Europe,0.00297,35,97,-0.00791,0.01385
2020,46-65 y.,male,Eastern Europe,0.00269,62,97,-0.00767,0.01304
2020,46-65 y.,female,Southern Europe,0.00380,32,123,-0.00712,0.01473
2020,46-65 y.,female,Eastern Europe,0.00381,91,123,-0.00712,0.01474
2020,66 and older,female,Eastern Europe,0.00298,34,34,-0.01562,0.02158
2021,30-45 y.,male,Eastern Europe,0.00353,40,40,-0.01509,0.02216
2021,30-45 y.,female,Southern Europe,0.01042,31,98,-0.00979,0.03063
2021,30-45 y.,female,Eastern Europe,0.01073,67,98,-0.00977,0.03123
2021,46-65 y.,male,Eastern Europe,0.00526,42,42,-0.01688,0.02740
2021,46-65 y.,female,Eastern Europe,0.00509,71,71,-0.01158,0.02176
2022,17-29 y.,male,Western Asia,0.00949,45,45,-0.01916,0.03813
2022,17-29 y.,female,Western Asia,0.00506,33,70,-0.01168,0.02180
2022,17-29 y.,female,Eastern Europe,0.00890,37,70,-0.01326,0.03107
2022,30-45 y.,male,Southern Europe,0.00633,39,152,-0.00632,0.01897
2022,30-45 y.,male,Western Asia,0.00342,57,152,-0.00589,0.01274
2022,30-45 y.,male,Eastern Europe,0.00915,56,152,-0.00604,0.02433
2022,30-45 y.,female,Southern Europe,0.00984,37,113,-0.00844,0.02812
2022,30-45 y.,female,Eastern Europe,0.00839,76,113,-0.00850,0.02528
2022,46-65 y.,male,Eastern Europe,0.00484,38,38,-0.01753,0.02722
2022,46-65 y.,female,Eastern Europe,0.00814,86,86,-0.01096,0.02725
