year,age_gr,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,30-45 y.,Southern Europe,0.19288,71,305,0.14852,0.23723
2015,30-45 y.,Western Asia,0.08924,38,305,0.05719,0.12129
2015,30-45 y.,Eastern Europe,0.41943,196,305,0.36395,0.47490
2015,46-65 y.,Southern Europe,0.08630,38,186,0.04584,0.12677
2015,46-65 y.,Eastern Europe,0.53671,148,186,0.46486,0.60857
2015,66 and older,Eastern Europe,0.46150,32,32,0.28601,0.63699
2016,17-29 y.,Southern Europe,0.18348,44,158,0.12293,0.24402
2016,17-29 y.,Western Asia,0.14267,37,158,0.08796,0.19737
2016,17-29 y.,Eastern Europe,0.24331,77,158,0.17619,0.31043
2016,30-45 y.,Southern Europe,0.19285,52,256,0.14443,0.24128
2016,30-45 y.,Western Asia,0.10657,37,256,0.06870,0.14444
2016,30-45 y.,Eastern Europe,0.39312,167,256,0.33317,0.45307
2016,46-65 y.,Southern Europe,0.09187,39,187,0.05036,0.13339
2016,46-65 y.,Eastern Europe,0.55429,148,187,0.48286,0.62572
2017,17-29 y.,Southern Europe,0.22651,46,160,0.16145,0.29157
2017,17-29 y.,Western Asia,0.19892,47,160,0.13687,0.26097
2017,17-29 y.,Eastern Europe,0.17193,67,160,0.11328,0.23058
2017,30-45 y.,Southern Europe,0.21174,63,269,0.16282,0.26065
2017,30-45 y.,Western Asia,0.06459,38,269,0.03516,0.09402
2017,30-45 y.,Eastern Europe,0.37677,168,269,0.31875,0.43479
2017,46-65 y.,Southern Europe,0.16297,46,201,0.11178,0.21415
2017,46-65 y.,Eastern Europe,0.49472,155,201,0.42543,0.56401
2017,66 and older,Eastern Europe,0.55769,48,48,0.41570,0.69968
2018,17-29 y.,Southern Europe,0.15296,40,149,0.09497,0.21095
2018,17-29 y.,Western Asia,0.21398,50,149,0.14790,0.28005
2018,17-29 y.,Eastern Europe,0.13236,59,149,0.07777,0.18696
2018,30-45 y.,Southern Europe,0.20946,63,269,0.16074,0.25818
2018,30-45 y.,Western Asia,0.06394,35,269,0.03465,0.09323
2018,30-45 y.,Eastern Europe,0.38379,171,269,0.32557,0.44202
2018,46-65 y.,Southern Europe,0.11884,45,213,0.07528,0.16241
2018,46-65 y.,Eastern Europe,0.54550,168,213,0.47847,0.61252
2018,66 and older,Eastern Europe,0.48407,51,51,0.34555,0.62260
2019,17-29 y.,Southern Europe,0.19110,45,130,0.12325,0.25895
2019,17-29 y.,Western Asia,0.21085,38,130,0.14045,0.28124
2019,17-29 y.,Eastern Europe,0.13358,47,130,0.07488,0.19229
2019,30-45 y.,Southern Europe,0.22450,64,214,0.16846,0.28053
2019,30-45 y.,Eastern Europe,0.33486,150,214,0.27148,0.39824
2019,46-65 y.,Southern Europe,0.12985,54,230,0.08631,0.17339
2019,46-65 y.,Eastern Europe,0.53838,176,230,0.47381,0.60295
2019,66 and older,Eastern Europe,0.52615,46,46,0.38026,0.67204
2020,17-29 y.,Southern Europe,0.15969,53,167,0.10396,0.21542
2020,17-29 y.,Western Asia,0.20855,47,167,0.14675,0.27036
2020,17-29 y.,Eastern Europe,0.18812,67,167,0.12867,0.24757
2020,30-45 y.,Southern Europe,0.21804,75,297,0.17100,0.26508
2020,30-45 y.,Western Asia,0.07424,45,297,0.04437,0.10411
2020,30-45 y.,Eastern Europe,0.33166,177,297,0.27802,0.38530
2020,46-65 y.,Southern Europe,0.32380,67,220,0.26182,0.38577
2020,46-65 y.,Eastern Europe,0.31060,153,220,0.24931,0.37188
2020,66 and older,Eastern Europe,0.45177,59,59,0.32369,0.57985
2021,17-29 y.,Eastern Europe,0.20329,42,42,0.08010,0.32648
2021,30-45 y.,Southern Europe,0.29807,59,166,0.22828,0.36787
2021,30-45 y.,Eastern Europe,0.28784,107,166,0.21875,0.35692
2021,46-65 y.,Southern Europe,0.25109,39,152,0.18192,0.32026
2021,46-65 y.,Eastern Europe,0.38386,113,152,0.30629,0.46143
2021,66 and older,Eastern Europe,0.50099,37,37,0.33765,0.66432
2022,17-29 y.,Southern Europe,0.16192,46,218,0.11290,0.21093
2022,17-29 y.,Western Asia,0.26193,78,218,0.20343,0.32043
2022,17-29 y.,Eastern Europe,0.22141,62,218,0.16616,0.27665
2022,17-29 y.,Western Europe,0.18009,32,218,0.12896,0.23122
2022,30-45 y.,Southern Europe,0.24931,76,327,0.20235,0.29627
2022,30-45 y.,Western Asia,0.09248,87,327,0.06103,0.12393
2022,30-45 y.,Eastern Europe,0.27146,132,327,0.22319,0.31974
2022,30-45 y.,Latin America and the Caribbean,0.10923,32,327,0.07537,0.14309
2022,46-65 y.,Southern Europe,0.22511,56,180,0.16393,0.28630
2022,46-65 y.,Eastern Europe,0.35002,124,180,0.28014,0.41990
2022,66 and older,Eastern Europe,0.35545,35,35,0.19456,0.51634
