year,pgisced97,sex,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2021,Post-secondary Non-tertiary Level,female,Eastern Europe,0.53158,34,34,0.36132,0.70183
2021,Second Stage of Tertiary Education,male,Eastern Europe,0.23425,36,36,0.09394,0.37457
2021,Second Stage of Tertiary Education,female,Eastern Europe,0.41928,70,70,0.30285,0.53571
2022,Upper Secondary Level,male,Southern Europe,0.19788,33,113,0.12410,0.27167
2022,Upper Secondary Level,male,Western Asia,0.17224,38,113,0.10231,0.24217
2022,Upper Secondary Level,male,Eastern Europe,0.35513,42,113,0.26650,0.44376
2022,Upper Secondary Level,female,Eastern Europe,0.31870,53,53,0.19205,0.44536
2022,Post-secondary Non-tertiary Level,female,Eastern Europe,0.41035,37,37,0.24966,0.57104
2022,Second Stage of Tertiary Education,male,Western Asia,0.05219,42,87,0.00518,0.09920
2022,Second Stage of Tertiary Education,male,Eastern Europe,0.26433,45,87,0.17113,0.35754
2022,Second Stage of Tertiary Education,female,Southern Europe,0.23044,33,124,0.15602,0.30486
2022,Second Stage of Tertiary Education,female,Eastern Europe,0.39478,91,124,0.30840,0.48117
