year,quintil_oecd,regtyp,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,4th Quintile,Urban regions,Eastern Europe,0.31145,50,50,0.18179,0.44112
2016,5th Quintile,Urban regions,Eastern Europe,0.34023,37,37,0.18546,0.49500
2017,1st Quintile,Urban regions,Western Asia,0.20141,36,110,0.12612,0.27670
2017,1st Quintile,Urban regions,Eastern Europe,0.34434,74,110,0.25514,0.43354
2017,1st Quintile,Rural regions,Eastern Europe,0.70067,43,43,0.56217,0.83918
2017,2nd Quintile,Urban regions,Eastern Europe,0.36262,68,68,0.24750,0.47773
2017,2nd Quintile,Rural regions,Eastern Europe,0.60253,36,36,0.44040,0.76466
2017,3rd Quintile,Urban regions,Eastern Europe,0.47583,57,57,0.34503,0.60664
2017,4th Quintile,Urban regions,Eastern Europe,0.25328,42,42,0.12016,0.38640
2017,5th Quintile,Urban regions,Southern Europe,0.20033,34,69,0.10520,0.29547
2017,5th Quintile,Urban regions,Eastern Europe,0.26394,35,69,0.15918,0.36871
2018,1st Quintile,Urban regions,Eastern Europe,0.30633,76,76,0.20200,0.41066
2018,1st Quintile,Rural regions,Eastern Europe,0.60498,35,35,0.44066,0.76930
2018,2nd Quintile,Urban regions,Eastern Europe,0.35698,58,58,0.23260,0.48136
2018,2nd Quintile,Rural regions,Eastern Europe,0.50398,47,47,0.35949,0.64847
2018,3rd Quintile,Urban regions,Eastern Europe,0.36806,64,64,0.24897,0.48715
2018,4th Quintile,Urban regions,Eastern Europe,0.35433,55,55,0.22675,0.48190
2018,5th Quintile,Urban regions,Southern Europe,0.28627,38,76,0.18397,0.38857
2018,5th Quintile,Urban regions,Eastern Europe,0.34652,38,76,0.23882,0.45421
2019,1st Quintile,Urban regions,Western Asia,0.12801,32,102,0.06285,0.19317
2019,1st Quintile,Urban regions,Eastern Europe,0.25307,70,102,0.16828,0.33786
2019,2nd Quintile,Urban regions,Eastern Europe,0.46455,83,83,0.35659,0.57250
2019,2nd Quintile,Rural regions,Eastern Europe,0.67510,46,46,0.53827,0.81194
2019,3rd Quintile,Urban regions,Southern Europe,0.23108,34,83,0.13984,0.32232
2019,3rd Quintile,Urban regions,Eastern Europe,0.34715,49,83,0.24411,0.45020
2019,4th Quintile,Urban regions,Eastern Europe,0.39082,37,37,0.23143,0.55021
2019,5th Quintile,Urban regions,Southern Europe,0.21027,39,89,0.12513,0.29542
2019,5th Quintile,Urban regions,Eastern Europe,0.29535,50,89,0.20004,0.39067
2020,1st Quintile,Urban regions,Southern Europe,0.08952,32,156,0.04458,0.13447
2020,1st Quintile,Urban regions,Western Asia,0.21641,42,156,0.15158,0.28124
2020,1st Quintile,Urban regions,Eastern Europe,0.23895,82,156,0.17181,0.30608
2020,1st Quintile,Rural regions,Eastern Europe,0.48355,32,32,0.30763,0.65947
2020,2nd Quintile,Urban regions,Eastern Europe,0.25560,71,71,0.15341,0.35778
2020,2nd Quintile,Rural regions,Eastern Europe,0.57475,38,38,0.41545,0.73405
2020,3rd Quintile,Urban regions,Eastern Europe,0.38446,45,45,0.24072,0.52820
2020,4th Quintile,Urban regions,Eastern Europe,0.24874,52,52,0.13009,0.36738
2020,5th Quintile,Urban regions,Southern Europe,0.18403,50,99,0.10731,0.26076
2020,5th Quintile,Urban regions,Eastern Europe,0.28351,49,99,0.19428,0.37275
2021,1st Quintile,Urban regions,Eastern Europe,0.30631,61,61,0.18967,0.42294
2021,2nd Quintile,Urban regions,Eastern Europe,0.36415,48,48,0.22658,0.50172
2021,2nd Quintile,Rural regions,Eastern Europe,0.41733,31,31,0.24087,0.59379
2021,3rd Quintile,Urban regions,Eastern Europe,0.36390,42,42,0.21663,0.51117
2021,5th Quintile,Urban regions,Eastern Europe,0.31529,40,40,0.16946,0.46111
2022,1st Quintile,Urban regions,Western Asia,0.22928,76,141,0.15964,0.29891
2022,1st Quintile,Urban regions,Eastern Europe,0.41974,65,141,0.33799,0.50149
2022,2nd Quintile,Urban regions,Eastern Europe,0.24160,42,42,0.11057,0.37263
