year,migback,sampreg,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,Indirect migration background,West,Southern Europe,0.02300,94,153,-0.00083,0.04683
2018,Indirect migration background,West,Western Asia,0.01347,59,153,-0.00485,0.03180
2019,Direct migration background,West,Southern Europe,0.00362,45,493,-0.00169,0.00892
2019,Direct migration background,West,Western Asia,0.00607,51,493,-0.00080,0.01293
2019,Direct migration background,West,Eastern Europe,0.05362,364,493,0.03371,0.07352
2019,Direct migration background,West,Latin America and the Caribbean,0.00681,33,493,-0.00046,0.01408
2019,Indirect migration background,West,Southern Europe,0.02834,106,178,0.00389,0.05278
2019,Indirect migration background,West,Western Asia,0.01024,39,178,-0.00459,0.02508
2019,Indirect migration background,West,Western Europe,0.01204,33,178,-0.00403,0.02811
2020,Direct migration background,West,Southern Europe,0.00946,76,577,0.00155,0.01736
2020,Direct migration background,West,Western Asia,0.00390,69,577,-0.00119,0.00900
2020,Direct migration background,West,Eastern Europe,0.02347,388,577,0.01110,0.03583
2020,Direct migration background,West,Latin America and the Caribbean,0.00612,44,577,-0.00025,0.01249
2020,Direct migration background,East,Eastern Europe,0.01502,36,36,-0.02528,0.05533
2020,Indirect migration background,West,Southern Europe,0.01048,106,183,-0.00431,0.02528
2020,Indirect migration background,West,Western Asia,0.00576,43,183,-0.00523,0.01676
2020,Indirect migration background,West,Western Europe,0.00509,34,183,-0.00525,0.01544
2021,Direct migration background,West,Southern Europe,0.01192,57,349,0.00052,0.02332
2021,Direct migration background,West,Western Asia,0.00600,45,349,-0.00211,0.01412
2021,Direct migration background,West,Eastern Europe,0.02843,247,349,0.01097,0.04589
2021,Indirect migration background,West,Southern Europe,0.01483,59,59,-0.01628,0.04594
2022,Direct migration background,West,Southern Europe,0.01187,87,611,0.00328,0.02047
2022,Direct migration background,West,Western Asia,0.00623,150,611,-0.00001,0.01248
2022,Direct migration background,West,Eastern Europe,0.03250,285,611,0.01843,0.04658
2022,Direct migration background,West,Western Europe,0.00715,34,611,0.00046,0.01383
2022,Direct migration background,West,Latin America and the Caribbean,0.00695,55,611,0.00036,0.01354
2022,Direct migration background,East,Eastern Europe,0.02635,32,32,-0.03004,0.08273
2022,Indirect migration background,West,Southern Europe,0.02082,81,182,0.00002,0.04162
2022,Indirect migration background,West,Western Asia,0.00853,31,182,-0.00487,0.02192
2022,Indirect migration background,West,Eastern Europe,0.00305,32,182,-0.00498,0.01108
2022,Indirect migration background,West,Western Europe,0.00667,38,182,-0.00519,0.01852
