year,migback,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,Direct migration background,Western Asia,0.00427,50,581,-0.00104,0.00958
2018,Direct migration background,Eastern Europe,0.04811,422,581,0.03069,0.06552
2018,Direct migration background,Latin America and the Caribbean,0.00603,31,581,-0.00027,0.01233
2018,Indirect migration background,Southern Europe,0.02180,96,158,-0.00104,0.04465
2018,Indirect migration background,Western Asia,0.01292,62,158,-0.00475,0.03058
2019,Direct migration background,Southern Asia,0.00548,32,557,-0.00065,0.01162
2019,Direct migration background,Southern Europe,0.00385,49,557,-0.00130,0.00900
2019,Direct migration background,Western Asia,0.00571,51,557,-0.00055,0.01197
2019,Direct migration background,Eastern Europe,0.05213,392,557,0.03365,0.07060
2019,Direct migration background,Latin America and the Caribbean,0.00642,33,557,-0.00022,0.01305
2019,Indirect migration background,Southern Europe,0.02703,109,182,0.00340,0.05066
2019,Indirect migration background,Western Asia,0.00971,39,182,-0.00458,0.02400
2019,Indirect migration background,Western Europe,0.01143,34,182,-0.00406,0.02692
2020,Direct migration background,Southern Europe,0.00982,86,630,0.00211,0.01753
2020,Direct migration background,Western Asia,0.00384,72,630,-0.00099,0.00867
2020,Direct migration background,Eastern Europe,0.02297,424,630,0.01126,0.03467
2020,Direct migration background,Latin America and the Caribbean,0.00581,48,630,-0.00013,0.01175
2020,Indirect migration background,Southern Europe,0.00987,109,218,-0.00328,0.02303
2020,Indirect migration background,Western Asia,0.00541,43,218,-0.00435,0.01517
2020,Indirect migration background,Eastern Europe,0.00239,31,218,-0.00411,0.00890
2020,Indirect migration background,Western Europe,0.00479,35,218,-0.00440,0.01398
2021,Direct migration background,Southern Europe,0.01185,65,379,0.00094,0.02276
2021,Direct migration background,Western Asia,0.00562,46,379,-0.00192,0.01315
2021,Direct migration background,Eastern Europe,0.02799,268,379,0.01136,0.04462
2021,Indirect migration background,Southern Europe,0.01396,61,61,-0.01573,0.04365
2022,Direct migration background,Southern Asia,0.00203,31,738,-0.00122,0.00527
2022,Direct migration background,Southern Europe,0.01111,92,738,0.00354,0.01868
2022,Direct migration background,Western Asia,0.00682,167,738,0.00088,0.01276
2022,Direct migration background,Eastern Europe,0.03202,317,738,0.01931,0.04473
2022,Direct migration background,Northern Europe,0.00537,32,738,0.00009,0.01064
2022,Direct migration background,Western Europe,0.00666,36,738,0.00079,0.01253
2022,Direct migration background,Latin America and the Caribbean,0.00645,63,738,0.00067,0.01222
2022,Indirect migration background,Southern Europe,0.01942,86,191,-0.00020,0.03905
2022,Indirect migration background,Western Asia,0.00790,31,191,-0.00469,0.02049
2022,Indirect migration background,Eastern Europe,0.00290,34,191,-0.00475,0.01055
2022,Indirect migration background,Western Europe,0.00647,40,191,-0.00493,0.01787
