year,sampreg,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,West,Southern Asia,0.00120,32,847,-0.00113,0.00354
2018,West,Southern Europe,0.00342,151,847,-0.00051,0.00736
2018,West,Central Asia,0.00052,32,847,-0.00102,0.00205
2018,West,Western Asia,0.00217,108,847,-0.00097,0.00530
2018,West,Eastern Europe,0.00810,408,847,0.00206,0.01414
2018,West,Northern Europe,0.00118,34,847,-0.00113,0.00349
2018,West,Western Europe,0.00185,47,847,-0.00105,0.00475
2018,West,Latin America and the Caribbean,0.00114,35,847,-0.00113,0.00342
2018,East,Eastern Europe,0.00214,41,41,-0.01218,0.01645
2019,West,Northern Africa,0.00095,32,815,-0.00117,0.00307
2019,West,Southern Asia,0.00127,39,815,-0.00118,0.00371
2019,West,Southern Europe,0.00425,166,815,-0.00022,0.00872
2019,West,Western Asia,0.00210,90,815,-0.00105,0.00524
2019,West,Eastern Europe,0.00887,389,815,0.00243,0.01531
2019,West,Western Europe,0.00264,60,815,-0.00089,0.00616
2019,West,Latin America and the Caribbean,0.00121,39,815,-0.00118,0.00359
2020,West,Northern Africa,0.00046,31,943,-0.00091,0.00182
2020,West,Southern Asia,0.00037,34,943,-0.00086,0.00161
2020,West,Southern Europe,0.00262,194,943,-0.00064,0.00588
2020,West,Western Asia,0.00118,113,943,-0.00101,0.00337
2020,West,Eastern Europe,0.00374,419,943,-0.00016,0.00764
2020,West,Northern Europe,0.00048,41,943,-0.00092,0.00188
2020,West,Western Europe,0.00116,61,943,-0.00101,0.00334
2020,West,Latin America and the Caribbean,0.00099,50,943,-0.00102,0.00299
2020,East,Eastern Europe,0.00073,37,37,-0.00811,0.00957
2021,West,Southern Europe,0.00360,124,551,-0.00140,0.00861
2021,West,Western Asia,0.00123,60,551,-0.00170,0.00416
2021,West,Eastern Europe,0.00466,278,551,-0.00103,0.01035
2021,West,Northern Europe,0.00060,35,551,-0.00144,0.00263
2021,West,Western Europe,0.00168,54,551,-0.00174,0.00511
2022,West,Northern Africa,0.00061,32,969,-0.00094,0.00216
2022,West,Northern America,0.00048,32,969,-0.00090,0.00187
2022,West,Southern Asia,0.00041,32,969,-0.00087,0.00170
2022,West,Southern Europe,0.00466,178,969,0.00037,0.00894
2022,West,Western Asia,0.00203,181,969,-0.00081,0.00486
2022,West,Eastern Europe,0.00599,319,969,0.00113,0.01086
2022,West,Northern Europe,0.00136,50,969,-0.00096,0.00369
2022,West,Western Europe,0.00241,81,969,-0.00068,0.00550
2022,West,Latin America and the Caribbean,0.00132,64,969,-0.00097,0.00361
2022,East,Eastern Europe,0.00201,34,34,-0.01327,0.01729
