year,pgisced97,regtyp,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Second Stage of Tertiary Education,Urban regions,Southern Europe,0.11737,31,123,0.06025,0.17448
2014,Second Stage of Tertiary Education,Urban regions,Eastern Europe,0.36201,92,123,0.27673,0.44729
2015,Lower Secondary Level,Urban regions,Eastern Europe,0.24867,31,31,0.09399,0.40334
2015,Upper Secondary Level,Urban regions,Southern Europe,0.17759,40,148,0.11581,0.23937
2015,Upper Secondary Level,Urban regions,Eastern Europe,0.37100,108,148,0.29291,0.44909
2015,Upper Secondary Level,Rural regions,Eastern Europe,0.49475,58,58,0.36495,0.62454
2015,Post-secondary Non-tertiary Level,Urban regions,Eastern Europe,0.67149,62,62,0.55362,0.78935
2015,Second Stage of Tertiary Education,Urban regions,Southern Europe,0.12016,38,134,0.06490,0.17542
2015,Second Stage of Tertiary Education,Urban regions,Eastern Europe,0.33600,96,134,0.25573,0.41628
2016,Upper Secondary Level,Urban regions,Southern Europe,0.19853,40,133,0.13048,0.26658
2016,Upper Secondary Level,Urban regions,Eastern Europe,0.32447,93,133,0.24460,0.40434
2016,Upper Secondary Level,Rural regions,Eastern Europe,0.45466,47,47,0.31076,0.59855
2016,Post-secondary Non-tertiary Level,Urban regions,Eastern Europe,0.65538,58,58,0.53201,0.77876
2016,Second Stage of Tertiary Education,Urban regions,Southern Europe,0.11155,31,127,0.05658,0.16652
2016,Second Stage of Tertiary Education,Urban regions,Eastern Europe,0.32751,96,127,0.24556,0.40945
2017,Upper Secondary Level,Urban regions,Southern Europe,0.27306,56,152,0.20199,0.34412
2017,Upper Secondary Level,Urban regions,Eastern Europe,0.31053,96,152,0.23673,0.38434
2017,Upper Secondary Level,Rural regions,Eastern Europe,0.50312,48,48,0.36018,0.64607
2017,Post-secondary Non-tertiary Level,Urban regions,Eastern Europe,0.60538,52,52,0.47124,0.73953
2017,Second Stage of Tertiary Education,Urban regions,Southern Europe,0.14636,35,138,0.08717,0.20555
2017,Second Stage of Tertiary Education,Urban regions,Eastern Europe,0.30218,103,138,0.22528,0.37907
2017,Second Stage of Tertiary Education,Rural regions,Eastern Europe,0.37523,31,31,0.20197,0.54849
2018,Upper Secondary Level,Urban regions,Southern Europe,0.21865,47,142,0.15043,0.28688
2018,Upper Secondary Level,Urban regions,Eastern Europe,0.31356,95,142,0.23698,0.39013
2018,Upper Secondary Level,Rural regions,Eastern Europe,0.43661,46,46,0.29170,0.58152
2018,Post-secondary Non-tertiary Level,Urban regions,Eastern Europe,0.55839,49,49,0.41791,0.69888
2018,Second Stage of Tertiary Education,Urban regions,Southern Europe,0.14787,38,155,0.09181,0.20394
2018,Second Stage of Tertiary Education,Urban regions,Eastern Europe,0.36294,117,155,0.28700,0.43889
2019,Upper Secondary Level,Urban regions,Southern Europe,0.23830,52,145,0.16871,0.30789
2019,Upper Secondary Level,Urban regions,Eastern Europe,0.30204,93,145,0.22705,0.37704
2019,Upper Secondary Level,Rural regions,Eastern Europe,0.48615,42,42,0.33316,0.63914
2019,Post-secondary Non-tertiary Level,Urban regions,Eastern Europe,0.58406,41,41,0.43131,0.73680
2019,Second Stage of Tertiary Education,Urban regions,Southern Europe,0.15360,42,158,0.09720,0.21001
2019,Second Stage of Tertiary Education,Urban regions,Eastern Europe,0.33434,116,158,0.26055,0.40814
2019,Second Stage of Tertiary Education,Rural regions,Eastern Europe,0.61651,31,31,0.44252,0.79051
2020,Upper Secondary Level,Urban regions,Southern Europe,0.26905,60,192,0.20616,0.33194
2020,Upper Secondary Level,Urban regions,Western Asia,0.08956,31,192,0.04906,0.13005
2020,Upper Secondary Level,Urban regions,Eastern Europe,0.23074,101,192,0.17099,0.29049
2020,Upper Secondary Level,Rural regions,Eastern Europe,0.39802,47,47,0.25657,0.53948
2020,Post-secondary Non-tertiary Level,Urban regions,Eastern Europe,0.50237,41,41,0.34742,0.65732
2020,Second Stage of Tertiary Education,Urban regions,Southern Europe,0.14919,59,194,0.09892,0.19945
2020,Second Stage of Tertiary Education,Urban regions,Eastern Europe,0.31125,135,194,0.24593,0.37657
2020,Second Stage of Tertiary Education,Rural regions,Eastern Europe,0.42611,40,40,0.27090,0.58131
2021,Upper Secondary Level,Urban regions,Southern Europe,0.28067,35,99,0.19170,0.36963
2021,Upper Secondary Level,Urban regions,Eastern Europe,0.25189,64,99,0.16594,0.33783
2021,Upper Secondary Level,Rural regions,Eastern Europe,0.36437,31,31,0.19216,0.53658
2021,Post-secondary Non-tertiary Level,Urban regions,Eastern Europe,0.44117,32,32,0.26638,0.61596
2021,Second Stage of Tertiary Education,Urban regions,Southern Europe,0.21323,43,128,0.14199,0.28447
2021,Second Stage of Tertiary Education,Urban regions,Eastern Europe,0.31666,85,128,0.23576,0.39757
2022,No answer / don't know,Urban regions,Eastern Europe,0.20255,33,33,0.06330,0.34180
2022,Upper Secondary Level,Urban regions,Southern Europe,0.19191,42,151,0.12889,0.25493
2022,Upper Secondary Level,Urban regions,Western Asia,0.17966,45,151,0.11822,0.24110
2022,Upper Secondary Level,Urban regions,Eastern Europe,0.30451,64,151,0.23086,0.37816
2022,Upper Secondary Level,Rural regions,Eastern Europe,0.48531,31,31,0.30647,0.66416
2022,Post-secondary Non-tertiary Level,Urban regions,Eastern Europe,0.34980,38,38,0.19613,0.50347
2022,Second Stage of Tertiary Education,Urban regions,Southern Europe,0.17389,58,301,0.13100,0.21678
2022,Second Stage of Tertiary Education,Urban regions,Western Asia,0.03907,55,301,0.01714,0.06100
2022,Second Stage of Tertiary Education,Urban regions,Eastern Europe,0.32403,114,301,0.27107,0.37699
2022,Second Stage of Tertiary Education,Urban regions,Western Europe,0.12587,36,301,0.08833,0.16341
2022,Second Stage of Tertiary Education,Urban regions,Latin America and the Caribbean,0.12036,38,301,0.08354,0.15718
