year,sex,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2021,male,Southern Europe,0.00188,67,189,-0.00432,0.00809
2021,male,Eastern Europe,0.00343,122,189,-0.00493,0.01178
2021,female,Southern Europe,0.00433,69,318,-0.00290,0.01155
2021,female,Western Asia,0.00098,35,318,-0.00246,0.00442
2021,female,Eastern Europe,0.00471,177,318,-0.00283,0.01225
2021,female,Western Europe,0.00181,37,318,-0.00287,0.00649
2022,male,Southern Europe,0.00343,91,450,-0.00198,0.00883
2022,male,Western Asia,0.00236,125,450,-0.00213,0.00685
2022,male,Eastern Europe,0.00482,138,450,-0.00159,0.01122
2022,male,Northern Europe,0.00152,31,450,-0.00208,0.00513
2022,male,Western Europe,0.00215,31,450,-0.00213,0.00644
2022,male,Latin America and the Caribbean,0.00143,34,450,-0.00207,0.00493
2022,female,Southern Europe,0.00441,98,484,-0.00150,0.01031
2022,female,Western Asia,0.00137,73,484,-0.00193,0.00466
2022,female,Eastern Europe,0.00586,215,484,-0.00095,0.01267
2022,female,Western Europe,0.00258,58,484,-0.00194,0.00710
2022,female,Latin America and the Caribbean,0.00084,40,484,-0.00174,0.00342
