year,pgisced97,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Post-secondary Non-tertiary Level,Eastern Europe,0.66245,82,82,0.55946,0.76543
2016,Second Stage of Tertiary Education,Southern Europe,0.16538,39,162,0.10799,0.22277
2016,Second Stage of Tertiary Education,Eastern Europe,0.33358,123,162,0.26075,0.40642
2017,Lower Secondary Level,Eastern Europe,0.41036,49,49,0.27120,0.54952
2017,Upper Secondary Level,Southern Europe,0.25599,64,242,0.20089,0.31109
2017,Upper Secondary Level,Western Asia,0.08502,34,242,0.04980,0.12023
2017,Upper Secondary Level,Eastern Europe,0.34624,144,242,0.28617,0.40631
2017,Post-secondary Non-tertiary Level,Eastern Europe,0.60796,78,78,0.49891,0.71700
2017,Second Stage of Tertiary Education,Southern Europe,0.19268,43,177,0.13441,0.25095
2017,Second Stage of Tertiary Education,Eastern Europe,0.31312,134,177,0.24460,0.38163
2018,Lower Secondary Level,Eastern Europe,0.32198,45,45,0.18392,0.46004
2018,Upper Secondary Level,Southern Europe,0.21587,62,235,0.16315,0.26858
2018,Upper Secondary Level,Western Asia,0.06898,32,235,0.03651,0.10145
2018,Upper Secondary Level,Eastern Europe,0.33458,141,235,0.27413,0.39504
2018,Post-secondary Non-tertiary Level,Eastern Europe,0.55877,77,77,0.44713,0.67040
2018,Second Stage of Tertiary Education,Southern Europe,0.15845,44,191,0.10653,0.21037
2018,Second Stage of Tertiary Education,Eastern Europe,0.39065,147,191,0.32128,0.46003
2019,Lower Secondary Level,Eastern Europe,0.35336,37,37,0.19721,0.50951
2019,Upper Secondary Level,Southern Europe,0.23586,64,199,0.17673,0.29500
2019,Upper Secondary Level,Eastern Europe,0.32856,135,199,0.26313,0.39398
2019,Post-secondary Non-tertiary Level,Eastern Europe,0.59334,69,69,0.47658,0.71009
2019,Second Stage of Tertiary Education,Southern Europe,0.16381,49,197,0.11200,0.21563
2019,Second Stage of Tertiary Education,Eastern Europe,0.36919,148,197,0.30163,0.43676
2020,Lower Secondary Level,Eastern Europe,0.18911,35,35,0.05748,0.32073
2020,Upper Secondary Level,Southern Europe,0.28749,73,259,0.23226,0.34271
2020,Upper Secondary Level,Western Asia,0.08589,38,259,0.05170,0.12008
2020,Upper Secondary Level,Eastern Europe,0.25876,148,259,0.20532,0.31220
2020,Post-secondary Non-tertiary Level,Eastern Europe,0.55580,66,66,0.43500,0.67659
2020,Second Stage of Tertiary Education,Southern Europe,0.16818,67,274,0.12381,0.21255
2020,Second Stage of Tertiary Education,Western Asia,0.05384,32,274,0.02707,0.08061
2020,Second Stage of Tertiary Education,Eastern Europe,0.32752,175,274,0.27185,0.38319
2021,Upper Secondary Level,Southern Europe,0.27463,43,138,0.19989,0.34937
2021,Upper Secondary Level,Eastern Europe,0.27021,95,138,0.19585,0.34457
2021,Post-secondary Non-tertiary Level,Eastern Europe,0.46547,50,50,0.32581,0.60514
2021,Second Stage of Tertiary Education,Southern Europe,0.21728,49,155,0.15215,0.28242
2021,Second Stage of Tertiary Education,Eastern Europe,0.33840,106,155,0.26367,0.41313
2022,No answer / don't know,Eastern Europe,0.20619,41,41,0.08082,0.33157
2022,Upper Secondary Level,Southern Europe,0.19469,52,207,0.14061,0.24876
2022,Upper Secondary Level,Western Asia,0.15182,60,207,0.10282,0.20083
2022,Upper Secondary Level,Eastern Europe,0.33774,95,207,0.27316,0.40233
2022,Post-secondary Non-tertiary Level,Eastern Europe,0.37996,49,49,0.24265,0.51728
2022,Second Stage of Tertiary Education,Southern Europe,0.17075,62,337,0.13051,0.21099
2022,Second Stage of Tertiary Education,Western Asia,0.03997,62,337,0.01902,0.06091
2022,Second Stage of Tertiary Education,Eastern Europe,0.33227,136,337,0.28190,0.38263
2022,Second Stage of Tertiary Education,Western Europe,0.13475,39,337,0.09824,0.17126
2022,Second Stage of Tertiary Education,Latin America and the Caribbean,0.11094,38,337,0.07736,0.14452
