year,migback,pgisced97,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,Direct migration background,Post-secondary Non-tertiary Level,Eastern Europe,0.68602,73,73,0.57881,0.79322
2018,Direct migration background,Second Stage of Tertiary Education,Eastern Europe,0.59665,141,141,0.51539,0.67791
2018,Indirect migration background,Upper Secondary Level,Southern Europe,0.45093,43,43,0.30044,0.60142
2019,Direct migration background,Lower Secondary Level,Eastern Europe,0.60839,34,34,0.44185,0.77493
2019,Direct migration background,Upper Secondary Level,Eastern Europe,0.59114,125,125,0.50460,0.67767
2019,Direct migration background,Post-secondary Non-tertiary Level,Eastern Europe,0.73357,66,66,0.62609,0.84105
2019,Direct migration background,Second Stage of Tertiary Education,Eastern Europe,0.53382,144,144,0.45206,0.61558
2019,Indirect migration background,Upper Secondary Level,Southern Europe,0.49193,47,47,0.34746,0.63641
2020,Direct migration background,Lower Secondary Level,Eastern Europe,0.31864,34,34,0.15966,0.47762
2020,Direct migration background,Upper Secondary Level,Eastern Europe,0.35904,135,135,0.27782,0.44027
2020,Direct migration background,Post-secondary Non-tertiary Level,Eastern Europe,0.59588,62,62,0.47274,0.71903
2020,Direct migration background,Second Stage of Tertiary Education,Southern Europe,0.08601,34,203,0.04734,0.12467
2020,Direct migration background,Second Stage of Tertiary Education,Eastern Europe,0.42519,169,203,0.35701,0.49337
2020,Indirect migration background,Upper Secondary Level,Southern Europe,0.41120,46,46,0.26743,0.55497
2021,Direct migration background,Upper Secondary Level,Eastern Europe,0.37489,83,83,0.27011,0.47967
2021,Direct migration background,Post-secondary Non-tertiary Level,Eastern Europe,0.57615,43,43,0.42670,0.72560
2021,Direct migration background,Second Stage of Tertiary Education,Eastern Europe,0.42636,101,101,0.32942,0.52329
2022,Direct migration background,No answer / don't know,Eastern Europe,0.24356,40,40,0.10884,0.37827
2022,Direct migration background,Upper Secondary Level,Western Asia,0.09877,49,128,0.04688,0.15066
2022,Direct migration background,Upper Secondary Level,Eastern Europe,0.52097,79,128,0.43409,0.60786
2022,Direct migration background,Post-secondary Non-tertiary Level,Eastern Europe,0.55263,45,45,0.40571,0.69955
2022,Direct migration background,Second Stage of Tertiary Education,Southern Europe,0.09442,34,253,0.05832,0.13052
2022,Direct migration background,Second Stage of Tertiary Education,Western Asia,0.03949,56,253,0.01544,0.06354
2022,Direct migration background,Second Stage of Tertiary Education,Eastern Europe,0.39711,127,253,0.33670,0.45753
2022,Direct migration background,Second Stage of Tertiary Education,Latin America and the Caribbean,0.13687,36,253,0.09444,0.17931
2022,Indirect migration background,Upper Secondary Level,Southern Europe,0.26795,31,31,0.10946,0.42643
