year,pgisced97,sampreg,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Second Stage of Tertiary Education,West,Southern Europe,0.18206,47,154,0.12091,0.24321
2015,Second Stage of Tertiary Education,West,Eastern Europe,0.30716,107,154,0.23407,0.38026
2016,Lower Secondary Level,West,Eastern Europe,0.32148,34,34,0.16212,0.48083
2016,Upper Secondary Level,West,Southern Europe,0.19893,48,208,0.14455,0.25331
2016,Upper Secondary Level,West,Western Asia,0.11865,33,208,0.07460,0.16270
2016,Upper Secondary Level,West,Eastern Europe,0.34663,127,208,0.28180,0.41146
2016,Post-secondary Non-tertiary Level,West,Eastern Europe,0.66356,77,77,0.55733,0.76979
2016,Second Stage of Tertiary Education,West,Southern Europe,0.17657,39,150,0.11535,0.23780
2016,Second Stage of Tertiary Education,West,Eastern Europe,0.29804,111,150,0.22459,0.37148
2017,Lower Secondary Level,West,Eastern Europe,0.40142,43,43,0.25318,0.54967
2017,Upper Secondary Level,West,Southern Europe,0.25800,62,227,0.20096,0.31505
2017,Upper Secondary Level,West,Western Asia,0.08656,34,227,0.04990,0.12323
2017,Upper Secondary Level,West,Eastern Europe,0.34320,131,227,0.28130,0.40510
2017,Post-secondary Non-tertiary Level,West,Eastern Europe,0.60744,73,73,0.49464,0.72023
2017,Second Stage of Tertiary Education,West,Southern Europe,0.20138,42,159,0.13884,0.26391
2017,Second Stage of Tertiary Education,West,Eastern Europe,0.28757,117,159,0.21699,0.35815
2018,Lower Secondary Level,West,Eastern Europe,0.31708,41,41,0.17287,0.46129
2018,Upper Secondary Level,West,Southern Europe,0.22019,61,219,0.16518,0.27520
2018,Upper Secondary Level,West,Western Asia,0.07072,31,219,0.03669,0.10476
2018,Upper Secondary Level,West,Eastern Europe,0.32915,127,219,0.26677,0.39152
2018,Post-secondary Non-tertiary Level,West,Eastern Europe,0.55610,71,71,0.43971,0.67249
2018,Second Stage of Tertiary Education,West,Southern Europe,0.16586,43,175,0.11059,0.22112
2018,Second Stage of Tertiary Education,West,Eastern Europe,0.37200,132,175,0.30018,0.44382
2019,Lower Secondary Level,West,Eastern Europe,0.35159,36,36,0.19341,0.50978
2019,Upper Secondary Level,West,Southern Europe,0.24015,63,185,0.17842,0.30187
2019,Upper Secondary Level,West,Eastern Europe,0.32254,122,185,0.25500,0.39009
2019,Post-secondary Non-tertiary Level,West,Eastern Europe,0.59891,64,64,0.47788,0.71994
2019,Second Stage of Tertiary Education,West,Southern Europe,0.16416,46,183,0.11035,0.21798
2019,Second Stage of Tertiary Education,West,Eastern Europe,0.35746,137,183,0.28783,0.42708
2020,Lower Secondary Level,West,Eastern Europe,0.18611,31,31,0.04684,0.32538
2020,Upper Secondary Level,West,Southern Europe,0.29315,73,243,0.23580,0.35051
2020,Upper Secondary Level,West,Western Asia,0.08645,37,243,0.05104,0.12185
2020,Upper Secondary Level,West,Eastern Europe,0.25173,133,243,0.19704,0.30641
2020,Post-secondary Non-tertiary Level,West,Eastern Europe,0.56251,60,60,0.43592,0.68909
2020,Second Stage of Tertiary Education,West,Southern Europe,0.14150,57,252,0.09838,0.18462
2020,Second Stage of Tertiary Education,West,Western Asia,0.05718,31,252,0.02846,0.08591
2020,Second Stage of Tertiary Education,West,Eastern Europe,0.32897,164,252,0.27084,0.38709
2021,Upper Secondary Level,West,Southern Europe,0.28411,41,128,0.20568,0.36255
2021,Upper Secondary Level,West,Eastern Europe,0.25264,87,128,0.17707,0.32821
2021,Post-secondary Non-tertiary Level,West,Eastern Europe,0.46928,45,45,0.32182,0.61674
2021,Second Stage of Tertiary Education,West,Southern Europe,0.20915,41,141,0.14178,0.27652
2021,Second Stage of Tertiary Education,West,Eastern Europe,0.34395,100,141,0.26527,0.42264
2022,No answer / don't know,West,Eastern Europe,0.20814,39,39,0.07906,0.33722
2022,Upper Secondary Level,West,Southern Europe,0.19817,48,186,0.14073,0.25561
2022,Upper Secondary Level,West,Western Asia,0.15404,54,186,0.10202,0.20606
2022,Upper Secondary Level,West,Eastern Europe,0.32849,84,186,0.26081,0.39617
2022,Post-secondary Non-tertiary Level,West,Eastern Europe,0.38136,46,46,0.23944,0.52328
2022,Second Stage of Tertiary Education,West,Southern Europe,0.18301,58,272,0.13697,0.22905
2022,Second Stage of Tertiary Education,West,Western Asia,0.03900,56,272,0.01595,0.06205
2022,Second Stage of Tertiary Education,West,Eastern Europe,0.32460,122,272,0.26886,0.38035
2022,Second Stage of Tertiary Education,West,Western Europe,0.13411,36,272,0.09354,0.17468
