year,quintil_oecd,sampreg,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,1st Quintile,West,Southern Europe,0.13095,31,174,0.08068,0.18122
2017,1st Quintile,West,Western Asia,0.17484,42,174,0.11824,0.23144
2017,1st Quintile,West,Eastern Europe,0.40018,101,174,0.32717,0.47318
2017,2nd Quintile,West,Eastern Europe,0.41092,98,98,0.31301,0.50884
2017,3rd Quintile,West,Eastern Europe,0.50512,76,76,0.39196,0.61827
2017,4th Quintile,West,Southern Europe,0.36752,32,74,0.25692,0.47812
2017,4th Quintile,West,Eastern Europe,0.19156,42,74,0.10128,0.28184
2017,5th Quintile,West,Southern Europe,0.20891,36,74,0.11565,0.30217
2017,5th Quintile,West,Eastern Europe,0.26347,38,74,0.16242,0.36453
2018,1st Quintile,West,Western Asia,0.12207,35,129,0.06535,0.17878
2018,1st Quintile,West,Eastern Europe,0.33415,94,129,0.25243,0.41586
2018,2nd Quintile,West,Eastern Europe,0.38882,99,99,0.29230,0.48533
2018,3rd Quintile,West,Eastern Europe,0.40181,84,84,0.29634,0.50729
2018,4th Quintile,West,Eastern Europe,0.37594,62,62,0.25439,0.49749
2018,5th Quintile,West,Southern Europe,0.32429,44,86,0.22478,0.42381
2018,5th Quintile,West,Eastern Europe,0.32459,42,86,0.22505,0.42413
2019,1st Quintile,West,Western Asia,0.12201,37,123,0.06393,0.18009
2019,1st Quintile,West,Eastern Europe,0.26727,86,123,0.18874,0.34580
2019,2nd Quintile,West,Eastern Europe,0.50131,122,122,0.41222,0.59040
2019,3rd Quintile,West,Southern Europe,0.21857,38,103,0.13837,0.29878
2019,3rd Quintile,West,Eastern Europe,0.40006,65,103,0.30499,0.49514
2019,4th Quintile,West,Eastern Europe,0.44531,51,51,0.30755,0.58307
2019,5th Quintile,West,Southern Europe,0.24210,42,93,0.15457,0.32963
2019,5th Quintile,West,Eastern Europe,0.28033,51,93,0.18854,0.37211
2020,1st Quintile,West,Southern Europe,0.08514,33,183,0.04459,0.12569
2020,1st Quintile,West,Western Asia,0.21490,51,183,0.15522,0.27458
2020,1st Quintile,West,Eastern Europe,0.25416,99,183,0.19090,0.31741
2020,2nd Quintile,West,Southern Europe,0.30855,32,134,0.23005,0.38705
2020,2nd Quintile,West,Eastern Europe,0.30955,102,134,0.23098,0.38812
2020,3rd Quintile,West,Southern Europe,0.24000,36,106,0.15831,0.32169
2020,3rd Quintile,West,Eastern Europe,0.38196,70,106,0.28902,0.47489
2020,4th Quintile,West,Eastern Europe,0.36132,68,68,0.24629,0.47635
2020,5th Quintile,West,Southern Europe,0.23405,50,101,0.15107,0.31704
2020,5th Quintile,West,Eastern Europe,0.23928,51,101,0.15566,0.32291
2021,1st Quintile,West,Western Asia,0.18489,31,103,0.10955,0.26023
2021,1st Quintile,West,Eastern Europe,0.31896,72,103,0.22851,0.40941
2021,2nd Quintile,West,Eastern Europe,0.35345,76,76,0.24526,0.46164
2021,3rd Quintile,West,Eastern Europe,0.36348,50,50,0.22880,0.49817
2021,4th Quintile,West,Eastern Europe,0.29841,40,40,0.15480,0.44202
2021,5th Quintile,West,Southern Europe,0.32442,33,73,0.21628,0.43256
2021,5th Quintile,West,Eastern Europe,0.28513,40,73,0.18085,0.38942
2022,1st Quintile,West,Western Asia,0.21204,88,166,0.14967,0.27441
2022,1st Quintile,West,Eastern Europe,0.40573,78,166,0.33080,0.48065
2022,2nd Quintile,West,Eastern Europe,0.26563,52,52,0.14441,0.38685
2022,3rd Quintile,West,Eastern Europe,0.22404,37,37,0.08784,0.36025
2022,4th Quintile,West,Eastern Europe,0.29460,34,34,0.13906,0.45014
