year,age_gr,sampreg,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,46-65 y.,West,Eastern Europe,0.64412,157,188,0.57550,0.71274
2014,66 and older,West,Eastern Europe,0.42894,31,31,0.25183,0.60605
2015,17-29 y.,West,Southern Europe,0.15942,39,162,0.10287,0.21597
2015,17-29 y.,West,Western Asia,0.19473,40,162,0.13356,0.25590
2015,17-29 y.,West,Eastern Europe,0.23586,83,162,0.17029,0.30144
2015,30-45 y.,West,Southern Europe,0.19939,69,285,0.15293,0.24586
2015,30-45 y.,West,Western Asia,0.09461,38,285,0.06057,0.12864
2015,30-45 y.,West,Eastern Europe,0.39704,178,285,0.34013,0.45394
2015,46-65 y.,West,Southern Europe,0.08897,38,175,0.04666,0.13127
2015,46-65 y.,West,Eastern Europe,0.52799,137,175,0.45381,0.60217
2016,17-29 y.,West,Southern Europe,0.18486,42,151,0.12274,0.24698
2016,17-29 y.,West,Western Asia,0.14395,36,151,0.08778,0.20013
2016,17-29 y.,West,Eastern Europe,0.24061,73,151,0.17220,0.30902
2016,30-45 y.,West,Southern Europe,0.20122,52,244,0.15082,0.25163
2016,30-45 y.,West,Western Asia,0.11120,37,244,0.07167,0.15073
2016,30-45 y.,West,Eastern Europe,0.37767,155,244,0.31671,0.43862
2016,46-65 y.,West,Southern Europe,0.09534,39,173,0.05145,0.13923
2016,46-65 y.,West,Eastern Europe,0.53852,134,173,0.46402,0.61302
2017,17-29 y.,West,Southern Europe,0.22732,42,146,0.15910,0.29553
2017,17-29 y.,West,Western Asia,0.20097,45,146,0.13574,0.26619
2017,17-29 y.,West,Eastern Europe,0.16466,59,146,0.10429,0.22503
2017,30-45 y.,West,Southern Europe,0.21606,61,250,0.16494,0.26718
2017,30-45 y.,West,Western Asia,0.06723,38,250,0.03613,0.09834
2017,30-45 y.,West,Eastern Europe,0.36540,151,250,0.30559,0.42522
2017,46-65 y.,West,Southern Europe,0.16619,46,190,0.11312,0.21926
2017,46-65 y.,West,Eastern Europe,0.48549,144,190,0.41423,0.55674
2017,66 and older,West,Eastern Europe,0.55192,43,43,0.40152,0.70232
2018,17-29 y.,West,Southern Europe,0.15589,37,136,0.09470,0.21708
2018,17-29 y.,West,Western Asia,0.21802,47,136,0.14837,0.28768
2018,17-29 y.,West,Eastern Europe,0.12118,52,136,0.06613,0.17623
2018,30-45 y.,West,Southern Europe,0.21685,62,254,0.16607,0.26763
2018,30-45 y.,West,Western Asia,0.06616,34,254,0.03554,0.09679
2018,30-45 y.,West,Eastern Europe,0.37144,158,254,0.31190,0.43098
2018,46-65 y.,West,Southern Europe,0.12148,45,196,0.07563,0.16733
2018,46-65 y.,West,Eastern Europe,0.53599,151,196,0.46599,0.60599
2018,66 and older,West,Eastern Europe,0.48424,47,47,0.33981,0.62866
2019,17-29 y.,West,Southern Europe,0.18816,41,122,0.11852,0.25780
2019,17-29 y.,West,Western Asia,0.21592,38,122,0.14261,0.28924
2019,17-29 y.,West,Eastern Europe,0.12415,43,122,0.06539,0.18291
2019,30-45 y.,West,Southern Europe,0.22377,61,204,0.16644,0.28110
2019,30-45 y.,West,Eastern Europe,0.33671,143,204,0.27170,0.40172
2019,46-65 y.,West,Southern Europe,0.13367,54,213,0.08787,0.17948
2019,46-65 y.,West,Eastern Europe,0.52515,159,213,0.45793,0.59237
2019,66 and older,West,Eastern Europe,0.52310,44,44,0.37381,0.67239
2020,17-29 y.,West,Southern Europe,0.16146,49,156,0.10353,0.21939
2020,17-29 y.,West,Western Asia,0.20310,44,156,0.13977,0.26644
2020,17-29 y.,West,Eastern Europe,0.18136,63,156,0.12070,0.24202
2020,30-45 y.,West,Southern Europe,0.20167,69,275,0.15416,0.24919
2020,30-45 y.,West,Western Asia,0.07845,45,275,0.04661,0.11029
2020,30-45 y.,West,Eastern Europe,0.33581,161,275,0.27989,0.39173
2020,46-65 y.,West,Southern Europe,0.32446,63,207,0.26053,0.38840
2020,46-65 y.,West,Eastern Europe,0.30523,144,207,0.24234,0.36811
2020,66 and older,West,Eastern Europe,0.44580,51,51,0.30803,0.58358
2021,17-29 y.,West,Eastern Europe,0.15802,41,41,0.04498,0.27106
2021,30-45 y.,West,Southern Europe,0.29049,53,149,0.21735,0.36363
2021,30-45 y.,West,Eastern Europe,0.29277,96,149,0.21946,0.36608
2021,46-65 y.,West,Southern Europe,0.25456,37,144,0.18316,0.32596
2021,46-65 y.,West,Eastern Europe,0.38418,107,144,0.30446,0.46391
2021,66 and older,West,Eastern Europe,0.50324,34,34,0.33265,0.67384
2022,17-29 y.,West,Southern Europe,0.16909,40,169,0.11241,0.22577
2022,17-29 y.,West,Western Asia,0.27849,73,169,0.21071,0.34628
2022,17-29 y.,West,Eastern Europe,0.20801,56,169,0.14663,0.26938
2022,30-45 y.,West,Southern Europe,0.26304,73,268,0.21023,0.31586
2022,30-45 y.,West,Western Asia,0.07614,78,268,0.04433,0.10795
2022,30-45 y.,West,Eastern Europe,0.26773,117,268,0.21462,0.32085
2022,46-65 y.,West,Southern Europe,0.23468,53,164,0.16962,0.29974
2022,46-65 y.,West,Eastern Europe,0.35191,111,164,0.27859,0.42522
2022,66 and older,West,Eastern Europe,0.39112,35,35,0.22709,0.55516
