year,age_gr,sampreg,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,17-29 y.,West,"Yes, every week",0.07601,176,2192,0.06491,0.08710
2017,17-29 y.,West,"Yes, every 2 weeks",0.09575,232,2192,0.08343,0.10807
2017,17-29 y.,West,"Yes, every 3-4 weeks",0.04718,97,2192,0.03830,0.05606
2017,17-29 y.,West,"Yes, less frequently",0.10545,204,2192,0.09259,0.11831
2017,17-29 y.,East,"No, never",0.61938,289,447,0.57432,0.66444
2017,17-29 y.,East,"Yes, every week",0.07670,31,447,0.05200,0.10139
2017,17-29 y.,East,"Yes, every 2 weeks",0.11042,43,447,0.08134,0.13951
2017,17-29 y.,East,"Yes, every 3-4 weeks",0.06833,32,447,0.04492,0.09175
2017,17-29 y.,East,"Yes, less frequently",0.12517,52,447,0.09446,0.15588
2017,30-45 y.,West,"No, never",0.61470,2965,4654,0.60071,0.62868
2017,30-45 y.,West,"Yes, every week",0.05992,287,4654,0.05310,0.06674
2017,30-45 y.,West,"Yes, every 2 weeks",0.09819,461,4654,0.08964,0.10674
2017,30-45 y.,West,"Yes, every 3-4 weeks",0.06233,293,4654,0.05539,0.06928
2017,30-45 y.,West,"Yes, less frequently",0.16486,648,4654,0.15420,0.17552
2017,30-45 y.,East,"No, never",0.62101,718,1175,0.59326,0.64876
2017,30-45 y.,East,"Yes, every week",0.05664,67,1175,0.04341,0.06986
2017,30-45 y.,East,"Yes, every 2 weeks",0.11222,138,1175,0.09416,0.13027
2017,30-45 y.,East,"Yes, every 3-4 weeks",0.05069,81,1175,0.03814,0.06324
2017,30-45 y.,East,"Yes, less frequently",0.15944,171,1175,0.13850,0.18038
2017,46-65 y.,West,"No, never",0.61660,3759,6097,0.60439,0.62880
2017,46-65 y.,West,"Yes, every week",0.06339,430,6097,0.05728,0.06951
2017,46-65 y.,West,"Yes, every 2 weeks",0.09201,556,6097,0.08476,0.09927
2017,46-65 y.,West,"Yes, every 3-4 weeks",0.06277,410,6097,0.05668,0.06885
2017,46-65 y.,West,"Yes, less frequently",0.16523,942,6097,0.15591,0.17455
2017,46-65 y.,East,"No, never",0.60749,966,1570,0.58333,0.63165
2017,46-65 y.,East,"Yes, every week",0.06249,98,1570,0.05052,0.07447
2017,46-65 y.,East,"Yes, every 2 weeks",0.10011,162,1570,0.08526,0.11496
2017,46-65 y.,East,"Yes, every 3-4 weeks",0.06709,108,1570,0.05471,0.07947
2017,46-65 y.,East,"Yes, less frequently",0.16282,236,1570,0.14455,0.18109
2017,66 and older,West,"No, never",0.64088,220,277,0.58428,0.69748
2017,66 and older,West,"Yes, less frequently",0.18630,57,277,0.14037,0.23223
2017,66 and older,East,"No, never",0.86444,43,43,0.76090,0.96797
2019,17-29 y.,West,"No, never",0.67935,1401,2038,0.65908,0.69962
2019,17-29 y.,West,"Yes, every week",0.06112,133,2038,0.05072,0.07153
2019,17-29 y.,West,"Yes, every 2 weeks",0.10964,217,2038,0.09607,0.12321
2019,17-29 y.,West,"Yes, every 3-4 weeks",0.04570,96,2038,0.03663,0.05476
2019,17-29 y.,West,"Yes, less frequently",0.10419,191,2038,0.09092,0.11746
2019,17-29 y.,East,"No, never",0.60174,246,365,0.55145,0.65203
2019,17-29 y.,East,"Yes, every week",0.09405,35,365,0.06406,0.12404
2019,17-29 y.,East,"Yes, every 2 weeks",0.09122,41,365,0.06164,0.12080
2019,17-29 y.,East,"Yes, less frequently",0.14903,43,365,0.11245,0.18562
2019,30-45 y.,West,"No, never",0.61403,2473,4066,0.59906,0.62899
2019,30-45 y.,West,"Yes, every week",0.06609,284,4066,0.05845,0.07373
2019,30-45 y.,West,"Yes, every 2 weeks",0.10044,408,4066,0.09120,0.10968
2019,30-45 y.,West,"Yes, every 3-4 weeks",0.05141,245,4066,0.04462,0.05820
2019,30-45 y.,West,"Yes, less frequently",0.16804,656,4066,0.15654,0.17953
2019,30-45 y.,East,"No, never",0.61257,669,1089,0.58362,0.64152
2019,30-45 y.,East,"Yes, every week",0.05898,71,1089,0.04498,0.07298
2019,30-45 y.,East,"Yes, every 2 weeks",0.13487,131,1089,0.11457,0.15516
2019,30-45 y.,East,"Yes, every 3-4 weeks",0.04515,63,1089,0.03281,0.05749
2019,30-45 y.,East,"Yes, less frequently",0.14844,155,1089,0.12731,0.16956
2019,46-65 y.,West,"No, never",0.62425,3930,6621,0.61258,0.63592
2019,46-65 y.,West,"Yes, every week",0.06866,518,6621,0.06257,0.07475
2019,46-65 y.,West,"Yes, every 2 weeks",0.08552,589,6621,0.07878,0.09225
2019,46-65 y.,West,"Yes, every 3-4 weeks",0.06377,451,6621,0.05788,0.06966
2019,46-65 y.,West,"Yes, less frequently",0.15781,1133,6621,0.14903,0.16659
2019,46-65 y.,East,"No, never",0.61710,1052,1767,0.59443,0.63977
2019,46-65 y.,East,"Yes, every week",0.05661,113,1767,0.04583,0.06739
2019,46-65 y.,East,"Yes, every 2 weeks",0.10557,194,1767,0.09124,0.11991
2019,46-65 y.,East,"Yes, every 3-4 weeks",0.05792,104,1767,0.04703,0.06882
2019,46-65 y.,East,"Yes, less frequently",0.16279,304,1767,0.14557,0.18001
2019,66 and older,West,"No, never",0.65352,310,459,0.60994,0.69710
2019,66 and older,West,"Yes, every week",0.05303,36,459,0.03251,0.07355
2019,66 and older,West,"Yes, less frequently",0.20992,113,459,0.17262,0.24721
2019,66 and older,East,"No, never",0.66623,80,80,0.56224,0.77022
2021,17-29 y.,West,"No, never",0.67416,989,1524,0.65062,0.69770
2021,17-29 y.,West,"Yes, every week",0.05625,98,1524,0.04468,0.06782
2021,17-29 y.,West,"Yes, every 2 weeks",0.11300,208,1524,0.09710,0.12890
2021,17-29 y.,West,"Yes, every 3-4 weeks",0.04702,63,1524,0.03639,0.05766
2021,17-29 y.,West,"Yes, less frequently",0.10956,166,1524,0.09387,0.12525
2021,17-29 y.,East,"No, never",0.64750,162,194,0.58010,0.71490
2021,17-29 y.,East,"Yes, every 2 weeks",0.10971,32,194,0.06562,0.15380
2021,30-45 y.,West,"No, never",0.62760,1830,2869,0.60991,0.64529
2021,30-45 y.,West,"Yes, every week",0.05883,212,2869,0.05022,0.06745
2021,30-45 y.,West,"Yes, every 2 weeks",0.10011,270,2869,0.08913,0.11110
2021,30-45 y.,West,"Yes, every 3-4 weeks",0.05442,165,2869,0.04612,0.06272
2021,30-45 y.,West,"Yes, less frequently",0.15904,392,2869,0.14565,0.17242
2021,30-45 y.,East,"No, never",0.65418,471,733,0.61972,0.68864
2021,30-45 y.,East,"Yes, every week",0.05342,38,733,0.03713,0.06971
2021,30-45 y.,East,"Yes, every 2 weeks",0.11983,78,733,0.09631,0.14336
2021,30-45 y.,East,"Yes, every 3-4 weeks",0.04209,37,733,0.02754,0.05663
2021,30-45 y.,East,"Yes, less frequently",0.13048,109,733,0.10608,0.15488
2021,46-65 y.,West,"No, never",0.62245,2321,3894,0.60723,0.63768
2021,46-65 y.,West,"Yes, every week",0.07375,320,3894,0.06554,0.08196
2021,46-65 y.,West,"Yes, every 2 weeks",0.08566,381,3894,0.07687,0.09445
2021,46-65 y.,West,"Yes, every 3-4 weeks",0.06077,220,3894,0.05326,0.06827
2021,46-65 y.,West,"Yes, less frequently",0.15737,652,3894,0.14593,0.16881
2021,46-65 y.,East,"No, never",0.60696,570,952,0.57591,0.63800
2021,46-65 y.,East,"Yes, every week",0.05387,67,952,0.03952,0.06822
2021,46-65 y.,East,"Yes, every 2 weeks",0.11161,97,952,0.09160,0.13163
2021,46-65 y.,East,"Yes, every 3-4 weeks",0.07265,66,952,0.05616,0.08915
2021,46-65 y.,East,"Yes, less frequently",0.15491,152,952,0.13191,0.17790
2021,66 and older,West,"No, never",0.66982,156,213,0.60651,0.73312
2021,66 and older,West,"Yes, less frequently",0.18235,57,213,0.13037,0.23432
2021,66 and older,East,"No, never",0.73724,44,44,0.60568,0.86879
