,Unnamed: 0,year,bula_h,regtyp,plb0219_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
108,108,2007,Bavaria,Urban regions,"Yes, less frequently",0.16725,140,10306,0.14322,0.19462
109,109,2007,Bavaria,Rural regions,"No, never",0.60677,556,10306,0.56418,0.65393
110,110,2007,Bavaria,Rural regions,"Yes, every week",0.0544,55,10306,0.04424,0.0684
111,111,2007,Bavaria,Rural regions,"Yes, every 2 weeks",0.06245,56,10306,0.04832,0.0778
112,112,2007,Bavaria,Rural regions,"Yes, every 3-4 weeks",0.0623,48,10306,0.05096,0.07598
113,113,2007,Bavaria,Rural regions,"Yes, less frequently",0.21407,174,10306,0.1872,0.24382
114,114,2007,Berlin,Urban regions,"No, never",0.58986,225,10306,0.52517,0.65373
115,115,2007,Berlin,Urban regions,"Yes, every week",0.08243,33,10306,0.06364,0.10483
116,116,2007,Berlin,Urban regions,"Yes, every 2 weeks",0.07939,41,10306,0.06234,0.10022
117,117,2007,Berlin,Urban regions,"Yes, less frequently",0.24832,94,10306,0.21153,0.28665
118,118,2007,Brandenburg,Rural regions,"No, never",0.57583,207,10306,0.51937,0.64364
119,119,2007,Brandenburg,Rural regions,"Yes, every 2 weeks",0.14944,42,10306,0.10854,0.20423
120,120,2007,Brandenburg,Rural regions,"Yes, less frequently",0.27473,79,10306,0.21958,0.33437
121,121,2007,Mecklenburg-Western Pomerania,Rural regions,"No, never",0.83454,131,10306,0.70164,0.98844
122,122,2007,Mecklenburg-Western Pomerania,Rural regions,"Yes, less frequently",0.16546,33,10306,0.11721,0.21337
123,123,2007,Saxony,Urban regions,"No, never",0.64064,231,10306,0.57389,0.70892
124,124,2007,Saxony,Urban regions,"Yes, every 2 weeks",0.15395,44,10306,0.1177,0.18976
125,125,2007,Saxony,Urban regions,"Yes, less frequently",0.20541,73,10306,0.16115,0.24834
126,126,2007,Saxony,Rural regions,"No, never",0.61854,233,10306,0.55761,0.69414
127,127,2007,Saxony,Rural regions,"Yes, every 2 weeks",0.18782,50,10306,0.13142,0.24522
128,128,2007,Saxony,Rural regions,"Yes, less frequently",0.19364,74,10306,0.1386,0.24056
129,129,2007,Saxony-Anhalt,Urban regions,"No, never",1.0,52,10306,0.81378,1.20813
130,130,2007,Saxony-Anhalt,Rural regions,"No, never",0.61766,190,10306,0.53516,0.71916
131,131,2007,Saxony-Anhalt,Rural regions,"Yes, every 2 weeks",0.12579,44,10306,0.10272,0.14888
132,132,2007,Saxony-Anhalt,Rural regions,"Yes, less frequently",0.25654,68,10306,0.19347,0.32146
133,133,2007,Thuringa,Urban regions,"No, never",0.71099,73,10306,0.55357,0.91777
134,134,2007,Thuringa,Urban regions,"Yes, less frequently",0.28901,32,10306,0.1907,0.419
135,135,2007,Thuringa,Rural regions,"No, never",0.70735,195,10306,0.61543,0.80023
136,136,2007,Thuringa,Rural regions,"Yes, every 2 weeks",0.13275,31,10306,0.08861,0.18943
137,137,2007,Thuringa,Rural regions,"Yes, less frequently",0.1599,55,10306,0.125,0.19869
138,138,2009,Schleswig-Holstein,Urban regions,"No, never",1.0,63,8943,0.79832,1.23842
139,139,2009,Schleswig-Holstein,Rural regions,"No, never",1.0,103,8943,0.81014,1.16168
140,140,2009,Hamburg,Urban regions,"No, never",0.66185,85,8943,0.53906,0.80101
141,141,2009,Hamburg,Urban regions,"Yes, less frequently",0.33815,37,8943,0.2303,0.45628
142,142,2009,Lower Saxony,Urban regions,"No, never",0.57952,245,8943,0.51851,0.65305
143,143,2009,Lower Saxony,Urban regions,"Yes, every week",0.09463,32,8943,0.0627,0.13254
144,144,2009,Lower Saxony,Urban regions,"Yes, every 2 weeks",0.0807,32,8943,0.05697,0.10775
145,145,2009,Lower Saxony,Urban regions,"Yes, less frequently",0.24515,90,8943,0.19316,0.29645
146,146,2009,Lower Saxony,Rural regions,"No, never",0.58842,265,8943,0.5207,0.64987
147,147,2009,Lower Saxony,Rural regions,"Yes, every week",0.08288,41,8943,0.06776,0.10095
148,148,2009,Lower Saxony,Rural regions,"Yes, every 2 weeks",0.08985,46,8943,0.06499,0.11414
149,149,2009,Lower Saxony,Rural regions,"Yes, less frequently",0.23885,99,8943,0.19264,0.29558
150,150,2009,Bremen,Urban regions,"No, never",1.0,33,8943,0.66287,1.3333
151,151,2009,North Rhine-Westphalia,Urban regions,"No, never",0.59748,1205,8943,0.56829,0.63145
152,152,2009,North Rhine-Westphalia,Urban regions,"Yes, every week",0.07246,130,8943,0.0615,0.08613
153,153,2009,North Rhine-Westphalia,Urban regions,"Yes, every 2 weeks",0.0788,156,8943,0.06749,0.09076
154,154,2009,North Rhine-Westphalia,Urban regions,"Yes, every 3-4 weeks",0.05869,108,8943,0.04805,0.07183
155,155,2009,North Rhine-Westphalia,Urban regions,"Yes, less frequently",0.19257,340,8943,0.17522,0.21145
156,156,2009,North Rhine-Westphalia,Rural regions,"No, never",1.0,39,8943,0.75392,1.25701
157,157,2009,Hesse,Urban regions,"No, never",0.57809,330,8943,0.52282,0.6372
158,158,2009,Hesse,Urban regions,"Yes, every week",0.0677,44,8943,0.05159,0.08673
159,159,2009,Hesse,Urban regions,"Yes, every 2 weeks",0.09243,56,8943,0.07243,0.11381
160,160,2009,Hesse,Urban regions,"Yes, every 3-4 weeks",0.06105,37,8943,0.03877,0.08443
161,161,2009,Hesse,Urban regions,"Yes, less frequently",0.20074,138,8943,0.17136,0.23733
162,162,2009,Hesse,Rural regions,"No, never",1.0,70,8943,0.80424,1.25596
163,163,2009,"Rhineland-Palatinate, Saarland",Urban regions,"No, never",0.68688,259,8943,0.62163,0.76763
164,164,2009,"Rhineland-Palatinate, Saarland",Urban regions,"Yes, every 2 weeks",0.09897,37,8943,0.07207,0.13237
165,165,2009,"Rhineland-Palatinate, Saarland",Urban regions,"Yes, less frequently",0.21414,83,8943,0.17502,0.26141
166,166,2009,"Rhineland-Palatinate, Saarland",Rural regions,"No, never",1.0,71,8943,0.81187,1.20185
167,167,2009,Baden-Wuerttemberg,Urban regions,"No, never",0.67452,743,8943,0.61997,0.72809
168,168,2009,Baden-Wuerttemberg,Urban regions,"Yes, every week",0.05248,56,8943,0.03725,0.07586
169,169,2009,Baden-Wuerttemberg,Urban regions,"Yes, every 2 weeks",0.06932,78,8943,0.05309,0.08789
170,170,2009,Baden-Wuerttemberg,Urban regions,"Yes, every 3-4 weeks",0.06754,54,8943,0.05096,0.08636
171,171,2009,Baden-Wuerttemberg,Urban regions,"Yes, less frequently",0.13615,158,8943,0.11675,0.15901
172,172,2009,Baden-Wuerttemberg,Rural regions,"No, never",1.0,64,8943,0.76388,1.23188
173,173,2009,Bavaria,Urban regions,"No, never",0.58494,387,8943,0.52514,0.65418
174,174,2009,Bavaria,Urban regions,"Yes, every week",0.07223,62,8943,0.05569,0.08849
175,175,2009,Bavaria,Urban regions,"Yes, every 2 weeks",0.08669,58,8943,0.06262,0.1094
176,176,2009,Bavaria,Urban regions,"Yes, every 3-4 weeks",0.03806,32,8943,0.02664,0.05021
177,177,2009,Bavaria,Urban regions,"Yes, less frequently",0.21808,144,8943,0.1776,0.25485
178,178,2009,Bavaria,Rural regions,"No, never",0.64004,508,8943,0.59004,0.70742
179,179,2009,Bavaria,Rural regions,"Yes, every week",0.04987,46,8943,0.03217,0.0701
180,180,2009,Bavaria,Rural regions,"Yes, every 2 weeks",0.07671,68,8943,0.06592,0.08813
181,181,2009,Bavaria,Rural regions,"Yes, every 3-4 weeks",0.0406,37,8943,0.02994,0.0521
182,182,2009,Bavaria,Rural regions,"Yes, less frequently",0.19277,145,8943,0.16106,0.22541
183,183,2009,Berlin,Urban regions,"No, never",0.58617,181,8943,0.50539,0.64901
184,184,2009,Berlin,Urban regions,"Yes, every week",0.11712,41,8943,0.094,0.1479
185,185,2009,Berlin,Urban regions,"Yes, every 2 weeks",0.09718,36,8943,0.07136,0.12691
186,186,2009,Berlin,Urban regions,"Yes, less frequently",0.19954,89,8943,0.16414,0.23589
187,187,2009,Brandenburg,Rural regions,"No, never",0.60492,190,8943,0.5287,0.68702
188,188,2009,Brandenburg,Rural regions,"Yes, every 2 weeks",0.14869,32,8943,0.10238,0.20814
189,189,2009,Brandenburg,Rural regions,"Yes, less frequently",0.24639,61,8943,0.18841,0.30436
190,190,2009,Mecklenburg-Western Pomerania,Rural regions,"No, never",0.78687,121,8943,0.64263,0.95117
191,191,2009,Mecklenburg-Western Pomerania,Rural regions,"Yes, less frequently",0.21313,37,8943,0.16331,0.26715
192,192,2009,Saxony,Urban regions,"No, never",0.61045,211,8943,0.5193,0.72386
193,193,2009,Saxony,Urban regions,"Yes, every 2 weeks",0.09341,33,8943,0.07229,0.12092
194,194,2009,Saxony,Urban regions,"Yes, less frequently",0.29613,74,8943,0.23416,0.39007
195,195,2009,Saxony,Rural regions,"No, never",0.65659,212,8943,0.57301,0.7432
196,196,2009,Saxony,Rural regions,"Yes, every 2 weeks",0.11161,38,8943,0.07911,0.15652
197,197,2009,Saxony,Rural regions,"Yes, less frequently",0.2318,72,8943,0.17944,0.28875
198,198,2009,Saxony-Anhalt,Urban regions,"No, never",1.0,39,8943,0.73942,1.2814
199,199,2009,Saxony-Anhalt,Rural regions,"No, never",0.70417,183,8943,0.60392,0.83562
200,200,2009,Saxony-Anhalt,Rural regions,"Yes, every 2 weeks",0.12468,44,8943,0.09713,0.15313
201,201,2009,Saxony-Anhalt,Rural regions,"Yes, less frequently",0.17116,59,8943,0.12272,0.21712
202,202,2009,Thuringa,Urban regions,"No, never",1.0,64,8943,0.7271,1.31032
203,203,2009,Thuringa,Rural regions,"No, never",0.76719,162,8943,0.65652,0.89073
204,204,2009,Thuringa,Rural regions,"Yes, less frequently",0.23281,50,8943,0.16929,0.29548
205,205,2011,Schleswig-Holstein,Urban regions,"No, never",0.72703,107,15799,0.56313,0.92083
206,206,2011,Schleswig-Holstein,Urban regions,"Yes, less frequently",0.27297,32,15799,0.16489,0.43695
207,207,2011,Schleswig-Holstein,Rural regions,"No, never",0.6776,223,15799,0.60014,0.78905
208,208,2011,Schleswig-Holstein,Rural regions,"Yes, every 2 weeks",0.09047,43,15799,0.06021,0.1323
209,209,2011,Schleswig-Holstein,Rural regions,"Yes, less frequently",0.23194,72,15799,0.18263,0.2981
210,210,2011,Hamburg,Urban regions,"No, never",0.82759,151,15799,0.66649,1.02816
211,211,2011,Hamburg,Urban regions,"Yes, less frequently",0.17241,40,15799,0.11023,0.24223
212,212,2011,Lower Saxony,Urban regions,"No, never",0.57821,377,15799,0.51495,0.63642
213,213,2011,Lower Saxony,Urban regions,"Yes, every week",0.06998,55,15799,0.05305,0.08874
214,214,2011,Lower Saxony,Urban regions,"Yes, every 2 weeks",0.13279,71,15799,0.09303,0.18875
215,215,2011,Lower Saxony,Urban regions,"Yes, every 3-4 weeks",0.0545,33,15799,0.03694,0.07298
216,216,2011,Lower Saxony,Urban regions,"Yes, less frequently",0.16452,116,15799,0.12618,0.20456
217,217,2011,Lower Saxony,Rural regions,"No, never",0.62251,530,15799,0.56415,0.69074
218,218,2011,Lower Saxony,Rural regions,"Yes, every week",0.06042,57,15799,0.04359,0.07698
219,219,2011,Lower Saxony,Rural regions,"Yes, every 2 weeks",0.09645,89,15799,0.0787,0.12154
220,220,2011,Lower Saxony,Rural regions,"Yes, every 3-4 weeks",0.04252,47,15799,0.02692,0.06443
221,221,2011,Lower Saxony,Rural regions,"Yes, less frequently",0.1781,149,15799,0.14163,0.21169
222,222,2011,Bremen,Urban regions,"No, never",1.0,57,15799,0.75979,1.28023
223,223,2011,North Rhine-Westphalia,Urban regions,"No, never",0.60985,1978,15799,0.5769,0.64052
224,224,2011,North Rhine-Westphalia,Urban regions,"Yes, every week",0.08304,239,15799,0.07098,0.09464
225,225,2011,North Rhine-Westphalia,Urban regions,"Yes, every 2 weeks",0.09395,298,15799,0.08241,0.1057
226,226,2011,North Rhine-Westphalia,Urban regions,"Yes, every 3-4 weeks",0.04694,162,15799,0.03838,0.05487
227,227,2011,North Rhine-Westphalia,Urban regions,"Yes, less frequently",0.16622,506,15799,0.15072,0.18587
228,228,2011,North Rhine-Westphalia,Rural regions,"No, never",1.0,57,15799,0.78384,1.2591
229,229,2011,Hesse,Urban regions,"No, never",0.59236,531,15799,0.53194,0.64853
230,230,2011,Hesse,Urban regions,"Yes, every week",0.05825,78,15799,0.04531,0.07212
231,231,2011,Hesse,Urban regions,"Yes, every 2 weeks",0.0857,87,15799,0.06566,0.11306
232,232,2011,Hesse,Urban regions,"Yes, every 3-4 weeks",0.06189,71,15799,0.04846,0.07971
233,233,2011,Hesse,Urban regions,"Yes, less frequently",0.2018,188,15799,0.17244,0.23026
234,234,2011,Hesse,Rural regions,"No, never",0.56738,132,15799,0.46115,0.68689
235,235,2011,Hesse,Rural regions,"Yes, every 2 weeks",0.1363,31,15799,0.09117,0.19282
236,236,2011,Hesse,Rural regions,"Yes, less frequently",0.29632,47,15799,0.20085,0.4044
237,237,2011,"Rhineland-Palatinate, Saarland",Urban regions,"No, never",0.58193,409,15799,0.51287,0.63749
238,238,2011,"Rhineland-Palatinate, Saarland",Urban regions,"Yes, every week",0.11199,60,15799,0.08421,0.14029
239,239,2011,"Rhineland-Palatinate, Saarland",Urban regions,"Yes, every 2 weeks",0.08998,63,15799,0.06746,0.11288
240,240,2011,"Rhineland-Palatinate, Saarland",Urban regions,"Yes, every 3-4 weeks",0.05542,35,15799,0.03721,0.08186
241,241,2011,"Rhineland-Palatinate, Saarland",Urban regions,"Yes, less frequently",0.16069,105,15799,0.13174,0.19884
242,242,2011,"Rhineland-Palatinate, Saarland",Rural regions,"No, never",0.73105,148,15799,0.60793,0.86274
243,243,2011,"Rhineland-Palatinate, Saarland",Rural regions,"Yes, less frequently",0.26895,43,15799,0.18785,0.37836
244,244,2011,Baden-Wuerttemberg,Urban regions,"No, never",0.65246,1244,15799,0.60507,0.69355
245,245,2011,Baden-Wuerttemberg,Urban regions,"Yes, every week",0.05483,112,15799,0.04186,0.0687
246,246,2011,Baden-Wuerttemberg,Urban regions,"Yes, every 2 weeks",0.10154,157,15799,0.08338,0.12102
247,247,2011,Baden-Wuerttemberg,Urban regions,"Yes, every 3-4 weeks",0.04041,80,15799,0.03145,0.05068
248,248,2011,Baden-Wuerttemberg,Urban regions,"Yes, less frequently",0.15077,305,15799,0.13003,0.17127
249,249,2011,Baden-Wuerttemberg,Rural regions,"No, never",0.72111,153,15799,0.56675,0.894
250,250,2011,Baden-Wuerttemberg,Rural regions,"Yes, less frequently",0.27889,45,15799,0.17634,0.42069
251,251,2011,Bavaria,Urban regions,"No, never",0.62074,684,15799,0.57076,0.67711
252,252,2011,Bavaria,Urban regions,"Yes, every week",0.08231,83,15799,0.06553,0.10451
253,253,2011,Bavaria,Urban regions,"Yes, every 2 weeks",0.07647,113,15799,0.06331,0.09035
254,254,2011,Bavaria,Urban regions,"Yes, every 3-4 weeks",0.05827,70,15799,0.04251,0.07651
255,255,2011,Bavaria,Urban regions,"Yes, less frequently",0.16221,189,15799,0.13891,0.19251
256,256,2011,Bavaria,Rural regions,"No, never",0.62473,992,15799,0.58553,0.67412
257,257,2011,Bavaria,Rural regions,"Yes, every week",0.05409,100,15799,0.04257,0.06517
258,258,2011,Bavaria,Rural regions,"Yes, every 2 weeks",0.08599,138,15799,0.07011,0.10222
259,259,2011,Bavaria,Rural regions,"Yes, every 3-4 weeks",0.06487,86,15799,0.04721,0.08612
260,260,2011,Bavaria,Rural regions,"Yes, less frequently",0.17031,244,15799,0.14166,0.20263
261,261,2011,Berlin,Urban regions,"No, never",0.56971,299,15799,0.50905,0.65173
262,262,2011,Berlin,Urban regions,"Yes, every week",0.11112,62,15799,0.08287,0.14174
263,263,2011,Berlin,Urban regions,"Yes, every 2 weeks",0.06466,45,15799,0.05087,0.07877
264,264,2011,Berlin,Urban regions,"Yes, every 3-4 weeks",0.05443,37,15799,0.03522,0.07908
265,265,2011,Berlin,Urban regions,"Yes, less frequently",0.20008,117,15799,0.16498,0.23611
266,266,2011,Brandenburg,Urban regions,"No, never",1.0,33,15799,0.76311,1.24689
267,267,2011,Brandenburg,Rural regions,"No, never",0.49439,279,15799,0.42963,0.57215
268,268,2011,Brandenburg,Rural regions,"Yes, every week",0.07929,47,15799,0.06094,0.10923
269,269,2011,Brandenburg,Rural regions,"Yes, every 2 weeks",0.10928,76,15799,0.09132,0.12863
270,270,2011,Brandenburg,Rural regions,"Yes, every 3-4 weeks",0.09018,45,15799,0.06497,0.12388
271,271,2011,Brandenburg,Rural regions,"Yes, less frequently",0.22687,101,15799,0.17305,0.28658
