,Unnamed: 0,year,migback,sex,ple0019,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
34,34,2015,No migration background,female,Yes,0.10369,1042,25010,0.09734,0.1098
35,35,2015,No migration background,female,No,0.89631,9264,25010,0.87748,0.91561
36,36,2015,Direct migration background,male,Yes,0.05836,74,25010,0.04503,0.07415
37,37,2015,Direct migration background,male,No,0.94164,1905,25010,0.88485,1.00241
38,38,2015,Direct migration background,female,Yes,0.09698,191,25010,0.08093,0.1137
39,39,2015,Direct migration background,female,No,0.90302,2245,25010,0.84674,0.94333
40,40,2015,Indirect migration background,male,No,1.0,692,25010,0.91077,1.08137
41,41,2015,Indirect migration background,female,Yes,0.07421,58,25010,0.05872,0.09262
42,42,2015,Indirect migration background,female,No,0.92579,782,25010,0.83607,1.00139
43,43,2017,No migration background,male,Yes,0.06374,520,26549,0.05835,0.06976
44,44,2017,No migration background,male,No,0.93626,8869,26549,0.91818,0.95742
45,45,2017,No migration background,female,Yes,0.10985,1121,26549,0.10408,0.11602
46,46,2017,No migration background,female,No,0.89015,9648,26549,0.86898,0.90545
47,47,2017,Direct migration background,male,Yes,0.06083,104,26549,0.04791,0.07581
48,48,2017,Direct migration background,male,No,0.93917,2005,26549,0.88242,1.0018
49,49,2017,Direct migration background,female,Yes,0.1,222,26549,0.08429,0.11659
50,50,2017,Direct migration background,female,No,0.9,2423,26549,0.84866,0.9523
51,51,2017,Indirect migration background,male,Yes,0.04647,37,26549,0.03025,0.06478
52,52,2017,Indirect migration background,male,No,0.95353,726,26549,0.88009,1.04393
53,53,2017,Indirect migration background,female,Yes,0.07058,61,26549,0.0523,0.08542
54,54,2017,Indirect migration background,female,No,0.92942,813,26549,0.85067,1.03348
55,55,2019,No migration background,male,Yes,0.07878,669,25718,0.07233,0.08459
56,56,2019,No migration background,male,No,0.92122,9087,25718,0.90028,0.94771
57,57,2019,No migration background,female,Yes,0.12401,1251,25718,0.11633,0.13127
58,58,2019,No migration background,female,No,0.87599,9169,25718,0.85443,0.89761
59,59,2019,Direct migration background,male,Yes,0.04439,81,25718,0.03358,0.05683
60,60,2019,Direct migration background,male,No,0.95561,1699,25718,0.88409,1.0178
61,61,2019,Direct migration background,female,Yes,0.11174,209,25718,0.09384,0.13641
62,62,2019,Direct migration background,female,No,0.88826,1974,25718,0.84044,0.93838
63,63,2019,Indirect migration background,male,Yes,0.03337,47,25718,0.02558,0.04284
64,64,2019,Indirect migration background,male,No,0.96663,695,25718,0.87857,1.05309
65,65,2019,Indirect migration background,female,Yes,0.12989,94,25718,0.09512,0.16937
66,66,2019,Indirect migration background,female,No,0.87011,743,25718,0.80188,0.94062
67,67,2021,No migration background,male,Yes,0.08898,475,19129,0.08051,0.09765
68,68,2021,No migration background,male,No,0.91102,5721,19129,0.87689,0.94059
69,69,2021,No migration background,female,Yes,0.13191,896,19129,0.12276,0.14253
70,70,2021,No migration background,female,No,0.86809,6010,19129,0.84092,0.89695
71,71,2021,Direct migration background,male,Yes,0.06894,131,19129,0.04932,0.09773
72,72,2021,Direct migration background,male,No,0.93106,2530,19129,0.84803,1.03979
73,73,2021,Direct migration background,female,Yes,0.11921,223,19129,0.09493,0.14582
74,74,2021,Direct migration background,female,No,0.88079,2236,19129,0.78117,0.96715
75,75,2021,Indirect migration background,male,No,1.0,407,19129,0.87236,1.15351
76,76,2021,Indirect migration background,female,Yes,0.15576,78,19129,0.10024,0.22722
77,77,2021,Indirect migration background,female,No,0.84424,422,19129,0.72006,0.96021
