year,age_gr,sampreg,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,30-45 y.,East,Yes,0.44420,670,1451,0.41863,0.46978
2017,30-45 y.,East,No,0.53174,781,1451,0.50605,0.55742
2017,46-65 y.,West,Yes,0.70200,5268,7750,0.69181,0.71218
2017,46-65 y.,West,No,0.28799,2482,7750,0.27791,0.29807
2017,46-65 y.,East,Yes,0.74559,1561,2160,0.72722,0.76397
2017,46-65 y.,East,No,0.24407,599,2160,0.22595,0.26219
2017,66 and older,West,Yes,0.87014,3232,3723,0.85934,0.88094
2017,66 and older,West,No,0.12310,491,3723,0.11255,0.13366
2017,66 and older,East,Yes,0.88847,1092,1216,0.87076,0.90617
2017,66 and older,East,No,0.10969,124,1216,0.09211,0.12726
2019,17-29 y.,West,Yes,0.35344,1182,3160,0.33677,0.37011
2019,17-29 y.,West,No,0.54183,1978,3160,0.52446,0.55921
2019,17-29 y.,East,Yes,0.42686,279,634,0.38833,0.46539
2019,17-29 y.,East,No,0.45665,355,634,0.41785,0.49546
2019,30-45 y.,West,Yes,0.48241,2465,4875,0.46838,0.49644
2019,30-45 y.,West,No,0.49104,2410,4875,0.47700,0.50507
2019,30-45 y.,East,Yes,0.49778,692,1318,0.47078,0.52479
2019,30-45 y.,East,No,0.48146,626,1318,0.45447,0.50844
2019,46-65 y.,West,Yes,0.73761,5692,8047,0.72799,0.74722
2019,46-65 y.,West,No,0.24682,2355,8047,0.23740,0.25624
2019,46-65 y.,East,Yes,0.77485,1678,2255,0.75761,0.79210
2019,46-65 y.,East,No,0.21343,577,2255,0.19652,0.23035
2019,66 and older,West,Yes,0.89678,3424,3855,0.88717,0.90638
2019,66 and older,West,No,0.09877,431,3855,0.08935,0.10819
2019,66 and older,East,Yes,0.89120,1164,1294,0.87423,0.90817
2019,66 and older,East,No,0.09999,130,1294,0.08364,0.11635
2021,17-29 y.,West,Yes,0.35864,945,2704,0.34056,0.37673
2021,17-29 y.,West,No,0.56598,1759,2704,0.54729,0.58466
2021,17-29 y.,East,Yes,0.40580,183,475,0.36159,0.45001
2021,17-29 y.,East,No,0.50598,292,475,0.46097,0.55099
2021,30-45 y.,West,Yes,0.50709,2010,4157,0.49189,0.52229
2021,30-45 y.,West,No,0.47520,2147,4157,0.46002,0.49038
2021,30-45 y.,East,Yes,0.51275,540,1049,0.48248,0.54301
2021,30-45 y.,East,No,0.47565,509,1049,0.44541,0.50588
2021,46-65 y.,West,Yes,0.74470,4143,5747,0.73342,0.75597
2021,46-65 y.,West,No,0.24782,1604,5747,0.23666,0.25899
2021,46-65 y.,East,Yes,0.72688,1083,1469,0.70409,0.74968
2021,46-65 y.,East,No,0.25570,386,1469,0.23338,0.27801
2021,66 and older,West,Yes,0.90627,2406,2709,0.89529,0.91724
2021,66 and older,West,No,0.08674,303,2709,0.07613,0.09734
2021,66 and older,East,Yes,0.88233,755,854,0.86071,0.90395
2021,66 and older,East,No,0.10219,99,854,0.08186,0.12251
