year,age_gr,pgisced97,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,46-65 y.,Lower Secondary Level,Yes,0.72818,502,697,0.69513,0.76123
2017,46-65 y.,Lower Secondary Level,No,0.26694,195,697,0.23407,0.29980
2017,46-65 y.,Upper Secondary Level,Yes,0.73207,3411,4770,0.71950,0.74463
2017,46-65 y.,Upper Secondary Level,No,0.25902,1359,4770,0.24658,0.27145
2017,46-65 y.,Post-secondary Non-tertiary Level,Yes,0.71144,565,848,0.68093,0.74196
2017,46-65 y.,Post-secondary Non-tertiary Level,No,0.28428,283,848,0.25390,0.31466
2017,46-65 y.,First Stage of Tertiary Education,Yes,0.71901,554,777,0.68738,0.75063
2017,46-65 y.,First Stage of Tertiary Education,No,0.25536,223,777,0.22468,0.28604
2017,46-65 y.,Second Stage of Tertiary Education,Yes,0.64361,1637,2613,0.62525,0.66198
2017,46-65 y.,Second Stage of Tertiary Education,No,0.34943,976,2613,0.33115,0.36772
2017,66 and older,Primary Level,Yes,0.92188,40,40,0.83766,1.00611
2017,66 and older,Lower Secondary Level,Yes,0.88027,532,598,0.85423,0.90631
2017,66 and older,Lower Secondary Level,No,0.10654,66,598,0.08179,0.13129
2017,66 and older,Upper Secondary Level,Yes,0.87893,2230,2540,0.86625,0.89162
2017,66 and older,Upper Secondary Level,No,0.11590,310,2540,0.10345,0.12836
2017,66 and older,Post-secondary Non-tertiary Level,Yes,0.88904,119,119,0.83237,0.94571
2017,66 and older,First Stage of Tertiary Education,Yes,0.84219,299,342,0.80349,0.88088
2017,66 and older,First Stage of Tertiary Education,No,0.15781,43,342,0.11912,0.19651
2017,66 and older,Second Stage of Tertiary Education,Yes,0.85833,1080,1250,0.83899,0.87767
2017,66 and older,Second Stage of Tertiary Education,No,0.13644,170,1250,0.11740,0.15548
2019,17-29 y.,Pre-primary Level,Yes,0.20940,97,330,0.16544,0.25337
2019,17-29 y.,Pre-primary Level,No,0.38620,233,330,0.33359,0.43882
2019,17-29 y.,Primary Level,Yes,0.33475,35,72,0.22498,0.44452
2019,17-29 y.,Primary Level,No,0.29896,37,72,0.19247,0.40545
2019,17-29 y.,Lower Secondary Level,Yes,0.34789,274,686,0.31222,0.38356
2019,17-29 y.,Lower Secondary Level,No,0.48090,412,686,0.44349,0.51832
2019,17-29 y.,Upper Secondary Level,Yes,0.38392,574,1543,0.35965,0.40820
2019,17-29 y.,Upper Secondary Level,No,0.60061,969,1543,0.57616,0.62505
2019,17-29 y.,Post-secondary Non-tertiary Level,Yes,0.45501,123,281,0.39669,0.51334
2019,17-29 y.,Post-secondary Non-tertiary Level,No,0.52495,158,281,0.46646,0.58344
2019,17-29 y.,First Stage of Tertiary Education,No,0.51002,36,36,0.34440,0.67564
2019,17-29 y.,Second Stage of Tertiary Education,Yes,0.37747,183,439,0.33208,0.42287
2019,17-29 y.,Second Stage of Tertiary Education,No,0.57331,256,439,0.52699,0.61963
2019,30-45 y.,Primary Level,Yes,0.45625,80,144,0.37461,0.53789
2019,30-45 y.,Primary Level,No,0.38728,64,144,0.30744,0.46712
2019,30-45 y.,Lower Secondary Level,Yes,0.47221,271,518,0.42917,0.51524
2019,30-45 y.,Lower Secondary Level,No,0.48322,247,518,0.44015,0.52630
2019,30-45 y.,Upper Secondary Level,Yes,0.55155,1322,2342,0.53140,0.57170
2019,30-45 y.,Upper Secondary Level,No,0.42729,1020,2342,0.40725,0.44733
2019,30-45 y.,Post-secondary Non-tertiary Level,Yes,0.48182,370,783,0.44680,0.51684
2019,30-45 y.,Post-secondary Non-tertiary Level,No,0.51045,413,783,0.47541,0.54548
2019,30-45 y.,First Stage of Tertiary Education,Yes,0.43464,177,351,0.38271,0.48658
2019,30-45 y.,First Stage of Tertiary Education,No,0.55632,174,351,0.50427,0.60837
2019,30-45 y.,Second Stage of Tertiary Education,Yes,0.43243,928,2005,0.41074,0.45412
2019,30-45 y.,Second Stage of Tertiary Education,No,0.54681,1077,2005,0.52501,0.56860
2019,46-65 y.,Primary Level,Yes,0.78478,110,110,0.70763,0.86193
2019,46-65 y.,Lower Secondary Level,Yes,0.77230,486,650,0.74004,0.80456
2019,46-65 y.,Lower Secondary Level,No,0.21132,164,650,0.17991,0.24273
2019,46-65 y.,Upper Secondary Level,Yes,0.76722,3432,4613,0.75503,0.77942
2019,46-65 y.,Upper Secondary Level,No,0.22102,1181,4613,0.20904,0.23299
2019,46-65 y.,Post-secondary Non-tertiary Level,Yes,0.70822,646,933,0.67903,0.73740
2019,46-65 y.,Post-secondary Non-tertiary Level,No,0.28683,287,933,0.25779,0.31587
2019,46-65 y.,First Stage of Tertiary Education,Yes,0.75459,645,863,0.72586,0.78331
2019,46-65 y.,First Stage of Tertiary Education,No,0.23251,218,863,0.20431,0.26071
2019,46-65 y.,Second Stage of Tertiary Education,Yes,0.68843,2030,3071,0.67205,0.70482
2019,46-65 y.,Second Stage of Tertiary Education,No,0.29507,1041,3071,0.27893,0.31120
2019,66 and older,Lower Secondary Level,Yes,0.90134,488,547,0.87633,0.92635
2019,66 and older,Lower Secondary Level,No,0.09330,59,547,0.06890,0.11769
2019,66 and older,Upper Secondary Level,Yes,0.90561,2296,2561,0.89429,0.91694
2019,66 and older,Upper Secondary Level,No,0.09033,265,2561,0.07922,0.10143
2019,66 and older,Post-secondary Non-tertiary Level,Yes,0.91948,150,150,0.87579,0.96317
2019,66 and older,First Stage of Tertiary Education,Yes,0.86898,341,381,0.83505,0.90291
2019,66 and older,First Stage of Tertiary Education,No,0.11602,40,381,0.08382,0.14822
2019,66 and older,Second Stage of Tertiary Education,Yes,0.87305,1268,1443,0.85586,0.89023
2019,66 and older,Second Stage of Tertiary Education,No,0.12164,175,1443,0.10477,0.13851
2021,17-29 y.,Pre-primary Level,Yes,0.19847,56,189,0.14146,0.25549
2021,17-29 y.,Pre-primary Level,No,0.31027,133,189,0.24414,0.37640
2021,17-29 y.,Primary Level,Yes,0.17993,62,215,0.12846,0.23140
2021,17-29 y.,Primary Level,No,0.72329,153,215,0.66335,0.78323
2021,17-29 y.,Lower Secondary Level,Yes,0.38420,196,543,0.34325,0.42515
2021,17-29 y.,Lower Secondary Level,No,0.50842,347,543,0.46633,0.55051
2021,17-29 y.,Upper Secondary Level,Yes,0.40586,437,1176,0.37779,0.43394
2021,17-29 y.,Upper Secondary Level,No,0.56692,739,1176,0.53859,0.59526
2021,17-29 y.,Post-secondary Non-tertiary Level,Yes,0.41472,101,238,0.35200,0.47745
2021,17-29 y.,Post-secondary Non-tertiary Level,No,0.57756,137,238,0.51468,0.64045
2021,17-29 y.,Second Stage of Tertiary Education,Yes,0.36293,177,518,0.32148,0.40438
2021,17-29 y.,Second Stage of Tertiary Education,No,0.62862,341,518,0.58697,0.67027
2021,30-45 y.,Primary Level,Yes,0.45396,188,461,0.40846,0.49946
2021,30-45 y.,Primary Level,No,0.38325,273,461,0.33882,0.42768
2021,30-45 y.,Lower Secondary Level,Yes,0.61901,231,475,0.57530,0.66273
2021,30-45 y.,Lower Secondary Level,No,0.35899,244,475,0.31580,0.40217
2021,30-45 y.,Upper Secondary Level,Yes,0.54931,860,1529,0.52437,0.57426
2021,30-45 y.,Upper Secondary Level,No,0.43168,669,1529,0.40684,0.45651
2021,30-45 y.,Post-secondary Non-tertiary Level,Yes,0.59194,299,544,0.55060,0.63328
2021,30-45 y.,Post-secondary Non-tertiary Level,No,0.40400,245,544,0.36273,0.44527
2021,30-45 y.,First Stage of Tertiary Education,Yes,0.46248,99,193,0.39196,0.53301
2021,30-45 y.,First Stage of Tertiary Education,No,0.53646,94,193,0.46593,0.60700
2021,30-45 y.,Second Stage of Tertiary Education,Yes,0.43879,763,1741,0.41547,0.46211
2021,30-45 y.,Second Stage of Tertiary Education,No,0.55102,978,1741,0.52765,0.57440
2021,46-65 y.,Primary Level,Yes,0.87231,172,225,0.82860,0.91602
2021,46-65 y.,Primary Level,No,0.10381,53,225,0.06386,0.14375
2021,46-65 y.,Lower Secondary Level,Yes,0.82629,323,419,0.78997,0.86261
2021,46-65 y.,Lower Secondary Level,No,0.16769,96,419,0.13188,0.20351
2021,46-65 y.,Upper Secondary Level,Yes,0.74642,2166,2882,0.73053,0.76231
2021,46-65 y.,Upper Secondary Level,No,0.24335,716,2882,0.22768,0.25902
2021,46-65 y.,Post-secondary Non-tertiary Level,Yes,0.77522,501,687,0.74398,0.80645
2021,46-65 y.,Post-secondary Non-tertiary Level,No,0.22031,186,687,0.18930,0.25133
2021,46-65 y.,First Stage of Tertiary Education,Yes,0.74988,381,506,0.71211,0.78765
2021,46-65 y.,First Stage of Tertiary Education,No,0.24348,125,506,0.20605,0.28092
2021,46-65 y.,Second Stage of Tertiary Education,Yes,0.68161,1527,2275,0.66246,0.70075
2021,46-65 y.,Second Stage of Tertiary Education,No,0.30800,748,2275,0.28903,0.32698
2021,66 and older,Lower Secondary Level,Yes,0.90643,274,306,0.87375,0.93912
2021,66 and older,Lower Secondary Level,No,0.08976,32,306,0.05768,0.12183
2021,66 and older,Upper Secondary Level,Yes,0.91958,1531,1709,0.90669,0.93248
2021,66 and older,Upper Secondary Level,No,0.07317,178,1709,0.06082,0.08552
2021,66 and older,Post-secondary Non-tertiary Level,Yes,0.93800,112,112,0.89313,0.98286
2021,66 and older,First Stage of Tertiary Education,Yes,0.88570,237,237,0.84511,0.92630
2021,66 and older,Second Stage of Tertiary Education,Yes,0.85978,945,1102,0.83927,0.88029
2021,66 and older,Second Stage of Tertiary Education,No,0.12751,157,1102,0.10781,0.14721
