year,age_gr,regtyp,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,46-65 y.,Urban regions,Yes,0.69896,4284,6235,0.68758,0.71035
2017,46-65 y.,Urban regions,No,0.28989,1951,6235,0.27862,0.30115
2017,46-65 y.,Rural regions,Yes,0.73103,2545,3675,0.71669,0.74537
2017,46-65 y.,Rural regions,No,0.26098,1130,3675,0.24678,0.27518
2017,66 and older,Urban regions,Yes,0.86623,2688,3093,0.85423,0.87823
2017,66 and older,Urban regions,No,0.12933,405,3093,0.11750,0.14115
2017,66 and older,Rural regions,Yes,0.88780,1636,1846,0.87340,0.90220
2017,66 and older,Rural regions,No,0.10320,210,1846,0.08931,0.11708
2019,17-29 y.,Urban regions,Yes,0.37463,982,2537,0.35579,0.39347
2019,17-29 y.,Urban regions,No,0.52864,1555,2537,0.50921,0.54807
2019,17-29 y.,Rural regions,Yes,0.31286,409,1149,0.28604,0.33968
2019,17-29 y.,Rural regions,No,0.54806,740,1149,0.51927,0.57685
2019,30-45 y.,Urban regions,Yes,0.46810,2003,4002,0.45264,0.48356
2019,30-45 y.,Urban regions,No,0.50338,1999,4002,0.48789,0.51888
2019,30-45 y.,Rural regions,Yes,0.51384,1063,2063,0.49227,0.53542
2019,30-45 y.,Rural regions,No,0.46674,1000,2063,0.44521,0.48827
2019,46-65 y.,Urban regions,Yes,0.73503,4583,6463,0.72427,0.74579
2019,46-65 y.,Urban regions,No,0.24726,1880,6463,0.23674,0.25778
2019,46-65 y.,Rural regions,Yes,0.76039,2648,3670,0.74658,0.77420
2019,46-65 y.,Rural regions,No,0.22975,1022,3670,0.21613,0.24336
2019,66 and older,Urban regions,Yes,0.88926,2848,3210,0.87841,0.90012
2019,66 and older,Urban regions,No,0.10593,362,3210,0.09528,0.11658
2019,66 and older,Rural regions,Yes,0.90923,1677,1868,0.89620,0.92226
2019,66 and older,Rural regions,No,0.08452,191,1868,0.07191,0.09714
2021,17-29 y.,Urban regions,Yes,0.38148,807,2319,0.36171,0.40126
2021,17-29 y.,Urban regions,No,0.54723,1512,2319,0.52696,0.56749
2021,17-29 y.,Rural regions,Yes,0.32670,321,860,0.29534,0.35806
2021,17-29 y.,Rural regions,No,0.58069,539,860,0.54769,0.61369
2021,30-45 y.,Urban regions,Yes,0.50862,1755,3663,0.49243,0.52482
2021,30-45 y.,Urban regions,No,0.47917,1908,3663,0.46299,0.49535
2021,30-45 y.,Rural regions,Yes,0.50695,795,1543,0.48200,0.53191
2021,30-45 y.,Rural regions,No,0.46614,748,1543,0.44124,0.49104
2021,46-65 y.,Urban regions,Yes,0.74688,3447,4772,0.73455,0.75922
2021,46-65 y.,Urban regions,No,0.24405,1325,4772,0.23187,0.25624
2021,46-65 y.,Rural regions,Yes,0.73094,1778,2443,0.71335,0.74853
2021,46-65 y.,Rural regions,No,0.25964,665,2443,0.24225,0.27703
2021,66 and older,Urban regions,Yes,0.90406,1984,2242,0.89186,0.91625
2021,66 and older,Urban regions,No,0.08720,258,2242,0.07552,0.09889
2021,66 and older,Rural regions,Yes,0.89865,1177,1321,0.88237,0.91493
2021,66 and older,Rural regions,No,0.09351,144,1321,0.07780,0.10921
