year,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,CDU/CSU,0.15632,1808,9382,0.14897,0.16366
1990,FDP,0.01657,194,9382,0.01399,0.01916
1990,Bündnis90/Grüne,0.02046,299,9382,0.01759,0.02332
1990,Far right parties,0.00543,72,9382,0.00395,0.00692
1991,Not leaning towards specific party,0.24153,2892,7008,0.23150,0.25155
1991,SPD,0.16323,1884,7008,0.15457,0.17188
1991,CDU/CSU,0.15658,1764,7008,0.14807,0.16509
1991,FDP,0.01914,202,7008,0.01593,0.02235
1991,Bündnis90/Grüne,0.01850,221,7008,0.01535,0.02166
1991,Far right parties,0.00369,45,7008,0.00227,0.00511
1992,Not leaning towards specific party,0.42563,7727,13244,0.41721,0.43405
1992,SPD,0.17469,2542,13244,0.16822,0.18115
1992,CDU/CSU,0.16102,2087,13244,0.15476,0.16728
1992,FDP,0.01849,246,13244,0.01619,0.02078
1992,Bündnis90/Grüne,0.02389,400,13244,0.02129,0.02649
1992,PDS/Linke,0.00611,125,13244,0.00479,0.00744
1992,Others,0.00811,117,13244,0.00658,0.00964
1993,Not leaning towards specific party,0.46475,8165,13042,0.45619,0.47331
1993,SPD,0.15184,2214,13042,0.14568,0.15800
1993,CDU/CSU,0.13497,1699,13042,0.12911,0.14084
1993,FDP,0.01674,202,13042,0.01453,0.01894
1993,Bündnis90/Grüne,0.02876,437,13042,0.02589,0.03162
1993,PDS/Linke,0.00713,141,13042,0.00568,0.00857
1993,Far right parties,0.01075,139,13042,0.00898,0.01252
1993,Others,0.00331,45,13042,0.00233,0.00430
1994,Not leaning towards specific party,0.44061,7726,12807,0.43202,0.44921
1994,SPD,0.17259,2406,12807,0.16604,0.17913
1994,CDU/CSU,0.14194,1745,12807,0.13589,0.14798
1994,FDP,0.01269,149,12807,0.01075,0.01463
1994,Bündnis90/Grüne,0.02887,416,12807,0.02597,0.03177
1994,PDS/Linke,0.01024,207,12807,0.00850,0.01199
1994,Far right parties,0.00601,93,12807,0.00467,0.00735
1994,Others,0.00423,65,12807,0.00310,0.00535
1995,Not leaning towards specific party,0.40513,7426,13244,0.39677,0.41349
1995,SPD,0.17565,2496,13244,0.16917,0.18213
1995,CDU/CSU,0.16665,2240,13244,0.16030,0.17300
1995,FDP,0.01162,145,13244,0.00979,0.01344
1995,Bündnis90/Grüne,0.03873,563,13244,0.03544,0.04201
1995,PDS/Linke,0.01288,267,13244,0.01096,0.01480
1995,Far right parties,0.00384,56,13244,0.00279,0.00490
1995,Others,0.00313,51,13244,0.00218,0.00408
1996,Not leaning towards specific party,0.42629,7593,13019,0.41780,0.43479
1996,SPD,0.15198,2137,13019,0.14582,0.15815
1996,CDU/CSU,0.16894,2199,13019,0.16250,0.17537
1996,FDP,0.01054,117,13019,0.00879,0.01230
1996,Bündnis90/Grüne,0.03961,571,13019,0.03626,0.04296
1996,PDS/Linke,0.01338,278,13019,0.01140,0.01535
1996,Far right parties,0.00579,76,13019,0.00448,0.00709
1996,Others,0.00341,48,13019,0.00241,0.00441
1997,Not leaning towards specific party,0.43989,7753,12800,0.43129,0.44849
1997,SPD,0.16061,2134,12800,0.15425,0.16698
1997,CDU/CSU,0.15399,1936,12800,0.14774,0.16025
1997,FDP,0.00963,107,12800,0.00794,0.01132
1997,Bündnis90/Grüne,0.03580,485,12800,0.03258,0.03902
1997,PDS/Linke,0.01136,239,12800,0.00953,0.01320
1997,Far right parties,0.00659,99,12800,0.00519,0.00799
1997,Others,0.00344,47,12800,0.00243,0.00446
1998,Not leaning towards specific party,0.43535,8362,14173,0.42719,0.44352
1998,SPD,0.17288,2646,14173,0.16666,0.17911
1998,CDU/CSU,0.14133,2018,14173,0.13559,0.14707
1998,FDP,0.01009,128,14173,0.00844,0.01174
1998,Bündnis90/Grüne,0.03429,530,14173,0.03130,0.03729
1998,PDS/Linke,0.01081,249,14173,0.00911,0.01251
1998,Far right parties,0.00640,92,14173,0.00508,0.00771
1998,Others,0.00571,79,14173,0.00447,0.00695
1998,Party combinations,0.00404,69,14173,0.00299,0.00508
1999,Not leaning towards specific party,0.40369,7397,13623,0.39545,0.41193
1999,SPD,0.18206,2739,13623,0.17558,0.18854
1999,CDU/CSU,0.17191,2391,13623,0.16557,0.17824
1999,FDP,0.01039,133,13623,0.00869,0.01210
1999,Bündnis90/Grüne,0.02704,418,13623,0.02432,0.02976
1999,PDS/Linke,0.01475,302,13623,0.01273,0.01678
1999,Far right parties,0.00413,79,13623,0.00305,0.00521
1999,Others,0.00417,72,13623,0.00309,0.00526
1999,Party combinations,0.00587,92,13623,0.00459,0.00715
2000,Not leaning towards specific party,0.43431,13293,23897,0.42803,0.44060
2000,SPD,0.16678,4572,23897,0.16206,0.17151
2000,CDU/CSU,0.15333,4159,23897,0.14876,0.15790
2000,FDP,0.01128,274,23897,0.00994,0.01262
2000,Bündnis90/Grüne,0.02665,740,23897,0.02461,0.02869
2000,PDS/Linke,0.01535,525,23897,0.01379,0.01691
2000,Far right parties,0.00383,120,23897,0.00304,0.00461
2000,Others,0.00385,108,23897,0.00306,0.00463
2000,Party combinations,0.00391,106,23897,0.00312,0.00470
2001,Not leaning towards specific party,0.45382,12554,21799,0.44721,0.46043
2001,SPD,0.16176,4048,21799,0.15687,0.16665
2001,CDU/CSU,0.14374,3512,21799,0.13909,0.14840
2001,FDP,0.01352,301,21799,0.01198,0.01505
2001,Bündnis90/Grüne,0.02616,683,21799,0.02404,0.02828
2001,PDS/Linke,0.01416,432,21799,0.01259,0.01573
2001,Far right parties,0.00305,97,21799,0.00232,0.00378
2001,Others,0.00378,90,21799,0.00297,0.00460
2001,Party combinations,0.00359,82,21799,0.00280,0.00438
2002,Not leaning towards specific party,0.45372,12454,22889,0.44727,0.46017
2002,SPD,0.15728,4244,22889,0.15257,0.16200
2002,CDU/CSU,0.14703,4135,22889,0.14244,0.15162
2002,FDP,0.01477,480,22889,0.01321,0.01634
2002,Bündnis90/Grüne,0.02360,749,22889,0.02163,0.02556
2002,PDS/Linke,0.01773,549,22889,0.01602,0.01944
2002,Far right parties,0.00302,75,22889,0.00231,0.00373
2002,Others,0.00411,102,22889,0.00328,0.00494
2002,Party combinations,0.00344,101,22889,0.00268,0.00420
2003,Not leaning towards specific party,0.42853,11410,22028,0.42200,0.43507
2003,SPD,0.15233,3888,22028,0.14759,0.15708
2003,CDU/CSU,0.17195,4632,22028,0.16696,0.17693
2003,FDP,0.01471,422,22028,0.01312,0.01630
2003,Bündnis90/Grüne,0.03499,992,22028,0.03256,0.03742
2003,PDS/Linke,0.01254,386,22028,0.01107,0.01401
2003,Far right parties,0.00265,65,22028,0.00197,0.00333
2003,Others,0.00353,91,22028,0.00275,0.00431
2003,Party combinations,0.00552,142,22028,0.00454,0.00650
2004,Not leaning towards specific party,0.48995,12527,21536,0.48327,0.49663
2004,SPD,0.12330,3080,21536,0.11891,0.12769
2004,CDU/CSU,0.15320,4011,21536,0.14839,0.15802
2004,FDP,0.01317,382,21536,0.01165,0.01470
2004,Bündnis90/Grüne,0.03029,870,21536,0.02800,0.03258
2004,PDS/Linke,0.01385,418,21536,0.01229,0.01541
2004,Far right parties,0.00293,69,21536,0.00221,0.00365
2004,Others,0.00376,92,21536,0.00294,0.00458
2004,Party combinations,0.00307,87,21536,0.00234,0.00381
2005,Not leaning towards specific party,0.47614,11542,20590,0.46932,0.48297
2005,SPD,0.13586,3276,20590,0.13118,0.14054
2005,CDU/CSU,0.14854,3747,20590,0.14368,0.15340
2005,FDP,0.01299,382,20590,0.01144,0.01454
2005,Bündnis90/Grüne,0.03474,894,20590,0.03224,0.03724
2005,PDS/Linke,0.01452,435,20590,0.01289,0.01616
2005,Far right parties,0.00629,129,20590,0.00521,0.00737
2005,Others,0.00383,84,20590,0.00299,0.00467
2005,Party combinations,0.00365,101,20590,0.00282,0.00447
2006,Not leaning towards specific party,0.44184,11372,21813,0.43525,0.44844
2006,SPD,0.14643,3787,21813,0.14173,0.15112
2006,CDU/CSU,0.15553,4306,21813,0.15072,0.16034
2006,FDP,0.01674,490,21813,0.01503,0.01844
2006,Bündnis90/Grüne,0.03286,934,21813,0.03049,0.03522
2006,PDS/Linke,0.02170,616,21813,0.01977,0.02364
2006,Far right parties,0.00618,132,21813,0.00514,0.00722
2006,Others,0.00350,89,21813,0.00272,0.00429
2006,Party combinations,0.00369,87,21813,0.00288,0.00449
2007,Not leaning towards specific party,0.48354,11627,20422,0.47669,0.49040
2007,SPD,0.12834,3123,20422,0.12375,0.13292
2007,CDU/CSU,0.13733,3546,20422,0.13261,0.14206
2007,FDP,0.01492,451,20422,0.01325,0.01658
2007,Bündnis90/Grüne,0.03468,860,20422,0.03217,0.03719
2007,PDS/Linke,0.02052,545,20422,0.01858,0.02247
2007,Far right parties,0.00537,115,20422,0.00437,0.00638
2007,Others,0.00310,78,20422,0.00234,0.00386
2007,Party combinations,0.00347,77,20422,0.00266,0.00427
2008,Not leaning towards specific party,0.47967,10871,19194,0.47260,0.48674
2008,SPD,0.12298,2772,19194,0.11833,0.12762
2008,CDU/CSU,0.14513,3483,19194,0.14015,0.15012
2008,FDP,0.01600,437,19194,0.01422,0.01777
2008,Bündnis90/Grüne,0.03451,789,19194,0.03193,0.03709
2008,PDS/Linke,0.02347,594,19194,0.02133,0.02561
2008,Far right parties,0.00474,100,19194,0.00377,0.00571
2008,Others,0.00270,57,19194,0.00197,0.00344
2008,Party combinations,0.00450,91,19194,0.00356,0.00545
2009,Not leaning towards specific party,0.49891,10304,17927,0.49159,0.50622
2009,SPD,0.10819,2363,17927,0.10364,0.11274
2009,CDU/CSU,0.13262,3043,17927,0.12765,0.13758
2009,FDP,0.02494,606,17927,0.02265,0.02722
2009,Bündnis90/Grüne,0.03741,826,17927,0.03464,0.04019
2009,PDS/Linke,0.02222,536,17927,0.02007,0.02438
2009,Far right parties,0.00613,101,17927,0.00499,0.00728
2009,Others,0.00328,76,17927,0.00245,0.00412
2009,Party combinations,0.00465,72,17927,0.00365,0.00564
2010,Not leaning towards specific party,0.44185,12684,23665,0.43552,0.44818
2010,SPD,0.12587,3220,23665,0.12164,0.13010
2010,CDU/CSU,0.14959,4162,23665,0.14505,0.15414
2010,FDP,0.02206,708,23665,0.02019,0.02393
2010,Bündnis90/Grüne,0.04849,1612,23665,0.04576,0.05123
2010,PDS/Linke,0.03161,880,23665,0.02938,0.03384
2010,Far right parties,0.00620,161,23665,0.00520,0.00720
2010,Others,0.00424,113,23665,0.00341,0.00507
2010,Party combinations,0.00711,125,23665,0.00604,0.00818
2011,Not leaning towards specific party,0.42370,11463,20538,0.41695,0.43046
2011,SPD,0.10979,2808,20538,0.10552,0.11407
2011,CDU/CSU,0.12813,3537,20538,0.12356,0.13270
2011,FDP,0.00868,300,20538,0.00741,0.00994
2011,Bündnis90/Grüne,0.05432,1522,20538,0.05122,0.05742
2011,PDS/Linke,0.01999,584,20538,0.01808,0.02191
2011,Far right parties,0.00472,107,20538,0.00379,0.00566
2011,Others,0.00487,108,20538,0.00391,0.00582
2011,Party combinations,0.00509,109,20538,0.00412,0.00607
2012,Not leaning towards specific party,0.43349,11425,20278,0.42667,0.44032
2012,SPD,0.10846,2845,20278,0.10418,0.11274
2012,CDU/CSU,0.12714,3491,20278,0.12256,0.13173
2012,FDP,0.00721,228,20278,0.00604,0.00837
2012,Bündnis90/Grüne,0.04896,1338,20278,0.04599,0.05193
2012,PDS/Linke,0.01800,529,20278,0.01617,0.01983
2012,Far right parties,0.00412,87,20278,0.00324,0.00500
2012,Others,0.01035,258,20278,0.00896,0.01174
2012,Party combinations,0.00391,77,20278,0.00305,0.00477
2013,Not leaning towards specific party,0.43614,13873,23523,0.42980,0.44248
2013,SPD,0.10933,3105,23523,0.10534,0.11332
2013,CDU/CSU,0.13800,3936,23523,0.13359,0.14241
2013,FDP,0.00844,272,23523,0.00727,0.00961
2013,Bündnis90/Grüne,0.04941,1458,23523,0.04664,0.05218
2013,PDS/Linke,0.01670,538,23523,0.01506,0.01834
2013,Far right parties,0.00305,63,23523,0.00235,0.00376
2013,Others,0.00713,187,23523,0.00606,0.00821
2013,Party combinations,0.00395,91,23523,0.00315,0.00475
2014,Not leaning towards specific party,0.43931,14810,26683,0.43335,0.44526
2014,SPD,0.12368,3565,26683,0.11973,0.12763
2014,CDU/CSU,0.15925,4777,26683,0.15486,0.16365
2014,FDP,0.00909,302,26683,0.00795,0.01023
2014,Bündnis90/Grüne,0.05115,1703,26683,0.04851,0.05379
2014,PDS/Linke,0.02679,911,26683,0.02486,0.02873
2014,Far right parties,0.00365,99,26683,0.00293,0.00437
2014,AfD,0.00610,206,26683,0.00516,0.00703
2014,Others,0.00636,211,26683,0.00540,0.00731
2014,Party combinations,0.00546,99,26683,0.00458,0.00635
2015,Not leaning towards specific party,0.47759,16173,26435,0.47157,0.48361
2015,SPD,0.10543,2962,26435,0.10173,0.10914
2015,CDU/CSU,0.14774,4120,26435,0.14347,0.15202
2015,FDP,0.00850,268,26435,0.00739,0.00961
2015,Bündnis90/Grüne,0.04738,1471,26435,0.04481,0.04994
2015,PDS/Linke,0.02359,821,26435,0.02176,0.02542
2015,Far right parties,0.00372,98,26435,0.00298,0.00445
2015,AfD,0.01055,273,26435,0.00932,0.01178
2015,Others,0.00536,161,26435,0.00448,0.00624
2015,Party combinations,0.00412,88,26435,0.00334,0.00489
2016,Not leaning towards specific party,0.48634,14621,24024,0.48002,0.49266
2016,SPD,0.09281,2464,24024,0.08914,0.09648
2016,CDU/CSU,0.13456,3653,24024,0.13025,0.13888
2016,FDP,0.00988,279,24024,0.00863,0.01113
2016,Bündnis90/Grüne,0.05203,1494,24024,0.04922,0.05484
2016,PDS/Linke,0.02192,700,24024,0.02007,0.02377
2016,Far right parties,0.00307,71,24024,0.00237,0.00377
2016,AfD,0.01815,514,24024,0.01646,0.01984
2016,Others,0.00611,153,24024,0.00512,0.00710
2016,Party combinations,0.00260,75,24024,0.00196,0.00325
2017,Not leaning towards specific party,0.47872,17463,28242,0.47289,0.48455
2017,SPD,0.10897,3159,28242,0.10533,0.11260
2017,CDU/CSU,0.12958,4200,28242,0.12567,0.13350
2017,FDP,0.01331,426,28242,0.01197,0.01464
2017,Bündnis90/Grüne,0.04033,1386,28242,0.03804,0.04263
2017,PDS/Linke,0.02409,809,28242,0.02230,0.02588
2017,Far right parties,0.00233,86,28242,0.00177,0.00290
2017,AfD,0.01878,511,28242,0.01719,0.02036
2017,Others,0.00425,119,28242,0.00349,0.00500
2017,Party combinations,0.00379,83,28242,0.00307,0.00451
2018,Not leaning towards specific party,0.47242,17374,28348,0.46660,0.47823
2018,SPD,0.09544,2703,28348,0.09202,0.09886
2018,CDU/CSU,0.13057,4055,28348,0.12665,0.13450
2018,FDP,0.01764,540,28348,0.01610,0.01917
2018,Bündnis90/Grüne,0.05232,1751,28348,0.04973,0.05492
2018,PDS/Linke,0.02829,964,28348,0.02636,0.03022
2018,AfD,0.02511,717,28348,0.02329,0.02693
2018,Others,0.00564,165,28348,0.00477,0.00651
2018,Party combinations,0.00312,79,28348,0.00247,0.00377
2019,Not leaning towards specific party,0.46555,14030,25277,0.45940,0.47170
2019,SPD,0.07490,2108,25277,0.07165,0.07814
2019,CDU/CSU,0.11551,3779,25277,0.11157,0.11945
2019,FDP,0.01672,665,25277,0.01514,0.01830
2019,Bündnis90/Grüne,0.07914,2715,25277,0.07581,0.08247
2019,PDS/Linke,0.02815,898,25277,0.02611,0.03019
2019,AfD,0.02670,741,25277,0.02471,0.02868
2019,Others,0.00767,263,25277,0.00660,0.00875
2019,Party combinations,0.00469,78,25277,0.00385,0.00554
2020,Not leaning towards specific party,0.45827,17002,28092,0.45244,0.46410
2020,SPD,0.07343,2009,28092,0.07038,0.07648
2020,CDU/CSU,0.12496,3896,28092,0.12110,0.12883
2020,FDP,0.01287,476,28092,0.01155,0.01419
2020,Bündnis90/Grüne,0.08618,2815,28092,0.08290,0.08946
2020,PDS/Linke,0.02852,870,28092,0.02658,0.03047
2020,AfD,0.02345,625,28092,0.02168,0.02522
2020,Others,0.00881,233,28092,0.00772,0.00991
2020,Party combinations,0.00605,166,28092,0.00514,0.00695
2021,Not leaning towards specific party,0.43597,10734,18923,0.42890,0.44304
2021,SPD,0.08123,1675,18923,0.07733,0.08512
2021,CDU/CSU,0.11875,2543,18923,0.11414,0.12336
2021,FDP,0.02647,594,18923,0.02419,0.02876
2021,Bündnis90/Grüne,0.09563,2256,18923,0.09144,0.09982
2021,PDS/Linke,0.02433,569,18923,0.02214,0.02653
2021,AfD,0.01946,349,18923,0.01749,0.02142
2021,Others,0.00965,203,18923,0.00826,0.01104
