year,hhtyp,regtyp,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Couple with children,Urban regions,Yes,0.05616,94,1543,0.04467,0.06765
1990,Couple with children,Urban regions,No,0.83646,1449,1543,0.81800,0.85492
1990,Couple with children,Rural regions,No,0.52419,372,372,0.47337,0.57501
1990,Multi-generational household,Urban regions,No,0.75919,80,80,0.66490,0.85348
1990,Other Combinations,Urban regions,No,0.76603,60,60,0.65800,0.87405
1991,Single-person household,Urban regions,Yes,0.07732,62,834,0.05919,0.09546
1991,Single-person household,Urban regions,No,0.84000,772,834,0.81510,0.86489
1991,Single-person household,Rural regions,No,0.55618,151,151,0.47667,0.63569
1991,Couple without children,Urban regions,No,0.88238,928,928,0.86164,0.90312
1991,Couple without children,Rural regions,No,0.56722,235,235,0.50374,0.63070
1991,Single parent,Urban regions,Yes,0.12712,31,210,0.08196,0.17228
1991,Single parent,Urban regions,No,0.73201,179,210,0.67196,0.79206
1991,Single parent,Rural regions,No,0.54297,46,46,0.39742,0.68851
1991,Couple with children,Urban regions,Yes,0.05609,96,1531,0.04456,0.06762
1991,Couple with children,Urban regions,No,0.82802,1435,1531,0.80911,0.84692
1991,Couple with children,Rural regions,Yes,0.05308,34,409,0.03132,0.07483
1991,Couple with children,Rural regions,No,0.52209,375,409,0.47362,0.57056
1991,Multi-generational household,Urban regions,No,0.80709,75,75,0.71719,0.89700
1991,Other Combinations,Urban regions,No,0.77298,62,62,0.66785,0.87811
1992,Single-person household,Urban regions,Yes,0.10818,117,947,0.08839,0.12798
1992,Single-person household,Urban regions,No,0.88957,830,947,0.86960,0.90954
1992,Single-person household,Rural regions,Yes,0.22679,88,344,0.18248,0.27111
1992,Single-person household,Rural regions,No,0.76774,256,344,0.72305,0.81243
1992,Couple without children,Urban regions,Yes,0.03757,52,1158,0.02661,0.04852
1992,Couple without children,Urban regions,No,0.95572,1106,1158,0.94387,0.96757
1992,Couple without children,Rural regions,Yes,0.08280,53,516,0.05900,0.10660
1992,Couple without children,Rural regions,No,0.91365,463,516,0.88940,0.93791
1992,Single parent,Urban regions,Yes,0.19347,59,266,0.14591,0.24103
1992,Single parent,Urban regions,No,0.79263,207,266,0.74382,0.84145
1992,Single parent,Rural regions,Yes,0.22689,32,122,0.15226,0.30151
1992,Single parent,Rural regions,No,0.77311,90,122,0.69849,0.84774
1992,Couple with children,Urban regions,Yes,0.06978,146,1825,0.05808,0.08147
1992,Couple with children,Urban regions,No,0.92962,1679,1825,0.91788,0.94136
1992,Couple with children,Rural regions,Yes,0.14986,178,1033,0.12809,0.17164
1992,Couple with children,Rural regions,No,0.84348,855,1033,0.82131,0.86564
1992,Multi-generational household,Urban regions,No,0.91319,76,76,0.84947,0.97691
1992,Multi-generational household,Rural regions,No,0.90817,50,50,0.82730,0.98903
1992,Other Combinations,Urban regions,No,0.95309,89,89,0.90891,0.99727
1992,Other Combinations,Rural regions,No,0.85757,59,59,0.76763,0.94752
1993,Single-person household,Urban regions,Yes,0.10986,119,970,0.09017,0.12955
1993,Single-person household,Urban regions,No,0.88372,851,970,0.86353,0.90390
1993,Single-person household,Rural regions,Yes,0.22977,105,385,0.18769,0.27185
1993,Single-person household,Rural regions,No,0.75406,280,385,0.71099,0.79713
1993,Couple without children,Urban regions,Yes,0.02414,41,1182,0.01538,0.03289
1993,Couple without children,Urban regions,No,0.97058,1141,1182,0.96094,0.98022
1993,Couple without children,Rural regions,Yes,0.07045,52,535,0.04874,0.09215
1993,Couple without children,Rural regions,No,0.92241,483,535,0.89972,0.94510
1993,Single parent,Urban regions,Yes,0.17164,48,253,0.12508,0.21820
1993,Single parent,Urban regions,No,0.82542,205,253,0.77855,0.87229
1993,Single parent,Rural regions,Yes,0.26791,40,122,0.18900,0.34682
1993,Single parent,Rural regions,No,0.72129,82,122,0.64140,0.80118
1993,Couple with children,Urban regions,Yes,0.06824,149,1779,0.05652,0.07996
1993,Couple with children,Urban regions,No,0.93035,1630,1779,0.91852,0.94219
1993,Couple with children,Rural regions,Yes,0.15150,181,1008,0.12936,0.17365
1993,Couple with children,Rural regions,No,0.84287,827,1008,0.82039,0.86534
1993,Multi-generational household,Urban regions,No,0.92606,78,78,0.86762,0.98451
1993,Multi-generational household,Rural regions,No,0.92786,56,56,0.85948,0.99623
1993,Other Combinations,Urban regions,No,0.89996,93,93,0.83864,0.96127
1993,Other Combinations,Rural regions,No,0.77524,52,52,0.66068,0.88980
1994,Single-person household,Urban regions,Yes,0.07883,87,967,0.06183,0.09582
1994,Single-person household,Urban regions,No,0.91747,880,967,0.90011,0.93482
1994,Single-person household,Rural regions,Yes,0.18863,83,389,0.14971,0.22756
1994,Single-person household,Rural regions,No,0.80029,306,389,0.76051,0.84007
1994,Couple without children,Urban regions,Yes,0.02510,37,1200,0.01625,0.03396
1994,Couple without children,Urban regions,No,0.96709,1163,1200,0.95699,0.97719
1994,Couple without children,Rural regions,Yes,0.04993,38,564,0.03193,0.06792
1994,Couple without children,Rural regions,No,0.95007,526,564,0.93208,0.96807
1994,Single parent,Urban regions,Yes,0.18458,47,243,0.13570,0.23346
1994,Single parent,Urban regions,No,0.80965,196,243,0.76018,0.85911
1994,Single parent,Rural regions,Yes,0.23670,31,115,0.15867,0.31472
1994,Single parent,Rural regions,No,0.76195,84,115,0.68377,0.84013
1994,Couple with children,Urban regions,Yes,0.06605,133,1723,0.05432,0.07778
1994,Couple with children,Urban regions,No,0.93259,1590,1723,0.92074,0.94443
1994,Couple with children,Rural regions,Yes,0.10296,117,967,0.08380,0.12212
1994,Couple with children,Rural regions,No,0.88983,850,967,0.87009,0.90958
1994,Multi-generational household,Urban regions,No,0.95349,72,72,0.90450,1.00247
1994,Multi-generational household,Rural regions,No,0.92970,55,55,0.86152,0.99789
1994,Other Combinations,Urban regions,No,0.94879,99,99,0.90515,0.99243
1994,Other Combinations,Rural regions,No,0.85817,53,53,0.76334,0.95299
1995,Single-person household,Urban regions,Yes,0.07052,80,1002,0.05466,0.08638
1995,Single-person household,Urban regions,No,0.92609,922,1002,0.90988,0.94230
1995,Single-person household,Rural regions,Yes,0.14200,60,399,0.10771,0.17630
1995,Single-person household,Rural regions,No,0.85800,339,399,0.82370,0.89229
1995,Couple without children,Urban regions,Yes,0.02128,36,1242,0.01325,0.02931
1995,Couple without children,Urban regions,No,0.97701,1206,1242,0.96867,0.98535
1995,Couple without children,Rural regions,No,0.96791,559,559,0.95329,0.98253
1995,Single parent,Urban regions,Yes,0.18476,49,250,0.13655,0.23296
1995,Single parent,Urban regions,No,0.80752,201,250,0.75855,0.85649
1995,Single parent,Rural regions,Yes,0.21667,37,125,0.14416,0.28919
1995,Single parent,Rural regions,No,0.78333,88,125,0.71081,0.85584
1995,Couple with children,Urban regions,Yes,0.05917,126,1765,0.04816,0.07019
1995,Couple with children,Urban regions,No,0.93511,1639,1765,0.92362,0.94661
1995,Couple with children,Rural regions,Yes,0.09730,108,1007,0.07899,0.11562
1995,Couple with children,Rural regions,No,0.90067,899,1007,0.88218,0.91915
1995,Multi-generational household,Urban regions,No,0.94969,82,82,0.90209,0.99730
1995,Multi-generational household,Rural regions,No,0.90164,47,47,0.81558,0.98770
1995,Other Combinations,Urban regions,No,0.93389,97,97,0.88418,0.98359
1995,Other Combinations,Rural regions,No,0.88761,58,58,0.80562,0.96961
1996,Single-person household,Urban regions,Yes,0.06082,72,1008,0.04606,0.07558
1996,Single-person household,Urban regions,No,0.93554,936,1008,0.92038,0.95071
1996,Single-person household,Rural regions,Yes,0.11209,53,421,0.08192,0.14226
1996,Single-person household,Rural regions,No,0.88538,368,421,0.85491,0.91584
1996,Couple without children,Urban regions,No,0.98621,1209,1209,0.97963,0.99278
1996,Couple without children,Rural regions,No,0.97185,587,587,0.95846,0.98524
1996,Single parent,Urban regions,Yes,0.17158,52,258,0.12549,0.21768
1996,Single parent,Urban regions,No,0.80802,206,258,0.75987,0.85618
1996,Single parent,Rural regions,No,0.84062,100,100,0.76852,0.91273
1996,Couple with children,Urban regions,Yes,0.05529,110,1727,0.04451,0.06607
1996,Couple with children,Urban regions,No,0.94172,1617,1727,0.93067,0.95277
1996,Couple with children,Rural regions,Yes,0.09106,87,952,0.07278,0.10935
1996,Couple with children,Rural regions,No,0.90799,865,952,0.88962,0.92636
1996,Multi-generational household,Urban regions,No,0.94453,70,70,0.89053,0.99854
1996,Multi-generational household,Rural regions,No,0.97945,45,45,0.93752,1.02137
1996,Other Combinations,Urban regions,No,0.93243,89,89,0.87999,0.98488
1996,Other Combinations,Rural regions,No,0.94293,62,62,0.88472,1.00115
1997,Single-person household,Urban regions,Yes,0.06092,74,986,0.04599,0.07586
1997,Single-person household,Urban regions,No,0.93255,912,986,0.91689,0.94821
1997,Single-person household,Rural regions,Yes,0.08930,38,410,0.06166,0.11694
1997,Single-person household,Rural regions,No,0.90231,372,410,0.87353,0.93108
1997,Couple without children,Urban regions,No,0.98415,1227,1227,0.97716,0.99114
1997,Couple without children,Rural regions,No,0.98024,607,607,0.96916,0.99132
1997,Single parent,Urban regions,Yes,0.16466,45,258,0.11932,0.21001
1997,Single parent,Urban regions,No,0.83534,213,258,0.78999,0.88068
1997,Single parent,Rural regions,Yes,0.21989,37,132,0.14897,0.29082
1997,Single parent,Rural regions,No,0.77003,95,132,0.69797,0.84210
1997,Couple with children,Urban regions,Yes,0.04483,107,1666,0.03489,0.05477
1997,Couple with children,Urban regions,No,0.95457,1559,1666,0.94457,0.96457
1997,Couple with children,Rural regions,Yes,0.08007,69,924,0.06256,0.09758
1997,Couple with children,Rural regions,No,0.91672,855,924,0.89889,0.93454
1997,Multi-generational household,Urban regions,No,0.97194,71,71,0.93325,1.01063
1997,Multi-generational household,Rural regions,No,0.98248,41,41,0.94183,1.02314
1997,Other Combinations,Urban regions,No,0.99751,94,94,0.98739,1.00764
1997,Other Combinations,Rural regions,No,0.91768,60,60,0.84754,0.98781
1998,Single-person household,Urban regions,Yes,0.06400,88,1214,0.05023,0.07777
1998,Single-person household,Urban regions,No,0.93228,1126,1214,0.91814,0.94642
1998,Single-person household,Rural regions,Yes,0.08383,49,488,0.05922,0.10845
1998,Single-person household,Rural regions,No,0.91216,439,488,0.88702,0.93730
1998,Couple without children,Urban regions,Yes,0.01608,31,1443,0.00959,0.02257
1998,Couple without children,Urban regions,No,0.98275,1412,1443,0.97603,0.98947
1998,Couple without children,Rural regions,No,0.98200,717,717,0.97226,0.99174
1998,Single parent,Urban regions,Yes,0.16653,54,302,0.12444,0.20862
1998,Single parent,Urban regions,No,0.83347,248,302,0.79138,0.87556
1998,Single parent,Rural regions,Yes,0.21956,37,146,0.15219,0.28694
1998,Single parent,Rural regions,No,0.78044,109,146,0.71306,0.84781
1998,Couple with children,Urban regions,Yes,0.04812,95,1784,0.03819,0.05805
1998,Couple with children,Urban regions,No,0.94821,1689,1784,0.93793,0.95850
1998,Couple with children,Rural regions,Yes,0.07392,73,1027,0.05791,0.08993
1998,Couple with children,Rural regions,No,0.92363,954,1027,0.90738,0.93988
1998,Multi-generational household,Urban regions,No,0.94121,64,64,0.88312,0.99930
1998,Multi-generational household,Rural regions,No,0.98140,35,35,0.93599,1.02681
1998,Other Combinations,Urban regions,No,0.93047,96,96,0.87933,0.98162
1998,Other Combinations,Rural regions,No,0.92973,55,55,0.86155,0.99790
1999,Single-person household,Urban regions,Yes,0.06065,80,1148,0.04684,0.07446
1999,Single-person household,Urban regions,No,0.92974,1068,1148,0.91495,0.94453
1999,Single-person household,Rural regions,Yes,0.09535,50,479,0.06902,0.12168
1999,Single-person household,Rural regions,No,0.89486,429,479,0.86736,0.92236
1999,Couple without children,Urban regions,No,0.98529,1399,1399,0.97897,0.99160
1999,Couple without children,Rural regions,No,0.98929,723,723,0.98178,0.99680
1999,Single parent,Urban regions,Yes,0.21302,60,283,0.16523,0.26081
1999,Single parent,Urban regions,No,0.78451,223,283,0.73652,0.83250
1999,Single parent,Rural regions,Yes,0.27730,54,162,0.20815,0.34646
1999,Single parent,Rural regions,No,0.71104,108,162,0.64102,0.78106
1999,Couple with children,Urban regions,Yes,0.04258,89,1740,0.03309,0.05206
1999,Couple with children,Urban regions,No,0.95118,1651,1740,0.94105,0.96131
1999,Couple with children,Rural regions,Yes,0.07715,78,975,0.06039,0.09390
1999,Couple with children,Rural regions,No,0.91295,897,975,0.89524,0.93065
1999,Multi-generational household,Urban regions,No,0.97117,61,61,0.92882,1.01351
1999,Multi-generational household,Rural regions,No,0.99653,36,36,0.97706,1.01600
2000,Single-person household,Urban regions,Yes,0.05055,119,2277,0.04155,0.05955
2000,Single-person household,Urban regions,No,0.94805,2158,2277,0.93893,0.95717
2000,Single-person household,Rural regions,Yes,0.07812,85,977,0.06128,0.09495
2000,Single-person household,Rural regions,No,0.91744,892,977,0.90017,0.93471
2000,Couple without children,Urban regions,Yes,0.01350,39,2641,0.00909,0.01790
2000,Couple without children,Urban regions,No,0.98488,2602,2641,0.98022,0.98953
2000,Couple without children,Rural regions,No,0.98596,1301,1301,0.97956,0.99235
2000,Single parent,Urban regions,Yes,0.17259,91,510,0.13976,0.20542
2000,Single parent,Urban regions,No,0.82741,419,510,0.79458,0.86024
2000,Single parent,Rural regions,Yes,0.27370,76,253,0.21865,0.32875
2000,Single parent,Rural regions,No,0.72630,177,253,0.67125,0.78135
2000,Couple with children,Urban regions,Yes,0.04194,135,2953,0.03471,0.04917
2000,Couple with children,Urban regions,No,0.95575,2818,2953,0.94833,0.96317
2000,Couple with children,Rural regions,Yes,0.06001,104,1667,0.04861,0.07142
2000,Couple with children,Rural regions,No,0.93769,1563,1667,0.92609,0.94930
2000,Multi-generational household,Urban regions,No,0.96627,99,99,0.93053,1.00202
2000,Multi-generational household,Rural regions,No,0.92713,63,63,0.86243,0.99183
2000,Other Combinations,Urban regions,No,0.98104,101,101,0.95431,1.00777
2001,Single-person household,Urban regions,Yes,0.05595,125,2057,0.04602,0.06589
2001,Single-person household,Urban regions,No,0.94118,1932,2057,0.93101,0.95135
2001,Single-person household,Rural regions,Yes,0.09007,87,863,0.07095,0.10918
2001,Single-person household,Rural regions,No,0.90905,776,863,0.88986,0.92825
2001,Couple without children,Urban regions,Yes,0.01761,44,2372,0.01231,0.02290
2001,Couple without children,Urban regions,No,0.98025,2328,2372,0.97465,0.98585
2001,Couple without children,Rural regions,No,0.98556,1187,1187,0.97877,0.99235
2001,Single parent,Urban regions,Yes,0.20712,98,462,0.17013,0.24411
2001,Single parent,Urban regions,No,0.78326,364,462,0.74564,0.82087
2001,Single parent,Rural regions,Yes,0.21917,61,238,0.16651,0.27184
2001,Single parent,Rural regions,No,0.77104,177,238,0.71755,0.82454
2001,Couple with children,Urban regions,Yes,0.04884,141,2680,0.04068,0.05700
2001,Couple with children,Urban regions,No,0.94626,2539,2680,0.93772,0.95480
2001,Couple with children,Rural regions,Yes,0.06717,102,1483,0.05443,0.07992
2001,Couple with children,Rural regions,No,0.93148,1381,1483,0.91862,0.94434
2001,Multi-generational household,Urban regions,No,0.95711,101,101,0.91740,0.99682
2001,Multi-generational household,Rural regions,No,0.94388,51,51,0.88009,1.00768
2001,Other Combinations,Urban regions,No,0.96081,80,80,0.91802,1.00360
2001,Other Combinations,Rural regions,No,0.96577,40,40,0.90871,1.02283
2002,Single-person household,Urban regions,Yes,0.05481,116,2070,0.04500,0.06462
2002,Single-person household,Urban regions,No,0.94142,1954,2070,0.93130,0.95154
2002,Single-person household,Rural regions,Yes,0.08183,81,856,0.06346,0.10021
2002,Single-person household,Rural regions,No,0.91574,775,856,0.89712,0.93436
2002,Couple without children,Urban regions,Yes,0.01268,33,2637,0.00841,0.01695
2002,Couple without children,Urban regions,No,0.98536,2604,2637,0.98078,0.98995
2002,Couple without children,Rural regions,No,0.98731,1240,1240,0.98107,0.99354
2002,Single parent,Urban regions,Yes,0.20420,89,453,0.16704,0.24137
2002,Single parent,Urban regions,No,0.76957,364,453,0.73075,0.80839
2002,Single parent,Rural regions,Yes,0.19713,54,250,0.14771,0.24654
2002,Single parent,Rural regions,No,0.79927,196,250,0.74952,0.84902
2002,Couple with children,Urban regions,Yes,0.04831,135,2888,0.04049,0.05613
2002,Couple with children,Urban regions,No,0.95107,2753,2888,0.94320,0.95894
2002,Couple with children,Rural regions,Yes,0.07749,91,1494,0.06392,0.09105
2002,Couple with children,Rural regions,No,0.92251,1403,1494,0.90895,0.93608
2002,Multi-generational household,Urban regions,No,0.97259,89,89,0.93847,1.00670
2002,Multi-generational household,Rural regions,No,0.96638,55,55,0.91831,1.01446
2002,Other Combinations,Urban regions,No,0.97961,90,90,0.95026,1.00897
2002,Other Combinations,Rural regions,No,0.99497,36,36,0.97152,1.01841
2003,Single-person household,Urban regions,Yes,0.06305,122,2064,0.05256,0.07354
2003,Single-person household,Urban regions,No,0.93556,1942,2064,0.92497,0.94616
2003,Single-person household,Rural regions,Yes,0.08051,75,848,0.06218,0.09883
2003,Single-person household,Rural regions,No,0.91949,773,848,0.90117,0.93782
2003,Couple without children,Urban regions,Yes,0.01405,42,2555,0.00949,0.01862
2003,Couple without children,Urban regions,No,0.98301,2513,2555,0.97800,0.98802
2003,Couple without children,Rural regions,Yes,0.02589,35,1260,0.01712,0.03466
2003,Couple without children,Rural regions,No,0.97411,1225,1260,0.96534,0.98288
2003,Single parent,Urban regions,Yes,0.21218,92,456,0.17461,0.24975
2003,Single parent,Urban regions,No,0.76316,364,456,0.72410,0.80223
2003,Single parent,Rural regions,Yes,0.26250,63,235,0.20612,0.31887
2003,Single parent,Rural regions,No,0.73750,172,235,0.68113,0.79388
2003,Couple with children,Urban regions,Yes,0.05406,134,2732,0.04558,0.06254
2003,Couple with children,Urban regions,No,0.94359,2598,2732,0.93493,0.95224
2003,Couple with children,Rural regions,Yes,0.06297,88,1395,0.05022,0.07572
2003,Couple with children,Rural regions,No,0.93321,1307,1395,0.92011,0.94632
2003,Multi-generational household,Urban regions,No,0.94686,72,72,0.89469,0.99904
2003,Other Combinations,Rural regions,No,0.98111,36,36,0.93601,1.02621
2004,Single-person household,Urban regions,Yes,0.06188,113,2000,0.05132,0.07244
2004,Single-person household,Urban regions,No,0.93740,1887,2000,0.92678,0.94802
2004,Single-person household,Rural regions,Yes,0.08309,82,853,0.06456,0.10162
2004,Single-person household,Rural regions,No,0.91670,771,853,0.89814,0.93525
2004,Couple without children,Urban regions,Yes,0.02004,49,2573,0.01463,0.02546
2004,Couple without children,Urban regions,No,0.97692,2524,2573,0.97112,0.98272
2004,Couple without children,Rural regions,Yes,0.01930,32,1240,0.01164,0.02696
2004,Couple without children,Rural regions,No,0.97567,1208,1240,0.96710,0.98425
2004,Single parent,Urban regions,Yes,0.23856,98,451,0.19918,0.27794
2004,Single parent,Urban regions,No,0.75135,353,451,0.71141,0.79128
2004,Single parent,Rural regions,Yes,0.30048,69,226,0.24057,0.36039
2004,Single parent,Rural regions,No,0.69659,157,226,0.63652,0.75666
2004,Couple with children,Urban regions,Yes,0.06598,143,2601,0.05643,0.07552
2004,Couple with children,Urban regions,No,0.93096,2458,2601,0.92122,0.94071
2004,Couple with children,Rural regions,Yes,0.08984,108,1355,0.07461,0.10507
2004,Couple with children,Rural regions,No,0.91016,1247,1355,0.89493,0.92539
2004,Multi-generational household,Urban regions,No,0.93671,62,62,0.87561,0.99781
2004,Multi-generational household,Rural regions,No,0.99054,43,43,0.96127,1.01981
2004,Other Combinations,Urban regions,No,0.94053,69,69,0.88432,0.99675
2004,Other Combinations,Rural regions,No,0.97991,35,35,0.93275,1.02707
2005,Single-person household,Urban regions,Yes,0.07205,122,2037,0.06082,0.08328
2005,Single-person household,Urban regions,No,0.92561,1915,2037,0.91421,0.93700
2005,Single-person household,Rural regions,Yes,0.09197,89,864,0.07269,0.11125
2005,Single-person household,Rural regions,No,0.90803,775,864,0.88875,0.92731
2005,Couple without children,Urban regions,Yes,0.01814,44,2486,0.01289,0.02339
2005,Couple without children,Urban regions,No,0.98034,2442,2486,0.97488,0.98580
2005,Couple without children,Rural regions,No,0.97715,1179,1179,0.96861,0.98568
2005,Single parent,Urban regions,Yes,0.24861,97,447,0.20849,0.28872
2005,Single parent,Urban regions,No,0.73405,350,447,0.69305,0.77506
2005,Single parent,Rural regions,Yes,0.31501,69,240,0.25611,0.37390
2005,Single parent,Rural regions,No,0.67032,171,240,0.61072,0.72992
2005,Couple with children,Urban regions,Yes,0.06105,127,2437,0.05154,0.07055
2005,Couple with children,Urban regions,No,0.93670,2310,2437,0.92703,0.94637
2005,Couple with children,Rural regions,Yes,0.07952,95,1259,0.06457,0.09447
2005,Couple with children,Rural regions,No,0.91782,1164,1259,0.90265,0.93300
2005,Multi-generational household,Urban regions,No,0.83756,54,54,0.73826,0.93687
2005,Multi-generational household,Rural regions,No,0.92601,41,41,0.84489,1.00713
2005,Other Combinations,Urban regions,No,0.96721,66,66,0.92392,1.01051
2006,Single-person household,Urban regions,Yes,0.05178,105,2253,0.04263,0.06093
2006,Single-person household,Urban regions,No,0.94459,2148,2253,0.93514,0.95404
2006,Single-person household,Rural regions,Yes,0.07375,89,1024,0.05774,0.08977
2006,Single-person household,Rural regions,No,0.92266,935,1024,0.90628,0.93903
2006,Couple without children,Urban regions,Yes,0.02378,55,2784,0.01812,0.02945
2006,Couple without children,Urban regions,No,0.97466,2729,2784,0.96882,0.98050
2006,Couple without children,Rural regions,No,0.97955,1345,1345,0.97199,0.98712
2006,Single parent,Urban regions,Yes,0.15161,74,493,0.11992,0.18330
2006,Single parent,Urban regions,No,0.83907,419,493,0.80660,0.87154
2006,Single parent,Rural regions,Yes,0.21950,53,276,0.17058,0.26842
2006,Single parent,Rural regions,No,0.77943,223,276,0.73042,0.82843
2006,Couple with children,Urban regions,Yes,0.04042,96,2494,0.03269,0.04815
2006,Couple with children,Urban regions,No,0.95646,2398,2494,0.94845,0.96447
2006,Couple with children,Rural regions,Yes,0.04214,60,1337,0.03136,0.05291
2006,Couple with children,Rural regions,No,0.95522,1277,1337,0.94413,0.96631
2006,Multi-generational household,Urban regions,No,0.95405,59,59,0.90017,1.00794
2006,Multi-generational household,Rural regions,No,0.87350,41,41,0.77049,0.97652
