year,sampreg,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,West,Yes,0.04480,256,4715,0.03890,0.05071
1997,West,No,0.95109,4459,4715,0.94493,0.95725
1997,East,Yes,0.10140,169,1817,0.08751,0.11528
1997,East,No,0.89482,1648,1817,0.88071,0.90893
1998,West,Yes,0.04747,280,5446,0.04182,0.05311
1998,West,No,0.94968,5166,5446,0.94387,0.95549
1998,East,Yes,0.10121,179,1957,0.08784,0.11457
1998,East,No,0.89774,1778,1957,0.88432,0.91117
1999,West,Yes,0.04572,259,5187,0.04004,0.05141
1999,West,No,0.94709,4928,5187,0.94100,0.95318
1999,East,Yes,0.10703,186,1922,0.09321,0.12086
1999,East,No,0.88879,1736,1922,0.87473,0.90285
2000,West,Yes,0.03968,400,9856,0.03582,0.04353
2000,West,No,0.95828,9456,9856,0.95433,0.96223
2000,East,Yes,0.09335,277,3071,0.08306,0.10364
2000,East,No,0.90517,2794,3071,0.89480,0.91553
2001,West,Yes,0.04519,410,8809,0.04086,0.04953
2001,West,No,0.95120,8399,8809,0.94670,0.95570
2001,East,Yes,0.10348,282,2839,0.09228,0.11469
2001,East,No,0.89552,2557,2839,0.88426,0.90677
2002,West,Yes,0.04488,376,9351,0.04069,0.04908
2002,West,No,0.95187,8975,9351,0.94753,0.95621
2002,East,Yes,0.09718,253,2837,0.08628,0.10808
2002,East,No,0.90128,2584,2837,0.89030,0.91225
2003,West,Yes,0.04990,394,8979,0.04540,0.05441
2003,West,No,0.94692,8585,8979,0.94228,0.95155
2003,East,Yes,0.10194,263,2802,0.09073,0.11314
2003,East,No,0.89701,2539,2802,0.88575,0.90827
2004,West,Yes,0.05408,415,8766,0.04934,0.05881
2004,West,No,0.94356,8351,8766,0.93873,0.94840
2004,East,Yes,0.12196,291,2754,0.10974,0.13419
2004,East,No,0.87577,2463,2754,0.86345,0.88809
2005,West,Yes,0.05819,402,8495,0.05321,0.06317
2005,West,No,0.93958,8093,8495,0.93452,0.94465
2005,East,Yes,0.12280,280,2683,0.11038,0.13523
2005,East,No,0.87205,2403,2683,0.85941,0.88469
2006,West,Yes,0.03950,315,9321,0.03554,0.04345
2006,West,No,0.95791,9006,9321,0.95383,0.96198
2006,East,Yes,0.09562,245,2917,0.08495,0.10630
2006,East,No,0.89715,2672,2917,0.88612,0.90817
2007,West,Yes,0.03651,265,8672,0.03256,0.04046
2007,West,No,0.95989,8407,8672,0.95576,0.96402
2007,East,Yes,0.08807,207,2754,0.07748,0.09866
2007,East,No,0.90988,2547,2754,0.89919,0.92058
2008,West,Yes,0.03569,247,8170,0.03166,0.03971
2008,West,No,0.96398,7923,8170,0.95994,0.96802
2008,East,Yes,0.06397,156,2650,0.05465,0.07329
2008,East,No,0.93577,2494,2650,0.92644,0.94511
2009,West,Yes,0.03142,215,7569,0.02749,0.03535
2009,West,No,0.95761,7354,7569,0.95307,0.96215
2009,East,Yes,0.06630,159,2529,0.05660,0.07600
2009,East,No,0.91771,2370,2529,0.90700,0.92842
2010,West,Yes,0.02988,517,10636,0.02664,0.03311
2010,West,No,0.96962,10119,10636,0.96636,0.97288
2010,East,Yes,0.06858,239,3157,0.05977,0.07740
2010,East,No,0.92853,2918,3157,0.91955,0.93752
2011,West,Yes,0.02928,681,12658,0.02635,0.03222
2011,West,No,0.94944,11977,12658,0.94562,0.95326
2011,East,Yes,0.05720,328,3659,0.04967,0.06472
2011,East,No,0.91122,3331,3659,0.90200,0.92044
2012,West,Yes,0.02767,612,12362,0.02477,0.03056
2012,West,No,0.94946,11750,12362,0.94559,0.95332
2012,East,Yes,0.05231,304,3616,0.04505,0.05957
2012,East,No,0.91360,3312,3616,0.90444,0.92276
2013,West,Yes,0.02422,599,13974,0.02167,0.02677
2013,West,No,0.95280,13375,13974,0.94929,0.95632
2013,East,Yes,0.05016,273,3568,0.04300,0.05733
2013,East,No,0.92048,3295,3568,0.91160,0.92936
2014,West,Yes,0.02462,489,12343,0.02188,0.02735
2014,West,No,0.96271,11854,12343,0.95936,0.96605
2014,East,Yes,0.04290,210,3357,0.03604,0.04975
2014,East,No,0.95073,3147,3357,0.94341,0.95805
2015,West,Yes,0.01982,397,12193,0.01734,0.02229
2015,West,No,0.94997,11796,12193,0.94610,0.95384
2015,East,Yes,0.03888,162,3183,0.03216,0.04559
2015,East,No,0.91379,3021,3183,0.90404,0.92354
2016,West,Yes,0.02040,343,11118,0.01777,0.02303
2016,West,No,0.96131,10775,11118,0.95772,0.96489
2016,East,Yes,0.03069,127,3033,0.02455,0.03683
2016,East,No,0.94278,2906,3033,0.93451,0.95105
2017,West,Yes,0.01834,444,13654,0.01609,0.02059
2017,West,No,0.96947,13210,13654,0.96658,0.97235
2017,East,Yes,0.03666,156,3689,0.03059,0.04272
2017,East,No,0.94617,3533,3689,0.93889,0.95345
2018,West,Yes,0.02013,688,13988,0.01780,0.02245
2018,West,No,0.97222,13300,13988,0.96950,0.97494
2018,East,Yes,0.03555,188,3748,0.02962,0.04148
2018,East,No,0.94758,3560,3748,0.94045,0.95472
2019,West,Yes,0.02337,481,14381,0.02090,0.02584
2019,West,No,0.96952,13900,14381,0.96671,0.97233
2019,East,Yes,0.03175,139,3873,0.02623,0.03727
2019,East,No,0.94925,3734,3873,0.94234,0.95617
2020,West,Yes,0.01967,478,15287,0.01746,0.02187
2020,West,No,0.96170,14809,15287,0.95866,0.96474
2020,East,Yes,0.02660,114,3794,0.02148,0.03172
2020,East,No,0.95138,3680,3794,0.94453,0.95822
2021,West,Yes,0.01855,366,9904,0.01589,0.02121
2021,West,No,0.97217,9538,9904,0.96893,0.97541
2021,East,Yes,0.02448,75,2569,0.01850,0.03045
2021,East,No,0.96458,2494,2569,0.95743,0.97173
2022,West,Yes,0.01750,392,15853,0.01546,0.01954
2022,West,No,0.96652,15461,15853,0.96372,0.96933
2022,East,Yes,0.02624,107,4319,0.02147,0.03100
2022,East,No,0.94770,4212,4319,0.94106,0.95434
