year,hhtyp,regtyp,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,Couple with children,Rural regions,Yes,0.02318,54,1719,0.01606,0.03029
2018,Couple with children,Rural regions,No,0.97682,1665,1719,0.96971,0.98394
2018,Multi-generational household,Urban regions,No,0.98202,73,73,0.95133,1.01271
2019,Single-person household,No answer / don't know,No,0.92982,222,222,0.89614,0.96350
2019,Single-person household,Urban regions,Yes,0.01757,67,2658,0.01258,0.02257
2019,Single-person household,Urban regions,No,0.98243,2591,2658,0.97743,0.98742
2019,Single-person household,Rural regions,No,0.98966,1220,1220,0.98398,0.99534
2019,Couple without children,No answer / don't know,No,0.95910,125,125,0.92424,0.99396
2019,Couple without children,Urban regions,Yes,0.02211,78,3151,0.01698,0.02725
2019,Couple without children,Urban regions,No,0.97789,3073,3151,0.97275,0.98302
2019,Couple without children,Rural regions,No,0.98876,1779,1779,0.98386,0.99366
2019,Single parent,Urban regions,No,0.97422,904,904,0.96388,0.98455
2019,Single parent,Rural regions,No,0.98810,452,452,0.97809,0.99811
2019,Couple with children,No answer / don't know,No,0.90137,36,36,0.80259,1.00015
2019,Couple with children,Urban regions,Yes,0.04431,158,3369,0.03736,0.05126
2019,Couple with children,Urban regions,No,0.95569,3211,3369,0.94874,0.96264
2019,Couple with children,Rural regions,Yes,0.01835,56,1741,0.01204,0.02465
2019,Couple with children,Rural regions,No,0.98165,1685,1741,0.97535,0.98796
2019,Multi-generational household,Urban regions,No,0.99387,62,62,0.97427,1.01346
2019,Other Combinations,No answer / don't know,No,0.91209,33,33,0.81398,1.01020
2019,Other Combinations,Urban regions,No,0.99722,123,123,0.98787,1.00656
2019,Other Combinations,Rural regions,No,0.99949,61,61,0.99376,1.00522
2020,Single-person household,Urban regions,Yes,0.02277,79,3269,0.01766,0.02788
2020,Single-person household,Urban regions,No,0.97723,3190,3269,0.97212,0.98234
2020,Single-person household,Rural regions,No,0.99001,1317,1317,0.98463,0.99538
2020,Couple without children,Urban regions,Yes,0.02458,103,3291,0.01929,0.02987
2020,Couple without children,Urban regions,No,0.97542,3188,3291,0.97013,0.98071
2020,Couple without children,Rural regions,No,0.98883,1701,1701,0.98383,0.99383
2020,Single parent,Urban regions,No,0.98056,870,870,0.97138,0.98974
2020,Single parent,Rural regions,No,0.97572,430,430,0.96115,0.99028
2020,Couple with children,Urban regions,Yes,0.04434,148,3258,0.03727,0.05141
2020,Couple with children,Urban regions,No,0.95566,3110,3258,0.94859,0.96273
2020,Couple with children,Rural regions,Yes,0.03857,57,1639,0.02925,0.04790
2020,Couple with children,Rural regions,No,0.96143,1582,1639,0.95210,0.97075
2020,Multi-generational household,Urban regions,No,0.98674,65,65,0.95871,1.01476
2020,Other Combinations,Urban regions,No,0.96958,203,203,0.94589,0.99326
2020,Other Combinations,Rural regions,No,0.99223,89,89,0.97388,1.01058
2021,Single-person household,Urban regions,Yes,0.02204,67,2248,0.01597,0.02811
2021,Single-person household,Urban regions,No,0.97796,2181,2248,0.97189,0.98403
2021,Single-person household,Rural regions,No,0.98361,919,919,0.97540,0.99183
2021,Couple without children,Urban regions,Yes,0.02295,72,2222,0.01672,0.02918
2021,Couple without children,Urban regions,No,0.97705,2150,2222,0.97082,0.98328
2021,Couple without children,Rural regions,No,0.98344,1169,1169,0.97612,0.99076
2021,Single parent,Urban regions,No,0.98039,555,555,0.96885,0.99194
2021,Single parent,Rural regions,No,0.97778,313,313,0.96143,0.99414
2021,Couple with children,Urban regions,Yes,0.04487,103,2104,0.03602,0.05372
2021,Couple with children,Urban regions,No,0.95513,2001,2104,0.94628,0.96398
2021,Couple with children,Rural regions,Yes,0.04178,47,1068,0.02977,0.05378
2021,Couple with children,Rural regions,No,0.95822,1021,1068,0.94622,0.97023
2021,Multi-generational household,Urban regions,No,0.98859,45,45,0.95721,1.01997
2021,Other Combinations,Urban regions,No,0.94829,183,183,0.91612,0.98047
2021,Other Combinations,Rural regions,No,0.96353,74,74,0.92052,1.00653
2022,No answer / don't know,Urban regions,No,0.98272,273,273,0.96724,0.99821
2022,No answer / don't know,Rural regions,No,0.99226,139,139,0.97764,1.00688
2022,Single-person household,Urban regions,Yes,0.02366,118,4022,0.01896,0.02835
2022,Single-person household,Urban regions,No,0.97634,3904,4022,0.97165,0.98104
2022,Single-person household,Rural regions,Yes,0.02361,37,1540,0.01602,0.03119
2022,Single-person household,Rural regions,No,0.97639,1503,1540,0.96881,0.98398
2022,Couple without children,Urban regions,Yes,0.02328,130,3887,0.01854,0.02802
2022,Couple without children,Urban regions,No,0.97672,3757,3887,0.97198,0.98146
2022,Couple without children,Rural regions,Yes,0.01287,36,1822,0.00769,0.01805
2022,Couple without children,Rural regions,No,0.98713,1786,1822,0.98195,0.99231
2022,Single parent,Urban regions,No,0.97639,737,737,0.96542,0.98736
2022,Single parent,Rural regions,No,0.98254,369,369,0.96915,0.99592
2022,Couple with children,Urban regions,Yes,0.04811,151,3352,0.04086,0.05535
2022,Couple with children,Urban regions,No,0.95189,3201,3352,0.94465,0.95914
2022,Couple with children,Rural regions,Yes,0.03012,63,1783,0.02218,0.03805
2022,Couple with children,Rural regions,No,0.96988,1720,1783,0.96195,0.97782
2022,Other Combinations,Urban regions,No,0.96560,737,737,0.95243,0.97877
2022,Other Combinations,Rural regions,No,0.96948,328,328,0.95083,0.98812
